"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.562590421,      -13.62900927,      -13.67183685,       -2.51488299,      -9.860275031
          0,           0,           1,      -4.792043594,      -4.319787188,      -3.957805584,       -2.73637479,      -10.20960767
          0,           0,           2,      -5.245567485,      -4.631788404,      -4.514863112,      -3.197760174,      -10.64456171
          0,           0,           3,      -5.402793747,      -4.748190913,      -4.591476414,      -3.354515344,      -11.02765012
          0,           0,           4,       -5.44781569,      -4.819019702,      -4.641991966,      -3.399862596,      -11.17504042
          0,           0,           5,      -5.475144555,      -4.876457609,       -4.66859899,      -3.427291311,      -11.26224421
          0,           0,           6,      -5.492996482,      -4.920726005,      -4.684989262,      -3.445171578,      -11.32880699
          0,           0,           7,      -5.503639382,       -4.95183995,      -4.693179698,      -3.455848191,      -11.39676687
          0,           0,           8,      -5.507913974,      -4.969342605,      -4.693744376,       -3.46017529,      -11.44463059
          0,           0,           9,      -5.506602198,      -4.972502882,      -4.687541577,      -3.458956613,      -11.48364369
          0,           0,          10,      -5.500775258,        -4.9611919,      -4.675938683,      -3.453295967,      -11.52029086
          0,           0,          11,      -5.491874072,      -4.936797104,      -4.660735035,      -3.444660168,      -11.55598831
          0,           0,          12,      -5.481523122,      -4.902433538,      -4.643909909,      -3.434683735,      -11.58374938
          0,           0,          13,      -5.471086437,      -4.862010378,      -4.627216566,      -3.424728371,      -11.60753228
          0,           0,          14,      -5.461422722,      -4.819214044,      -4.611912983,      -3.415637875,      -11.62842064
          0,           0,          15,      -5.452897443,      -4.776887209,      -4.598697477,      -3.407751394,      -11.65016572
          0,           0,          16,      -5.445522615,      -4.736876784,      -4.587772631,      -3.401048953,      -11.67073193
          0,           0,          17,       -5.43905798,      -4.700159798,      -4.578951702,      -3.395258103,      -11.68786522
          0,           0,          18,      -5.433118434,      -4.667081192,       -4.57181605,      -3.389966288,       -11.7028459
          0,           0,          19,      -5.427275818,       -4.63760277,      -4.565851211,      -3.384726351,      -11.71590469
          0,           0,          20,      -5.421139489,      -4.611484632,      -4.560558306,      -3.379138377,      -11.72739266
          0,           0,          21,      -5.414384266,      -4.588402942,      -4.555526286,      -3.372875141,      -11.73902102
          0,           0,          22,      -5.406800552,      -4.568017903,      -4.550464074,      -3.365729091,      -11.74935417
          0,           0,          23,      -5.398312477,      -4.550003326,      -4.545180385,      -3.357627352,      -11.75734958
          0,           0,          24,      -5.388969527,      -4.534053396,      -4.539568659,      -3.348620454,      -11.76356933
          0,           0,          25,      -5.378917059,      -4.519884578,      -4.533580696,      -3.338852298,      -11.76814315
          0,           0,          26,      -5.368347052,      -4.507238911,      -4.527211438,      -3.328510758,      -11.77121824
          0,           0,          27,      -5.357448439,      -4.495890195,      -4.520490789,      -3.317779159,      -11.77297837
          0,           0,          28,      -5.346359406,      -4.485650908,      -4.513483561,      -3.306789264,       -11.7739927
          0,           0,          29,      -5.335153239,      -4.476375642,      -4.506289837,      -3.295608853,      -11.77416646
          0,           0,          30,       -5.32383023,      -4.467959237,      -4.499034858,      -3.284234951,      -11.77268502
          0,           0,          31,      -5.312338253,      -4.460327845,      -4.491857832,       -3.27261571,      -11.76985169
          0,           0,          32,      -5.300610323,       -4.45342738,      -4.484899816,      -3.260689426,      -11.76572363
          0,           0,          33,      -5.288591964,      -4.447211509,      -4.478282006,      -3.248411868,      -11.76035069
          0,           0,          34,      -5.276263783,      -4.441633259,      -4.472090116,      -3.235777747,      -11.75385844
          0,           0,          35,      -5.263654222,      -4.436641838,      -4.466367282,      -3.222831713,      -11.74649208
          0,           0,          36,      -5.250840556,       -4.43218321,      -4.461113731,      -3.209667116,      -11.73860226
          0,           0,          37,      -5.237933752,      -4.428202352,      -4.456286153,      -3.196408914,      -11.73043242
          0,           0,          38,      -5.225066807,      -4.424643059,      -4.451803154,      -3.183200732,      -11.72182789
          0,           0,          39,      -5.212379952,      -4.421444409,      -4.447549355,      -3.170189824,      -11.71297337
          0,           0,          40,      -5.200008215,      -4.418532112,      -4.443380503,      -3.157514841,      -11.70411672
          0,           0,          41,      -5.188074701,      -4.415807522,      -4.439130168,      -3.145299834,      -11.69541129
          0,           0,          42,      -5.176681979,       -4.41313722,      -4.434620081,      -3.133646316,      -11.68697654
          0,           0,          43,      -5.165904384,      -4.410347164,      -4.429673531,      -3.122626059,      -11.67892706
          0,           0,          44,      -5.155782114,      -4.407226174,       -4.42413425,      -3.112275638,      -11.67133656
          0,           0,          45,      -5.146318242,      -4.403540308,      -4.417885873,       -3.10259379,      -11.66421555
