"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.633245108626179e-05, 1.321711413818077e+00, 6.897586635136783e-01, 1.003431037338274e-01, 3.779762230732851e+00
1, 9.990000128750000e-01, -1.454737970309961e-04, 1.190813701981560e+00, 6.954146576119061e-01, 1.017570088929760e-01, 3.417374636734130e+00
2, 9.977599978450000e-01, -3.275234816517557e-04, 1.183075635725003e+00, 7.466284269201833e-01, 1.113782136091831e-01, 3.405106076464212e+00
3, 9.960200190539999e-01, -5.900140480879866e-04, 1.171000397429903e+00, 7.649180420000616e-01, 1.191365395620195e-01, 3.375354077365367e+00
4, 9.937800168990000e-01, -9.474083992429588e-04, 1.163921550697350e+00, 7.718321618343865e-01, 1.293548931883186e-01, 3.357452028311092e+00
5, 9.910500049590000e-01, -1.422961512825934e-03, 1.159091842619787e+00, 7.782476343521755e-01, 1.441287862987334e-01, 3.345869016993002e+00
6, 9.878399968150000e-01, -2.047479697255553e-03, 1.151892598775193e+00, 7.844080001816296e-01, 1.626122752568067e-01, 3.327946587577397e+00
7, 9.841300249100000e-01, -2.857513047536214e-03, 1.140988599554754e+00, 7.943469170290438e-01, 1.830350403584788e-01, 3.300806131873838e+00
8, 9.799500107769999e-01, -3.865506408172290e-03, 1.125017492675925e+00, 8.095596753160549e-01, 2.022617954107887e-01, 3.260987436841575e+00
9, 9.752799868580000e-01, -5.068621926140494e-03, 1.104029462648006e+00, 8.300873682540256e-01, 2.163593386809519e-01, 3.208600521823378e+00
10, 9.701499938960000e-01, -6.419846171100065e-03, 1.079207657081680e+00, 8.542750916235601e-01, 2.220679325519378e-01, 3.146516828281647e+00
11, 9.645400047300000e-01, -7.860469248151262e-03, 1.053173641660456e+00, 8.788499748469971e-01, 2.178403697970394e-01, 3.081174799150028e+00
12, 9.584699869160000e-01, -9.314967195821233e-03, 1.030404558326967e+00, 9.001647117810704e-01, 2.048666434172740e-01, 3.023919764539745e+00
13, 9.519400000570000e-01, -1.072807850967413e-02, 1.014681666673994e+00, 9.156776744845636e-01, 1.868876459364082e-01, 2.984386147455611e+00
14, 9.449599981310000e-01, -1.207232392844791e-02, 1.006982795377838e+00, 9.247791118380816e-01, 1.685720947672983e-01, 2.965068079352190e+00
15, 9.375399947170000e-01, -1.335296377551813e-02, 1.005445883294152e+00, 9.285213981665303e-01, 1.536071041166073e-01, 2.961225968117946e+00
16, 9.296900033950000e-01, -1.459846891111002e-02, 1.006967253594099e+00, 9.290087189787876e-01, 1.436399752908158e-01, 2.965034227960526e+00
17, 9.214000105860000e-01, -1.584846987186502e-02, 1.008757493344890e+00, 9.283698959904659e-01, 1.384104957676014e-01, 2.969483331744230e+00
18, 9.126999974250000e-01, -1.713150575295347e-02, 1.009087632376295e+00, 9.280991870545022e-01, 1.365278140283099e-01, 2.970229081865295e+00
19, 9.035800099370001e-01, -1.846987690306001e-02, 1.007400191633735e+00, 9.288512048715776e-01, 1.363756787739654e-01, 2.965871291461625e+00
20, 8.940600156780000e-01, -1.986826288881025e-02, 1.003910937488741e+00, 9.306868087711589e-01, 1.366594025287507e-01, 2.956962681312485e+00
21, 8.841500282290000e-01, -2.132292012483490e-02, 9.991558281207246e-01, 9.333090486689870e-01, 1.366072296544525e-01, 2.944849246277149e+00
22, 8.738499879840000e-01, -2.282637831526449e-02, 9.936933273874180e-01, 9.363381600146174e-01, 1.359214333470208e-01, 2.930931513271559e+00
23, 8.631799817090000e-01, -2.436698999410906e-02, 9.879682776354601e-01, 9.394833330350117e-01, 1.346183363847031e-01, 2.916334655934233e+00
24, 8.521599769590000e-01, -2.593433467561705e-02, 9.822295578863355e-01, 9.425421126686481e-01, 1.328470922352757e-01, 2.901680688655228e+00
25, 8.407700061800000e-01, -2.752557574436505e-02, 9.765763216640775e-01, 9.454455705510522e-01, 1.307843864397776e-01, 2.887223615585541e+00
26, 8.290500044819999e-01, -2.913115918375134e-02, 9.709977010731202e-01, 9.481823689133957e-01, 1.285521925357265e-01, 2.872934713931546e+00
27, 8.170099854470000e-01, -3.074689989050138e-02, 9.654396087899780e-01, 9.507874346942151e-01, 1.262172299239250e-01, 2.858680264501037e+00
28, 8.046399950980000e-01, -3.237159301200902e-02, 9.598415107455122e-01, 9.532704847573746e-01, 1.237926754318153e-01, 2.844300885311841e+00
29, 7.919700145720000e-01, -3.399861599512820e-02, 9.541807983749530e-01, 9.556570164031387e-01, 1.212597249834609e-01, 2.829742611626251e+00
30, 7.790099978450000e-01, -3.562368697969941e-02, 9.484498437074800e-01, 9.579704083819772e-01, 1.185940024388432e-01, 2.814991213419499e+00
31, 7.657799720760000e-01, -3.724086850780241e-02, 9.426171639287163e-01, 9.601916885726560e-01, 1.157630439066542e-01, 2.799956555922683e+00
32, 7.522799968720000e-01, -3.884632086946167e-02, 9.366562702732342e-01, 9.623218683196758e-01, 1.127473854930637e-01, 2.784568385606322e+00
33, 7.385200262070000e-01, -4.043469349151485e-02, 9.305994551584732e-01, 9.643609086629152e-01, 1.095377408686346e-01, 2.768913502357934e+00
34, 7.245299816130000e-01, -4.199832957619731e-02, 9.245189220578817e-01, 9.662793932411540e-01, 1.061300804812542e-01, 2.753176122727125e+00
35, 7.103199958800001e-01, -4.353200831485950e-02, 9.184780659213345e-01, 9.680544353741185e-01, 1.025309799750280e-01, 2.737518377793685e+00
36, 6.958900094030001e-01, -4.503171727615040e-02, 9.125365846059149e-01, 9.697018367690535e-01, 9.875942629418523e-02, 2.722103858555545e+00
37, 6.812700033190000e-01, -4.649060908304387e-02, 9.067069799389368e-01, 9.711762615567093e-01, 9.482901659006721e-02, 2.706951531238206e+00
38, 6.664699912070000e-01, -4.790438983212564e-02, 9.010436837926843e-01, 9.725087467870162e-01, 9.076892052589447e-02, 2.692215004992387e+00
39, 6.514999866490000e-01, -4.926918797614002e-02, 8.955783276229049e-01, 9.736917452783960e-01, 8.660540809952927e-02, 2.677975104814369e+00
40, 6.363800168040000e-01, -5.058075483728557e-02, 8.903483089554159e-01, 9.747206549983363e-01, 8.236641461582309e-02, 2.664328470467812e+00
41, 6.211299896240000e-01, -5.183553121921691e-02, 8.854108675425478e-01, 9.756169090014567e-01, 7.808240145751311e-02, 2.651432072161837e+00
42, 6.057599782940000e-01, -5.303139516293288e-02, 8.808140239849079e-01, 9.763690571551654e-01, 7.378037904041819e-02, 2.639407660377568e+00
