Point ID,Density,Energy,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
0,1.31123,3.75709,0.457227,0.730475,0.106106,0,0.738141,0.99975,-3.6329e-05,0,0.99975,1.41973,0.936902,1.08275,0.55709,0.0809204,0,0.562936
1,1.17237,3.37165,0.510463,0.725598,0.105295,0,0.733198,0.999,-0.000145254,0,0.999,1.25695,0.573555,1.07214,0.618913,0.0898137,0,0.625396
2,1.16002,3.34807,0.558226,0.781374,0.113206,0,0.789532,0.99776,-0.000325111,0,0.99776,1.23176,0.517313,1.06184,0.673586,0.0975898,0,0.680618
3,1.14202,3.30376,0.587649,0.807271,0.116695,0,0.815662,0.99602,-0.000576998,0,0.99602,1.20499,0.457569,1.05514,0.706881,0.102183,0,0.714229
4,1.12842,3.26944,0.606608,0.821703,0.118438,0,0.830194,0.99378,-0.000900437,0,0.99378,1.18562,0.414327,1.05069,0.72819,0.10496,0,0.735716
5,1.11872,3.24571,0.622931,0.835057,0.11994,0,0.843627,0.99105,-0.00129336,0,0.991051,1.17105,0.381799,1.04678,0.746443,0.107213,0,0.754104
6,1.10978,3.22341,0.636361,0.844991,0.120865,0,0.853591,0.98784,-0.00175361,0,0.987842,1.15805,0.352798,1.0435,0.761406,0.108909,0,0.769156
7,1.10188,3.20376,0.648438,0.853757,0.121541,0,0.862365,0.98413,-0.00228318,0,0.984133,1.14652,0.32706,1.04052,0.774818,0.110303,0,0.78263
8,1.0946,3.18561,0.659423,0.861436,0.121978,0,0.87003,0.97995,-0.00287683,0,0.979954,1.13594,0.303436,1.03776,0.786986,0.111436,0,0.794836
9,1.08782,3.16868,0.669595,0.868328,0.122225,0,0.876888,0.97528,-0.00353632,0,0.975286,1.1261,0.281478,1.03519,0.798226,0.112358,0,0.806095
10,1.08143,3.15271,0.679119,0.874586,0.122304,0,0.883096,0.97015,-0.00425627,0,0.970159,1.11686,0.260838,1.03275,0.808729,0.113094,0,0.816598
11,1.07536,3.13749,0.68812,0.880326,0.122236,0,0.888772,0.96454,-0.00503823,0,0.964553,1.10808,0.241255,1.03043,0.818637,0.11367,0,0.826491
12,1.06955,3.12292,0.696691,0.885643,0.122036,0,0.894012,0.95847,-0.00587808,0,0.958488,1.09971,0.22257,1.0282,0.828055,0.114101,0,0.835879
13,1.06396,3.10889,0.704886,0.890583,0.121715,0,0.898862,0.95194,-0.00677443,0,0.951964,1.09168,0.204645,1.02605,0.837046,0.114398,0,0.844827
14,1.05857,3.09535,0.712764,0.895208,0.121283,0,0.903387,0.94496,-0.00772447,0,0.944992,1.08395,0.187385,1.02397,0.845677,0.114573,0,0.853403
15,1.05336,3.08223,0.720356,0.899548,0.12075,0,0.907616,0.93754,-0.00872535,0,0.937581,1.07648,0.170719,1.02196,0.853983,0.114634,0,0.861643
16,1.04829,3.06947,0.727704,0.903639,0.120122,0,0.911589,0.92969,-0.00977422,0,0.929741,1.06925,0.154568,1.01999,0.862011,0.114588,0,0.869594
17,1.04336,3.05703,0.734839,0.907509,0.119408,0,0.915331,0.9214,-0.0108709,0,0.921464,1.06221,0.138861,1.01807,0.869796,0.114446,0,0.877293
18,1.03855,3.04489,0.741781,0.91118,0.118612,0,0.918867,0.9127,-0.0120097,0,0.912779,1.05536,0.123569,1.01619,0.87736,0.114209,0,0.884762
19,1.03384,3.03299,0.748544,0.914657,0.117739,0,0.922204,0.90358,-0.0131906,0,0.903676,1.04867,0.108639,1.01435,0.884719,0.113886,0,0.892019
20,1.02923,3.02134,0.755155,0.917978,0.116797,0,0.925378,0.89406,-0.0144092,0,0.894176,1.04214,0.0940529,1.01254,0.891904,0.113479,0,0.899094
21,1.02472,3.00991,0.76162,0.921142,0.115787,0,0.928391,0.88415,-0.0156627,0,0.884289,1.03574,0.0797794,1.01076,0.898921,0.112994,0,0.905995
22,1.02028,2.99865,0.767954,0.924152,0.114714,0,0.931244,0.87385,-0.0169496,0,0.874014,1.02946,0.0657641,1.009,0.905786,0.112435,0,0.912737
23,1.01591,2.98758,0.774185,0.927048,0.113585,0,0.933981,0.86318,-0.0182657,0,0.863373,1.0233,0.0520082,1.00727,0.912529,0.111806,0,0.919352
24,1.0116,2.97662,0.780315,0.929814,0.112397,0,0.936582,0.85216,-0.0196071,0,0.852386,1.01722,0.0384461,1.00556,0.919153,0.111108,0,0.925844
