Point ID,Density,Energy,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
35,0.983778,2.90532,0.818235,0.945692,0.0899908,0,0.949964,0.71032,-0.0314586,0,0.711016,0.978665,-0.0476239,0.994802,0.961287,0.0914747,0,0.965629
36,0.979694,2.89489,0.824008,0.947778,0.0884882,0,0.9519,0.69589,-0.0328191,0,0.696663,0.972975,-0.0603233,0.993142,0.967423,0.0903223,0,0.97163
37,0.975582,2.88436,0.829772,0.949767,0.0869108,0,0.953735,0.68127,-0.0341708,0,0.682126,0.967268,-0.0730632,0.991477,0.973539,0.0890861,0,0.977606
38,0.971465,2.87381,0.835559,0.951714,0.0852625,0,0.955525,0.66647,-0.0355112,0,0.667415,0.961556,-0.0858122,0.9898,0.979669,0.087767,0,0.983592
39,0.967321,2.86319,0.841372,0.953598,0.0835395,0,0.95725,0.6515,-0.0368378,0,0.652541,0.955819,-0.0986174,0.98811,0.985813,0.0863617,0,0.989589
40,0.963148,2.85248,0.847218,0.955424,0.0817398,0,0.958914,0.63638,-0.0381472,0,0.637522,0.950053,-0.111489,0.986404,0.99198,0.0848674,0,0.995604
41,0.958944,2.84169,0.853109,0.9572,0.0798618,0,0.960526,0.62113,-0.0394361,0,0.622381,0.944252,-0.124437,0.984679,0.998181,0.0832811,0,1.00165
42,0.954693,2.83076,0.859051,0.958916,0.0779018,0,0.962075,0.60576,-0.0407019,0,0.607126,0.9384,-0.1375,0.982933,1.00442,0.0815988,0,1.00773
43,0.950398,2.8197,0.865061,0.960587,0.0758576,0,0.963577,0.59028,-0.0419423,0,0.591768,0.932494,-0.150684,0.981161,1.01072,0.0798167,0,1.01387
44,0.946046,2.80849,0.871141,0.962201,0.0737237,0,0.965021,0.57471,-0.043154,0,0.576328,0.926522,-0.164013,0.979363,1.01708,0.0779282,0,1.02006
45,0.941644,2.79715,0.877296,0.963766,0.0714978,0,0.966414,0.55906,-0.0443344,0,0.560815,0.920491,-0.177475,0.977536,1.02349,0.0759287,0,1.02631
46,0.937193,2.78566,0.883515,0.965271,0.0691724,0,0.967746,0.54336,-0.0454797,0,0.54526,0.914405,-0.191061,0.975685,1.02996,0.0738081,0,1.0326
47,0.932707,2.77407,0.889785,0.966717,0.0667442,0,0.969018,0.52761,-0.0465881,0,0.529663,0.908281,-0.20473,0.973812,1.03646,0.0715597,0,1.03893
48,0.928173,2.76235,0.896116,0.968095,0.0642038,0,0.970222,0.51184,-0.0476559,0,0.514054,0.902104,-0.218517,0.971914,1.04301,0.0691722,0,1.0453
49,0.923548,2.75038,0.902585,0.969432,0.0615478,0,0.971384,0.49605,-0.0486812,0,0.498433,0.895813,-0.232559,0.969969,1.04968,0.0666428,0,1.0518
50,0.918763,2.73798,0.909277,0.970724,0.0587662,0,0.972501,0.48027,-0.0496602,0,0.482831,0.889317,-0.24706,0.967951,1.05656,0.0639624,0,1.05849
51,0.913811,2.72514,0.916196,0.971962,0.0558501,0,0.973566,0.46451,-0.0505906,0,0.467257,0.88261,-0.26203,0.965857,1.06364,0.0611178,0,1.06539
52,0.908842,2.71224,0.923141,0.973116,0.0527888,0,0.974546,0.44878,-0.0514697,0,0.451722,0.875896,-0.277019,0.963749,1.07072,0.0580835,0,1.07229
53,0.904121,2.69998,0.929795,0.974185,0.0495697,0,0.975445,0.43311,-0.0522939,0,0.436256,0.869514,-0.291264,0.961723,1.07749,0.0548264,0,1.07889
54,0.899605,2.68825,0.936186,0.975159,0.0461827,0,0.976252,0.4175,-0.0530613,0,0.420858,0.863415,-0.304878,0.959771,1.08399,0.0513367,0,1.0852
55,0.894643,2.67534,0.943171,0.976091,0.0426169,0,0.977021,0.40197,-0.0537687,0,0.40555,0.856739,-0.31978,0.957632,1.09104,0.0476356,0,1.09208
56,0.888495,2.65926,0.951609,0.976889,0.0388558,0,0.977661,0.38654,-0.0544131,0,0.390351,0.848548,-0.338063,0.955039,1.09949,0.0437321,0,1.10036
57,0.882507,2.64357,0.959832,0.97754,0.0348838,0,0.978162,0.37123,-0.0549914,0,0.375281,0.840592,-0.355822,0.952504,1.10768,0.0395281,0,1.10839
58,0.880406,2.63811,0.962885,0.977971,0.0306855,0,0.978452,0.35604,-0.0555015,0,0.36034,0.83776,-0.362143,0.951561,1.11082,0.0348538,0,1.11136
59,0.884753,2.64966,0.957484,0.978273,0.0262488,0,0.978625,0.34099,-0.0559402,0,0.345548,0.843372,-0.349616,0.953229,1.1057,0.0296679,0,1.1061
60,0.889954,2.66347,0.951043,0.978536,0.0215573,0,0.978773,0.32611,-0.0563045,0,0.330935,0.850096,-0.334607,0.955213,1.09953,0.024223,0,1.0998
61,0.879408,2.63562,0.96474,0.97879,0.0165939,0,0.978931,0.3114,-0.0565921,0,0.316501,0.836305,-0.36539,0.950987,1.11301,0.0188694,0,1.11317
62,0.837756,2.52548,1.02086,0.977603,0.0113209,0,0.977669,0.29687,-0.0568002,0,0.302255,0.782003,-0.4866,0.93345,1.16693,0.0135134,0,1.16701
63,0.787478,2.39261,1.09537,0.973438,0.00572928,0,0.973455,0.28255,-0.0569262,0,0.288227,0.716374,-0.633093,0.909707,1.23615,0.00727548,0,1.23617
