"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          54,      -6.721420255,      -6.817323547,       -6.96658913,      -6.803176908,      -6.111104885,      -11.52570859
          0,           0,          55,      -6.759275158,      -6.835474365,      -7.023288162,       -6.84871218,      -6.149473125,      -11.52308815
          0,           0,          56,      -6.796917645,      -6.850346135,       -7.07956886,      -6.892398813,      -6.187508467,       -11.5200064
          0,           0,          57,      -6.834308832,      -6.861545602,      -7.132041017,      -6.932725986,      -6.225272881,      -11.51672541
          0,           0,          58,       -6.87123059,      -6.868779041,      -7.177035551,      -6.968726479,      -6.262684548,      -11.51334258
          0,           0,          59,      -6.907263073,       -6.87198127,      -7.211630568,      -7.000126744,      -6.299442073,      -11.50989512
          0,           0,          60,       -6.94186766,      -6.871361989,      -7.234934585,      -7.027265104,      -6.335070206,      -11.50643787
          0,           0,          61,      -6.974531596,      -6.867409105,      -7.248662037,      -7.050887962,      -6.369037864,      -11.50304351
          0,           0,          62,      -7.004844901,      -6.860822212,      -7.256200771,      -7.071970183,      -6.400842774,      -11.49974687
          0,           0,          63,      -7.032559517,       -6.85240554,      -7.261263313,      -7.091512616,      -6.430105429,      -11.49655342
          0,           0,          64,      -7.057609239,      -6.842930785,      -7.266930744,      -7.110436127,      -6.456623829,      -11.49346306
          0,           0,          65,      -7.080058015,      -6.833038619,      -7.275321224,      -7.129515119,      -6.480351762,      -11.49050196
          0,           0,          66,      -7.100042503,      -6.823236846,      -7.287736264,      -7.149341413,      -6.501354161,      -11.48767546
          0,           0,          67,      -7.117775482,      -6.813928922,      -7.304826735,      -7.170286716,      -6.519816166,      -11.48505303
          0,           0,          68,      -7.133532061,      -6.805430503,      -7.326767922,      -7.192476016,      -6.536025202,      -11.48271021
          0,           0,          69,      -7.147642298,      -6.797988329,      -7.353397568,      -7.215809885,      -6.550355192,      -11.48071651
          0,           0,          70,      -7.160474435,      -6.791800439,      -7.384261624,      -7.240039345,      -6.563242127,      -11.47913482
          0,           0,          71,      -7.172378437,      -6.786984718,       -7.41867221,      -7.264801448,      -6.575106104,      -11.47803638
          0,           0,          72,      -7.183648329,      -6.783586396,      -7.455729394,      -7.289670903,       -6.58630799,      -11.47744362
          0,           0,          73,      -7.194469077,       -6.78155505,      -7.494380931,      -7.314237027,      -6.597079247,      -11.47737861
          0,           0,          74,      -7.204959945,      -6.780803815,      -7.533466332,      -7.338117426,       -6.60756896,      -11.47792473
          0,           0,          75,      -7.215157724,      -6.781218515,      -7.571808644,      -7.360982785,       -6.61782553,       -11.4791487
          0,           0,          76,      -7.225102613,      -6.782698927,      -7.608284363,      -7.382554587,      -6.627885381,      -11.48102482
          0,           0,          77,       -7.23484184,      -6.785138498,      -7.641821104,      -7.402602481,      -6.637783467,      -11.48351476
          0,           0,          78,      -7.244396941,      -6.788471231,      -7.671447306,      -7.420931354,      -6.647523298,      -11.48656984
          0,           0,          79,      -7.253849519,      -6.792587951,      -7.696168757,      -7.437299256,      -6.657163078,      -11.49009139
          0,           0,          80,      -7.263196512,      -6.797450637,      -7.715178324,      -7.451527029,      -6.666691217,      -11.49404738
          0,           0,          81,      -7.272529036,      -6.802965301,      -7.727776431,      -7.463363658,      -6.676181811,       -11.4984696
          0,           0,          82,      -7.281861414,      -6.809136136,      -7.733785509,      -7.472782337,      -6.685654215,      -11.50339407
          0,           0,          83,      -7.291292864,      -6.815932588,      -7.733479105,      -7.479760154,       -6.69520396,      -11.50880861
          0,           0,          84,      -7.300899711,      -6.823361142,      -7.727716033,      -7.484520756,      -6.704911708,      -11.51466607
          0,           0,          85,      -7.310707374,      -6.831376267,       -7.71773515,      -7.487312235,      -6.714795528,      -11.52089867
          0,           0,          86,      -7.320725432,      -6.839865195,      -7.704731852,      -7.488440324,       -6.72484898,      -11.52752037
          0,           0,          87,      -7.330844677,      -6.848743403,       -7.68998648,      -7.488296137,      -6.734962265,      -11.53444613
          0,           0,          88,      -7.341042783,      -6.857898815,      -7.674359773,       -7.48717853,      -6.745110139,      -11.54163565
          0,           0,          89,      -7.351242845,      -6.867298248,      -7.658646855,      -7.485459022,      -6.755232461,      -11.54900236
          0,           0,          90,      -7.361483056,      -6.876903497,      -7.643238838,      -7.483379452,      -6.765376174,      -11.55655735
          0,           0,          91,      -7.371736491,       -6.88671321,      -7.628433534,      -7.481175743,      -6.775529829,      -11.56429279
          0,           0,          92,      -7.382037776,      -6.896718139,      -7.614297645,      -7.478956416,      -6.785736046,      -11.57221682
          0,           0,          93,      -7.392371604,      -6.906917344,      -7.600840096,      -7.476773249,      -6.795989078,       -11.5803097
          0,           0,          94,      -7.402740466,      -6.917301558,      -7.587981807,      -7.474581901,       -6.80629528,       -11.5885523
          0,           0,          95,      -7.413140001,       -6.92786791,      -7.575631484,      -7.472308686,      -6.816656412,      -11.59692707
          0,           0,          96,      -7.423552002,      -6.938601103,      -7.563694492,      -7.469838162,      -6.827054016,      -11.60541947
          0,           0,          97,      -7.433979992,      -6.949494546,      -7.552087582,      -7.467068381,      -6.837495957,      -11.61402782
          0,           0,          98,       -7.44439273,       -6.96052767,      -7.540762419,      -7.463902372,      -6.847946997,      -11.62274616
          0,           0,          99,      -7.454798125,      -6.971691401,      -7.529690613,      -7.460282956,      -6.858418547,      -11.63158053
          0,           0,         100,      -7.465158127,      -6.982962455,      -7.518886082,      -7.456182241,      -6.868866579,      -11.64052145
          0,           0,         101,      -7.475479154,      -6.994333993,      -7.508375919,      -7.451626865,       -6.87930016,      -11.64957355
          0,           0,         102,      -7.485737577,      -7.005787612,      -7.498212369,      -7.446671508,      -6.889689437,      -11.65873265
          0,           0,         103,      -7.495950355,      -7.017319044,      -7.488454658,      -7.441406121,      -6.900053185,      -11.66799777
          0,           0,         104,      -7.506099616,      -7.028915389,      -7.479170173,      -7.435935315,      -6.910367712,      -11.67736306
          0,           0,         105,      -7.516200532,      -7.040574057,      -7.470417445,      -7.430377704,      -6.920647717,      -11.68682559
          0,           0,         106,      -7.526244052,      -7.052286399,      -7.462256212,      -7.424852496,      -6.930879487,      -11.69637712
          0,           0,         107,      -7.536239917,      -7.064046019,      -7.454728622,      -7.419467812,      -6.941069914,      -11.70601554
          0,           0,         108,      -7.546184542,      -7.075845316,      -7.447873232,      -7.414324146,      -6.951213112,      -11.71572516
          0,           0,         109,      -7.556082955,      -7.087675556,      -7.441710167,      -7.409501522,      -6.961309523,      -11.72550262
          0,           0,         110,      -7.565937675,      -7.099529247,      -7.436255516,      -7.405074104,      -6.971362729,      -11.73533981
          0,           0,         111,      -7.575744153,      -7.111391479,      -7.431506087,      -7.401084314,      -6.981362123,      -11.74522891
          0,           0,         112,      -7.585504208,      -7.123257418,      -7.427459822,      -7.397575532,      -6.991313551,       -11.7551614
          0,           0,         113,      -7.595209885,      -7.135111152,      -7.424096271,      -7.394560228,      -7.001202145,      -11.76513049
          0,           0,         114,      -7.604864969,      -7.146949807,       -7.42139848,      -7.392057222,      -7.011038331,        -11.775128
          0,           0,         115,      -7.614464932,      -7.158760392,      -7.419328686,      -7.390057237,      -7.020810921,      -11.78514749
          0,           0,         116,      -7.624012594,      -7.170541123,      -7.417856756,      -7.388558069,      -7.030530877,      -11.79518221
          0,           0,         117,      -7.633502482,      -7.182279351,      -7.416945468,       -7.38753625,      -7.040186265,      -11.80522766
          0,           0,         118,      -7.642941055,      -7.193979223,      -7.416571496,      -7.386985512,      -7.049792338,      -11.81527842
          0,           0,         119,      -7.652327155,      -7.205633086,      -7.416698001,      -7.386877619,      -7.059341734,        -11.825332
          0,           0,         120,      -7.661667292,      -7.217245109,      -7.417299938,      -7.387200094,      -7.068849475,      -11.83538516
          0,           0,         121,      -7.670957693,      -7.228806503,      -7.418338216,      -7.387920897,      -7.078305565,      -11.84543718
          0,           0,         122,      -7.680202294,       -7.24032304,      -7.419786996,       -7.38902456,      -7.087721826,      -11.85548575
          0,           0,         123,      -7.689401719,       -7.25178968,      -7.421608918,      -7.390479013,      -7.097092837,      -11.86553151
          0,           0,         124,      -7.698559923,      -7.263213718,      -7.423782016,      -7.392268775,      -7.106429425,      -11.87557271
          0,           0,         125,      -7.707682997,      -7.274591885,      -7.426272966,      -7.394364346,       -7.11573259,      -11.88561103
          0,           0,         126,      -7.716776941,      -7.285931002,      -7.429063418,      -7.396752539,      -7.125015138,      -11.89564558
          0,           0,         127,      -7.725843163,      -7.297228698,      -7.432123447,       -7.39940595,      -7.134272425,      -11.90567918
          0,           0,         128,       -7.73488443,      -7.308492076,      -7.435438811,        -7.4023141,       -7.14351348,      -11.91571172
          0,           0,         129,      -7.743901866,      -7.319718469,      -7.438983118,      -7.405452493,      -7.152733562,      -11.92574655
          0,           0,         130,      -7.752898343,      -7.330913893,       -7.44274603,      -7.408813229,      -7.161941587,       -11.9357836
          0,           0,         131,      -7.761875459,      -7.342075812,      -7.446704171,      -7.412374083,      -7.171133151,       -11.9458261
          0,           0,         132,      -7.770834822,      -7.353210086,      -7.450849676,      -7.416128696,      -7.180315668,      -11.95587331
          0,           0,         133,      -7.779776513,      -7.364313394,      -7.455160707,      -7.420056197,      -7.189483121,      -11.96592797
          0,           0,         134,      -7.788701547,      -7.375391777,      -7.459631875,      -7.424152035,      -7.198642295,      -11.97598859
          0,           0,         135,      -7.797609846,      -7.386442109,       -7.46424345,      -7.428397178,      -7.207786931,      -11.98606046
          0,           0,         136,      -7.806501856,      -7.397470669,      -7.468992358,      -7.432789613,      -7.216923336,       -11.9961403
          0,           0,         137,      -7.815376974,      -7.408474272,      -7.473859856,      -7.437311928,      -7.226044546,      -12.00622697
          0,           0,         138,      -7.824234835,      -7.419458515,      -7.478845577,       -7.44196353,      -7.235156027,      -12.01632123
          0,           0,         139,      -7.833080139,      -7.430421514,      -7.483934074,       -7.44672856,      -7.244256262,      -12.02642647
          0,           0,         140,      -7.841912464,      -7.441369151,      -7.489127653,      -7.451608112,      -7.253350875,      -12.03654128
          0,           0,         141,      -7.850732745,       -7.45229713,      -7.494411302,      -7.456587367,      -7.262434183,      -12.04666923
          0,           0,         142,      -7.859539818,      -7.463210559,        -7.4997891,       -7.46166942,       -7.27151136,      -12.05680844
          0,           0,         143,       -7.86833532,      -7.474105872,      -7.505246789,      -7.466840408,      -7.280577275,      -12.06696195
          0,           0,         144,      -7.877117947,      -7.484988437,      -7.510790152,      -7.472105185,      -7.289637217,      -12.07713142
          0,           0,         145,      -7.885890293,      -7.495854847,      -7.516405732,      -7.477450558,      -7.298686771,      -12.08731531
          0,           0,         146,      -7.894650779,        -7.5067104,      -7.522101281,       -7.48288272,      -7.307731222,      -12.09751256
          0,           0,         147,      -7.903400436,      -7.517550928,      -7.527863475,      -7.488388911,       -7.31676408,      -12.10772758
          0,           0,         148,      -7.912137439,      -7.528381865,      -7.533701644,      -7.493976819,      -7.325790663,      -12.11795742
          0,           0,         149,      -7.920864651,      -7.539198796,      -7.539602546,      -7.499633901,      -7.334806297,      -12.12820613
          0,           0,         150,      -7.929578591,      -7.550006333,       -7.54557607,      -7.505368091,      -7.343814857,      -12.13847094
          0,           0,         151,      -7.938281652,      -7.560799314,      -7.551608172,      -7.511166246,       -7.35281066,      -12.14875637
          0,           0,         152,      -7.946969232,      -7.571582962,      -7.557710205,      -7.517037705,        -7.3617967,      -12.15905914
          0,           0,         153,      -7.955637535,       -7.58235235,      -7.563868264,      -7.522969792,      -7.370760039,      -12.16938418
          0,           0,         154,      -7.964297615,      -7.593111131,      -7.570094128,      -7.528973093,      -7.379721644,      -12.17972794
          0,           0,         155,      -7.972955317,      -7.603854074,      -7.576372368,      -7.535032867,      -7.388679149,      -12.19009496
          0,           0,         156,      -7.981610005,      -7.614587527,      -7.582715305,      -7.541159188,      -7.397640905,      -12.20048071
          0,           0,         157,      -7.990266168,      -7.625307434,      -7.589106259,      -7.547338292,      -7.406603236,      -12.21088938
          0,           0,         158,      -7.998918298,      -7.636019236,      -7.595557391,      -7.553581434,      -7.415570144,      -12.22131485
          0,           0,         159,      -8.007567499,      -7.646717195,       -7.60205088,      -7.559873372,       -7.42453354,      -12.23176053
          0,           0,         160,      -8.016207809,      -7.657406981,      -7.608599663,      -7.566224948,      -7.433496509,      -12.24221957
          0,           0,         161,      -8.024843706,       -7.66808461,      -7.615185093,      -7.572620088,      -7.442453806,      -12.25269578
          0,           0,         162,       -8.03347227,      -7.678758029,      -7.621821308,      -7.579070286,      -7.451412137,      -12.26318252
          0,           0,         163,      -8.042099202,       -7.68942403,      -7.628489358,      -7.585559171,      -7.460367341,      -12.27368483
          0,           0,         164,      -8.050720648,      -7.700089749,      -7.635204659,      -7.592099131,       -7.46932555,       -12.2841967
          0,           0,         165,      -8.059339488,      -7.710750526,      -7.641947809,       -7.59867328,      -7.478278929,      -12.29472649
          0,           0,         166,      -8.067950746,      -7.721411713,       -7.64873536,      -7.605294418,       -7.48723278,      -12.30526479
          0,           0,         167,      -8.076557492,      -7.732067121,      -7.655547737,      -7.611945147,      -7.496179087,      -12.31581812
