"PointID","x","y"
0, 9.997500181200000e-01, -3.632690632785081e-05
1, 9.990000128750000e-01, -1.451237726171092e-04
2, 9.977599978450000e-01, -3.236859953012396e-04
3, 9.960200190539999e-01, -5.693066428987305e-04
4, 9.937800168990000e-01, -8.726660157089483e-04
5, 9.910500049590000e-01, -1.216694695325772e-03
6, 9.878399968150000e-01, -1.579601399624654e-03
7, 9.841300249100000e-01, -1.942669333776378e-03
8, 9.799500107769999e-01, -2.289662005617491e-03
9, 9.752799868580000e-01, -2.624202963482727e-03
10, 9.701499938960000e-01, -2.964393233801282e-03
11, 9.645400047300000e-01, -3.346182371209917e-03
12, 9.584699869160000e-01, -3.806621155382352e-03
13, 9.519400000570000e-01, -4.375505784331777e-03
14, 9.449599981310000e-01, -5.064601383123124e-03
15, 9.375399947170000e-01, -5.866951974371057e-03
16, 9.296900033950000e-01, -6.762442558282624e-03
17, 9.214000105860000e-01, -7.728839026900860e-03
18, 9.126999974250000e-01, -8.742365076334194e-03
19, 9.035800099370001e-01, -9.791095349583053e-03
20, 8.940600156780000e-01, -1.086726979719231e-02
21, 8.841500282290000e-01, -1.196992004367658e-02
22, 8.738499879840000e-01, -1.310198734506410e-02
23, 8.631799817090000e-01, -1.426463794543967e-02
24, 8.521599769590000e-01, -1.545813587334839e-02
25, 8.407700061800000e-01, -1.668562553973527e-02
26, 8.290500044819999e-01, -1.794247137331604e-02
27, 8.170099854470000e-01, -1.922636246410412e-02
28, 8.046399950980000e-01, -2.053657613868857e-02
29, 7.919700145720000e-01, -2.186792021027601e-02
30, 7.790099978450000e-01, -2.321729518117226e-02
31, 7.657799720760000e-01, -2.458058813331197e-02
32, 7.522799968720000e-01, -2.595578279625752e-02
33, 7.385200262070000e-01, -2.733983407421161e-02
34, 7.245299816130000e-01, -2.872771506612365e-02
35, 7.103199958800001e-01, -3.011641101456134e-02
36, 6.958900094030001e-01, -3.150386123273091e-02
37, 6.812700033190000e-01, -3.288511283512045e-02
38, 6.664699912070000e-01, -3.425718822642013e-02
39, 6.514999866490000e-01, -3.561713502930065e-02
40, 6.363800168040000e-01, -3.696116251970825e-02
41, 6.211299896240000e-01, -3.828563007382522e-02
42, 6.057599782940000e-01, -3.958787832699245e-02
43, 5.902799963950000e-01, -4.086533847533108e-02
44, 5.747100114820000e-01, -4.211474269494416e-02
45, 5.590599775310000e-01, -4.333377288624636e-02
46, 5.433599948880000e-01, -4.451869956899562e-02
47, 5.276100039480000e-01, -4.566823325887243e-02
48, 5.118399858470000e-01, -4.677897111057322e-02
49, 4.960500001910000e-01, -4.784975668731199e-02
50, 4.802699983120000e-01, -4.887745095648916e-02
51, 4.645099937920000e-01, -4.986035645432279e-02
52, 4.487800002100000e-01, -5.079676129594287e-02
53, 4.331099987030000e-01, -5.168381102727698e-02
54, 4.174999892710000e-01, -5.252038578978129e-02
55, 4.019699990750000e-01, -5.330417264876798e-02
56, 3.865399956700000e-01, -5.403287206336974e-02
57, 3.712300062180000e-01, -5.470417796501079e-02
58, 3.560400009160000e-01, -5.531654338397083e-02
59, 3.409900069240000e-01, -5.586740326300843e-02
60, 3.261100053790000e-01, -5.635384666772623e-02
61, 3.113999962810000e-01, -5.677388664934175e-02
62, 2.968699932100000e-01, -5.712494422793885e-02
63, 2.825500071050000e-01, -5.740388175960105e-02
64, 2.684499919410000e-01, -5.760798547558287e-02
65, 2.545700073240000e-01, -5.773441156705951e-02
66, 2.409400045870000e-01, -5.777987873423904e-02
67, 2.275699973110000e-01, -5.774128218110627e-02
68, 2.144699990750000e-01, -5.761536256387768e-02
69, 2.016600072380000e-01, -5.739892313501670e-02
70, 1.891400069000000e-01, -5.708838236875541e-02
71, 1.769299954180000e-01, -5.668048050715143e-02
72, 1.650400012730000e-01, -5.617176573201169e-02
73, 1.534900069240000e-01, -5.555932901603201e-02
74, 1.422899961470000e-01, -5.484000977297596e-02
75, 1.314399987460000e-01, -5.400989459618317e-02
76, 1.209499984980000e-01, -5.306558832759690e-02
77, 1.108499988910000e-01, -5.200602905813308e-02
78, 1.011300012470000e-01, -5.082643880224049e-02
79, 9.181000292300000e-02, -4.952536040242760e-02
80, 8.290000259900000e-02, -4.810070040503932e-02
81, 7.440000027400000e-02, -4.654884629543122e-02
82, 6.633000075800000e-02, -4.487009448170879e-02
83, 5.869000032500000e-02, -4.306140803498057e-02
84, 5.149000138000000e-02, -4.112212681342550e-02
85, 4.473999887700000e-02, -3.905246284713824e-02
86, 3.844000026600000e-02, -3.685006320865059e-02
87, 3.260000050100000e-02, -3.451627457592602e-02
88, 2.723000012300000e-02, -3.205407680471037e-02
89, 2.232000045500000e-02, -2.945739306220135e-02
90, 1.789999939500000e-02, -2.674258577131463e-02
91, 1.394999958600000e-02, -2.389886348886883e-02
92, 1.049000024800000e-02, -2.094249365038314e-02
93, 7.519999985000000e-03, -1.787987578619644e-02
94, 5.040000193000000e-03, -1.471930754006605e-02
95, 3.049999941000000e-03, -1.147117457814766e-02
96, 1.560000004000000e-03, -8.173249763117570e-03
97, 5.600000150000000e-04, -4.831959107985124e-03
98, 5.999999800000000e-05, -1.523325102711059e-03
99, 0.000000000000000e+00, 0.000000000000000e+00
100, 5.999999800000000e-05, 1.561657074376719e-03
101, 5.600000150000000e-04, 4.967638857004344e-03
102, 1.560000004000000e-03, 8.376496462900881e-03
103, 3.049999941000000e-03, 1.169474819686639e-02
104, 5.040000193000000e-03, 1.491005783766459e-02
105, 7.519999985000000e-03, 1.798314007908281e-02
106, 1.049000024800000e-02, 2.090472943692490e-02
107, 1.394999958600000e-02, 2.366918492154437e-02
108, 1.789999939500000e-02, 2.627386616340466e-02
109, 2.232000045500000e-02, 2.870837665203561e-02
110, 2.723000012300000e-02, 3.098747003106867e-02
111, 3.260000050100000e-02, 3.310237312763024e-02
112, 3.844000026600000e-02, 3.506448340355028e-02
113, 4.473999887700000e-02, 3.687764511199569e-02
114, 5.149000138000000e-02, 3.854743315169687e-02
115, 5.869000032500000e-02, 4.008258555467774e-02
116, 6.633000075800000e-02, 4.148986915782759e-02
117, 7.440000027400000e-02, 4.277682496526240e-02
118, 8.290000259900000e-02, 4.395279985039925e-02
119, 9.181000292300000e-02, 4.502454749869750e-02
120, 1.011300012470000e-01, 4.600166762665640e-02
121, 1.108499988910000e-01, 4.689245195770286e-02
122, 1.209499984980000e-01, 4.770448896573624e-02
123, 1.314399987460000e-01, 4.844766313173365e-02
124, 1.422899961470000e-01, 4.912867453517452e-02
125, 1.534900069240000e-01, 4.975564184662344e-02
