"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , -0.326199       , 0.001           
1               , -0.166911       , 0.001           
2               , -0.0450577      , 0.001           
3               , 0.0340324       , 0.001           
4               , 0.0749127       , 0.001           
5               , 0.0856262       , 0.001           
6               , 0.0764735       , 0.001           
7               , 0.0586716       , 0.001           
8               , 0.0422785       , 0.001           
9               , 0.0338775       , 0.001           
10              , 0.0350903       , 0.001           
11              , 0.0429854       , 0.001           
12              , 0.0525897       , 0.001           
13              , 0.0602267       , 0.001           
14              , 0.065421        , 0.001           
15              , 0.070085        , 0.001           
16              , 0.0764673       , 0.001           
17              , 0.0869214       , 0.001           
18              , 0.112439        , 0.001           
19              , -0.426258       , 0.001           
20              , -0.0883976      , 0.001           
21              , 0.112969        , 0.001           
22              , 0.202328        , 0.001           
23              , 0.211496        , 0.001           
24              , 0.169659        , 0.001           
25              , 0.100333        , 0.001           
26              , 0.0200707       , 0.001           
27              , -0.0613954      , 0.001           
28              , -0.139402       , 0.001           
29              , -0.210948       , 0.001           
30              , -0.270023       , 0.001           
31              , -0.303418       , 0.001           
32              , -0.291698       , 0.001           
33              , -0.223331       , 0.001           
34              , -0.123916       , 0.001           
35              , -0.064374       , 0.001           
36              , -0.0786133      , 0.001           
37              , -0.117204       , 0.001           
