"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    
          0,           0,           0,      -5.636467632,      -5.384380613,      -5.537344143,      -5.502058847
          0,           0,           1,      -5.343543102,      -5.285927476,      -5.244144842,      -5.695729232
          0,           0,           2,      -5.078114021,      -5.049111493,      -5.102493213,      -5.565670372
          0,           0,           3,      -4.962958159,      -4.930686237,      -5.038716747,      -5.485263767
          0,           0,           4,      -4.945943306,      -4.916843765,      -5.063319022,      -5.488185733
          0,           0,           5,       -4.96291568,      -4.932711772,      -5.115413707,      -5.506186776
          0,           0,           6,      -4.994067807,      -4.952905125,      -5.156936644,      -5.546509661
          0,           0,           7,      -5.020447503,      -4.961598228,      -5.194732951,      -5.578958664
          0,           0,           8,      -5.039963448,      -4.962564021,      -5.241308332,      -5.604470449
          0,           0,           9,      -5.052126916,      -4.959064908,      -5.301107897,      -5.639049538
          0,           0,          10,      -5.061543775,      -4.957531178,      -5.359346915,      -5.670926434
          0,           0,          11,      -5.076589702,       -4.96400899,      -5.393440176,      -5.696672799
          0,           0,          12,      -5.093794422,      -4.973702896,      -5.413500312,      -5.717277686
          0,           0,          13,      -5.107997978,       -4.98166578,      -5.439044541,      -5.733843746
          0,           0,          14,       -5.12090817,      -4.989177796,      -5.466599702,      -5.747248131
          0,           0,          15,      -5.136671064,      -4.998868182,      -5.484961019,      -5.757980099
          0,           0,          16,      -5.156860856,      -5.010304629,      -5.495081009,      -5.766071863
          0,           0,          17,      -5.180424136,      -5.020846682,      -5.504456384,      -5.771471436
          0,           0,          18,      -5.205396992,      -5.028120374,      -5.517196716,      -5.774750255
          0,           0,          19,      -5.229875426,      -5.031202136,      -5.534050492,      -5.777179706
          0,           0,          20,      -5.252422991,      -5.030628127,      -5.554753601,       -5.78020727
          0,           0,          21,      -5.272364477,       -5.02796006,      -5.578553406,      -5.785027027
          0,           0,          22,      -5.289902236,      -5.025210342,      -5.604164547,      -5.792497882
          0,           0,          23,      -5.306034316,      -5.024378078,      -5.630260941,       -5.80342601
          0,           0,          24,      -5.322554029,       -5.02736059,      -5.656720654,      -5.819961684
          0,           0,          25,      -5.341531316,      -5.035642815,      -5.690823233,      -5.851960727
          0,           0,          26,      -5.354299614,      -5.043053931,      -5.725561136,      -5.864871732
          0,           0,          27,      -5.372743567,       -5.05826877,      -5.731448221,      -5.875908937
          0,           0,          28,      -5.393049595,      -5.077555012,      -5.751013107,       -5.89813943
          0,           0,          29,      -5.419649931,      -5.103272241,      -5.778693017,        -5.9238694
          0,           0,          30,      -5.454135225,      -5.136748699,       -5.80827888,      -5.958678168
          0,           0,          31,      -5.494922305,      -5.176471745,      -5.844140197,      -5.998868529
          0,           0,          32,      -5.539919216,      -5.221171682,      -5.888025016,       -6.04255503
          0,           0,          33,      -5.588265256,      -5.270228065,      -5.936795861,      -6.089525496
          0,           0,          34,       -5.63928304,      -5.323157113,      -5.987138247,      -6.139664939
          0,           0,          35,      -5.691680397,      -5.379196462,      -6.038583772,      -6.192763428
          0,           0,          36,      -5.743940418,      -5.437297069,      -6.091384355,        -6.2479349
          0,           0,          37,      -5.794602226,      -5.496249121,      -6.144889132,      -6.304008511
          0,           0,          38,      -5.842278722,      -5.554685371,       -6.19802965,      -6.360049296
          0,           0,          39,      -5.885811954,       -5.61104218,      -6.249107686,      -6.415236638
          0,           0,          40,      -5.924401082,       -5.66333832,      -6.294104121,      -6.466991344
          0,           0,          41,      -5.957702452,      -5.708979576,      -6.329781742,      -6.510081529
          0,           0,          42,      -5.986348943,      -5.746167167,      -6.360355123,      -6.544767084
          0,           0,          43,      -6.010456363,      -5.773897834,      -6.386688117,      -6.572049816
          0,           0,          44,      -6.029355471,      -5.791656606,      -6.401818352,      -6.588466774
          0,           0,          45,       -6.04434189,      -5.801546567,       -6.40438313,      -6.595210989
          0,           0,          46,      -6.058321753,      -5.807474849,      -6.402932717,      -6.599007283
          0,           0,          47,      -6.073415085,      -5.812345843,      -6.403880201,      -6.602053018
          0,           0,          48,       -6.09095579,      -5.818226543,      -6.407975237,       -6.60567847
          0,           0,          49,      -6.110763059,      -5.825939551,       -6.41489567,      -6.611624359
