"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.172953749,      -13.62396324,      -13.67460059,      -2.125246317,      -9.859844554
          0,           0,           1,      -4.347610672,      -4.153596144,      -3.524045489,      -2.295984989,      -10.20499952
          0,           0,           2,      -4.875858178,      -4.550728362,      -4.098186786,      -2.829352265,      -10.63823156
          0,           0,           3,      -5.015088988,      -4.669231884,       -4.19500208,       -2.96793955,      -11.01212972
          0,           0,           4,      -5.062162417,      -4.736272789,      -4.242985312,      -3.014718741,      -11.15165353
          0,           0,           5,      -5.091684534,      -4.785003465,      -4.272135987,       -3.04423382,      -11.23576799
          0,           0,           6,      -5.112758904,      -4.820817952,      -4.292593663,      -3.065282734,      -11.29722367
          0,           0,           7,      -5.127594338,      -4.844537824,      -4.306474873,      -3.080083859,      -11.35733653
          0,           0,           8,      -5.136697067,      -4.855719768,      -4.314043407,      -3.089151808,      -11.39901311
          0,           0,           9,      -5.140053906,      -4.852627021,      -4.315037463,      -3.092473981,      -11.43079447
          0,           0,          10,      -5.137742299,      -4.833681824,      -4.309452118,       -3.09013549,      -11.45730543
          0,           0,          11,      -5.130346979,      -4.799365623,      -4.297999949,      -3.082734744,      -11.48089557
          0,           0,          12,      -5.119045905,      -4.753004485,      -4.282182265,      -3.071462393,      -11.49670473
          0,           0,          13,      -5.105385306,      -4.699742042,      -4.263955383,      -3.057870339,      -11.50754408
          0,           0,          14,       -5.09092197,      -4.644605735,      -4.245242209,      -3.043512023,      -11.51507237
          0,           0,          15,      -5.076917154,      -4.591256593,      -4.227537399,      -3.029638488,      -11.52164308
          0,           0,          16,      -5.064206119,      -4.541808598,      -4.211745068,      -3.017070762,      -11.52735285
          0,           0,          17,       -5.05319356,      -4.497140416,      -4.198211594,      -3.006198859,      -11.53152146
          0,           0,          18,      -5.043928247,      -4.457316321,      -4.186870017,      -2.997059864,       -11.5346464
          0,           0,          19,      -5.036202353,      -4.421954669,      -4.177410966,       -2.98943957,      -11.53704095
          0,           0,          20,      -5.029646475,      -4.390500434,      -4.169431115,      -2.982967973,       -11.5388476
          0,           0,          21,      -5.023836789,      -4.362400247,      -4.162539059,      -2.977225646,      -11.54031834
          0,           0,          22,      -5.018373518,      -4.337179704,      -4.156422327,      -2.971819439,      -11.54108948
          0,           0,          23,      -5.012956431,      -4.314456276,      -4.150850067,      -2.966455154,      -11.54093703
          0,           0,          24,      -5.007409565,      -4.293918078,      -4.145669184,      -2.960960108,      -11.53974537
          0,           0,          25,       -5.00168873,      -4.275294892,      -4.140777871,      -2.955289277,      -11.53769741
          0,           0,          26,      -4.995832052,      -4.258336555,      -4.136113616,      -2.949476244,      -11.53494539
          0,           0,          27,      -4.989928566,      -4.242811983,      -4.131637336,      -2.943603195,      -11.53165884
          0,           0,          28,      -4.984067717,      -4.228513724,      -4.127330194,       -2.93775174,       -11.5280242
          0,           0,          29,      -4.978309691,      -4.215269973,      -4.123189211,       -2.93197508,      -11.52404154
          0,           0,          30,      -4.972668361,      -4.202951903,      -4.119226471,      -2.926282299,      -11.51970306
          0,           0,          31,      -4.967101587,      -4.191470727,      -4.115470871,      -2.920629215,      -11.51482844
          0,           0,          32,      -4.961527506,      -4.180770677,      -4.111961027,      -2.914935324,      -11.50942201
          0,           0,          33,      -4.955843969,      -4.170815196,      -4.108736911,      -2.909103152,      -11.50345852
          0,           0,          34,      -4.949950919,      -4.161574542,      -4.105829015,       -2.90304022,      -11.49693022
          0,           0,          35,      -4.943773382,       -4.15301763,      -4.103250523,      -2.896680872,      -11.48986507
          0,           0,          36,       -4.93727245,      -4.145108907,      -4.100991604,      -2.889995982,      -11.48232577
          0,           0,          37,      -4.930445354,      -4.137809911,       -4.09901689,      -2.882991773,      -11.47442708
          0,           0,          38,      -4.923319879,      -4.131082259,      -4.097270038,      -2.875702987,      -11.46621317
          0,           0,          39,      -4.915944996,       -4.12489039,      -4.095680041,       -2.86818288,         -11.45769
          0,           0,          40,      -4.908378982,      -4.119201575,      -4.094169339,      -2.860491345,      -11.44894278
          0,           0,          41,      -4.900681921,      -4.113983014,      -4.092662694,      -2.852687872,      -11.44004147
          0,           0,          42,      -4.892910489,      -4.109196416,      -4.091093811,      -2.844827048,      -11.43101297
          0,           0,          43,      -4.885116537,      -4.104791836,      -4.089408594,      -2.836957872,      -11.42184179
          0,           0,          44,      -4.877346849,      -4.100703049,      -4.087566781,      -2.829124124,      -11.41253574
          0,           0,          45,      -4.869642844,      -4.096845619,      -4.085540322,       -2.82136447,      -11.40309775
          0,           0,          46,      -4.862040341,      -4.093118724,      -4.083312099,       -2.81371242,      -11.39350954
          0,           0,          47,      -4.854569159,      -4.089411024,      -4.080874168,      -2.806195897,      -11.38376095
          0,           0,          48,      -4.847252802,       -4.08561006,      -4.078226779,       -2.79883683,      -11.37384591
          0,           0,          49,      -4.840108328,      -4.081613329,      -4.075378136,      -2.791650972,       -11.3637559
          0,           0,          50,      -4.833146104,      -4.077339283,      -4.072343324,      -2.784647638,      -11.35348682
          0,           0,          51,      -4.826369938,      -4.072732581,      -4.069143025,      -2.777829749,      -11.34306054
          0,           0,          52,      -4.819777341,      -4.067769686,      -4.065800516,      -2.771194115,      -11.33247129
          0,           0,          53,      -4.813359745,      -4.062458489,      -4.062339666,      -2.764731748,      -11.32170891
          0,           0,          54,      -4.807103125,      -4.056832563,      -4.058781128,      -2.758428453,      -11.31080812
          0,           0,          55,      -4.800988822,      -4.050943172,      -4.055140063,      -2.752265636,      -11.29976941
          0,           0,          56,      -4.794994813,      -4.044851672,      -4.051424577,      -2.746221577,      -11.28858983
          0,           0,          57,      -4.789097286,      -4.038618117,      -4.047635012,      -2.740272953,      -11.27731264
          0,           0,          58,      -4.783273055,      -4.032296789,      -4.043764423,      -2.734397168,      -11.26594595
          0,           0,          59,      -4.777501086,       -4.02593212,      -4.039801044,       -2.72857388,      -11.25448893
          0,           0,          60,      -4.771764606,      -4.019556096,      -4.035729578,      -2.722787089,      -11.24303742
          0,           0,          61,      -4.766052455,      -4.013189405,      -4.031532382,      -2.717026417,      -11.23161359
          0,           0,          62,      -4.760359312,      -4.006839183,      -4.027192061,      -2.711287316,      -11.22021688
          0,           0,          63,      -4.754685705,       -4.00050495,      -4.022692431,      -2.705571014,      -11.20889813
          0,           0,          64,      -4.749037013,      -3.994181294,      -4.018019025,      -2.699883531,      -11.19768045
          0,           0,          65,      -4.743422633,      -3.987860021,      -4.013159498,      -2.694234824,      -11.18658175
          0,           0,          66,      -4.737854689,      -3.981531218,      -4.008105734,      -2.688637532,      -11.17558102
          0,           0,          67,      -4.732346605,      -3.975185524,       -4.00285323,      -2.683105569,      -11.16469098
          0,           0,          68,      -4.726912177,      -3.968817183,      -3.997400009,       -2.67765316,      -11.15390902
          0,           0,          69,      -4.721564152,      -3.962423335,      -3.991747684,      -2.672293435,      -11.14324165
          0,           0,          70,      -4.716313639,       -3.95600426,      -3.985901737,      -2.667037827,      -11.13270816
          0,           0,          71,      -4.711169226,      -3.949562439,      -3.979870004,       -2.66189524,      -11.12229728
          0,           0,          72,      -4.706137698,      -3.943105946,      -3.973661622,      -2.656872809,      -11.11201388
          0,           0,          73,      -4.701222716,      -3.936642012,      -3.967289629,       -2.65197439,      -11.10188025
          0,           0,          74,      -4.696425561,       -3.93017998,      -3.960768929,      -2.647201397,       -11.0919104
          0,           0,          75,      -4.691744686,      -3.923734776,      -3.954113569,      -2.642552449,      -11.08206662
          0,           0,          76,       -4.68717645,      -3.917318451,       -3.94733995,      -2.638023994,      -11.07237146
          0,           0,          77,      -4.682715061,      -3.910938161,      -3.940467017,      -2.633610164,      -11.06284554
          0,           0,          78,      -4.678353034,      -3.904607202,      -3.933512924,      -2.629303421,       -11.0534475
          0,           0,          79,      -4.674081128,      -3.898341562,      -3.926495365,      -2.625094482,      -11.04417359
          0,           0,          80,      -4.669888919,      -3.892152797,      -3.919434745,      -2.620972891,      -11.03504715
          0,           0,          81,      -4.665763926,      -3.886042607,      -3.912355351,      -2.616925694,      -11.02609164
          0,           0,          82,      -4.661694092,      -3.880021938,      -3.905276856,      -2.612940437,      -11.01723644
          0,           0,          83,       -4.65766663,      -3.874103692,      -3.898220689,      -2.609004129,      -11.00847477
          0,           0,          84,      -4.653668595,      -3.868292762,      -3.891212959,      -2.605103485,      -10.99984622
          0,           0,          85,      -4.649687968,      -3.862583104,      -3.884275629,      -2.601225781,      -10.99132746
          0,           0,          86,      -4.645712848,      -3.856981879,      -3.877423336,      -2.597358375,      -10.98286315
          0,           0,          87,      -4.641732492,       -3.85148684,       -3.87068165,       -2.59348995,      -10.97449851
          0,           0,          88,      -4.637738544,      -3.846098332,      -3.864070734,      -2.589611697,      -10.96621637
          0,           0,          89,      -4.633723386,      -3.840811091,      -3.857604985,       -2.58571517,      -10.95795322
          0,           0,          90,      -4.629680427,      -3.835615858,      -3.851295483,      -2.581792906,      -10.94972755
          0,           0,          91,      -4.625605371,      -3.830510169,      -3.845151935,      -2.577839772,      -10.94154212
          0,           0,          92,      -4.621495749,      -3.825487733,      -3.839192063,      -2.573852687,      -10.93340874
          0,           0,          93,      -4.617350692,      -3.820540243,      -3.833422773,      -2.569830173,      -10.92524109
          0,           0,          94,      -4.613169721,      -3.815663591,      -3.827844884,      -2.565770909,      -10.91705024
          0,           0,          95,       -4.60895392,      -3.810854886,      -3.822462844,      -2.561675341,      -10.90888699
          0,           0,          96,      -4.604706229,      -3.806108403,      -3.817284866,      -2.557545932,      -10.90072677
          0,           0,          97,      -4.600430173,      -3.801420993,      -3.812312538,      -2.553385589,      -10.89250908
          0,           0,          98,      -4.596129163,      -3.796795323,      -3.807543664,      -2.549197244,      -10.88426267
          0,           0,          99,      -4.591808694,      -3.792233078,      -3.802979729,      -2.544986201,      -10.87604704
          0,           0,         100,      -4.587474995,      -3.787734512,      -3.798623058,      -2.540758398,      -10.86780714
          0,           0,         101,      -4.583134361,      -3.783303046,      -3.794471515,      -2.536519774,      -10.85948749
          0,           0,         102,      -4.578793626,       -3.77894336,      -3.790522534,      -2.532277096,      -10.85117267
          0,           0,         103,      -4.574461104,      -3.774659364,      -3.786773954,      -2.528038779,      -10.84290946
          0,           0,         104,      -4.570145311,      -3.770451056,      -3.783225174,      -2.523813416,      -10.83463585
          0,           0,         105,      -4.565854665,      -3.766320114,      -3.779869557,      -2.519609544,      -10.82629272
          0,           0,         106,      -4.561597787,      -3.762266449,      -3.776700331,      -2.515436171,       -10.8179918
          0,           0,         107,      -4.557383487,      -3.758286306,      -3.773709968,      -2.511302638,      -10.80978521
          0,           0,         108,      -4.553220097,      -3.754371355,      -3.770890395,      -2.507217875,      -10.80156296
          0,           0,         109,      -4.549114968,      -3.750513937,      -3.768228601,      -2.503189992,       -10.7932992
          0,           0,         110,      -4.545074645,       -3.74670242,      -3.765710123,      -2.499226423,      -10.78512271
          0,           0,         111,      -4.541104595,      -3.742923828,      -3.763319152,      -2.495333602,      -10.77708249
          0,           0,         112,      -4.537209005,      -3.739162629,      -3.761038873,      -2.491516635,      -10.76901882
          0,           0,         113,      -4.533390638,      -3.735407633,      -3.758849206,      -2.487779259,      -10.76094692
          0,           0,         114,      -4.529650915,      -3.731646408,      -3.756729917,      -2.484123784,      -10.75298758
          0,           0,         115,      -4.525990168,      -3.727869219,      -3.754661679,      -2.480551141,      -10.74517976
          0,           0,         116,      -4.522407817,       -3.72407108,      -3.752625027,      -2.477061109,       -10.7373683
          0,           0,         117,      -4.518902475,      -3.720253566,      -3.750602302,      -2.473652423,      -10.72957412
          0,           0,         118,      -4.515472382,      -3.716423719,      -3.748578026,      -2.470323053,      -10.72195035
          0,           0,         119,      -4.512115516,      -3.712592893,      -3.746541481,      -2.467070333,      -10.71445247
          0,           0,         120,      -4.508830038,      -3.708777708,       -3.74448563,      -2.463891413,      -10.70696874
          0,           0,         121,      -4.505614209,      -3.705001045,      -3.742407962,      -2.460783292,      -10.69956136
          0,           0,         122,      -4.502466382,      -3.701287172,      -3.740310566,      -2.457742867,      -10.69231064
          0,           0,         123,      -4.499385287,      -3.697661559,      -3.738199898,      -2.454767299,      -10.68518842
          0,           0,         124,      -4.496369461,      -3.694148195,      -3.736086198,      -2.451853598,      -10.67814418
          0,           0,         125,      -4.493417276,      -3.690767782,      -3.733982946,      -2.448998847,      -10.67121802
          0,           0,         126,        -4.4905268,      -3.687535587,      -3.731904855,      -2.446200097,      -10.66439432
          0,           0,         127,      -4.487695212,      -3.684460221,      -3.729864597,      -2.443453841,      -10.65772772
          0,           0,         128,       -4.48491901,      -3.681541755,      -3.727874773,       -2.44075648,      -10.65116071
          0,           0,         129,      -4.482193959,      -3.678770589,      -3.725944475,      -2.438104185,      -10.64471757
          0,           0,         130,       -4.47951468,        -3.6761294,      -3.724077288,      -2.435492454,      -10.63837376
          0,           0,         131,      -4.476875228,      -3.673592335,      -3.722271063,      -2.432916649,      -10.63215734
          0,           0,         132,      -4.474269165,      -3.671124805,      -3.720518779,       -2.43037195,      -10.62605534
          0,           0,         133,      -4.471689855,      -3.668687464,      -3.718804803,       -2.42785361,      -10.62004392
          0,           0,         134,      -4.469131063,      -3.666239605,      -3.717108546,      -2.425357371,      -10.61415216
          0,           0,         135,      -4.466586949,      -3.663738441,       -3.71540478,      -2.422879237,      -10.60835937
          0,           0,         136,       -4.46405285,      -3.661143754,      -3.713663894,       -2.42041619,      -10.60267211
          0,           0,         137,      -4.461525462,      -3.658421853,      -3.711853884,      -2.417966153,      -10.59706869
          0,           0,         138,      -4.459002733,       -3.65554584,      -3.709944217,      -2.415527847,      -10.59155667
          0,           0,         139,      -4.456484362,      -3.652497098,      -3.707906031,      -2.413101273,      -10.58616468
          0,           0,         140,      -4.453971458,      -3.649269557,      -3.705714115,      -2.410687254,      -10.58083153
          0,           0,         141,      -4.451466396,      -3.645867869,      -3.703350161,      -2.408287365,      -10.57563395
          0,           0,         142,      -4.448972742,      -3.642306427,      -3.700804419,       -2.40590402,      -10.57049562
          0,           0,         143,       -4.44649454,      -3.638607806,      -3.698075302,      -2.403539677,      -10.56550481
          0,           0,         144,      -4.444035871,      -3.634803962,      -3.695169303,      -2.401196557,       -10.5605884
          0,           0,         145,      -4.441600535,       -3.63093071,      -3.692101643,      -2.398876541,      -10.55576036
          0,           0,         146,      -4.439191698,      -3.627024231,      -3.688896772,      -2.396580959,      -10.55103074
          0,           0,         147,      -4.436811201,      -3.623122272,      -3.685583756,      -2.394309953,      -10.54641186
          0,           0,         148,      -4.434459171,      -3.619260943,      -3.682195837,       -2.39206215,      -10.54191238
          0,           0,         149,      -4.432134006,      -3.615469933,      -3.678768991,       -2.38983483,      -10.53747707
          0,           0,         150,       -4.42983198,      -3.611771747,      -3.675339337,      -2.387623451,      -10.53313143
          0,           0,         151,       -4.42754736,      -3.608183803,      -3.671941086,      -2.385421894,      -10.52889672
          0,           0,         152,      -4.425272337,      -3.604715621,      -3.668605244,      -2.383222401,      -10.52475852
          0,           0,         153,      -4.422997309,      -3.601368488,      -3.665357945,      -2.381015777,      -10.52071133
          0,           0,         154,      -4.420711032,      -3.598135373,      -3.662219464,      -2.378791369,      -10.51675613
          0,           0,         155,      -4.418401152,       -3.59500496,      -3.659203447,      -2.376537572,      -10.51289342
          0,           0,         156,      -4.416054591,      -3.591960181,      -3.656317816,      -2.374242291,      -10.50911495
          0,           0,         157,      -4.413658066,      -3.588980739,      -3.653563952,      -2.371893298,      -10.50539942
          0,           0,         158,      -4.411198598,      -3.586044602,      -3.650936964,      -2.369478491,       -10.5017617
          0,           0,         159,      -4.408664139,      -3.583129478,       -3.64842689,      -2.366986442,      -10.49823336
          0,           0,         160,      -4.406044064,      -3.580216741,      -3.646019752,       -2.36440698,      -10.49479012
          0,           0,         161,      -4.403329706,      -3.577290661,      -3.643699711,      -2.361731702,      -10.49139656
          0,           0,         162,      -4.400514899,      -3.574340292,      -3.641448941,      -2.358954334,      -10.48806573
          0,           0,         163,      -4.397596182,      -3.571360355,      -3.639249499,      -2.356070854,      -10.48480951
          0,           0,         164,      -4.394573241,      -3.568353111,      -3.637084171,      -2.353080043,      -10.48166616
          0,           0,         165,      -4.391449084,       -3.56532788,      -3.634938741,       -2.34998377,      -10.47858558
          0,           0,         166,      -4.388229992,      -3.562299494,      -3.632803327,      -2.346787003,      -10.47554645
          0,           0,         167,      -4.384925501,      -3.559287125,      -3.630671717,      -2.343497724,      -10.47258168
          0,           0,         168,        -4.3815481,      -3.556314413,      -3.628542081,      -2.340126743,      -10.46970887
          0,           0,         169,      -4.378112853,      -3.553407626,      -3.626416863,      -2.336687499,      -10.46690088
          0,           0,         170,      -4.374636855,      -3.550593605,      -3.624303422,      -2.333195665,      -10.46416136
          0,           0,         171,      -4.371138525,      -3.547896523,      -3.622213392,      -2.329668542,      -10.46151535
          0,           0,         172,      -4.367636819,      -3.545336526,      -3.620160125,      -2.326124279,      -10.45893707
          0,           0,         173,      -4.364150433,      -3.542929194,      -3.618157714,        -2.3225812,      -10.45639808
          0,           0,         174,      -4.360696892,      -3.540683399,       -3.61621938,      -2.319057004,      -10.45390649
          0,           0,         175,      -4.357291794,      -3.538599908,      -3.614356806,      -2.315568075,      -10.45148291
          0,           0,         176,      -4.353948073,      -3.536670963,      -3.612578115,      -2.312128792,      -10.44914337
          0,           0,         177,      -4.350675455,      -3.534879025,      -3.610885735,      -2.308750852,      -10.44685747
          0,           0,         178,      -4.347480154,      -3.533199015,      -3.609274902,       -2.30544292,      -10.44458038
          0,           0,         179,      -4.344364765,      -3.531599318,      -3.607733176,        -2.3022105,      -10.44233683
          0,           0,         180,      -4.341328452,      -3.530042283,      -3.606240974,         -2.299056,      -10.44017154
          0,           0,         181,      -4.338367589,      -3.528487448,      -3.604771137,      -2.295979238,      -10.43806253
          0,           0,         182,      -4.335476261,      -3.526892402,      -3.603289574,      -2.292977623,      -10.43592008
          0,           0,         183,       -4.33264751,      -3.525218124,      -3.601756143,      -2.290047288,       -10.4337701
          0,           0,         184,      -4.329874149,      -3.523430846,      -3.600127282,      -2.287183699,      -10.43165846
          0,           0,         185,      -4.327150315,      -3.521504384,      -3.598359296,      -2.284383079,      -10.42959469
          0,           0,         186,      -4.324472154,      -3.519422671,      -3.596410893,      -2.281642915,      -10.42749149
          0,           0,         187,       -4.32183914,      -3.517179691,      -3.594245135,      -2.278963104,      -10.42534717
          0,           0,         188,       -4.31925434,      -3.514782212,      -3.591832997,      -2.276346209,       -10.4232403
