"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,       -5.62000339,      -5.581686423,      -6.224129524,      -5.023623039,             0.448,    0.003067074387,      0.3259046562,                 0,                 0,                 0,     0.05887046723,   -0.000221925723,      0.3259190124,                 0,       106.2591301
          0,           0,           1,      -5.905369992,      -5.780633077,      -5.766752885,       -5.30711499,             0.448,    0.002357799121,      0.3267808085,                 0,                 0,                 0,      0.0587992925,  -0.0009400065022,      0.3267879625,                 0,       138.5956953
          0,           0,           2,      -5.820375399,      -5.819023566,      -5.854388811,      -5.235130375,             0.448,    0.002173234358,      0.3274486188,                 0,                 0,                 0,     0.05914856971,   -0.001131301027,      0.3274538762,                 0,       150.6734042
          0,           0,           3,      -5.808415733,      -5.865703508,      -5.810236933,      -5.222041849,             0.448,    0.002162560256,      0.3274673378,                 0,                 0,                 0,     0.05933334968,   -0.001142163488,      0.3274724866,                 0,       151.4257635
          0,           0,           4,      -5.754037008,      -5.812388531,      -5.769321176,      -5.171587872,             0.448,    0.002088572519,      0.3278636234,                 0,                 0,                 0,     0.05956469308,   -0.001220146545,      0.3278680053,                 0,        156.979765
          0,           0,           5,      -5.731019227,      -5.794398435,      -5.783568189,      -5.153113996,             0.448,    0.002016894128,      0.3283632295,                 0,                 0,                 0,     0.05973374558,   -0.001296863027,      0.3283668627,                 0,       162.8063789
          0,           0,           6,      -5.726400629,       -5.84554369,      -5.811867183,       -5.15102499,             0.448,    0.001982724927,      0.3287959545,                 0,                 0,                 0,     0.05986989112,   -0.001335397302,      0.3287992208,                 0,       165.8303429
          0,           0,           7,      -5.710838565,       -5.82193645,      -5.816060692,       -5.13586376,             0.448,    0.001964493682,      0.3292262955,                 0,                 0,                 0,     0.06001282494,   -0.001357970374,      0.3292293559,                 0,       167.5883707
          0,           0,           8,      -5.704596162,      -5.795914566,      -5.817250577,      -5.132432856,             0.448,    0.001946347819,      0.3296752017,                 0,                 0,                 0,     0.06013477616,   -0.001380645419,      0.3296780561,                 0,       169.3814428
          0,           0,           9,      -5.709539998,      -5.823036383,      -5.834165686,      -5.141969304,             0.448,    0.001926593293,      0.3301195062,                 0,                 0,                 0,     0.06022517383,   -0.001404882606,      0.3301221386,                 0,       171.3488297
          0,           0,          10,      -5.713320427,      -5.864887929,       -5.86059521,      -5.149273729,             0.448,    0.001912306063,      0.3305485985,                 0,                 0,                 0,     0.06029442162,   -0.001423499264,       0.330551065,                 0,       172.8533967
          0,           0,          11,      -5.717113772,      -5.886361511,      -5.883025999,      -5.154613413,             0.448,    0.001904382173,       0.330962411,                 0,                 0,                 0,     0.06034878105,    -0.00143559871,      0.3309647764,                 0,       173.7899124
          0,           0,          12,      -5.720102638,      -5.887680556,      -5.904084445,      -5.157436537,             0.448,    0.001898888079,      0.3313604064,                 0,                 0,                 0,     0.06038983592,   -0.001445108867,      0.3313626961,                 0,       174.5023364
          0,           0,          13,      -5.723363909,      -5.891334307,      -5.925278764,      -5.160277734,             0.448,    0.001893641374,      0.3317409367,                 0,                 0,                 0,     0.06041958164,     -0.0014541954,      0.3317431541,                 0,        175.186781
          0,           0,          14,      -5.728068549,      -5.908394758,      -5.945144393,      -5.165454497,             0.448,    0.001888641222,      0.3320999737,                 0,                 0,                 0,     0.06043909336,   -0.001462818494,      0.3321021224,                 0,        175.840689
