"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    
          0,           0,           0,       -4.19600401,      -3.952978322,      -4.474419398,      -3.927316619
          0,           0,           1,      -3.830913019,      -3.731721754,      -3.691349461,      -4.160645421
          0,           0,           2,      -3.528318449,       -3.44514644,      -3.561721719,      -3.995699035
          0,           0,           3,      -3.485689684,       -3.36357815,       -3.62424453,      -4.005429598
          0,           0,           4,      -3.424832027,      -3.264715471,      -3.614912032,      -3.959354039
          0,           0,           5,      -3.432386413,      -3.238160179,      -3.635347981,      -3.942523029
          0,           0,           6,       -3.44689793,      -3.222835883,      -3.648981643,      -3.923620339
          0,           0,           7,      -3.468046325,      -3.216655464,      -3.671428733,      -3.907905296
          0,           0,           8,      -3.500506647,      -3.227478595,      -3.697630513,       -3.92528286
          0,           0,           9,      -3.532094122,       -3.25415764,      -3.729674566,      -3.956156082
          0,           0,          10,      -3.557718299,      -3.283577375,      -3.769354482,      -3.975045055
          0,           0,          11,      -3.589357065,      -3.325455491,      -3.805957754,      -4.008358116
          0,           0,          12,      -3.626780209,      -3.377398915,      -3.835846397,      -4.053230983
          0,           0,          13,       -3.66490479,      -3.434038609,      -3.860149213,      -4.099182731
          0,           0,          14,      -3.695524466,      -3.488885608,      -3.880894921,      -4.142739358
          0,           0,          15,      -3.714762973,       -3.53409411,      -3.898382826,      -4.179445438
          0,           0,          16,      -3.723073628,      -3.562774466,      -3.920432435,      -4.207655136
          0,           0,          17,      -3.725510319,      -3.575723728,      -3.942535198,       -4.22645598
          0,           0,          18,      -3.727805162,      -3.579680187,      -3.966357275,      -4.241747663
          0,           0,          19,      -3.735964152,      -3.583450757,      -3.995983371,       -4.25925375
          0,           0,          20,      -3.753219004,      -3.592488464,       -4.03019058,      -4.281530177
          0,           0,          21,      -3.779438816,      -3.608248352,      -4.065310097,      -4.308559415
          0,           0,          22,      -3.812998633,      -3.630835228,      -4.097181992,      -4.339135553
          0,           0,          23,      -3.850805528,      -3.659479605,      -4.122745582,      -4.371346414
          0,           0,          24,      -3.888375618,      -3.692205022,      -4.142822716,       -4.40346956
          0,           0,          25,      -3.920307275,      -3.726168329,       -4.15564722,      -4.428478943
          0,           0,          26,      -3.949504718,      -3.763972913,      -4.176059162,      -4.464802615
          0,           0,          27,      -3.977525314,      -3.804078471,      -4.203077602,      -4.501653209
          0,           0,          28,      -4.003777968,      -3.843650969,      -4.234118157,      -4.541220362
          0,           0,          29,      -4.028267441,       -3.87774267,      -4.275972644,      -4.581971701
          0,           0,          30,      -4.053280351,      -3.904936498,      -4.325977844,      -4.620177539
          0,           0,          31,      -4.079341064,      -3.924950909,       -4.37762729,      -4.653583126
          0,           0,          32,       -4.10780311,      -3.940343223,      -4.426930387,      -4.681267477
          0,           0,          33,       -4.14019574,      -3.955753585,      -4.468210879,       -4.70480137
          0,           0,          34,      -4.177123251,      -3.975059107,      -4.498662527,      -4.727341134
          0,           0,          35,      -4.215677674,       -3.99756561,      -4.518493408,      -4.747922487
          0,           0,          36,      -4.251985382,      -4.025040705,      -4.525818844,      -4.762079586
          0,           0,          37,      -4.293899475,      -4.062764068,      -4.549473233,      -4.795752724
          0,           0,          38,      -4.338235338,      -4.110079931,      -4.578328933,       -4.83374729
          0,           0,          39,      -4.379396291,      -4.163112188,      -4.613893293,      -4.880213434
          0,           0,          40,      -4.418414547,       -4.21670798,      -4.662294246,      -4.927428787
          0,           0,          41,      -4.456941113,      -4.268467235,      -4.716845437,       -4.97463845
          0,           0,          42,      -4.493404304,      -4.313732062,      -4.775666161,      -5.020598873
          0,           0,          43,      -4.530611918,      -4.351191168,      -4.838284523,      -5.061113156
          0,           0,          44,      -4.571675599,       -4.38446213,       -4.89436748,      -5.097545545
          0,           0,          45,      -4.608766623,      -4.410334074,      -4.918416219,       -5.11082609
          0,           0,          46,      -4.650931611,      -4.443516183,       -4.94534801,      -5.145725536
          0,           0,          47,      -4.693408169,      -4.481897013,        -4.9718138,      -5.179095561
          0,           0,          48,      -4.734089052,       -4.52799072,      -4.995222979,      -5.217272283
          0,           0,          49,      -4.771934893,      -4.578895819,      -5.027104872,      -5.262127739
          0,           0,          50,      -4.807954071,      -4.631669891,      -5.070068529,      -5.309184216
          0,           0,          51,      -4.841213064,      -4.681537602,      -5.122055394,      -5.356662603
          0,           0,          52,      -4.874261915,      -4.724578201,      -5.181939525,      -5.400849742
          0,           0,          53,      -4.910649801,      -4.761611902,       -5.24060129,      -5.440864884
          0,           0,          54,      -4.950651366,      -4.794810668,      -5.287859872,      -5.478241083
          0,           0,          55,      -4.985258411,      -4.818692177,      -5.303885977,      -5.495925363
          0,           0,          56,      -5.024114391,      -4.850821431,      -5.322817481,       -5.53423236
          0,           0,          57,      -5.060795056,      -4.886295153,      -5.345408156,      -5.569553194
          0,           0,          58,      -5.096923258,      -4.929902752,      -5.365224159,      -5.608410622
          0,           0,          59,      -5.130703347,      -4.976874996,      -5.393382681,      -5.653417295
          0,           0,          60,      -5.162799719,      -5.022055963,       -5.43504106,      -5.697285036
          0,           0,          61,      -5.193757529,      -5.061805501,      -5.486064597,      -5.739225505
          0,           0,          62,      -5.226109116,      -5.094614804,      -5.541905344,      -5.777833306
          0,           0,          63,      -5.262707508,      -5.123003425,      -5.594102709,       -5.81291485
          0,           0,          64,      -5.301372985,      -5.147722701,      -5.631901308,      -5.844180466
          0,           0,          65,      -5.338280732,      -5.171657224,      -5.643823091,      -5.862161161
          0,           0,          66,      -5.375584086,      -5.200142436,       -5.66439761,      -5.894485422
          0,           0,          67,      -5.413300764,      -5.235753717,      -5.684500506,      -5.927238086
          0,           0,          68,      -5.447854505,      -5.277099077,       -5.70258982,      -5.965058615
          0,           0,          69,      -5.478390075,      -5.319044849,       -5.73334315,      -6.004325932
          0,           0,          70,      -5.508340537,      -5.361027212,      -5.776289308,      -6.045222635
          0,           0,          71,       -5.53795159,      -5.400380872,      -5.825461682,      -6.086281838
          0,           0,          72,      -5.570035408,      -5.435946663,       -5.87854359,       -6.12413671
          0,           0,          73,      -5.606855648,      -5.470370771,      -5.925674337,      -6.158860829
          0,           0,          74,      -5.646784167,      -5.505141149,      -5.958631393,      -6.191591846
          0,           0,          75,      -5.680935102,      -5.534744845,      -5.969136029,      -6.211040369
          0,           0,          76,      -5.712968023,      -5.567768313,      -5.980370455,      -6.244122171
          0,           0,          77,      -5.738882539,      -5.599738569,      -5.994738331,      -6.273031736
          0,           0,          78,      -5.758965167,      -5.629964653,      -6.008860595,      -6.302171619
          0,           0,          79,      -5.773665296,      -5.652885054,      -6.033487275,      -6.332643125
          0,           0,          80,      -5.787812167,      -5.668183018,      -6.069227252,       -6.36018518
          0,           0,          81,      -5.804445246,      -5.677904417,      -6.110128798,      -6.384332639
          0,           0,          82,      -5.826282892,      -5.685914866,      -6.152728999,      -6.405973495
          0,           0,          83,      -5.855013867,      -5.696847512,      -6.191028199,      -6.426934382
          0,           0,          84,      -5.890086577,      -5.713447339,      -6.219971036,      -6.449709317
          0,           0,          85,      -5.921675925,      -5.729042644,      -6.224266788,      -6.459193538
          0,           0,          86,      -5.956405973,       -5.75559671,      -6.228774685,      -6.482619876
          0,           0,          87,      -5.990431001,      -5.787744283,      -6.248885247,      -6.511625268
          0,           0,          88,      -6.025913215,      -5.829512331,      -6.267460828,      -6.545893821
          0,           0,          89,      -6.056930662,      -5.873963327,      -6.293878959,      -6.587699113
          0,           0,          90,      -6.084882379,      -5.915510899,      -6.335452741,      -6.627292589
          0,           0,          91,      -6.113167655,      -5.953494911,      -6.384920688,      -6.665596791
          0,           0,          92,      -6.142607223,      -5.986168806,      -6.437888178,       -6.70167901
          0,           0,          93,      -6.175708331,      -6.014822455,      -6.490839364,      -6.733967988
          0,           0,          94,      -6.213547221,      -6.042973699,       -6.53463194,       -6.76366003
          0,           0,          95,       -6.25278355,      -6.070809939,      -6.562197061,      -6.789670243
          0,           0,          96,       -6.28740732,       -6.09824624,      -6.569788644,      -6.805416751
