"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , -0.127772       , 0.001           
1               , 0.046562        , 0.001           
2               , 0.179763        , 0.001           
3               , 0.273007        , 0.001           
4               , 0.329331        , 0.001           
5               , 0.352323        , 0.001           
6               , 0.347303        , 0.001           
7               , 0.322186        , 0.001           
8               , 0.287246        , 0.001           
9               , 0.253428        , 0.001           
10              , 0.229501        , 0.001           
11              , 0.219322        , 0.001           
12              , 0.221044        , 0.001           
13              , 0.229515        , 0.001           
14              , 0.240808        , 0.001           
15              , 0.255481        , 0.001           
16              , 0.27861         , 0.001           
17              , 0.321436        , 0.001           
18              , 0.427507        , 0.001           
19              , -0.299085       , 0.001           
20              , 0.401125        , 0.001           
21              , 0.917134        , 0.001           
22              , 1.19819         , 0.001           
23              , 1.24952         , 0.001           
24              , 1.10785         , 0.001           
25              , 0.826581        , 0.001           
26              , 0.462622        , 0.001           
27              , 0.0664246       , 0.001           
28              , -0.322083       , 0.001           
29              , -0.670351       , 0.001           
30              , -0.944236       , 0.001           
31              , -1.0991         , 0.001           
32              , -1.08357        , 0.001           
33              , -0.874748       , 0.001           
34              , -0.547999       , 0.001           
35              , -0.299651       , 0.001           
36              , -0.261186       , 0.001           
37              , -0.352225       , 0.001           
