"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
0, 9.997500181200000e-01, -3.632896519016437e-05, -4.306264799175147e+00, 9.470963116041595e+00, 7.870146792679112e-01, -2.055912909756452e+00, 0.000000000000000e+00, 0.000000000000000e+00, 6.799247991000982e+00
1, 9.990000128750000e-01, -1.452537504052920e-04, -1.916395176133275e+00, 4.099621195837361e+00, 3.385129651302196e-01, -6.539024942490403e-01, 0.000000000000000e+00, 0.000000000000000e+00, -5.733149455951400e+00
2, 9.977599978450000e-01, -3.251111630156300e-04, -1.641738132037571e+00, 3.147338442963419e+00, 3.396599894157788e-01, -5.202450076939686e-01, 0.000000000000000e+00, 0.000000000000000e+00, -5.290129433564275e-01
3, 9.960200190539999e-01, -5.769983605901485e-04, -1.425134397523850e+00, 2.614607777360494e+00, 2.010008302796739e-01, -4.348538518744882e-01, 0.000000000000000e+00, 0.000000000000000e+00, -4.401839641161215e-01
4, 9.937800168990000e-01, -9.004365425509819e-04, -1.225098442309739e+00, 2.207573335374076e+00, 1.380663384539267e-01, -3.575375679449482e-01, 0.000000000000000e+00, 0.000000000000000e+00, -3.402756476386077e-01
5, 9.910500049590000e-01, -1.293363843462116e-03, -1.101746715342696e+00, 1.961549455413772e+00, 9.861883123002337e-02, -3.149992809150891e-01, 0.000000000000000e+00, 0.000000000000000e+00, -2.064090741995140e-01
6, 9.878399968150000e-01, -1.753609743384430e-03, -1.006735779228203e+00, 1.779273961942914e+00, 6.808794071784852e-02, -2.836906619338407e-01, 0.000000000000000e+00, 0.000000000000000e+00, -1.550045439505044e-01
7, 9.841300249100000e-01, -2.283176811071472e-03, -9.310498632575851e-01, 1.638222172872380e+00, 4.540856144161183e-02, -2.595191808333843e-01, 0.000000000000000e+00, 0.000000000000000e+00, -1.195103701940862e-01
8, 9.799500107769999e-01, -2.876826092032643e-03, -8.697716394166528e-01, 1.525265746172262e+00, 2.732081511355717e-02, -2.404347203027351e-01, 0.000000000000000e+00, 0.000000000000000e+00, -9.437022026113071e-02
9, 9.752799868580000e-01, -3.536324145770189e-03, -8.184461238600383e-01, 1.432089150166049e+00, 1.268580758313142e-02, -2.247804482021924e-01, 0.000000000000000e+00, 0.000000000000000e+00, -7.711638046724520e-02
10, 9.701499938960000e-01, -4.256268552403566e-03, -7.747763100755434e-01, 1.353616414573344e+00, 3.784708191910207e-04, -2.116422702289319e-01, 0.000000000000000e+00, 0.000000000000000e+00, -6.412922983383676e-02
