"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.221884409,      -13.62879783,      -13.66731989,      -2.174176977,      -9.859943022
          0,           0,           1,      -4.399529395,      -4.180872918,      -3.575402441,      -2.347844886,      -10.20586424
          0,           0,           2,      -4.924663128,      -4.567342338,      -4.149834057,        -2.8781809,      -10.63956359
          0,           0,           3,      -5.064715398,      -4.684956005,      -4.244961038,      -3.017514805,      -11.01568396
          0,           0,           4,      -5.111508324,      -4.752865663,      -4.293006441,      -3.064041597,       -11.1570929
          0,           0,           5,       -5.14093048,      -4.803233497,      -4.322029042,      -3.093464477,      -11.24183054
          0,           0,           6,      -5.161837974,      -4.840548951,      -4.342277155,      -3.114349175,      -11.30439879
          0,           0,           7,      -5.176429838,      -4.865479663,      -4.355847027,      -3.128910057,      -11.36626619
          0,           0,           8,      -5.185217696,      -4.877627874,      -4.362994322,      -3.137668023,      -11.40922646
          0,           0,           9,      -5.188228597,       -4.87543413,      -4.363502931,      -3.140651699,      -11.44247675
          0,           0,          10,      -5.185604388,      -4.857540255,      -4.357455748,      -3.138011966,      -11.47091776
          0,           0,          11,      -5.178001269,      -4.824580374,      -4.345655381,      -3.130419132,      -11.49685388
          0,           0,          12,      -5.166637255,      -4.779828567,      -4.329657582,      -3.119103607,      -11.51480006
          0,           0,          13,      -5.153066783,      -4.728268357,      -4.311430741,      -3.105624392,       -11.5278751
          0,           0,          14,      -5.138817667,      -4.674755843,      -4.292865409,      -3.091504865,      -11.53761931
          0,           0,          15,      -5.125099398,      -4.622849623,      -4.275405908,      -3.077943331,      -11.54652404
          0,           0,          16,       -5.11269375,      -4.574631345,      -4.259902558,        -3.0657066,      -11.55452518
          0,           0,          17,      -5.101962247,      -4.530987139,      -4.246660202,      -3.055141015,      -11.56053559
          0,           0,          18,      -5.092921457,      -4.492013339,      -4.235581491,      -3.046251125,      -11.56527455
          0,           0,          19,      -5.085342272,      -4.457369148,      -4.226339499,      -3.038801211,      -11.56905532
          0,           0,          20,      -5.078847549,       -4.42653931,      -4.218524211,      -3.032413434,      -11.57207652
          0,           0,          21,       -5.07301813,      -4.399003177,      -4.211745553,      -3.026673054,      -11.57471459
          0,           0,          22,      -5.067462645,       -4.37430724,      -4.205694566,      -3.021195316,      -11.57659772
          0,           0,          23,      -5.061894328,      -4.352080336,      -4.200144932,      -3.015699457,      -11.57731568
          0,           0,          24,      -5.056150408,      -4.332014928,      -4.194947531,      -3.010025826,      -11.57688544
