"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.632782399868595e-05, 1.316890497561604e+00, 7.008677095163642e-01, 1.017544800009052e-01, 3.768068738540921e+00
1, 9.990000128750000e-01, -1.451817062340958e-04, 1.180390712342579e+00, 7.109984510652596e-01, 1.028948623740084e-01, 3.391187864328659e+00
2, 9.977599978450000e-01, -3.243212254059720e-04, 1.165471565928902e+00, 7.724366611431575e-01, 1.108250250677797e-01, 3.361294275706735e+00
3, 9.960200190539999e-01, -5.727350663055754e-04, 1.144256416916262e+00, 8.028023196289339e-01, 1.131035258817338e-01, 3.308886533849743e+00
4, 9.937800168990000e-01, -8.850444158207658e-04, 1.127661107660146e+00, 8.220111607058943e-01, 1.121595641326838e-01, 3.267222047924123e+00
5, 9.910500049590000e-01, -1.250870158960285e-03, 1.115273170084667e+00, 8.390586306727080e-01, 1.090666424168167e-01, 3.236795858515172e+00
6, 9.878399968150000e-01, -1.657169298120023e-03, 1.105017949312029e+00, 8.513008021558520e-01, 1.037797465038949e-01, 3.211256788207776e+00
7, 9.841300249100000e-01, -2.094465951984963e-03, 1.097846933457565e+00, 8.603041816973561e-01, 9.750836709955991e-02, 3.193496441940134e+00
8, 9.799500107769999e-01, -2.551433991203128e-03, 1.093620072154327e+00, 8.657963757246553e-01, 9.160887960964209e-02, 3.183046242965013e+00
9, 9.752799868580000e-01, -3.030877899618544e-03, 1.091780481342476e+00, 8.684300095564884e-01, 8.763937148770357e-02, 3.178529916379582e+00
10, 9.701499938960000e-01, -3.540422522884984e-03, 1.091180664304383e+00, 8.692544557077665e-01, 8.658508225390761e-02, 3.177056728826098e+00
11, 9.645400047300000e-01, -4.100670789205997e-03, 1.090498259776540e+00, 8.696306089916324e-01, 8.858915575488814e-02, 3.175326528185328e+00
12, 9.584699869160000e-01, -4.730263297658542e-03, 1.088658913376042e+00, 8.707718579672437e-01, 9.290356475724119e-02, 3.170672047944876e+00
13, 9.519400000570000e-01, -5.444978531089429e-03, 1.085132517430212e+00, 8.733834322481795e-01, 9.824062074496367e-02, 3.161788529721888e+00
14, 9.449599981310000e-01, -6.249904769537025e-03, 1.079973361163708e+00, 8.775764883787278e-01, 1.032796164954278e-01, 3.148830895326741e+00
15, 9.375399947170000e-01, -7.139676427787733e-03, 1.073655863431013e+00, 8.829467518347678e-01, 1.070679292233422e-01, 3.132987164542367e+00
16, 9.296900033950000e-01, -8.101575566487659e-03, 1.066821502100806e+00, 8.888535955473112e-01, 1.092157519891642e-01, 3.115852088567071e+00
17, 9.214000105860000e-01, -9.122838236201112e-03, 1.060072386918565e+00, 8.946739261377160e-01, 1.098409169056234e-01, 3.098920562272903e+00
18, 9.126999974250000e-01, -1.018747276261269e-02, 1.053827331695172e+00, 8.999952059722001e-01, 1.093705253285377e-01, 3.083238866219588e+00
19, 9.035800099370001e-01, -1.128838625179376e-02, 1.048222959910126e+00, 9.046458850924051e-01, 1.083058930615765e-01, 3.069142388603902e+00
20, 8.940600156780000e-01, -1.241908615192703e-02, 1.043215531950772e+00, 9.086854623330035e-01, 1.070536564009723e-01, 3.056530535726671e+00
21, 8.841500282290000e-01, -1.357746280453731e-02, 1.038644935811516e+00, 9.122385316740670e-01, 1.058519071662540e-01, 3.045000531246937e+00
22, 8.738499879840000e-01, -1.476416356426443e-02, 1.034324898930214e+00, 9.154484354965293e-01, 1.047868917923957e-01, 3.034081737970553e+00
