"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    
          0,           0,          76,      -6.311078515,      -6.138292955,      -6.688244709,      -6.869900772
          0,           0,          77,      -6.333065307,      -6.146178391,      -6.705100585,      -6.878165968
          0,           0,          78,      -6.353548487,       -6.15431252,      -6.721283619,      -6.890418537
          0,           0,          79,      -6.366868352,      -6.158802768,      -6.720114509,      -6.894847388
          0,           0,          80,      -6.386344283,      -6.173561108,      -6.731926679,      -6.906786832
          0,           0,          81,      -6.405315945,       -6.19160213,       -6.74957695,      -6.927244483
          0,           0,          82,      -6.425339548,      -6.216243564,      -6.763250591,      -6.952526155
          0,           0,          83,      -6.443171626,      -6.244411138,      -6.776135344,      -6.983468553
          0,           0,          84,       -6.45722106,      -6.272038971,      -6.791029741,      -7.012218349
          0,           0,          85,      -6.467241754,      -6.296540525,      -6.804691501,      -7.038347518
          0,           0,          86,       -6.47387852,      -6.315102292,      -6.815399242,      -7.059680758
          0,           0,          87,       -6.47797701,      -6.325238955,      -6.823958456,      -7.072905997
          0,           0,          88,      -6.480858151,       -6.32652153,       -6.83146658,      -7.076852231
          0,           0,          89,      -6.484009155,      -6.320954402,      -6.838025642,      -7.073225377
          0,           0,          90,      -6.488765871,      -6.311854961,      -6.843756999,      -7.065266864
          0,           0,          91,      -6.496234536,      -6.302575329,      -6.849354017,      -7.056350542
          0,           0,          92,      -6.507274835,      -6.295807954,      -6.855599942,      -7.049313153
          0,           0,          93,      -6.522471798,      -6.293408155,      -6.863103548,      -7.046212163
          0,           0,          94,      -6.542105298,      -6.296498695,      -6.872451703,      -7.048369879
          0,           0,          95,      -6.566135873,      -6.305668911,      -6.884331377,      -7.056574162
          0,           0,          96,      -6.594193732,      -6.321153989,       -6.89950095,      -7.071338515
          0,           0,          97,      -6.625592636,      -6.342972997,      -6.918891078,      -7.093376337
          0,           0,          98,      -6.659398585,      -6.370996807,      -6.945697306,      -7.127161645
          0,           0,          99,      -6.686799812,      -6.399510374,      -6.962151417,      -7.151028166
          0,           0,         100,      -6.715485567,      -6.434841881,      -6.988003984,      -7.187985999
          0,           0,         101,      -6.738761764,      -6.469891033,      -7.021445695,      -7.225383108
          0,           0,         102,      -6.756760504,      -6.505494615,        -7.0534617,      -7.267382214
          0,           0,         103,      -6.768936351,      -6.538281924,      -7.085545881,      -7.310852227
          0,           0,         104,      -6.775689059,      -6.564448573,      -7.117173414,      -7.346536612
          0,           0,         105,      -6.779299519,      -6.582929213,      -7.145922899,      -7.372718445
          0,           0,         106,      -6.782344972,      -6.594574283,       -7.16952653,      -7.389812261
          0,           0,         107,      -6.786846965,       -6.60128745,      -7.187681008,       -7.39859324
          0,           0,         108,       -6.79442315,      -6.605677594,       -7.20137486,      -7.401393921
