"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,          63,      -3.922144909,      -1.038168499,      -1.061558498,      -1.065997718,       1.557414281
          0,           0,          64,      -3.931359481,      -1.035413375,      -1.060174458,       -1.06518887,       1.547257397
          0,           0,          65,      -3.940610399,       -1.03305237,      -1.058937456,      -1.064477827,       1.537215736
          0,           0,          66,      -3.949928332,      -1.031122645,       -1.05789785,        -1.0638995,       1.527231533
          0,           0,          67,       -3.95922792,      -1.029658568,       -1.05708176,      -1.063474665,       1.517351219
          0,           0,          68,      -3.968289196,      -1.028683652,      -1.056497419,      -1.063211075,        1.50774464
          0,           0,          69,      -3.976823312,      -1.028216637,      -1.056141149,      -1.063108551,       1.498659157
          0,           0,          70,      -3.984545043,      -1.028267195,      -1.056002025,      -1.063167716,       1.490353847
          0,           0,          71,      -3.991256354,      -1.028839743,      -1.056068934,      -1.063389019,       1.483023242
          0,           0,          72,      -3.996899285,      -1.029934272,      -1.056332873,      -1.063776415,       1.476742847
          0,           0,          73,      -4.001559441,      -1.031544714,      -1.056788597,      -1.064336875,        1.47145651
          0,           0,          74,      -4.005403125,       -1.03366232,       -1.05743383,      -1.065075226,       1.467027954
          0,           0,          75,      -4.008611166,      -1.036273626,      -1.058262324,      -1.065993009,        1.46330105
          0,           0,          76,      -4.011347183,      -1.039357814,      -1.059263231,      -1.067083364,       1.460130975
          0,           0,          77,      -4.013739402,      -1.042901034,      -1.060422597,       -1.06833764,       1.457403351
          0,           0,          78,      -4.015892405,      -1.046888354,      -1.061722976,      -1.069744558,       1.455022713
          0,           0,          79,      -4.017908482,      -1.051302708,      -1.063147941,      -1.071292571,       1.452890655
          0,           0,          80,       -4.01990207,      -1.056130121,      -1.064680521,      -1.072969166,       1.450888782
          0,           0,          81,      -4.022001362,      -1.061361667,      -1.066303814,      -1.074761533,       1.448876707
          0,           0,          82,      -4.024345005,      -1.066995598,      -1.068002337,      -1.076656522,        1.44669611
          0,           0,          83,      -4.027071945,      -1.073036546,      -1.069759036,      -1.078642298,       1.444182579
          0,           0,          84,      -4.030310983,      -1.079494194,      -1.071555864,      -1.080704723,       1.441179789
          0,           0,          85,      -4.034183125,      -1.086382241,      -1.073376083,      -1.082825527,       1.437540472
          0,           0,          86,      -4.038770204,      -1.093721636,      -1.075200011,      -1.084989653,       1.433157591
