Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
25,0.595462,0,1.70751,-0,6.03989e-08,0,0,0,0,0,0,0.332926,0.23926,0.0345563,0.411436,0.683004,-0.672176,0.00130771,5.38361e-05,4.29223e-05,0.00130952,1.12553,0,0,0,0,8.18769
26,0.589756,0,1.6906,-0,6.03842e-08,0,0,0,0,0,0,0.356096,0.23926,0.0352416,0.430455,0.676242,-0.685702,0.00132373,3.75467e-05,3.16984e-05,0.00132464,1.12516,0,0,0,0,8.22534
27,0.582097,0,1.66808,-0,6.03686e-08,0,0,0,0,0,0,0.380087,0.23926,0.0357206,0.450542,0.66723,-0.703724,0.00134544,2.21632e-05,1.9361e-05,0.00134577,1.12478,0,0,0,0,8.26545
28,0.573316,0,1.64212,-0,6.03466e-08,0,0,0,0,0,0,0.404759,0.23926,0.035959,0.471559,0.656849,-0.724488,0.00139699,9.52908e-06,5.52563e-06,0.00139703,1.12423,0,0,0,0,8.37977
29,0.563975,0,1.6145,-0,6.0322e-08,0,0,0,0,0,0,0.429962,0.23926,0.0359234,0.493359,0.645799,-0.746587,0.00140966,-7.20503e-07,-1.02925e-05,0.0014097,1.12363,0,0,0,0,8.37252
30,0.55461,0,1.58686,-0,6.02983e-08,0,0,0,0,0,0,0.455542,0.23926,0.0355879,0.515782,0.634745,-0.768694,0.00146194,-8.26405e-06,-2.79482e-05,0.00146223,1.12304,0,0,0,0,8.47326
31,0.545215,0,1.55958,-0,6.02868e-08,0,0,0,0,0,0,0.481342,0.23926,0.0349395,0.538662,0.623833,-0.790518,0.00143302,-1.27225e-05,-4.45028e-05,0.00143377,1.12276,0,0,0,0,8.33406
32,0.53666,0,1.53551,-0,6.02989e-08,0,0,0,0,0,0,0.507204,0.23926,0.0339833,0.561832,0.614204,-0.809776,0.00140693,-1.25034e-05,-5.99114e-05,0.00140826,1.12306,0,0,0,0,8.20623
33,0.534524,0,1.53116,-0,6.03516e-08,0,0,0,0,0,0,0.53297,0.23926,0.0327431,0.585127,0.612466,-0.813254,0.00124112,-7.40404e-07,-6.59411e-05,0.00124287,1.12436,0,0,0,0,7.69415
34,0.870154,0,2.51489,-0,6.07576e-08,0,0,0,0,0,0,0.756281,0.23926,0.0143268,0.793355,1.00596,-0.0262692,8.41945e-05,0.000128097,-5.22433e-06,0.000153378,1.13441,0,0,0,0,3.35911
35,0.880919,0,2.5463,-0,6.07629e-08,0,0,0,0,0,0,0.773115,0.23926,0.0124979,0.809388,1.01852,-0.00114396,7.44999e-05,0.000130151,-4.29743e-06,0.000150026,1.13454,0,0,0,0,3.32525
36,0.890331,0,2.57376,-0,6.07675e-08,0,0,0,0,0,0,0.788795,0.23926,0.0107152,0.824352,1.02951,0.0208268,6.13704e-05,0.000132534,-2.86205e-06,0.000146082,1.13465,0,0,0,0,3.28011
37,0.819481,0,2.35708,-0,6.0538e-08,0,0,0,0,0,0,0.481342,0.23926,-0.0349395,0.538662,0.942832,-0.152521,0.00112512,-4.91403e-05,3.49242e-05,0.00112674,1.12897,0,0,0,0,9.02007
38,0.825573,0,2.37491,-0,6.0544e-08,0,0,0,0,0,0,0.455542,0.23926,-0.0355879,0.515782,0.949965,-0.138254,0.0011357,-5.18076e-05,2.14531e-05,0.00113709,1.12912,0,0,0,0,9.08016
