"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,      -5.483098806,      -5.463921941,      -5.978872118,      -4.886718392,             0.448,     0.00412691653,      0.3259960959,                 0,                 0,                 0,     0.06349481646,    0.001282057308,      0.3260196962,                 0,       78.99265553
          0,           0,           1,      -5.749605773,      -5.632026322,      -5.619384698,      -5.152821356,             0.448,    0.002914752269,      0.3272777152,                 0,                 0,                 0,      0.0632816124,   5.875555216e-05,      0.3272906891,                 0,       112.2832011
          0,           0,           2,      -5.658050718,      -5.635498631,      -5.677012095,      -5.072113685,             0.448,    0.002582484437,      0.3281814794,                 0,                 0,                 0,     0.06372453805,  -0.0002813860424,      0.3281915195,                 0,       127.0797511
          0,           0,           3,      -5.645208645,      -5.673603339,      -5.645472541,      -5.056856139,             0.448,    0.002570555602,      0.3281521392,                 0,                 0,                 0,     0.06403758725,  -0.0002930583948,      0.3281620763,                 0,       127.6580592
          0,           0,           4,      -5.587378358,      -5.613334811,      -5.597569107,       -5.00238684,             0.448,    0.002434458969,      0.3286980056,                 0,                 0,                 0,     0.06433827197,  -0.0004339131773,      0.3287067343,                 0,       135.0189137
          0,           0,           5,      -5.555562173,      -5.567210199,      -5.599515875,      -4.975153094,             0.448,    0.002316799282,      0.3294878561,                 0,                 0,                 0,     0.06457390701,  -0.0005584607664,       0.329495528,                 0,       142.2168328
          0,           0,           6,      -5.556136083,      -5.624774779,      -5.624786849,       -4.97957621,             0.448,    0.002261480341,      0.3301184091,                 0,                 0,                 0,     0.06475680271,  -0.0006192799228,      0.3301255743,                 0,       145.9744766
          0,           0,           7,      -5.540802977,      -5.596095017,      -5.629778564,      -4.964171422,             0.448,    0.002227771402,      0.3307208093,                 0,                 0,                 0,     0.06494755415,   -0.000658244234,      0.3307276574,                 0,        148.453656
          0,           0,           8,      -5.529745163,      -5.554364234,      -5.626560981,      -4.955130118,             0.448,    0.002193891382,      0.3313763291,                 0,                 0,                 0,     0.06512377083,  -0.0006978431507,      0.3313828566,                 0,       151.0450024
          0,           0,           9,      -5.535835665,       -5.57370366,      -5.637068446,      -4.965721791,             0.448,    0.002158266759,      0.3320340329,                 0,                 0,                 0,     0.06525945969,  -0.0007392056618,      0.3320402245,                 0,       153.8429073
          0,           0,          10,      -5.543697318,      -5.611392124,      -5.663606262,      -4.977252107,             0.448,    0.002131688148,      0.3326682328,                 0,                 0,                 0,     0.06536421346,  -0.0007713174061,      0.3326741683,                 0,       156.0585835
          0,           0,          11,      -5.551343735,      -5.631740536,      -5.689141309,      -4.986569554,             0.448,    0.002114003346,      0.3332806558,                 0,                 0,                 0,     0.06544713789,  -0.0007943456509,      0.3332864137,                 0,       157.6537977
          0,           0,          12,      -5.557131222,      -5.636188225,      -5.710850953,      -4.992111169,             0.448,    0.002098862014,      0.3338749112,                 0,                 0,                 0,     0.06551213954,  -0.0008146719885,      0.3338805143,                 0,        159.074255
