"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,          95,      -13.98425273,      -13.85619199,      -14.11103433
          0,           0,          96,       -14.0301846,      -13.91671272,       -14.1348029
          0,           0,          97,      -14.04086596,      -13.92755526,      -14.07316257
          0,           0,          98,      -14.06607336,      -13.94459258,      -14.16667543
          0,           0,          99,      -13.96062933,      -13.83702475,      -14.14534005
          0,           0,         100,      -14.06478718,      -13.92334611,      -14.16391063
          0,           0,         101,      -13.99773327,      -13.88760194,      -14.12023496
          0,           0,         102,      -14.06074782,      -13.93786649,      -14.10768963
          0,           0,         103,       -13.9874466,      -13.86385925,      -14.09279932
          0,           0,         104,      -14.06415247,      -13.95102701,      -14.19152876
          0,           0,         105,      -14.02742697,      -13.88332817,      -14.14746182
          0,           0,         106,      -14.04823728,      -13.92892782,       -14.1056412
          0,           0,         107,      -14.12715299,      -14.01660647,      -14.22189511
          0,           0,         108,       -14.0247756,      -13.91194357,      -14.10499144
          0,           0,         109,      -14.08840029,       -13.9735049,      -14.14066632
          0,           0,         110,      -14.06492793,      -13.91490058,      -14.14976856
          0,           0,         111,       -13.9899757,      -13.85541715,      -14.09146736
          0,           0,         112,      -14.03421542,      -13.89540236,      -14.17992595
          0,           0,         113,      -13.97330183,      -13.84586682,      -14.16699194
          0,           0,         114,       -13.9718507,      -13.86595552,      -14.08268522
          0,           0,         115,      -13.99537747,       -13.8863401,      -14.19826318
          0,           0,         116,       -14.0279111,      -13.90740023,      -14.14011258
          0,           0,         117,      -14.07448939,      -13.93973707,      -14.20775126
          0,           0,         118,      -14.00838952,      -13.88048664,      -14.08872159
          0,           0,         119,      -13.98665768,       -13.8526411,      -14.17026501
          0,           0,         120,      -14.05768948,      -13.92171349,      -14.11752753
          0,           0,         121,       -14.1360277,      -14.02904315,      -14.21106795
          0,           0,         122,      -14.05243277,      -13.93719331,      -14.11833228
          0,           0,         123,      -14.09248146,      -13.96611485,      -14.18116832
          0,           0,         124,      -14.06395227,      -13.92882569,      -14.15970852
          0,           0,         125,      -14.00785992,      -13.89757438,      -14.09462893
          0,           0,         126,      -13.95708443,      -13.85894757,      -14.16362204
          0,           0,         127,      -14.06039585,      -13.93710649,      -14.16064268
          0,           0,         128,      -14.03065212,      -13.91116612,      -14.20027924
          0,           0,         129,      -14.10855635,       -13.9964169,      -14.16470355
          0,           0,         130,      -14.06146005,       -13.9603885,      -14.21622384
          0,           0,         131,      -14.07470523,      -13.95187934,      -14.20147613
          0,           0,         132,      -14.12573914,      -14.01442014,       -14.2547077
          0,           0,         133,      -14.04108576,      -13.91802322,       -14.1073569
          0,           0,         134,      -14.03753035,       -13.9141699,      -14.13963492
          0,           0,         135,      -14.05496594,       -13.9370812,      -14.22551676
          0,           0,         136,      -14.11150042,       -13.9910764,      -14.21423144
          0,           0,         137,      -14.13757619,      -14.01209001,      -14.19018562
          0,           0,         138,      -14.00408821,      -13.86190738,       -14.1172012
          0,           0,         139,      -14.14766538,      -14.02856292,      -14.26211956
          0,           0,         140,      -14.07936856,      -13.95658133,      -14.15713195
          0,           0,         141,      -14.04107505,      -13.92222597,       -14.1522107
          0,           0,         142,      -14.05761766,      -13.92159087,      -14.13342296
          0,           0,         143,       -14.0873433,      -13.96321877,      -14.17501834
          0,           0,         144,      -14.09304869,      -13.96226083,      -14.16998884
          0,           0,         145,      -14.01570199,      -13.87859971,      -14.11513503
          0,           0,         146,      -14.03554651,      -13.91954111,      -14.08540152
          0,           0,         147,      -13.96439748,      -13.82128126,       -14.0907086
          0,           0,         148,      -13.92765277,       -13.8010446,      -14.07104736
          0,           0,         149,      -14.00042172,      -13.89016764,      -14.10505121
          0,           0,         150,      -14.00117427,      -13.87797838,      -14.11755559
          0,           0,         151,      -14.09667927,      -13.98099109,      -14.16120101
          0,           0,         152,      -14.11948056,      -13.98064014,      -14.21258675
          0,           0,         153,      -14.08889427,      -13.96052231,      -14.19755502
