"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
0, 9.997500181200000e-01, -3.633192551942940e-05, 4.849285718078026e-01, -1.138974995205924e+00, -1.295084851578488e-01, 3.102253068154188e-01, 0.000000000000000e+00, 0.000000000000000e+00, -2.077778940446184e+00
1, 9.990000128750000e-01, -1.454406184598998e-04, 1.174217968298080e-02, -1.567183837337257e-01, -9.736122183945031e-02, 2.312593258018533e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.202613641652008e+00
2, 9.977599978450000e-01, -3.271597074334680e-04, -1.017973782170542e-02, -8.051696357903528e-02, -1.304561480792451e-01, 1.180615832941349e-02, 0.000000000000000e+00, 0.000000000000000e+00, 9.997719022734618e-02
3, 9.960200190539999e-01, -5.880509035533382e-04, -3.794108197454460e-02, -2.499136784457555e-02, -1.266192978891121e-01, 7.822719949461938e-04, 0.000000000000000e+00, 0.000000000000000e+00, 9.453210864894114e-02
4, 9.937800168990000e-01, -9.403214957581870e-04, -6.595158252517883e-02, 2.621400087979864e-02, -1.341909541709815e-01, -1.045553587553675e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.152228945644176e-02
5, 9.910500049590000e-01, -1.403399622003661e-03, -7.883275412404400e-02, 5.136124558307219e-02, -1.461691054164937e-01, -1.519107176034717e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.434924058730291e-02
6, 9.878399968150000e-01, -2.003093784949933e-03, -8.320128959778730e-02, 6.324301214775360e-02, -1.623987529441711e-01, -1.733802988453375e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.547384581589449e-02
7, 9.841300249100000e-01, -2.770688206071912e-03, -7.797112497123856e-02, 6.081721289379390e-02, -1.817844099212505e-01, -1.673391387514629e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.897810499923182e-02
8, 9.799500107769999e-01, -3.715859544847603e-03, -6.230790903225880e-02, 4.327808825434661e-02, -2.016381752077027e-01, -1.329821504457879e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.337140097090491e-02
9, 9.752799868580000e-01, -4.836300992892366e-03, -3.679540071396405e-02, 1.160769866004549e-02, -2.183161912761818e-01, -7.215012117947418e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.781297526250549e-02
10, 9.701499938960000e-01, -6.091060100011816e-03, -3.936976757613372e-03, -3.052605160824510e-02, -2.280566516545755e-01, 8.699076808604193e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.249746186656278e-02
11, 9.645400047300000e-01, -7.430254456429062e-03, 3.167603731657581e-02, -7.680251174013847e-02, -2.281436361179736e-01, 9.773801737312666e-03, 0.000000000000000e+00, 0.000000000000000e+00, 7.323703478731723e-03
12, 9.584699869160000e-01, -8.788870799724166e-03, 6.359742358291663e-02, -1.188108925590399e-01, -2.181483984222519e-01, 1.785795509308000e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.153837917253090e-03
13, 9.519400000570000e-01, -1.011953679835141e-02, 8.589147944526797e-02, -1.489040508107339e-01, -2.009067670224967e-01, 2.351578748615516e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.721901728548772e-03
14, 9.449599981310000e-01, -1.139831872162997e-02, 9.584909841156034e-02, -1.634632281478516e-01, -1.813677539561498e-01, 2.599681395217238e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.963177695465491e-03
15, 9.375399947170000e-01, -1.262914130480792e-02, 9.553487576453445e-02, -1.647127753859759e-01, -1.642727988992123e-01, 2.579997095447494e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.976997212809460e-03
16, 9.296900033950000e-01, -1.383568242534736e-02, 9.014802093702358e-02, -1.588189733465158e-01, -1.522877966413520e-01, 2.425433301823938e-02, 0.000000000000000e+00, 0.000000000000000e+00, 6.025107781723940e-03
17, 9.214000105860000e-01, -1.505148333901387e-02, 8.454376880689556e-02, -1.518846308318513e-01, -1.454687153427967e-01, 2.267841909213667e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.980776880541399e-03
18, 9.126999974250000e-01, -1.629990729529808e-02, 8.184277496696564e-02, -1.479410197034337e-01, -1.426298956917676e-01, 2.184153571075545e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.323536837989455e-03
19, 9.035800099370001e-01, -1.759973270916560e-02, 8.272451958716197e-02, -1.480932607223394e-01, -1.419931237906919e-01, 2.197252756666861e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.571252063656859e-03
20, 8.940600156780000e-01, -1.895420094451598e-02, 8.689802700570411e-02, -1.521517908228458e-01, -1.421775450118585e-01, 2.295297791741325e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.793431474668356e-03
21, 8.841500282290000e-01, -2.035956963975605e-02, 9.340227840374438e-02, -1.590315204038157e-01, -1.422668151644406e-01, 2.454929605130033e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.134985942050320e-03
22, 8.738499879840000e-01, -2.180910450738484e-02, 1.012022919924970e-01, -1.675287306809167e-01, -1.417884888583597e-01, 2.649434315395086e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.670375925119790e-03
23, 8.631799817090000e-01, -2.329221225857808e-02, 1.096293351746199e-01, -1.768035148124056e-01, -1.407458234333936e-01, 2.858648344105009e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.309291070066246e-03
24, 8.521599769590000e-01, -2.479941411388849e-02, 1.180965290494742e-01, -1.861637492439241e-01, -1.391724862950155e-01, 3.070758361816598e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.115181829975665e-03
25, 8.407700061800000e-01, -2.632837844040065e-02, 1.265195014151219e-01, -1.954614921717473e-01, -1.373122761548916e-01, 3.279861572113599e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.963915838542552e-03
26, 8.290500044819999e-01, -2.787021488138413e-02, 1.347854821905969e-01, -2.045695430165552e-01, -1.352443644924478e-01, 3.486874106503177e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.868574477986907e-03
27, 8.170099854470000e-01, -2.942117713831363e-02, 1.430334579184591e-01, -2.136276446464823e-01, -1.330783027063487e-01, 3.692994924151296e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.758695454642157e-03
28, 8.046399950980000e-01, -3.098043869668328e-02, 1.513793631538213e-01, -2.227590359598671e-01, -1.308449734919085e-01, 3.901531663873043e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.584203496016346e-03
29, 7.919700145720000e-01, -3.254208524852829e-02, 1.598886611948664e-01, -2.320608412566862e-01, -1.285092272360441e-01, 4.115182940573014e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.365851793756750e-03
30, 7.790099978450000e-01, -3.410258005712836e-02, 1.686844378180029e-01, -2.416467086396339e-01, -1.260974144320613e-01, 4.334601873554561e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.138824748074230e-03
31, 7.657799720760000e-01, -3.565691829020576e-02, 1.776982497526754e-01, -2.514594157110547e-01, -1.235328210099479e-01, 4.560713304571237e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.045301933726187e-03
32, 7.522799968720000e-01, -3.720220817007197e-02, 1.869484688614420e-01, -2.615076401194912e-01, -1.208224920633618e-01, 4.792285814548101e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.050993234567168e-03
33, 7.385200262070000e-01, -3.873417196921779e-02, 1.963072159707110e-01, -2.716580492647558e-01, -1.179049017672302e-01, 5.028294972003791e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.084749150975005e-03
34, 7.245299816130000e-01, -4.024632525652858e-02, 2.057618724351474e-01, -2.818845384018903e-01, -1.147931439637809e-01, 5.266118098048937e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.047770180768675e-03
35, 7.103199958800001e-01, -4.173450700864240e-02, 2.152130584896788e-01, -2.920804596268105e-01, -1.114536982817813e-01, 5.504574643807689e-02, 0.000000000000000e+00, 0.000000000000000e+00, 9.653659106868791e-04
36, 6.958900094030001e-01, -4.319567741362804e-02, 2.246892318563505e-01, -3.022706898187990e-01, -1.079221982305370e-01, 5.743015509673897e-02, 0.000000000000000e+00, 0.000000000000000e+00, 8.075544157663948e-04
