"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.632896519016437e-05, 1.311233475391767e+00, 7.304746811453822e-01, 1.061055531214805e-01, 3.757093719711418e+00
1, 9.990000128750000e-01, -1.452537504052920e-04, 1.172374916892913e+00, 7.255980902193476e-01, 1.052953147582993e-01, 3.371651535508129e+00
2, 9.977599978450000e-01, -3.251111630156300e-04, 1.160021151238198e+00, 7.813735882996069e-01, 1.132062197283184e-01, 3.348074937264120e+00
3, 9.960200190539999e-01, -5.769983605901485e-04, 1.142017657440789e+00, 8.072710301840582e-01, 1.166949083752014e-01, 3.303761382441077e+00
4, 9.937800168990000e-01, -9.004365425509819e-04, 1.128417620758303e+00, 8.217026343840350e-01, 1.184381760707438e-01, 3.269439841315580e+00
5, 9.910500049590000e-01, -1.293363843462116e-03, 1.118715044867300e+00, 8.350575019031150e-01, 1.199404499822658e-01, 3.245706077600215e+00
6, 9.878399968150000e-01, -1.753609743384430e-03, 1.109775943822335e+00, 8.449906038805052e-01, 1.208648943070103e-01, 3.223406342422929e+00
7, 9.841300249100000e-01, -2.283176811071472e-03, 1.101880230753100e+00, 8.537569542225422e-01, 1.215406166926446e-01, 3.203764125316442e+00
8, 9.799500107769999e-01, -2.876826092032643e-03, 1.094602306623593e+00, 8.614364713817070e-01, 1.219776470769295e-01, 3.185614095986498e+00
9, 9.752799868580000e-01, -3.536324145770189e-03, 1.087822126637305e+00, 8.683282172646942e-01, 1.222251784846809e-01, 3.168682910702240e+00
10, 9.701499938960000e-01, -4.256268552403566e-03, 1.081433387239475e+00, 8.745862227474274e-01, 1.223039490080362e-01, 3.152706331029566e+00
11, 9.645400047300000e-01, -5.038225493362627e-03, 1.075356286894094e+00, 8.803260260485389e-01, 1.222362768583976e-01, 3.137486785620645e+00
12, 9.584699869160000e-01, -5.878077433056352e-03, 1.069546763883870e+00, 8.856433801096545e-01, 1.220362252402607e-01, 3.122921398162947e+00
13, 9.519400000570000e-01, -6.774428848839826e-03, 1.063959613116540e+00, 8.905831999974664e-01, 1.217146562395790e-01, 3.108893588869311e+00
14, 9.449599981310000e-01, -7.724467125531491e-03, 1.058570215957068e+00, 8.952082726921113e-01, 1.212833087819605e-01, 3.095348062620125e+00
15, 9.375399947170000e-01, -8.725349486403867e-03, 1.053355467813118e+00, 8.995480576807353e-01, 1.207500325554269e-01, 3.082226324715899e+00
16, 9.296900033950000e-01, -9.774221272349531e-03, 1.048292184631991e+00, 9.036394668307763e-01, 1.201220887666336e-01, 3.069472042698636e+00
17, 9.214000105860000e-01, -1.087086069705918e-02, 1.043358557468464e+00, 9.075091726304381e-01, 1.194081758878023e-01, 3.057030706173132e+00
18, 9.126999974250000e-01, -1.200973104171110e-02, 1.038547546942804e+00, 9.111797863940532e-01, 1.186118189781116e-01, 3.044887074479279e+00
19, 9.035800099370001e-01, -1.319055953446835e-02, 1.033839455304926e+00, 9.146573773499654e-01, 1.177393312645313e-01, 3.032987848554504e+00
20, 8.940600156780000e-01, -1.440916392228702e-02, 1.029234096123075e+00, 9.179778785397158e-01, 1.167969463668168e-01, 3.021340336929040e+00
21, 8.841500282290000e-01, -1.566269158090452e-02, 1.024719638547057e+00, 9.211419692562599e-01, 1.157874987424994e-01, 3.009911532927338e+00
22, 8.738499879840000e-01, -1.694956337677533e-02, 1.020275975864853e+00, 9.241516378311411e-01, 1.147144080397971e-01, 2.998646545592924e+00
23, 8.631799817090000e-01, -1.826569132102762e-02, 1.015911482455243e+00, 9.270482602741229e-01, 1.135848511696846e-01, 2.987577927185989e+00
24, 8.521599769590000e-01, -1.960709133914372e-02, 1.011598124038475e+00, 9.298137205380091e-01, 1.123968409491617e-01, 2.976624369768864e+00
25, 8.407700061800000e-01, -2.097463226217677e-02, 1.007334329214441e+00, 9.324754083605952e-01, 1.111576426060886e-01, 2.965788301782626e+00
26, 8.290500044819999e-01, -2.236196298315981e-02, 1.003110601524389e+00, 9.350297198155262e-01, 1.098654407491910e-01, 2.955042479220804e+00
27, 8.170099854470000e-01, -2.376642068849115e-02, 9.989231428918353e-01, 9.374936022569329e-01, 1.085231219429534e-01, 2.944380704161616e+00
28, 8.046399950980000e-01, -2.518763605296113e-02, 9.947645557573586e-01, 9.398630914198010e-01, 1.071312146622623e-01, 2.933781527225686e+00
29, 7.919700145720000e-01, -2.662062628442961e-02, 9.906358855036009e-01, 9.421429497612677e-01, 1.056880381441147e-01, 2.923248533107771e+00
30, 7.790099978450000e-01, -2.806276676215449e-02, 9.865356799228108e-01, 9.443526634235533e-01, 1.041963284162594e-01, 2.912782788204321e+00
31, 7.657799720760000e-01, -2.951033727360171e-02, 9.824453955530720e-01, 9.464883228945987e-01, 1.026528933855303e-01, 2.902332984862702e+00
32, 7.522799968720000e-01, -3.096181144522562e-02, 9.783353728107971e-01, 9.485483539584508e-01, 1.010555881764387e-01, 2.891818758111273e+00
33, 7.385200262070000e-01, -3.241453277608040e-02, 9.742038652386965e-01, 9.505555286252294e-01, 9.940425884293672e-02, 2.881241659765675e+00
34, 7.245299816130000e-01, -3.386376679305321e-02, 9.700574192285819e-01, 9.525109176763542e-01, 9.769509916751529e-02, 2.870619458111917e+00
35, 7.103199958800001e-01, -3.530689307158652e-02, 9.658787069967701e-01, 9.543929053354674e-01, 9.592208924508770e-02, 2.859899465125334e+00
36, 6.958900094030001e-01, -3.674225211597043e-02, 9.616902828864162e-01, 9.562468874202164e-01, 9.408615476287578e-02, 2.849154987296513e+00
37, 6.812700033190000e-01, -3.816515293304169e-02, 9.574483171999847e-01, 9.580186916215031e-01, 9.217559058075028e-02, 2.838253068613933e+00
38, 6.664699912070000e-01, -3.957289370556494e-02, 9.531660739678770e-01, 9.597519429509606e-01, 9.018991448129247e-02, 2.827241802996269e+00
39, 6.514999866490000e-01, -4.096270419333766e-02, 9.488254819053191e-01, 9.614372878176684e-01, 8.812220750282200e-02, 2.816070277605898e+00
40, 6.363800168040000e-01, -4.233084266562091e-02, 9.444146722753013e-01, 9.630655891829607e-01, 8.596516297348221e-02, 2.804704284862868e+00
41, 6.211299896240000e-01, -4.367359094194759e-02, 9.399356782728355e-01, 9.646568626953219e-01, 8.371363545651014e-02, 2.793155370012984e+00
42, 6.057599782940000e-01, -4.498807223669178e-02, 9.353643056099354e-01, 9.661853564189319e-01, 8.135797342326131e-02, 2.781351689971967e+00
43, 5.902799963950000e-01, -4.627132533375768e-02, 9.307093186201818e-01, 9.676773418141994e-01, 7.889265551386941e-02, 2.769324814901609e+00
44, 5.747100114820000e-01, -4.751950934859488e-02, 9.259562563997503e-01, 9.691025875911644e-01, 7.630615522997636e-02, 2.757027617615966e+00
45, 5.590599775310000e-01, -4.872955796694115e-02, 9.211226105275971e-01, 9.704832475272367e-01, 7.359355262889765e-02, 2.744513845605449e+00
46, 5.433599948880000e-01, -4.989683951066199e-02, 9.161925505119520e-01, 9.717869154545039e-01, 7.074180266988497e-02, 2.731732031323575e+00
47, 5.276100039480000e-01, -5.101897737545535e-02, 9.111821620532594e-01, 9.730289549955260e-01, 6.774601791339063e-02, 2.718730185148405e+00
48, 5.118399858470000e-01, -5.209138375948307e-02, 9.061067386107625e-01, 9.741764233044505e-01, 6.459190326234446e-02, 2.705539231132202e+00
49, 4.960500001910000e-01, -5.311153541819326e-02, 9.010378990959083e-01, 9.752688846388237e-01, 6.127597298029485e-02, 2.692361789774478e+00
50, 4.802699983120000e-01, -5.407492053959814e-02, 8.959104063395400e-01, 9.762897023422415e-01, 5.778555786431036e-02, 2.679019926624517e+00
51, 4.645099937920000e-01, -5.497835513414191e-02, 8.903857140907984e-01, 9.772466046909882e-01, 5.411254150661018e-02, 2.664620379222616e+00
52, 4.487800002100000e-01, -5.581859897363720e-02, 8.841420372979802e-01, 9.780664789920509e-01, 5.024468844582172e-02, 2.648292134356586e+00
53, 4.331099987030000e-01, -5.659141825851464e-02, 8.780440638197252e-01, 9.787113365983638e-01, 4.616867720402234e-02, 2.632313252025350e+00
54, 4.174999892710000e-01, -5.729416860686566e-02, 8.743007772457656e-01, 9.791843460988785e-01, 4.187865868070417e-02, 2.622515363889738e+00
55, 4.019699990750000e-01, -5.792324246601335e-02, 8.745775847509557e-01, 9.796336767408488e-01, 3.737040493729873e-02, 2.623331706736548e+00
56, 3.865399956700000e-01, -5.847520956655861e-02, 8.763249731082065e-01, 9.801199940975217e-01, 3.263668722822767e-02, 2.628047727519435e+00
57, 3.712300062180000e-01, -5.894684318665333e-02, 8.706387777397133e-01, 9.805818954477289e-01, 2.766224973211887e-02, 2.613135711706192e+00
58, 3.560400009160000e-01, -5.933561549045978e-02, 8.479527858590319e-01, 9.802804807004663e-01, 2.242048076551739e-02, 2.553240854050555e+00
59, 3.409900069240000e-01, -5.963847719943702e-02, 8.134205522462411e-01, 9.781281487594127e-01, 1.689351285324571e-02, 2.461956577417503e+00
60, 3.261100053790000e-01, -5.985254444802346e-02, 7.887652023342979e-01, 9.754406256393300e-01, 1.111503421399059e-02, 2.396701025932253e+00
61, 3.113999962810000e-01, -5.997565198183213e-02, 7.805219139354557e-01, 9.739401193514715e-01, 5.094736641830622e-03, 2.374721618057555e+00
62, 2.968699932100000e-01, -6.000550062925582e-02, 7.816981472523564e-01, 9.738788272163116e-01, -1.201640155590331e-03, 2.377751102220071e+00
63, 2.825500071050000e-01, -5.994005483718394e-02, 7.853499741749902e-01, 9.742811859635764e-01, -7.810864009559733e-03, 2.387396854326624e+00
64, 2.684499919410000e-01, -5.977765596976551e-02, 7.888026404888198e-01, 9.748423188580325e-01, -1.475420983547446e-02, 2.396604145644811e+00
65, 2.545700073240000e-01, -5.951657836311273e-02, 7.919814287394031e-01, 9.753109416796700e-01, -2.204455460362080e-02, 2.405090745470085e+00
66, 2.409400045870000e-01, -5.915585896897953e-02, 7.955080499366344e-01, 9.757854741856108e-01, -2.970760920927139e-02, 2.414512403909082e+00
67, 2.275699973110000e-01, -5.869456802648413e-02, 7.995341285228978e-01, 9.761801815044543e-01, -3.775956940952899e-02, 2.425239024246705e+00
68, 2.144699990750000e-01, -5.813197420944613e-02, 8.039700559227627e-01, 9.765096985793285e-01, -4.622333945808270e-02, 2.437048314629865e+00
69, 2.016600072380000e-01, -5.746811193675738e-02, 8.086497482688607e-01, 9.766896882326034e-01, -5.512698748018469e-02, 2.449484012555997e+00
70, 1.891400069000000e-01, -5.670228146432130e-02, 8.136239350198855e-01, 9.767466923779490e-01, -6.449668830633262e-02, 2.462694218675836e+00
71, 1.769299954180000e-01, -5.583513598033686e-02, 8.191276643378911e-01, 9.766609834727994e-01, -7.437168065660030e-02, 2.477294513067906e+00
72, 1.650400012730000e-01, -5.486709202536137e-02, 8.254010586448904e-01, 9.764141807883383e-01, -8.478470879421143e-02, 2.493917451856671e+00
73, 1.534900069240000e-01, -5.379977779145956e-02, 8.324096454917518e-01, 9.759009719593876e-01, -9.577389313282431e-02, 2.512450746905736e+00
74, 1.422899961470000e-01, -5.263443049277360e-02, 8.399605835624532e-01, 9.750673387093408e-01, -1.073874428943221e-01, 2.532385899001989e+00
75, 1.314399987460000e-01, -5.137133628795417e-02, 8.478896991373873e-01, 9.737929298484208e-01, -1.196732626000913e-01, 2.553267386675566e+00
76, 1.209499984980000e-01, -5.001187382363489e-02, 8.562915128059426e-01, 9.721070306683296e-01, -1.326988121691962e-01, 2.575370647692626e+00
77, 1.108499988910000e-01, -4.856066993422563e-02, 8.653260092610839e-01, 9.698992032633508e-01, -1.465478221924980e-01, 2.599102228702266e+00
78, 1.011300012470000e-01, -4.701715290498424e-02, 8.750492236567047e-01, 9.669594457009975e-01, -1.612648186040352e-01, 2.624567050078084e+00
79, 9.181000292300000e-02, -4.538527151431038e-02, 8.854863560671613e-01, 9.631507585120918e-01, -1.769512655481864e-01, 2.651820880110419e+00
80, 8.290000259900000e-02, -4.366791468532204e-02, 8.967164433888772e-01, 9.583897257338698e-01, -1.937252557300174e-01, 2.681085731015171e+00
81, 7.440000027400000e-02, -4.186607976498817e-02, 9.087799381507905e-01, 9.524122387985766e-01, -2.116789167918534e-01, 2.712432177236579e+00
82, 6.633000075800000e-02, -3.998513962421356e-02, 9.217994616186481e-01, 9.449828527966890e-01, -2.309657024822416e-01, 2.746172766423959e+00
83, 5.869000032500000e-02, -3.802635805630503e-02, 9.358769805433776e-01, 9.357406622399012e-01, -2.517017068928089e-01, 2.782540369843047e+00
84, 5.149000138000000e-02, -3.599337852580232e-02, 9.511512754224201e-01, 9.242195671793682e-01, -2.740243418491244e-01, 2.821856983614726e+00
85, 4.473999887700000e-02, -3.389028465845557e-02, 9.678901277950968e-01, 9.098108292314133e-01, -2.980599924459496e-01, 2.864776600579065e+00
86, 3.844000026600000e-02, -3.171811260404538e-02, 9.863423064922877e-01, 8.917353524969504e-01, -3.238740771115329e-01, 2.911890512313426e+00
87, 3.260000050100000e-02, -2.948109446637338e-02, 1.006803991272119e+00, 8.690375465383388e-01, -3.514844263810145e-01, 2.963918907420164e+00
88, 2.723000012300000e-02, -2.718419978786347e-02, 1.029611233439742e+00, 8.402754614424255e-01, -3.807232593828700e-01, 3.021623334123288e+00
89, 2.232000045500000e-02, -2.482329437156798e-02, 1.055199602270976e+00, 8.037147802104289e-01, -4.109501229861229e-01, 3.086022659859532e+00
90, 1.789999939500000e-02, -2.241364555514381e-02, 1.083988381553338e+00, 7.569579043810701e-01, -4.411853021672876e-01, 3.158056989267430e+00
91, 1.394999958600000e-02, -1.994492353858276e-02, 1.116498453113616e+00, 6.973105108278735e-01, -4.690598104380519e-01, 3.238938595343168e+00
92, 1.049000024800000e-02, -1.742916196961543e-02, 1.152837664394117e+00, 6.213277612090164e-01, -4.906228873800661e-01, 3.328716713513262e+00
93, 7.519999985000000e-03, -1.486756313872443e-02, 1.192700481041169e+00, 5.264164923694945e-01, -4.992589246671184e-01, 3.426511954122645e+00
94, 5.040000193000000e-03, -1.226032473458219e-02, 1.234887123859104e+00, 4.115364605288306e-01, -4.844527797410766e-01, 3.529176033187014e+00
95, 3.049999941000000e-03, -9.605565346412577e-03, 1.277789826305935e+00, 2.818390625229615e-01, -4.327045110641406e-01, 3.633233743166409e+00
96, 1.560000004000000e-03, -6.917517506923035e-03, 1.313426757350763e+00, 1.528126226350685e-01, -3.333896276463424e-01, 3.718547172849810e+00
97, 5.600000150000000e-04, -4.173159738460802e-03, 1.345104132278616e+00, 4.838376537799795e-02, -1.787679415210737e-01, 3.796892253418362e+00
98, 5.999999800000000e-05, -1.375329724321098e-03, 1.349588164152647e+00, -9.702844487845675e-04, 7.230628371538282e-03, 3.805900312587734e+00
99, 0.000000000000000e+00, 0.000000000000000e+00, 1.335648962478768e+00, 0.000000000000000e+00, 1.403460386988693e-01, 3.768692286212870e+00
100, 5.999999800000000e-05, 1.375329724321098e-03, 1.334294901488882e+00, 3.650936874981899e-02, 2.720703993969805e-01, 3.770834999514256e+00
101, 5.600000150000000e-04, 4.173159738460802e-03, 1.304294744077551e+00, 1.208536874505062e-01, 4.465292182609475e-01, 3.701603739641896e+00
102, 1.560000004000000e-03, 6.917517506923035e-03, 1.241281824271978e+00, 2.608389102205229e-01, 5.690693978976425e-01, 3.545566789810418e+00
103, 3.049999941000000e-03, 9.605565346412577e-03, 1.184089000352117e+00, 4.074998066942148e-01, 6.256301132849047e-01, 3.406437308738368e+00
104, 5.040000193000000e-03, 1.226032473458219e-02, 1.125806970648975e+00, 5.389535943552182e-01, 6.344457708590777e-01, 3.262758377234604e+00
105, 7.519999985000000e-03, 1.486756313872443e-02, 1.072108116650278e+00, 6.456980965414063e-01, 6.123868495985387e-01, 3.128914981718268e+00
106, 1.049000024800000e-02, 1.742916196961543e-02, 1.024929912576540e+00, 7.275570434809217e-01, 5.745053733181462e-01, 3.010129515451907e+00
107, 1.394999958600000e-02, 1.994492353858276e-02, 9.843886341843066e-01, 7.888489272014415e-01, 5.306349503007918e-01, 2.907186875811490e+00
108, 1.789999939500000e-02, 2.241364555514381e-02, 9.497235542464434e-01, 8.340935547905218e-01, 4.861430402882603e-01, 2.818458127672979e+00
109, 2.232000045500000e-02, 2.482329437156798e-02, 9.199898710026034e-01, 8.674716165420276e-01, 4.435498466403486e-01, 2.741809325660818e+00
110, 2.723000012300000e-02, 2.718419978786347e-02, 8.944129850273149e-01, 8.920492240050107e-01, 4.041816091001225e-01, 2.675473159369117e+00
111, 3.260000050100000e-02, 2.948109446637338e-02, 8.721843236126314e-01, 9.101991175551325e-01, 3.681323275394960e-01, 2.617489223434747e+00
112, 3.844000026600000e-02, 3.171811260404538e-02, 8.526577248385324e-01, 9.236079208196198e-01, 3.354500437049555e-01, 2.566306439094376e+00
113, 4.473999887700000e-02, 3.389028465845557e-02, 8.352929480319708e-01, 9.334934590059251e-01, 3.058185772252213e-01, 2.520590170299941e+00
114, 5.149000138000000e-02, 3.599337852580232e-02, 8.197813270204773e-01, 9.406863345437965e-01, 2.789066179333573e-01, 2.479576359331563e+00
115, 5.869000032500000e-02, 3.802635805630503e-02, 8.058802882303433e-01, 9.458471900099725e-01, 2.544202275183817e-01, 2.442679527557992e+00
116, 6.633000075800000e-02, 3.998513962421356e-02, 7.932253437956469e-01, 9.494514920463003e-01, 2.320578941557431e-01, 2.408976265942190e+00
117, 7.440000027400000e-02, 4.186607976498817e-02, 7.814162851178159e-01, 9.517533733076328e-01, 2.115324802722952e-01, 2.377409821069631e+00
118, 8.290000259900000e-02, 4.366791468532204e-02, 7.702812588285931e-01, 9.530690882141375e-01, 1.926497622887999e-01, 2.347570115433057e+00
119, 9.181000292300000e-02, 4.538527151431038e-02, 7.597521883488666e-01, 9.535719579513531e-01, 1.751914362933408e-01, 2.319280494659331e+00
120, 1.011300012470000e-01, 4.701715290498424e-02, 7.499075729772205e-01, 9.534141493353331e-01, 1.590057996027129e-01, 2.292750796178030e+00
121, 1.108499988910000e-01, 4.856066993422563e-02, 7.409088226160789e-01, 9.528386964035417e-01, 1.439700490410268e-01, 2.268445752389483e+00
122, 1.209499984980000e-01, 5.001187382363489e-02, 7.327019314346531e-01, 9.519732831545528e-01, 1.299504271711417e-01, 2.246237364982593e+00
123, 1.314399987460000e-01, 5.137133628795417e-02, 7.248303534557199e-01, 9.506162484020634e-01, 1.168249885985947e-01, 2.224846585581288e+00
