"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.632992137425270e-05, 1.306918994070632e+00, 7.390454225812892e-01, 1.073951154414753e-01, 3.746554351340027e+00
1, 9.990000128750000e-01, -1.453141166266332e-04, 1.168418025357451e+00, 7.269783680823229e-01, 1.057370746863588e-01, 3.360993537120749e+00
2, 9.977599978450000e-01, -3.257730900892821e-04, 1.158291688112429e+00, 7.790058016111037e-01, 1.137813420399037e-01, 3.342894860596955e+00
3, 9.960200190539999e-01, -5.805710755899129e-04, 1.142956625984621e+00, 8.015200085519889e-01, 1.183282662636033e-01, 3.305254242231064e+00
4, 9.937800168990000e-01, -9.133370187218038e-04, 1.131909166210549e+00, 8.125300942572932e-01, 1.223555874294990e-01, 3.277265695470050e+00
5, 9.910500049590000e-01, -1.328985193940153e-03, 1.124349884439763e+00, 8.230850025033005e-01, 1.276383263980310e-01, 3.258882264100944e+00
6, 9.878399968150000e-01, -1.834474228106716e-03, 1.116469886171488e+00, 8.312744791590237e-01, 1.336388587531837e-01, 3.239216508736444e+00
7, 9.841300249100000e-01, -2.441467604417501e-03, 1.108059293817216e+00, 8.398613093458195e-01, 1.400231527097496e-01, 3.218261906848178e+00
8, 9.799500107769999e-01, -3.149906559115270e-03, 1.098450491504706e+00, 8.492674162766176e-01, 1.458003214088719e-01, 3.194263173605127e+00
9, 9.752799868580000e-01, -3.960822247881259e-03, 1.087712929617180e+00, 8.596039783292964e-01, 1.498322705898760e-01, 3.167412342458501e+00
10, 9.701499938960000e-01, -4.858087091217041e-03, 1.076397909886367e+00, 8.703906331536400e-01, 1.512857798289907e-01, 3.139089167671868e+00
11, 9.645400047300000e-01, -5.827577828300179e-03, 1.065440133813997e+00, 8.807517097952366e-01, 1.499337435863730e-01, 3.111631041841202e+00
12, 9.584699869160000e-01, -6.846419503348852e-03, 1.055863236931855e+00, 8.898261749081965e-01, 1.462999463183494e-01, 3.087622565663182e+00
13, 9.519400000570000e-01, -7.899195925465065e-03, 1.048259480955892e+00, 8.970363988854448e-01, 1.414589507403581e-01, 3.068543544382198e+00
14, 9.449599981310000e-01, -8.976889170370882e-03, 1.042642806190008e+00, 9.023399451911323e-01, 1.366067395089825e-01, 3.054432287744917e+00
15, 9.375399947170000e-01, -1.007923659516262e-02, 1.038514220458944e+00, 9.060978076224642e-01, 1.326382549303724e-01, 3.044030944473627e+00
16, 9.296900033950000e-01, -1.121217264367878e-02, 1.035152990570610e+00, 9.089135591934457e-01, 1.299383334783233e-01, 3.035534107939792e+00
17, 9.214000105860000e-01, -1.238660963315508e-02, 1.031905087972435e+00, 9.113620141071852e-01, 1.284281946842248e-01, 3.027303997802799e+00
18, 9.126999974250000e-01, -1.360638675467495e-02, 1.028360301542454e+00, 9.138436791784051e-01, 1.277462789353317e-01, 3.018316681302035e+00
19, 9.035800099370001e-01, -1.487766890883073e-02, 1.024350708051156e+00, 9.165327840358221e-01, 1.274723212060725e-01, 3.008149046471976e+00
20, 8.940600156780000e-01, -1.619885456588207e-02, 1.019906302790434e+00, 9.194615654075070e-01, 1.272666196410014e-01, 2.996881780132953e+00
21, 8.841500282290000e-01, -1.756705602918058e-02, 1.015137676105844e+00, 9.225461153825369e-01, 1.269221425249889e-01, 2.984788135029619e+00
22, 8.738499879840000e-01, -1.897931179467674e-02, 1.010156073665531e+00, 9.256791229863929e-01, 1.263547591493538e-01, 2.972140124232274e+00
23, 8.631799817090000e-01, -2.042945738575119e-02, 1.005070601319769e+00, 9.288152492568837e-01, 1.255649010019427e-01, 2.959221734894709e+00
24, 8.521599769590000e-01, -2.191154626139568e-02, 9.999086788288792e-01, 9.318837292867295e-01, 1.245769234413207e-01, 2.946089798303110e+00
25, 8.407700061800000e-01, -2.342528800073034e-02, 9.946861608047910e-01, 9.348860863949430e-01, 1.234264466551228e-01, 2.932789011693779e+00
