"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , -0.309903       , 0.001           
1               , -0.154829       , 0.001           
2               , -0.0362138      , 0.001           
3               , 0.0420183       , 0.001           
4               , 0.084485        , 0.001           
5               , 0.0985107       , 0.001           
6               , 0.0932103       , 0.001           
7               , 0.0785338       , 0.001           
8               , 0.0636179       , 0.001           
9               , 0.0547988       , 0.001           
10              , 0.0541907       , 0.001           
11              , 0.0598216       , 0.001           
12              , 0.0676447       , 0.001           
13              , 0.0744423       , 0.001           
14              , 0.0796718       , 0.001           
15              , 0.0849937       , 0.001           
16              , 0.0926434       , 0.001           
17              , 0.105506        , 0.001           
18              , 0.137284        , 0.001           
19              , -0.403647       , 0.001           
20              , -0.030437       , 0.001           
21              , 0.192957        , 0.001           
22              , 0.289687        , 0.001           
23              , 0.2929          , 0.001           
24              , 0.234454        , 0.001           
25              , 0.141007        , 0.001           
26              , 0.032197        , 0.001           
27              , -0.079377       , 0.001           
28              , -0.186241       , 0.001           
29              , -0.282269       , 0.001           
30              , -0.357698       , 0.001           
31              , -0.395165       , 0.001           
32              , -0.372233       , 0.001           
33              , -0.27918        , 0.001           
34              , -0.152404       , 0.001           
35              , -0.0786801      , 0.001           
36              , -0.0944814      , 0.001           
37              , -0.140714       , 0.001           
