"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          54,      -5.974004313,      -5.951590643,      -6.234042915,      -6.303180309,      -5.366142142,      -9.501615003
          0,           0,          55,      -5.959561881,      -5.955554983,      -6.254381849,      -6.307765226,      -5.350732452,      -9.488756519
          0,           0,          56,      -5.939286776,      -5.960221833,      -6.270958806,      -6.309094058,      -5.329132012,      -9.477822359
          0,           0,          57,       -5.91620756,      -5.965455196,      -6.283644376,      -6.307598593,      -5.304446669,      -9.468752392
          0,           0,          58,      -5.894660853,      -5.970881725,      -6.292245522,      -6.303316535,      -5.281183078,      -9.461435529
          0,           0,          59,      -5.876672549,      -5.976417975,      -6.297122827,      -6.297542494,      -5.261526339,      -9.455768714
          0,           0,          60,      -5.862406149,       -5.98244974,      -6.298564761,      -6.290902947,       -5.24574354,      -9.451651232
          0,           0,          61,      -5.853830472,       -5.98902644,      -6.296734566,      -6.282999376,      -5.235787951,      -9.448938337
          0,           0,          62,      -5.851261177,      -5.996286658,      -6.292275472,      -6.274693116,       -5.23200052,      -9.447462041
          0,           0,          63,       -5.85632249,      -6.004420591,      -6.285807224,      -6.266444617,      -5.236016345,      -9.447032766
          0,           0,          64,      -5.865338073,      -6.014233393,      -6.278519494,      -6.259006547,      -5.244237048,      -9.447533615
          0,           0,          65,      -5.879025034,      -6.024177088,      -6.270737102,      -6.252301417,       -5.25726771,       -9.44879479
          0,           0,          66,      -5.897075871,      -6.033399359,      -6.263016387,      -6.245984291,      -5.274771937,      -9.450648021
          0,           0,          67,      -5.917297745,      -6.041621966,      -6.255996428,      -6.240553864,      -5.294584663,      -9.452907086
          0,           0,          68,      -5.940578986,      -6.048752961,      -6.249903366,      -6.235974285,      -5.317536464,      -9.455391775
          0,           0,          69,      -5.965575859,      -6.054943216,      -6.244886964,       -6.23207658,      -5.342320703,      -9.458098396
          0,           0,          70,      -5.992055202,      -6.060299487,      -6.241169245,      -6.228911749,      -5.368636318,      -9.460750582
          0,           0,          71,      -6.019343609,      -6.064910186,      -6.238884516,      -6.227039087,      -5.395810245,      -9.463352362
          0,           0,          72,      -6.046916967,      -6.068860917,      -6.238083446,      -6.226425863,      -5.423311483,      -9.465651894
          0,           0,          73,       -6.07404947,      -6.072376595,      -6.238753059,      -6.226827459,      -5.450388765,      -9.467963625
          0,           0,          74,      -6.100281584,      -6.075646865,      -6.240830408,      -6.228163045,      -5.476549394,      -9.469911395
          0,           0,          75,      -6.125397211,      -6.078771475,      -6.244207196,      -6.230245625,      -5.501556299,      -9.471495518
          0,           0,          76,      -6.149262201,      -6.081961949,      -6.248757549,      -6.233089722,      -5.525324128,       -9.47275105
          0,           0,          77,      -6.168620832,      -6.085663676,      -6.254369639,      -6.236760034,      -5.544720461,      -9.473697878
          0,           0,          78,      -6.183579173,      -6.089662905,      -6.260797869,      -6.241148902,      -5.559743585,      -9.474335625
          0,           0,          79,      -6.194455685,      -6.093890198,      -6.267902629,      -6.246001072,      -5.570672595,      -9.474697815
          0,           0,          80,      -6.201094573,      -6.098191861,      -6.275627927,      -6.251061994,      -5.577394275,      -9.474845463
          0,           0,          81,      -6.203583233,      -6.102807581,      -6.283923568,      -6.256313155,      -5.580023582,      -9.474785604
          0,           0,          82,      -6.202812377,      -6.108383544,      -6.292715747,      -6.261786431,      -5.579426614,       -9.47461703
          0,           0,          83,      -6.201577294,      -6.113881084,      -6.301963585,      -6.267673971,      -5.578312749,      -9.474376744
