"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,          63,      -8.933052854,       -8.98329229,      -9.192887091,      -9.000270417,      -8.356971191
          0,           0,          64,      -8.998284245,      -9.049958614,      -9.257632071,      -9.071936272,      -8.430262443
          0,           0,          65,      -9.060766594,      -9.115364363,      -9.336944212,      -9.144393775,      -8.493071507
          0,           0,          66,      -9.125760331,      -9.174729059,      -9.424620942,      -9.213613189,      -8.551029617
          0,           0,          67,      -9.183024976,      -9.232536827,       -9.50196364,      -9.278370499,      -8.615551304
          0,           0,          68,      -9.238807686,      -9.288009973,      -9.589164295,      -9.341326245,      -8.669639612
          0,           0,          69,      -9.297830747,      -9.338908188,      -9.675986808,      -9.398604051,      -8.720793885
          0,           0,          70,      -9.355693275,      -9.394837777,      -9.744008177,      -9.457195232,      -8.784093607
          0,           0,          71,      -9.414591888,      -9.450875511,      -9.815244644,      -9.512572789,        -8.8411243
          0,           0,          72,      -9.479222438,      -9.506802323,      -9.880527977,      -9.564499353,      -8.898957968
          0,           0,          73,      -9.546423766,      -9.572189329,      -9.927384378,      -9.626035385,      -8.971831935
          0,           0,          74,       -9.61393794,      -9.638168214,        -9.9810905,       -9.68644579,      -9.038170234
          0,           0,          75,      -9.687448735,      -9.704710806,      -10.03766472,       -9.74826515,      -9.106213017
          0,           0,          76,      -9.758579809,      -9.777003902,      -10.08269295,      -9.819748873,      -9.184891254
          0,           0,          77,      -9.827189888,      -9.847139932,      -10.14156147,       -9.89248496,      -9.253253999
          0,           0,          78,      -9.896938266,      -9.912425695,      -10.20622063,      -9.964940987,      -9.316717209
          0,           0,          79,      -9.953501909,      -9.975500171,      -10.26021899,      -10.03799655,      -9.384304196
          0,           0,          80,       -10.0058759,       -10.0323169,      -10.32701786,      -10.10528968,      -9.435559239
          0,           0,          81,      -10.05647472,      -10.08075955,      -10.38710305,      -10.15625939,      -9.477012644
          0,           0,          82,      -10.09547269,      -10.12879129,      -10.42943058,      -10.20080266,      -9.527325859
          0,           0,          83,      -10.13493189,      -10.17332421,      -10.47326858,      -10.23295693,       -9.56387993
          0,           0,          84,      -10.17945264,      -10.21507984,      -10.49632746,      -10.24933007,      -9.598619366
          0,           0,          85,      -10.22130372,      -10.26464213,      -10.51361388,      -10.27615344,      -9.650494703
