"PointID","x","y"
0, 9.997500181200000e-01, -3.632768776089116e-05
1, 9.990000128750000e-01, -1.451731053805576e-04
2, 9.977599978450000e-01, -3.242269187459531e-04
3, 9.960200190539999e-01, -5.722260797616628e-04
4, 9.937800168990000e-01, -8.832067050175864e-04
5, 9.910500049590000e-01, -1.245796418074502e-03
6, 9.878399968150000e-01, -1.645653398407595e-03
7, 9.841300249100000e-01, -2.071929716856070e-03
8, 9.799500107769999e-01, -2.512569905731329e-03
9, 9.752799868580000e-01, -2.970499252211821e-03
10, 9.701499938960000e-01, -3.454896306609941e-03
11, 9.645400047300000e-01, -3.988639400443227e-03
12, 9.584699869160000e-01, -4.593097493699865e-03
13, 9.519400000570000e-01, -5.286122885436076e-03
14, 9.449599981310000e-01, -6.073785199467179e-03
15, 9.375399947170000e-01, -6.950470244085754e-03
16, 9.296900033950000e-01, -7.902347221201150e-03
17, 9.214000105860000e-01, -8.915229370291315e-03
18, 9.126999974250000e-01, -9.971952639409667e-03
19, 9.035800099370001e-01, -1.106468874730996e-02
20, 8.940600156780000e-01, -1.218674086098305e-02
21, 8.841500282290000e-01, -1.333615375341866e-02
22, 8.738499879840000e-01, -1.451390137832808e-02
23, 8.631799817090000e-01, -1.571896547622248e-02
24, 8.521599769590000e-01, -1.694985654501226e-02
25, 8.407700061800000e-01, -1.820868489608411e-02
26, 8.290500044819999e-01, -1.949014720846683e-02
27, 8.170099854470000e-01, -2.079178276192920e-02
28, 8.046399950980000e-01, -2.211298526621368e-02
29, 7.919700145720000e-01, -2.344877443301389e-02
30, 7.790099978450000e-01, -2.479637290728120e-02
31, 7.657799720760000e-01, -2.615204334643585e-02
32, 7.522799968720000e-01, -2.751417494791958e-02
33, 7.385200262070000e-01, -2.888016508963738e-02
34, 7.245299816130000e-01, -3.024550118023143e-02
35, 7.103199958800001e-01, -3.160769305778065e-02
36, 6.958900094030001e-01, -3.296519650882548e-02
37, 6.812700033190000e-01, -3.431363608692331e-02
38, 6.664699912070000e-01, -3.565055229700813e-02
39, 6.514999866490000e-01, -3.697346580414446e-02
40, 6.363800168040000e-01, -3.827901910653208e-02
41, 6.211299896240000e-01, -3.956392116234948e-02
42, 6.057599782940000e-01, -4.082573431027122e-02
43, 5.902799963950000e-01, -4.206199384566618e-02
44, 5.747100114820000e-01, -4.326943520864927e-02
45, 5.590599775310000e-01, -4.444558302559405e-02
46, 5.433599948880000e-01, -4.558647078263646e-02
47, 5.276100039480000e-01, -4.669035540602182e-02
48, 5.118399858470000e-01, -4.775334075905588e-02
49, 4.960500001910000e-01, -4.877357355281686e-02
50, 4.802699983120000e-01, -4.974721200114847e-02
51, 4.645099937920000e-01, -5.067171380526965e-02
52, 4.487800002100000e-01, -5.154445807490921e-02
53, 4.331099987030000e-01, -5.236173153446440e-02
54, 4.174999892710000e-01, -5.312141986275794e-02
55, 4.019699990750000e-01, -5.382031929324679e-02
56, 3.865399956700000e-01, -5.445529656743307e-02
57, 3.712300062180000e-01, -5.502330100062985e-02
58, 3.560400009160000e-01, -5.552200255007422e-02
59, 3.409900069240000e-01, -5.594831005750110e-02
60, 3.261100053790000e-01, -5.629905104105126e-02
61, 3.113999962810000e-01, -5.657189411314752e-02
62, 2.968699932100000e-01, -5.676417364513899e-02
63, 2.825500071050000e-01, -5.687310760558387e-02
64, 2.684499919410000e-01, -5.689635717163019e-02
65, 2.545700073240000e-01, -5.683153325804709e-02
66, 2.409400045870000e-01, -5.667645458624377e-02
67, 2.275699973110000e-01, -5.642910243504037e-02
68, 2.144699990750000e-01, -5.608753691317911e-02
69, 2.016600072380000e-01, -5.565028849792011e-02
70, 1.891400069000000e-01, -5.511539172402212e-02
71, 1.769299954180000e-01, -5.448177254470248e-02
72, 1.650400012730000e-01, -5.374820225171169e-02
73, 1.534900069240000e-01, -5.291437907625388e-02
74, 1.422899961470000e-01, -5.197973337401741e-02
75, 1.314399987460000e-01, -5.094289997521866e-02
76, 1.209499984980000e-01, -4.980335899948471e-02
77, 1.108499988910000e-01, -4.856338593220827e-02
78, 1.011300012470000e-01, -4.722088188595734e-02
79, 9.181000292300000e-02, -4.577764475476047e-02
80, 8.290000259900000e-02, -4.423464698085734e-02
81, 7.440000027400000e-02, -4.259119666141264e-02
82, 6.633000075800000e-02, -4.085066006190687e-02
83, 5.869000032500000e-02, -3.901274324959074e-02
84, 5.149000138000000e-02, -3.707945355294484e-02
85, 4.473999887700000e-02, -3.505339017749638e-02
86, 3.844000026600000e-02, -3.293437214074964e-02
87, 3.260000050100000e-02, -3.072549107327151e-02
88, 2.723000012300000e-02, -2.843087273458203e-02
89, 2.232000045500000e-02, -2.604577294792254e-02
90, 1.789999939500000e-02, -2.358541319711973e-02
91, 1.394999958600000e-02, -2.103945377387629e-02
92, 1.049000024800000e-02, -1.842100021799176e-02
93, 7.519999985000000e-03, -1.573284911159581e-02
94, 5.040000193000000e-03, -1.297771956207529e-02
95, 3.049999941000000e-03, -1.015757500906478e-02
96, 1.560000004000000e-03, -7.293937881349194e-03
97, 5.600000150000000e-04, -4.373147146433293e-03
