    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       
      -7.800608704,      -5.584021029,      -5.924823991,      -5.526632824,      -10.40459969,     0.00820777778,      0.3479616375
      -7.818887405,      -5.575298563,      -5.940214111,      -5.530587404,      -10.39344928,     0.00817684851,      0.3477613591
      -7.851811382,      -5.564893111,      -5.949551556,      -5.529574078,      -10.41179086,    0.008147588078,      0.3475365341
      -7.878955413,       -5.56129455,      -5.940769344,      -5.527250068,      -10.44517228,    0.008120437604,      0.3472818054
      -7.860145548,       -5.56599289,      -5.923183007,      -5.521479561,      -10.47414916,    0.008096134648,      0.3470080657
       -7.80992513,      -5.577856331,      -5.910916114,      -5.515057087,      -10.48301304,    0.008075101681,      0.3467389811
      -7.769944662,      -5.595933883,      -5.910176216,       -5.51450488,      -10.47032469,    0.008056886427,      0.3465021915
      -7.758269854,      -5.620271432,      -5.920491888,      -5.525414548,      -10.44401657,    0.008040120589,      0.3463206805
      -7.776705728,      -5.650919389,      -5.939321532,      -5.550854935,      -10.41377975,    0.008023010047,       0.346205704
      -7.822403777,      -5.685925913,      -5.965196614,      -5.591164664,      -10.38450295,     0.00800403396,      0.3461525199
       -7.89062211,      -5.720016014,      -5.998199883,      -5.642379178,      -10.35792507,    0.007982465323,      0.3461405973
      -7.970969105,       -5.74617825,      -6.037957868,      -5.693241869,      -10.33431992,    0.007958561843,      0.3461391952
      -8.039634308,       -5.76053483,      -6.080975197,       -5.72657415,      -10.31379805,     0.00793343962,      0.3461169638
      -8.067892831,      -5.765880588,      -6.120145768,      -5.733763696,      -10.29632639,    0.007908715371,      0.3460518633
      -8.060368193,      -5.769362518,      -6.149227349,       -5.72640311,      -10.28187683,    0.007886012414,      0.3459371585
       -8.05098072,      -5.777408785,      -6.169555866,      -5.723219359,      -10.27042704,    0.007866483326,      0.3457814993
      -8.064323426,       -5.79265798,      -6.189814376,      -5.735133162,      -10.26155604,    0.007850500521,       0.345604056
