"PointID","x","y"
0, 9.997500181200000e-01, -3.632775333157511e-05
1, 9.990000128750000e-01, -1.451772449465978e-04
2, 9.977599978450000e-01, -3.242723084949935e-04
3, 9.960200190539999e-01, -5.724710567235191e-04
4, 9.937800168990000e-01, -8.840912124665621e-04
5, 9.910500049590000e-01, -1.248238501115168e-03
6, 9.878399968150000e-01, -1.651196348217123e-03
7, 9.841300249100000e-01, -2.082777459687851e-03
8, 9.799500107769999e-01, -2.531277857479850e-03
9, 9.752799868580000e-01, -2.999565357295894e-03
10, 9.701499938960000e-01, -3.496071435938581e-03
11, 9.645400047300000e-01, -4.042579875655786e-03
12, 9.584699869160000e-01, -4.659146524488596e-03
13, 9.519400000570000e-01, -5.362624772656102e-03
14, 9.449599981310000e-01, -6.158610042294448e-03
15, 9.375399947170000e-01, -7.041604804981833e-03
16, 9.296900033950000e-01, -7.998309961012473e-03
17, 9.214000105860000e-01, -9.015218985464478e-03
18, 9.126999974250000e-01, -1.007572726955536e-02
19, 9.035800099370001e-01, -1.117235564921634e-02
20, 8.940600156780000e-01, -1.229850118607882e-02
21, 8.841500282290000e-01, -1.345213039104189e-02
22, 8.738499879840000e-01, -1.463405655653173e-02
23, 8.631799817090000e-01, -1.584308123501941e-02
24, 8.521599769590000e-01, -1.707756989973220e-02
25, 8.407700061800000e-01, -1.833954894882975e-02
26, 8.290500044819999e-01, -1.962365811130199e-02
27, 8.170099854470000e-01, -2.092742307808655e-02
28, 8.046399950980000e-01, -2.225024606418196e-02
29, 7.919700145720000e-01, -2.358715960596513e-02
30, 7.790099978450000e-01, -2.493540791280672e-02
31, 7.657799720760000e-01, -2.629127749679497e-02
32, 7.522799968720000e-01, -2.765318367529698e-02
33, 7.385200262070000e-01, -2.901855104047805e-02
34, 7.245299816130000e-01, -3.038289769539120e-02
35, 7.103199958800001e-01, -3.174376532113764e-02
36, 6.958900094030001e-01, -3.309964073688351e-02
37, 6.812700033190000e-01, -3.444618233990699e-02
38, 6.664699912070000e-01, -3.578096065891000e-02
39, 6.514999866490000e-01, -3.710152279704679e-02
40, 6.363800168040000e-01, -3.840453443834481e-02
41, 6.211299896240000e-01, -3.968672178919720e-02
42, 6.057599782940000e-01, -4.094565543448834e-02
43, 5.902799963950000e-01, -4.217887052758348e-02
44, 5.747100114820000e-01, -4.338309546429425e-02
45, 5.590599775310000e-01, -4.455583665925690e-02
46, 5.433599948880000e-01, -4.569310476283680e-02
47, 5.276100039480000e-01, -4.679311830045349e-02
48, 5.118399858470000e-01, -4.785194176182998e-02
49, 4.960500001910000e-01, -4.886766760258483e-02
50, 4.802699983120000e-01, -4.983640199229943e-02
51, 4.645099937920000e-01, -5.075554057871644e-02
52, 4.487800002100000e-01, -5.162239691657360e-02
53, 4.331099987030000e-01, -5.243319890725590e-02
54, 4.174999892710000e-01, -5.318576242704880e-02
55, 4.019699990750000e-01, -5.387682456883209e-02
56, 3.865399956700000e-01, -5.450319868078774e-02
57, 3.712300062180000e-01, -5.506178873225032e-02
58, 3.560400009160000e-01, -5.555021530665702e-02
59, 3.409900069240000e-01, -5.596536026218494e-02
60, 3.261100053790000e-01, -5.630404624113168e-02
61, 3.113999962810000e-01, -5.656392776656418e-02
62, 2.968699932100000e-01, -5.674234613569256e-02
63, 2.825500071050000e-01, -5.683656257044892e-02
64, 2.684499919410000e-01, -5.684428055323082e-02
65, 2.545700073240000e-01, -5.676315795725043e-02
66, 2.409400045870000e-01, -5.659111304076919e-02
67, 2.275699973110000e-01, -5.632622261450569e-02
68, 2.144699990750000e-01, -5.596665952911712e-02
69, 2.016600072380000e-01, -5.551109855295400e-02
70, 1.891400069000000e-01, -5.495770692378257e-02
71, 1.769299954180000e-01, -5.430558814508277e-02
72, 1.650400012730000e-01, -5.355369181488185e-02
73, 1.534900069240000e-01, -5.270192366588555e-02
74, 1.422899961470000e-01, -5.174991816228197e-02
75, 1.314399987460000e-01, -5.069650919520959e-02
76, 1.209499984980000e-01, -4.954140077992018e-02
77, 1.108499988910000e-01, -4.828712742392566e-02
78, 1.011300012470000e-01, -4.693179556601986e-02
79, 9.181000292300000e-02, -4.547745287267155e-02
80, 8.290000259900000e-02, -4.392530538054951e-02
81, 7.440000027400000e-02, -4.227488262524873e-02
82, 6.633000075800000e-02, -4.052978265067191e-02
83, 5.869000032500000e-02, -3.868991739725310e-02
84, 5.149000138000000e-02, -3.675749317882640e-02
85, 4.473999887700000e-02, -3.473528554884561e-02
86, 3.844000026600000e-02, -3.262327324312510e-02
87, 3.260000050100000e-02, -3.042467319445984e-02
88, 2.723000012300000e-02, -2.814368918610405e-02
89, 2.232000045500000e-02, -2.577567162590670e-02
90, 1.789999939500000e-02, -2.333573874268450e-02
91, 1.394999958600000e-02, -2.081357790053268e-02
92, 1.049000024800000e-02, -1.822203447290274e-02
93, 7.519999985000000e-03, -1.556361309794123e-02
94, 5.040000193000000e-03, -1.284058692799516e-02
95, 3.049999941000000e-03, -1.005425159549250e-02
96, 1.560000004000000e-03, -7.224848192674918e-03
97, 5.600000150000000e-04, -4.337138232378726e-03
98, 5.999999800000000e-05, -1.412849079549012e-03
99, 0.000000000000000e+00, 0.000000000000000e+00
100, 5.999999800000000e-05, 1.421443039606811e-03
101, 5.600000150000000e-04, 4.348696046169461e-03
102, 1.560000004000000e-03, 7.203232886997949e-03
103, 3.049999941000000e-03, 9.958869674085541e-03
104, 5.040000193000000e-03, 1.262923735677232e-02
105, 7.519999985000000e-03, 1.519522798189721e-02
106, 1.049000024800000e-02, 1.765722098357177e-02
107, 1.394999958600000e-02, 2.001533302433012e-02
108, 1.789999939500000e-02, 2.227000922026635e-02
109, 2.232000045500000e-02, 2.441314590902064e-02
110, 2.723000012300000e-02, 2.645746006574902e-02
111, 3.260000050100000e-02, 2.839383182208828e-02
112, 3.844000026600000e-02, 3.023049208479060e-02
113, 4.473999887700000e-02, 3.196829047974527e-02
114, 5.149000138000000e-02, 3.360914496276492e-02
115, 5.869000032500000e-02, 3.515773023136587e-02
116, 6.633000075800000e-02, 3.661654000085218e-02
117, 7.440000027400000e-02, 3.798860744011170e-02
118, 8.290000259900000e-02, 3.927879021694398e-02
119, 9.181000292300000e-02, 4.048905248326412e-02
120, 1.011300012470000e-01, 4.162449530271738e-02
121, 1.108499988910000e-01, 4.268883607751829e-02
