"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          54,      -6.002638461,      -6.057102964,       -6.18885779,      -6.254700574,      -5.406479302,       -9.69849706
          0,           0,          55,      -6.022832206,      -6.065298803,      -6.213719698,      -6.276674322,      -5.427207573,        -9.6844857
          0,           0,          56,      -6.043021777,       -6.07382366,      -6.238861318,      -6.298741291,      -5.448178338,      -9.671346164
          0,           0,          57,      -6.062644402,      -6.082406374,      -6.264005425,       -6.32103566,      -5.468708419,      -9.659123394
          0,           0,          58,      -6.081210012,      -6.090812693,      -6.288761195,      -6.343488918,      -5.488149293,      -9.647827836
          0,           0,          59,      -6.098352125,      -6.098835026,      -6.312628356,      -6.365793944,       -5.50596621,       -9.63749744
          0,           0,          60,      -6.113943026,      -6.106575041,      -6.335049187,      -6.387451569,       -5.52188277,      -9.628168141
          0,           0,          61,       -6.12813744,      -6.114093434,      -6.355527182,      -6.407830627,      -5.535946254,       -9.61989211
          0,           0,          62,      -6.141314972,      -6.121543645,      -6.373753024,      -6.426334837,      -5.548505964,      -9.612700595
          0,           0,          63,      -6.153996821,      -6.129106463,      -6.389686701,      -6.442493478,      -5.560155784,      -9.606607528
          0,           0,          64,      -6.166738717,      -6.136882859,      -6.403548597,      -6.456113351,      -5.571610838,      -9.601581042
          0,           0,          65,      -6.180028724,      -6.145013126,      -6.415775925,      -6.467393134,      -5.583549982,      -9.597557865
          0,           0,          66,      -6.194180411,      -6.153486243,      -6.426933484,      -6.476934415,      -5.596463871,      -9.594431133
          0,           0,          67,      -6.209375021,      -6.162161008,      -6.437634685,      -6.485530134,      -5.610659387,      -9.592087753
          0,           0,          68,      -6.225683895,      -6.170853143,        -6.4484515,      -6.494067226,      -5.626279654,      -9.590423768
          0,           0,          69,      -6.243080295,      -6.179207353,      -6.459841941,      -6.503367285,      -5.643325385,      -9.589285261
          0,           0,          70,      -6.261420981,      -6.186932955,      -6.472137052,      -6.514059127,      -5.661632415,      -9.588540944
          0,           0,          71,      -6.280483704,      -6.193718229,      -6.485525521,       -6.52653687,         -5.680923,      -9.588058433
          0,           0,          72,      -6.300040504,       -6.19935622,      -6.500031338,      -6.540940655,      -5.700885558,      -9.587715284
          0,           0,          73,      -6.319858321,      -6.203844277,      -6.515531968,      -6.557151463,      -5.721184946,      -9.587401628
          0,           0,          74,      -6.339725757,      -6.207131381,      -6.531790922,      -6.574804231,      -5.741503447,      -9.587053937
          0,           0,          75,      -6.359453224,      -6.209378247,      -6.548472571,      -6.593310396,      -5.761557842,      -9.586610786
          0,           0,          76,      -6.378929684,      -6.210826242,      -6.565197469,      -6.611962709,      -5.781175747,      -9.586037068
          0,           0,          77,      -6.398074161,      -6.211762101,       -6.58158002,      -6.630007097,      -5.800250627,      -9.585306458
          0,           0,          78,      -6.416855746,      -6.212495266,      -6.597298677,      -6.646798063,      -5.818775118,      -9.584416834
          0,           0,          79,      -6.435249516,      -6.213313734,      -6.612150581,      -6.661894314,      -5.836794302,      -9.583376791
          0,           0,          80,      -6.453202319,      -6.214458462,      -6.626075535,      -6.675151185,      -5.854365033,      -9.582206033
          0,           0,          81,      -6.470636078,      -6.216109423,      -6.639152325,      -6.686738231,      -5.871535466,      -9.580929747
          0,           0,          82,      -6.487425446,      -6.218355515,      -6.651569246,      -6.697078232,      -5.888290303,      -9.579576117
          0,           0,          83,      -6.503400137,      -6.221234912,       -6.66356833,      -6.706730639,      -5.904522739,      -9.578178057
          0,           0,          84,      -6.518370607,      -6.224734426,      -6.675386626,      -6.716263526,      -5.920038204,      -9.576762521
          0,           0,          85,       -6.53218251,      -6.228812298,      -6.687202732,      -6.726150758,      -5.934605514,       -9.57536338
          0,           0,          86,      -6.544733518,      -6.233395713,      -6.699102789,      -6.736694573,      -5.947988263,       -9.57401378
          0,           0,          87,      -6.556029597,      -6.238412574,      -6.711068325,      -6.747984351,      -5.960039407,      -9.572753887
          0,           0,          88,      -6.566168483,      -6.243802441,      -6.722967273,      -6.759848221,      -5.970714047,      -9.571597937
          0,           0,          89,      -6.575359906,      -6.249513339,      -6.734564863,      -6.771894536,      -5.980108006,      -9.570556091
          0,           0,          90,      -6.583911005,      -6.255494925,      -6.745584193,      -6.783618595,      -5.988459006,      -9.569647308
          0,           0,          91,      -6.592208915,       -6.26170303,      -6.755773298,      -6.794513807,      -5.996148202,      -9.568880758
          0,           0,          92,      -6.600640876,      -6.268103206,      -6.764973214,      -6.804153567,      -6.003623783,      -9.568261128
          0,           0,          93,      -6.609561848,      -6.274665776,      -6.773159539,      -6.812303872,      -6.011355764,      -9.567786674
          0,           0,          94,       -6.61928646,      -6.281360553,      -6.780457344,       -6.81900111,      -6.019802469,      -9.567449576
          0,           0,          95,      -6.630039217,      -6.288150229,      -6.787119229,      -6.824494326,      -6.029323907,      -9.567237439
          0,           0,          96,      -6.641966259,      -6.294983642,      -6.793484881,      -6.829236977,      -6.040180823,      -9.567137136
          0,           0,          97,      -6.655138667,      -6.301797207,      -6.799925726,      -6.833789978,      -6.052528482,      -9.567131464
          0,           0,          98,      -6.669513155,      -6.308512794,      -6.806796374,      -6.838701736,      -6.066370774,      -9.567207663
          0,           0,          99,       -6.68500141,      -6.315038757,      -6.814389313,      -6.844494403,      -6.081637346,      -9.567349891
          0,           0,         100,      -6.701413279,      -6.321290048,      -6.822910719,      -6.851548099,      -6.098117253,      -9.567533971
          0,           0,         101,      -6.718525956,      -6.327182696,      -6.832463619,      -6.860100877,      -6.115535808,      -9.567742989
          0,           0,         102,      -6.736097321,       -6.33264952,      -6.843043805,      -6.870232571,      -6.133568267,      -9.567961257
          0,           0,         103,      -6.753867871,      -6.337644013,      -6.854546721,      -6.881870146,      -6.151853426,      -9.568170797
          0,           0,         104,      -6.771573061,      -6.342145007,      -6.866783088,      -6.894797272,      -6.170019874,      -9.568354739
          0,           0,         105,      -6.788965917,      -6.346158584,      -6.879502623,      -6.908680306,      -6.187723181,      -9.568497089
          0,           0,         106,      -6.805811023,      -6.349717484,      -6.892421953,      -6.923097303,      -6.204656438,      -9.568580932
          0,           0,         107,      -6.821897029,      -6.352877127,      -6.905261669,      -6.937589786,      -6.220580084,      -9.568597008
          0,           0,         108,      -6.837040365,      -6.355703464,      -6.917779716,      -6.951716164,       -6.23533673,      -9.568541917
          0,           0,         109,      -6.851073437,      -6.358268802,      -6.929803949,      -6.965120196,      -6.248837206,      -9.568393759
          0,           0,         110,      -6.863856698,      -6.360704501,      -6.941251917,      -6.977606453,      -6.261059375,      -9.568153326
          0,           0,         111,      -6.875348014,      -6.363052414,      -6.952138073,      -6.989138047,      -6.272092119,      -9.567824815
          0,           0,         112,      -6.885517166,      -6.365380946,       -6.96256032,      -6.999828887,      -6.282015495,      -9.567407555
          0,           0,         113,      -6.894376008,      -6.367750571,      -6.972676373,      -7.009937924,       -6.29091129,      -9.566904143
          0,           0,         114,      -6.901980168,      -6.370206177,      -6.982665665,      -7.019799243,      -6.298847576,      -9.566323073
          0,           0,         115,      -6.908461748,      -6.372775742,       -6.99269211,      -7.029744958,      -6.305910738,      -9.565676458
          0,           0,         116,      -6.913999965,      -6.375491393,      -7.002871272,      -7.040041952,      -6.312187342,      -9.564965513
