"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          54,      -6.685232048,      -6.786832505,      -6.924921705,      -6.763882309,      -6.074914848,      -11.52532895
          0,           0,          55,      -6.719855566,      -6.802288446,      -6.971402877,      -6.801870225,      -6.110299817,      -11.52356202
          0,           0,          56,      -6.754203238,       -6.81710883,      -7.020421198,      -6.840165948,      -6.145297384,      -11.52112209
          0,           0,          57,      -6.788417529,      -6.831041362,      -7.069653087,      -6.877479777,      -6.180079411,      -11.51841506
          0,           0,          58,      -6.822498561,      -6.843589137,      -7.115719479,      -6.912355943,      -6.214721686,      -11.51568964
          0,           0,          59,      -6.856295695,      -6.854092454,      -7.154725599,      -6.943502639,      -6.249156377,      -11.51302218
          0,           0,          60,       -6.88953558,      -6.861920424,      -7.183442202,      -6.970132581,      -6.283174885,       -11.5104739
          0,           0,          61,      -6.921834241,      -6.866656897,      -7.200698314,      -6.992100544,      -6.316424113,      -11.50807718
          0,           0,          62,       -6.95283301,      -6.868181169,      -7.208114302,      -7.009907345,      -6.348546144,      -11.50587781
          0,           0,          63,      -6.982247585,      -6.866684313,      -7.209208228,      -7.024591802,      -6.379233533,      -11.50389029
          0,           0,          64,      -7.009847045,      -6.862634671,      -7.207822586,      -7.037447783,      -6.408215782,       -11.5020602
          0,           0,          65,      -7.035463679,      -6.856611594,      -7.207051597,      -7.049729858,      -6.435274866,      -11.50033733
          0,           0,          66,      -7.058947764,       -6.84919984,      -7.208979991,      -7.062490054,      -6.460195804,      -11.49869346
          0,           0,          67,      -7.080189333,      -6.840929352,      -7.214898225,      -7.076514729,      -6.482792071,      -11.49711451
          0,           0,          68,      -7.099157611,      -6.832281495,      -7.225504343,      -7.092334367,      -6.502957678,      -11.49560682
          0,           0,          69,      -7.115945444,      -6.823701877,      -7.241097073,      -7.110235741,      -6.520731639,      -11.49422167
          0,           0,          70,      -7.130784677,      -6.815587146,       -7.26171132,      -7.130280728,      -6.536328825,      -11.49293904
          0,           0,          71,      -7.143978727,      -6.808261051,      -7.287199813,      -7.152360527,      -6.550071183,      -11.49181166
          0,           0,          72,      -7.155875073,      -6.801948026,      -7.317269758,      -7.176226591,      -6.562347169,      -11.49094285
          0,           0,          73,      -7.166813809,      -6.796771068,      -7.351508111,      -7.201505811,      -6.573543922,        -11.490421
          0,           0,          74,      -7.177076907,      -6.792774859,      -7.389385178,      -7.227752791,      -6.583981865,      -11.49028411
          0,           0,          75,      -7.186871763,      -6.789930607,      -7.430220739,      -7.254485402,      -6.593894584,      -11.49055633
          0,           0,          76,      -7.196361749,      -6.788206087,      -7.473201504,      -7.281255455,       -6.60346286,      -11.49126596
          0,           0,          77,      -7.205670047,      -6.787566814,       -7.51739678,      -7.307683626,      -6.612821335,      -11.49247128
          0,           0,          78,      -7.214906315,       -6.78799476,      -7.561796617,      -7.333516393,      -6.622088312,      -11.49423735
          0,           0,          79,      -7.224183723,      -6.789501491,       -7.60535754,      -7.358630164,      -6.631385519,      -11.49664533
          0,           0,          80,      -7.233605878,      -6.792081288,      -7.647026004,      -7.382982401,      -6.640820813,      -11.49967915
          0,           0,          81,      -7.243264845,      -6.795739716,      -7.685745934,      -7.406548642,       -6.65049104,      -11.50322416
          0,           0,          82,      -7.253211026,      -6.800422182,      -7.720391544,      -7.429178734,      -6.660445806,      -11.50715271
          0,           0,          83,      -7.263469575,      -6.806085684,      -7.749759134,        -7.4506198,      -6.670710938,      -11.51146807
          0,           0,          84,      -7.274036651,      -6.812625863,      -7.772551323,      -7.470424255,      -6.681278632,      -11.51629119
          0,           0,          85,      -7.284888016,      -6.819959088,      -7.787613416,        -7.4880694,      -6.692123554,      -11.52172193
          0,           0,          86,      -7.295998904,      -6.827983822,      -7.794246137,      -7.502981938,      -6.703220832,      -11.52769843
          0,           0,          87,      -7.307258991,      -6.836507623,      -7.792450588,      -7.514679391,      -6.714447471,      -11.53413793
          0,           0,          88,      -7.318684476,      -6.845605051,      -7.783411791,      -7.523072224,      -6.725843965,      -11.54088539
          0,           0,          89,      -7.330102568,      -6.854900429,      -7.768379218,      -7.527938934,      -6.737201716,      -11.54788669
          0,           0,          90,      -7.341635329,      -6.864789065,      -7.749809889,       -7.53017735,      -6.748701672,      -11.55503814
          0,           0,          91,      -7.353245878,      -6.874956413,      -7.729038542,      -7.529758019,      -6.760284255,      -11.56235639
          0,           0,          92,      -7.364785388,      -6.885235271,      -7.707174365,      -7.527393999,      -6.771773447,      -11.56986806
          0,           0,          93,      -7.376376704,       -6.89602074,        -7.6858907,      -7.523996702,      -6.783353376,      -11.57742975
          0,           0,          94,      -7.387710667,      -6.906566047,      -7.664676479,      -7.519156212,      -6.794626495,      -11.58518393
          0,           0,          95,      -7.398966428,      -6.917449296,      -7.644749512,      -7.514072271,       -6.80584368,      -11.59300419
          0,           0,          96,      -7.410044333,      -6.928359672,      -7.625857011,      -7.508433266,      -6.816887102,      -11.60092578
          0,           0,          97,      -7.420944302,      -6.939190426,      -7.607825126,      -7.502341645,      -6.827733642,      -11.60899539
          0,           0,          98,      -7.431739162,      -6.950228894,      -7.591094255,      -7.496230055,      -6.838505142,       -11.6171646
          0,           0,          99,      -7.442311992,      -6.961157407,      -7.575163566,      -7.489747544,      -6.849047786,      -11.62549569
          0,           0,         100,       -7.45278993,      -6.972214493,      -7.560259828,      -7.483268262,      -6.859517948,      -11.63395597
          0,           0,         101,       -7.46322546,      -6.983430357,      -7.546375398,      -7.476765691,      -6.869983137,      -11.64251753
          0,           0,         102,      -7.473531925,      -6.994552413,      -7.533106934,      -7.469916503,      -6.880310341,      -11.65122243
          0,           0,         103,      -7.483702699,      -7.005723766,      -7.520642039,      -7.463006793,      -6.890505015,      -11.66002454
          0,           0,         104,      -7.493762509,      -7.016991682,       -7.50903499,      -7.456183958,      -6.900608905,      -11.66890315
          0,           0,         105,      -7.503802735,      -7.028348429,       -7.49820667,      -7.449408655,      -6.910712974,      -11.67789803
          0,           0,         106,      -7.513848485,      -7.039773587,      -7.488118839,      -7.442678808,       -6.92083218,      -11.68700774
          0,           0,         107,      -7.523783859,      -7.051135743,      -7.478630661,      -7.435954293,      -6.930821041,      -11.69623232
          0,           0,         108,      -7.533622516,      -7.062580622,      -7.469947261,      -7.429549391,      -6.940718163,      -11.70552728
          0,           0,         109,      -7.543486867,       -7.07418535,      -7.462150131,      -7.423587326,      -6.950670744,      -11.71489499
          0,           0,         110,      -7.553359062,      -7.085796831,      -7.455031039,      -7.417888198,       -6.96063346,      -11.72438844
          0,           0,         111,      -7.563184577,      -7.097393675,      -7.448584949,      -7.412515637,      -6.970535224,      -11.73398446
          0,           0,         112,      -7.572916123,      -7.109008767,      -7.442878336,      -7.407618799,      -6.980337202,      -11.74363642
          0,           0,         113,      -7.582631188,      -7.120725556,      -7.438001733,      -7.403343034,      -6.990142419,      -11.75333621
          0,           0,         114,      -7.592365074,       -7.13245796,      -7.433824543,      -7.399562588,       -6.99997725,      -11.76311888
          0,           0,         115,      -7.602042677,      -7.144120143,      -7.430236825,      -7.396210344,      -7.009743238,      -11.77297244
          0,           0,         116,      -7.611585095,      -7.155701429,      -7.427248634,      -7.393340393,      -7.019357602,       -11.7828572
          0,           0,         117,      -7.621070703,      -7.167339915,      -7.425000784,      -7.391135913,       -7.02893085,      -11.79273999
          0,           0,         118,      -7.630555639,      -7.178981147,      -7.423410143,      -7.389507116,      -7.038524089,      -11.80265631
          0,           0,         119,      -7.639996463,      -7.190514178,      -7.422314828,      -7.388295913,        -7.0480674,      -11.81261958
          0,           0,         120,      -7.649316784,      -7.201941009,      -7.421702187,      -7.387519293,      -7.057476721,      -11.82258026
          0,           0,         121,      -7.658530786,      -7.213336306,      -7.421643651,      -7.387276949,         -7.066785,       -11.8325119
          0,           0,         122,      -7.667753218,      -7.224768178,      -7.422165652,       -7.38759845,      -7.076129205,      -11.84243391
          0,           0,         123,      -7.676968455,      -7.236128978,      -7.423112224,       -7.38831703,      -7.085478622,       -11.8523838
          0,           0,         124,      -7.686101043,      -7.247354168,      -7.424378382,      -7.389330031,      -7.094731249,      -11.86234098
          0,           0,         125,      -7.695114167,      -7.258513014,      -7.426026071,       -7.39072195,      -7.103861063,      -11.87225976
          0,           0,         126,       -7.70410318,       -7.26970862,      -7.428137203,      -7.392584564,      -7.112990097,      -11.88214566
          0,           0,         127,      -7.713127466,      -7.280886325,      -7.430605561,      -7.394793994,       -7.12217706,        -11.892053
          0,           0,         128,        -7.7221286,      -7.291973874,      -7.433315523,      -7.397229881,      -7.131340042,      -11.90198261
          0,           0,         129,      -7.731028493,      -7.302947931,      -7.436234687,      -7.399861236,      -7.140387482,      -11.91189995
          0,           0,         130,      -7.739883357,      -7.313945703,      -7.439484961,      -7.402831945,      -7.149402809,       -11.9217783
          0,           0,         131,      -7.748783773,      -7.324982817,      -7.443055447,       -7.40612405,      -7.158493331,      -11.93166154
