"PointID","x","y"
0, 9.997500181200000e-01, -3.632782399868595e-05
1, 9.990000128750000e-01, -1.451817062340958e-04
2, 9.977599978450000e-01, -3.243212254059720e-04
3, 9.960200190539999e-01, -5.727350663055754e-04
4, 9.937800168990000e-01, -8.850444158207658e-04
5, 9.910500049590000e-01, -1.250870158960285e-03
6, 9.878399968150000e-01, -1.657169298120023e-03
7, 9.841300249100000e-01, -2.094465951984963e-03
8, 9.799500107769999e-01, -2.551433991203128e-03
9, 9.752799868580000e-01, -3.030877899618544e-03
10, 9.701499938960000e-01, -3.540422522884984e-03
11, 9.645400047300000e-01, -4.100670789205997e-03
12, 9.584699869160000e-01, -4.730263297658542e-03
13, 9.519400000570000e-01, -5.444978531089429e-03
14, 9.449599981310000e-01, -6.249904769537025e-03
15, 9.375399947170000e-01, -7.139676427787733e-03
16, 9.296900033950000e-01, -8.101575566487659e-03
17, 9.214000105860000e-01, -9.122838236201112e-03
18, 9.126999974250000e-01, -1.018747276261269e-02
19, 9.035800099370001e-01, -1.128838625179376e-02
20, 8.940600156780000e-01, -1.241908615192703e-02
21, 8.841500282290000e-01, -1.357746280453731e-02
22, 8.738499879840000e-01, -1.476416356426443e-02
23, 8.631799817090000e-01, -1.597780116371635e-02
24, 8.521599769590000e-01, -1.721658848266834e-02
25, 8.407700061800000e-01, -1.848246533106623e-02
26, 8.290500044819999e-01, -1.977000985889084e-02
27, 8.170099854470000e-01, -2.107673229348341e-02
28, 8.046399950980000e-01, -2.240204267256096e-02
29, 7.919700145720000e-01, -2.374098184509800e-02
30, 7.790099978450000e-01, -2.509081091227477e-02
31, 7.657799720760000e-01, -2.644783314811294e-02
32, 7.522799968720000e-01, -2.781048269186254e-02
33, 7.385200262070000e-01, -2.917620185599259e-02
34, 7.245299816130000e-01, -3.054052732476929e-02
35, 7.103199958800001e-01, -3.190102102598261e-02
36, 6.958900094030001e-01, -3.325618922707758e-02
37, 6.812700033190000e-01, -3.460171035275948e-02
38, 6.664699912070000e-01, -3.593517252059597e-02
39, 6.514999866490000e-01, -3.725413716181186e-02
40, 6.363800168040000e-01, -3.855528124840277e-02
41, 6.211299896240000e-01, -3.983533752769514e-02
42, 6.057599782940000e-01, -4.109187590511927e-02
43, 5.902799963950000e-01, -4.232242396995379e-02
44, 5.747100114820000e-01, -4.352369723267403e-02
45, 5.590599775310000e-01, -4.469318030333533e-02
46, 5.433599948880000e-01, -4.582685946439827e-02
47, 5.276100039480000e-01, -4.692291573368042e-02
48, 5.118399858470000e-01, -4.797737743921393e-02
49, 4.960500001910000e-01, -4.898828795505460e-02
