"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , -0.239856       , 0.001           
1               , -0.088638       , 0.001           
2               , 0.025014        , 0.001           
3               , 0.101646        , 0.001           
4               , 0.146574        , 0.001           
5               , 0.165949        , 0.001           
6               , 0.166637        , 0.001           
7               , 0.156117        , 0.001           
8               , 0.141763        , 0.001           
9               , 0.129597        , 0.001           
10              , 0.123007        , 0.001           
11              , 0.122259        , 0.001           
12              , 0.125357        , 0.001           
13              , 0.130012        , 0.001           
14              , 0.135462        , 0.001           
15              , 0.142907        , 0.001           
16              , 0.154912        , 0.001           
17              , 0.176528        , 0.001           
18              , 0.231527        , 0.001           
19              , -0.316415       , 0.001           
20              , 0.206742        , 0.001           
21              , 0.5311          , 0.001           
22              , 0.66663         , 0.001           
23              , 0.649734        , 0.001           
24              , 0.524523        , 0.001           
25              , 0.333656        , 0.001           
26              , 0.112587        , 0.001           
27              , -0.112747       , 0.001           
28              , -0.324456       , 0.001           
29              , -0.507731       , 0.001           
30              , -0.643839       , 0.001           
31              , -0.704977       , 0.001           
32              , -0.659336       , 0.001           
33              , -0.498401       , 0.001           
34              , -0.284245       , 0.001           
35              , -0.150056       , 0.001           
36              , -0.154339       , 0.001           
37              , -0.218934       , 0.001           
