"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          63,      -4.919291385,      -4.154183073,      -4.180536348,      -2.870844654,      -11.39698169
          0,           0,          64,      -4.913511826,      -4.147995999,      -4.175752947,      -2.864970864,      -11.38676468
          0,           0,          65,      -4.907743349,      -4.142002066,      -4.170953963,      -2.859115077,      -11.37667482
          0,           0,          66,       -4.90199977,      -4.136158174,      -4.166113762,      -2.853291315,      -11.36670283
          0,           0,          67,      -4.896297448,      -4.130422798,      -4.161209192,      -2.847516083,      -11.35684021
          0,           0,          68,      -4.890653614,      -4.124756625,      -4.156219701,      -2.841806681,      -11.34707721
          0,           0,          69,      -4.885084824,      -4.119127119,      -4.151127198,      -2.836179689,      -11.33744231
          0,           0,          70,      -4.879605688,      -4.113508819,      -4.145916259,      -2.830649724,      -11.32793213
          0,           0,          71,      -4.874227859,      -4.107881419,      -4.140574587,      -2.825228417,       -11.3185493
          0,           0,          72,      -4.868959767,      -4.102230881,      -4.135092728,      -2.819924149,      -11.30930342
          0,           0,          73,      -4.863806285,      -4.096550055,      -4.129464113,      -2.814741729,      -11.30018098
          0,           0,          74,      -4.858768678,      -4.090837029,      -4.123685545,      -2.809682339,      -11.29119336
          0,           0,          75,      -4.853844671,       -4.08509233,      -4.117757445,       -2.80474359,      -11.28235682
          0,           0,          76,      -4.849028985,      -4.079320488,      -4.111683366,      -2.799920071,      -11.27364432
          0,           0,          77,      -4.844313642,      -4.073529546,       -4.10547051,      -2.795203691,      -11.26505259
          0,           0,          78,      -4.839688342,      -4.067729293,      -4.099129949,      -2.790584023,      -11.25662776
          0,           0,          79,      -4.835140995,      -4.061929644,      -4.092676389,      -2.786048813,      -11.24831337
          0,           0,          80,      -4.830658142,       -4.05614279,      -4.086127582,      -2.781584438,      -11.24010922
          0,           0,          81,      -4.826225491,      -4.050379593,      -4.079504628,      -2.777176414,      -11.23206138
          0,           0,          82,      -4.821828368,      -4.044651008,       -4.07283071,      -2.772809872,      -11.22410243
          0,           0,          83,      -4.817452239,      -4.038966281,      -4.066130453,      -2.768470064,       -11.2162267
          0,           0,          84,      -4.813083337,      -4.033334414,       -4.05942936,      -2.764143016,      -11.20847322
          0,           0,          85,      -4.808708969,      -4.027760958,      -4.052753183,      -2.759815797,      -11.20078719
          0,           0,          86,      -4.804317995,      -4.022251983,      -4.046126378,      -2.755477011,      -11.19313439
          0,           0,          87,       -4.79990103,      -4.016809465,      -4.039572337,      -2.751116957,      -11.18554852
          0,           0,          88,      -4.795450707,      -4.011435118,      -4.033112499,      -2.746727977,      -11.17802885
          0,           0,          89,      -4.790961925,      -4.006130131,      -4.026765905,      -2.742304703,      -11.17047603
          0,           0,          90,      -4.786431743,      -4.000893495,      -4.020548893,      -2.737843825,      -11.16293006
          0,           0,          91,      -4.781859186,      -3.995724794,      -4.014475343,      -2.733344002,      -11.15541674
          0,           0,          92,      -4.777245457,      -3.990623873,      -4.008556648,      -2.728806139,      -11.14786701
          0,           0,          93,      -4.772593588,      -3.985591832,      -4.002801582,      -2.724232918,      -11.14023169
          0,           0,          94,      -4.767908177,      -3.980630742,      -3.997216867,      -2.719628545,      -11.13257703
          0,           0,          95,      -4.763195432,      -3.975743565,      -3.991807524,      -2.714998881,      -11.12484275
          0,           0,          96,      -4.758462937,      -3.970935052,      -3.986577106,      -2.710351156,      -11.11705266
          0,           0,          97,      -4.753719366,      -3.966212324,      -3.981528168,      -2.705693621,      -11.10920496
