Point ID,Density,Energy,Grid_Velocity_0,Grid_Velocity_1,Grid_Velocity_2,Grid_Velocity_Magnitude,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
48,1.28432,280266,0,-272.271,29.8678,273.905,0.265794,71.1789,-93.9158,8.77966,118.168,0.00557975,0.114087,1.04,1.04625,109932,0.157769,298.18,55.4215,-73.1251,6.83581,92.0084
49,1.2021,249708,0,-272.271,22.6904,273.215,0.0731782,9.60858,-26.5169,10.1588,29.9778,0.00773845,0.0866709,1.04,1.04363,99733.8,-0.0291683,289.024,7.99321,-22.0591,8.45119,24.9383
50,1.19392,246758,0,-272.271,20.8917,273.072,0.0618627,11.3888,-20.2914,9.44123,25.1114,0.00750558,0.0798004,1.04,1.04308,98597.4,-0.0500006,287.688,9.53901,-16.9957,7.90749,21.0327
51,1.1821,243501,0,-272.271,18.9198,272.928,0.0565995,13.2951,-16.0433,9.03809,22.712,0.00720665,0.0722684,1.04,1.04253,97313.1,-0.0735425,286.779,11.247,-13.5717,7.64565,19.2131
52,1.11335,227496,0,-272.271,-5.2836,272.323,0.210184,78.5491,-1.87103,3.90582,78.6684,-0.00324805,-0.0201819,1.04,1.0402,89886.7,-0.209675,281.252,70.5518,-1.67908,3.50669,70.6588
53,1.09896,222281,0,-272.271,-3.98847,272.301,0.191732,69.8907,8.17502,4.95923,70.5417,-0.00203824,-0.0152348,1.04,1.04011,88006.7,-0.244138,278.975,63.5972,7.43957,4.51166,64.1896
54,1.12541,231281,0,-272.271,-6.39854,272.346,0.235204,88.4476,-9.99194,4.11845,89.1055,-0.00444109,-0.0244406,1.04,1.0403,91101.4,-0.18741,281.999,78.5914,-8.87834,3.65865,79.1759
55,1.16124,243664,0,-272.271,-7.34626,272.37,0.259251,96.8116,-32.6995,3.21157,102.235,-0.00560154,-0.0280606,1.04,1.04039,95665.4,-0.103746,286.987,83.3687,-28.1571,2.76489,88.0387
56,1.16575,245591,0,-272.271,-8.14217,272.393,0.293244,108.077,-41.552,6.55695,115.975,-0.00671804,-0.0311008,1.04,1.04049,95926.5,-0.0989607,286.657,92.7152,-35.6235,5.61857,99.4822
57,1.22071,264007,0,-272.271,-8.80258,272.414,0.32968,118.899,-69.4039,8.84143,137.957,-0.00778377,-0.0336234,1.04,1.04057,102484,0.0212409,292.466,97.4019,-56.8498,7.23887,113.011
58,1.00384,196315,0,-272.271,1.75323,272.277,0.167286,41.2409,35.9234,8.51915,55.3523,-0.0181381,0.00669683,1.04,1.04018,77915.4,-0.429121,270.391,41.083,35.7868,8.4876,55.1412
59,0.946538,181162,0,-272.271,-0.116957,272.271,0.212814,34.3984,55.2786,7.41813,65.5286,-0.0190092,-0.000446744,1.04,1.04017,71557.4,-0.54567,263.357,36.3415,58.4014,7.83647,69.2303
60,1.03497,205101,0,-272.271,3.78143,272.298,0.155771,47.2234,24.0647,7.40865,53.5168,-0.0170205,0.014444,1.04,1.04024,81486.6,-0.363658,274.278,45.6277,23.2531,7.15949,51.7094
61,1.0601,212215,0,-272.271,5.94134,272.336,0.155118,52.4453,14.5958,6.82741,54.8649,-0.0156666,0.0226942,1.04,1.04037,84317.8,-0.311759,277.079,49.4719,13.7693,6.44121,51.7547
62,1.08389,218996,0,-272.271,8.19761,272.395,0.157774,56.7108,4.77812,6.75943,57.3117,-0.0141027,0.0313126,1.04,1.04057,86992.1,-0.262736,279.593,52.3213,4.41,6.23797,52.8761
63,1.17097,240170,0,-272.271,16.7957,272.789,0.0522418,15.5492,-10.6885,8.56637,20.7221,0.00683133,0.0641548,1.04,1.042,95994.7,-0.0977094,285.582,13.2788,-9.12773,7.31542,17.6963
