"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          76,      -6.479655281,      -6.650168997,      -7.021861947,      -5.775482077
          0,           0,          77,      -6.511750908,       -6.67237988,      -7.060048546,      -5.805746858
          0,           0,          78,      -6.540120791,      -6.692062713,      -7.088104132,      -5.826994797
          0,           0,          79,      -6.583430271,      -6.725611017,      -7.124547129,      -5.877626245
          0,           0,          80,      -6.621204818,      -6.755107894,      -7.166342815,      -5.913850805
          0,           0,          81,      -6.653139606,      -6.782156698,       -7.20534455,      -5.939349037
          0,           0,          82,      -6.700139024,      -6.820032049,      -7.242077526,      -5.993172072
          0,           0,          83,      -6.741507026,      -6.855836707,      -7.290262303,      -6.033188376
          0,           0,          84,      -6.779232206,      -6.889231262,      -7.330158353,      -6.064591878
          0,           0,          85,      -6.830069764,      -6.931985569,      -7.372484235,      -6.122197602
          0,           0,          86,      -6.877344446,      -6.972922762,      -7.421559016,      -6.168027806
          0,           0,          87,      -6.920900357,      -7.012600484,      -7.468662928,      -6.205494147
          0,           0,          88,       -6.97698342,      -7.058971553,      -7.512060844,      -6.267956217
          0,           0,          89,      -7.029839437,       -7.10498272,      -7.567111566,       -6.31965307
          0,           0,          90,      -7.081578502,      -7.149665189,      -7.618528574,      -6.365318602
          0,           0,          91,       -7.14357499,      -7.199922275,      -7.667441319,      -6.433302623
          0,           0,          92,      -7.204119324,      -7.249818848,      -7.726320661,      -6.492753317
          0,           0,          93,      -7.263898724,       -7.29940197,      -7.784686412,      -6.546712618
          0,           0,          94,      -7.332368766,      -7.351487218,        -7.8372286,      -6.620590527
          0,           0,          95,      -7.402230506,      -7.405649238,       -7.90155104,      -6.689434077
          0,           0,          96,      -7.479703679,      -7.459970963,      -7.967410867,      -6.760775326
          0,           0,          97,      -7.566524951,      -7.517513504,       -8.02404715,      -6.851411743
          0,           0,          98,      -7.661070148,      -7.577026882,      -8.092148469,      -6.944502073
          0,           0,          99,      -7.770452207,      -7.640133325,      -8.162900938,      -7.047655588
          0,           0,         100,      -7.882030992,      -7.702807883,      -8.221269919,      -7.161209679
          0,           0,         101,      -8.001871863,      -7.768574081,      -8.288576249,      -7.280069138
          0,           0,         102,      -8.121770901,      -7.834265663,      -8.351248933,      -7.396255647
          0,           0,         103,      -8.207443042,      -7.895838105,      -8.402568939,      -7.491273476
          0,           0,         104,      -8.249178747,       -7.95615706,      -8.454311487,      -7.538477309
          0,           0,         105,      -8.257798003,      -8.010028582,        -8.4971401,      -7.557946919
          0,           0,         106,      -8.229368512,      -8.059176732,      -8.532979373,      -7.527722076
          0,           0,         107,      -8.207608158,       -8.10219312,      -8.560620088,      -7.512955174
          0,           0,         108,      -8.167650113,      -8.135787512,      -8.577528753,      -7.467817513
          0,           0,         109,      -8.148093239,      -8.165864373,      -8.590724833,      -7.453682725
          0,           0,         110,      -8.115635989,      -8.184015938,      -8.593683746,      -7.415456317
          0,           0,         111,      -8.104059573,      -8.203895314,      -8.598687109,      -7.408838064
          0,           0,         112,       -8.08110082,      -8.211705937,      -8.596266372,      -7.380190749
          0,           0,         113,      -8.071537845,      -8.222814329,      -8.578313893,      -7.375544261
          0,           0,         114,      -8.047996128,      -8.223923615,      -8.579001917,      -7.347089086
          0,           0,         115,      -8.041994729,      -8.231299556,      -8.568748778,      -7.345892338
          0,           0,         116,      -8.025516377,      -8.227982993,      -8.572493287,       -7.32416699
          0,           0,         117,      -8.016558668,       -8.22360831,      -8.563140276,      -7.311870476
          0,           0,         118,      -7.999430853,      -8.210221913,        -8.5567093,      -7.288689004
