Point ID,Density,Energy,Grid_Velocity_0,Grid_Velocity_1,Grid_Velocity_2,Grid_Velocity_Magnitude,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
0,1.25462,266569,0,-285.361,28.0613,286.738,0.136147,4.58426,-55.9796,16.8503,58.6401,0.00777235,0.107186,1.09,1.09529,106076,0.0870827,294.527,3.65418,-44.6049,13.4412,46.7291
1,1.28591,274140,0,-285.361,28.9846,286.83,0.142622,3.70622,-60.6246,16.8944,63.0436,0.0078177,0.110713,1.09,1.09564,109033,0.141295,295.371,2.88253,-47.1184,13.1599,49.0065
2,1.25022,263163,0,-285.361,26.9825,286.634,0.109819,5.84633,-43.7226,15.9848,46.9187,0.00770568,0.103065,1.09,1.09489,104911,0.0657317,292.322,4.67643,-34.9662,12.7932,37.5256
3,1.22913,257159,0,-285.361,25.734,286.519,0.0937089,7.12,-35.5331,15.3826,39.369,0.00761072,0.0982966,1.09,1.09445,102611,0.0235762,290.821,5.7929,-28.9083,12.5168,32.03
4,1.20836,251759,0,-285.361,24.3051,286.395,0.0838901,8.47968,-30.4416,13.9835,34.5562,0.00747927,0.0928386,1.09,1.09397,100506,-0.0150189,289.75,7.01764,-25.1916,11.5743,28.5977
5,1.20004,248937,0,-285.361,22.6904,286.262,0.0741803,10.0984,-25.1807,13.4083,30.2627,0.0073021,0.0866709,1.09,1.09346,99421.6,-0.0348907,288.615,8.41489,-20.9857,11.1717,25.2194
6,1.18608,245029,0,-285.361,20.8917,286.125,0.0656836,11.863,-20.0861,12.4751,26.4539,0.00706923,0.0798004,1.09,1.09294,97893.4,-0.0629046,287.52,10.0018,-16.9348,10.518,22.3036
7,1.17587,241935,0,-285.361,18.9198,285.988,0.0591571,13.9065,-14.9784,11.7584,23.5797,0.00677031,0.0722684,1.09,1.09241,96679.3,-0.0851596,286.421,11.8265,-12.7383,9.99905,20.0527
8,1.65541,427701,0,-285.361,-10.7821,285.565,0.807954,18.1828,-466.997,17.2048,467.668,-0.0142119,-0.0411845,1.09,1.09087,144649,0.79418,304.37,11.0118,-282.128,10.3468,282.533
9,1.59697,415228,0,-285.361,-10.7104,285.562,0.734394,94.2723,-405.724,17.0081,416.88,-0.013523,-0.0409106,1.09,1.09085,144299,0.78776,314.808,59.0447,-254.035,10.595,261.022
10,1.63298,412536,0,-285.361,-10.8079,285.566,0.83461,-23.7233,-467.634,15.7428,468.499,-0.0148126,-0.041283,1.09,1.09088,138082,0.6738,294.574,-14.5597,-286.364,9.63916,286.896
11,1.48109,360146,0,-285.361,-10.7035,285.562,0.705,-159.303,-322.918,15.7266,360.418,-0.0163471,-0.0408845,1.09,1.09089,126449,0.460557,297.372,-107.713,-217.894,10.5836,243.294
12,1.58237,398347,0,-285.361,-10.7716,285.565,0.772447,-142.931,-399.629,15.5024,424.703,-0.0157969,-0.0411447,1.09,1.09089,136533,0.645403,300.565,-90.3075,-252.581,9.81979,268.42
13,1.45412,347308,0,-285.361,-10.5849,285.558,0.599027,-171.477,-250.325,12.2171,303.671,-0.0169339,-0.0404312,1.09,1.09088,126238,0.456672,302.424,-117.925,-172.144,8.40192,208.831
14,1.2321,275232,0,-285.361,-10.4068,285.551,0.491335,-164.788,-124.432,8.31831,206.658,-0.0175261,-0.039751,1.09,1.09087,103128,0.0330504,291.501,-133.873,-100.858,6.76577,167.75
15,1.20199,262081,0,-285.361,-10.163,285.542,0.390178,-135.869,-84.5006,11.7299,160.432,-0.0181018,-0.0388198,1.09,1.09084,100547,-0.0142628,291.401,-113.034,-70.3275,9.75209,133.483
16,1.03726,213378,0,-285.361,-9.8469,285.531,0.319585,-109.169,-14.7347,5.89589,110.316,-0.0186485,-0.0376124,1.09,1.09081,82980.4,-0.336274,278.621,-105.313,-13.9783,5.72181,106.391
17,0.959825,189662,0,-285.361,-9.44994,285.518,0.279112,-85.0925,22.1913,5.6949,88.1227,-0.0191574,-0.0360961,1.09,1.09077,74246,-0.496385,269.436,-88.6726,23.1364,5.91571,91.832
18,0.922819,178932,0,-285.361,-8.96135,285.502,0.240068,-62.7302,35.6835,5.08209,72.3479,-0.0196193,-0.0342298,1.09,1.09071,70436.5,-0.566217,265.865,-67.9934,38.709,5.49369,78.4326
19,0.900768,171927,0,-285.361,-8.36834,285.484,0.219959,-44.6095,45.7019,6.87823,64.2338,-0.0200226,-0.0319647,1.09,1.09065,67849.2,-0.613644,262.373,-49.5232,50.6804,7.53056,71.2584
