Point ID,Density,Energy,Grid_Velocity_0,Grid_Velocity_1,Grid_Velocity_2,Grid_Velocity_Magnitude,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
0,1.42148,310506,0,-170.17,32.1446,173.179,0.216251,0.295205,-106.4,9.17725,106.796,0.0117256,0.122784,0.65,0.661599,122597,0.389938,300.451,0.207602,-74.8538,6.46456,75.1328
1,1.35889,269295,0,-170.17,32.4064,173.228,0.532312,-5.85927,-230.395,25.9805,231.93,0.0117248,0.123784,0.65,0.661785,99798.7,-0.0279793,255.841,-4.31127,-169.547,19.1191,170.676
2,1.35585,288225,0,-170.17,31.8274,173.12,0.151137,0.451737,-69.4777,11.3692,70.4032,0.0117252,0.121572,0.65,0.661375,114527,0.242012,294.263,0.332981,-51.2998,8.39932,51.984
3,1.20899,261099,0,-170.17,31.4441,173.05,0.2201,0.536766,-91.3611,10.2425,91.935,0.0117227,0.120108,0.65,0.661108,103040,0.0314435,296.9,0.444349,-75.5445,8.44647,76.0165
4,1.31459,276673,0,-170.17,30.9825,172.967,0.098476,1.05218,-43.3009,9.65681,44.3771,0.0117169,0.118344,0.65,0.660789,110365,0.165705,292.464,0.800339,-32.9455,7.34687,33.7642
5,1.23847,261437,0,-170.17,30.4289,172.869,0.117516,1.27201,-48.8535,10.3782,49.9598,0.0117059,0.11623,0.65,0.660414,104171,0.0521755,293.016,1.02731,-39.4343,8.37623,40.3271
6,1.23274,258294,0,-170.17,29.7683,172.754,0.0824264,1.78257,-33.2842,9.85603,34.7585,0.0116873,0.113707,0.65,0.659974,103119,0.0328944,291.407,1.44599,-27.0024,7.99522,28.1983
7,1.24969,260067,0,-170.17,28.9846,172.62,0.0547629,2.43517,-20.5034,10.8176,23.3097,0.0116575,0.110713,0.65,0.659464,103939,0.0479243,289.739,1.94869,-16.4041,8.65758,18.6506
8,1.2218,254994,0,-170.17,28.0613,172.468,0.0700049,2.85469,-26.9809,10.8514,29.2211,0.0116122,0.107186,0.65,0.658881,101858,0.00976559,290.418,2.33658,-22.0816,8.88029,23.9148
9,1.21853,255765,0,-170.17,28.2215,172.494,0.141976,47.5504,-32.5527,13.3156,59.1441,0.00725813,0.107798,0.65,0.658918,101732,0.00745658,290.837,39.0229,-26.7149,10.9278,48.5375
10,1.22715,255953,0,-170.17,27.1797,172.327,0.134764,49.6664,-23.6145,12.3936,56.3737,0.00618633,0.103819,0.65,0.658268,101863,0.00986657,289.168,40.4736,-19.244,10.1001,45.9397
11,1.24249,260905,0,-170.17,29.1123,172.642,0.144389,48.6425,-34.8398,13.4842,61.3329,0.00818666,0.111201,0.65,0.659494,103756,0.0445675,290.905,39.1494,-28.0416,10.853,49.3639
12,1.18432,243691,0,-170.17,-6.39854,170.29,0.148517,59.4025,-2.36759,2.86689,59.5187,-0.00103761,-0.0244406,0.65,0.65046,96878.2,-0.0815147,284.963,50.1579,-1.9993,2.4204,50.256
13,1.18255,242641,0,-170.17,-5.2836,170.252,0.134038,53.371,3.56127,3.34444,53.5942,0.00015543,-0.0201819,0.65,0.650313,96570.6,-0.0871524,284.482,45.132,3.01151,2.82817,45.3207
14,1.19315,246419,0,-170.17,-7.34626,170.328,0.165385,66.1582,-9.23772,2.53869,66.8483,-0.00219807,-0.0280606,0.65,0.650609,97818.2,-0.0642825,285.599,55.4478,-7.74117,2.12804,56.026
15,1.1912,247213,0,-170.17,-8.14217,170.364,0.184417,72.1904,-18.4136,2.05587,74.5301,-0.00331456,-0.0311008,0.65,0.650752,97952.5,-0.0618216,286.458,60.6056,-15.4595,1.72459,62.57
16,1.21329,253752,0,-170.17,-8.80258,170.397,0.206579,79.0205,-31.7396,1.13081,85.1641,-0.00438029,-0.0336234,0.65,0.650884,100302,-0.0187495,287.987,65.1352,-26.1306,0.935787,70.1875
17,1.21425,254804,0,-170.17,-9.34351,170.426,0.233509,87.0042,-41.5754,1.36325,96.437,-0.00539235,-0.0356896,0.65,0.651001,100389,-0.0171552,287.999,71.6659,-34.2336,1.11885,79.4305
18,1.22107,252753,0,-170.17,22.6904,171.676,0.0384646,6.36623,-10.0969,10.6357,15.9873,0.0111419,0.0866709,0.65,0.655847,101060,-0.00486664,288.315,5.21363,-8.26892,8.71008,13.0928
19,1.21856,252858,0,-170.17,24.3051,171.897,0.0458863,5.27433,-14.924,10.6086,19.0548,0.0113191,0.0928386,0.65,0.656694,101084,-0.00442505,288.978,4.32838,-12.2473,8.70595,15.6373
20,1.21349,250908,0,-170.17,20.8917,171.447,0.0361753,7.4623,-7.983,10.1797,14.9346,0.0109091,0.0798004,0.65,0.654971,100327,-0.0183013,288.012,6.14948,-6.57855,8.38882,12.3071
21,1.21032,249818,0,-170.17,18.9198,171.218,0.0344239,8.78188,-4.78625,10.0252,14.161,0.0106101,0.0722684,0.65,0.654091,99893.9,-0.0262328,287.521,7.25584,-3.9545,8.28311,11.7002
22,1.20633,248656,0,-170.17,16.7957,170.996,0.0348387,10.2741,-2.24965,9.65052,14.2741,0.0102348,0.0641548,0.65,0.653239,99428.4,-0.0347661,287.128,8.51689,-1.86479,7.99996,11.8328
23,1.2016,247348,0,-170.17,14.5503,170.791,0.0370462,12.019,0.331147,9.14733,15.1076,0.00977315,0.0555782,0.65,0.652445,98901,-0.0444342,286.728,10.0025,0.275713,7.61264,12.5729
24,1.13365,228776,0,-170.17,-0.116957,170.17,0.109353,24.8136,32.9022,5.68736,41.6007,-0.0156057,-0.000446744,0.65,0.650187,91205.1,-0.185507,280.265,21.8885,29.0226,5.01767,36.696
25,1.12687,226892,0,-170.17,-1.81253,170.179,0.110135,19.1496,36.5878,5.02125,41.6003,-0.0162344,-0.00692334,0.65,0.65024,90449.8,-0.199353,279.618,16.9939,32.4686,4.45645,36.917
26,1.14023,230658,0,-170.17,1.75323,170.179,0.111847,29.8903,30.0562,6.25814,42.8482,-0.0147346,0.00669683,0.65,0.650201,91941.1,-0.172015,280.897,26.2143,26.3598,5.48858,37.5787
27,1.14712,232668,0,-170.17,3.78143,170.212,0.112596,34.1577,26.0202,6.64276,43.4502,-0.013617,0.014444,0.65,0.650303,92737.8,-0.157411,281.628,29.7773,22.6829,5.79138,37.878
28,1.15457,234906,0,-170.17,5.94134,170.273,0.112511,37.6179,21.05,7.57651,43.7677,-0.0122631,0.0226942,0.65,0.650512,93630.5,-0.141048,282.506,32.5822,18.2318,6.56268,37.9087
29,1.16165,236974,0,-170.17,8.19761,170.367,0.114195,40.5845,16.9526,8.25454,44.7507,-0.0106992,0.0313126,0.65,0.650842,94444.8,-0.126122,283.225,34.9373,14.5933,7.10647,38.5238
30,1.16809,238968,0,-170.17,10.5077,170.494,0.1153,42.8554,12.3462,9.01026,45.4994,-0.00896582,0.0401364,0.65,0.6513,95232.7,-0.111678,284.014,36.6888,10.5694,7.71397,38.9523
31,1.17626,241280,0,-170.17,12.8247,170.652,0.116499,44.6825,7.78755,9.55963,46.3525,-0.00711389,0.0489868,0.65,0.651882,96146.4,-0.0949281,284.748,37.9871,6.62046,8.12734,39.4069
32,1.18277,243179,0,-170.17,15.1012,170.838,0.118272,46.1003,3.62816,10.2837,47.3726,-0.00519975,0.0576824,0.65,0.652575,96892.2,-0.0812577,285.378,38.9769,3.06745,8.69481,40.0526
33,1.18348,242537,0,-170.17,-3.98847,170.216,0.11957,47.2651,6.5574,3.45525,47.8428,0.00136524,-0.0152348,0.65,0.65018,96628.1,-0.0860984,284.428,39.9372,5.54079,2.91957,40.4252
34,1.18082,241757,0,-170.17,-2.50445,170.188,0.107132,41.52,9.24166,4.38938,42.7619,0.00257188,-0.00956629,0.65,0.650075,96392.8,-0.0904123,284.374,35.1623,7.82696,3.71722,36.2142
35,1.23345,256546,0,-170.17,26.9825,172.296,0.0538406,3.65662,-19.5416,10.8559,22.6516,0.0115455,0.103065,0.65,0.658222,102535,0.0221799,289.588,2.96459,-15.8424,8.80129,18.3639
36,1.22823,254967,0,-170.17,25.734,172.104,0.0470898,4.45728,-15.8721,10.8056,19.7117,0.0114505,0.0982966,0.65,0.65749,101923,0.0109699,289.085,3.62905,-12.9227,8.79776,16.0488
