Point ID,Density,Energy,Grid_Velocity_0,Grid_Velocity_1,Grid_Velocity_2,Grid_Velocity_Magnitude,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
65,1.14113,232506,0,-217.293,-5.2836,217.358,0.173057,66.0658,5.4883,3.99715,66.4137,-0.00141541,-0.0201819,0.83,0.830247,92228.9,-0.16674,281.555,57.8953,4.80928,3.50261,58.2002
66,1.14466,232992,0,-217.293,-3.98847,217.33,0.15358,58.4292,8.27377,3.73238,59.13,-0.000205594,-0.0152348,0.83,0.83014,92585.2,-0.16021,281.771,51.0452,7.22792,3.26057,51.6574
67,1.15207,236774,0,-217.294,-6.39854,217.388,0.189112,73.3356,-4.51926,3.05566,73.5382,-0.00260844,-0.0244406,0.83,0.830364,93770.8,-0.138477,283.539,63.6578,-3.92282,2.65053,63.8336
68,1.13506,231072,0,-217.293,10.5077,217.547,0.143772,52.2089,10.7845,13.249,54.9328,-0.0105367,0.0401364,0.83,0.831037,91896.8,-0.172828,282.042,45.9969,9.50097,11.6726,48.3967
69,1.14587,234470,0,-217.293,12.8247,217.672,0.145702,54.3475,4.19488,14.2558,56.3425,-0.00868472,0.0489868,0.83,0.83149,93233.8,-0.14832,283.445,47.4289,3.66099,12.4411,49.17
70,1.34432,288954,0,-217.294,31.0371,219.499,0.223274,59.1228,-83.3311,15.5136,103.345,0.00866233,0.118553,0.83,0.838469,113987,0.232115,295.381,43.981,-61.9783,11.5407,76.8688
71,1.24706,279798,0,-217.293,31.4812,219.562,0.328881,38.2919,-136.818,18.0007,143.211,0.00914276,0.120249,0.83,0.838715,108623,0.133784,303.427,30.7114,-109.667,14.4569,114.8
72,1.37207,304860,0,-217.294,31.8499,219.615,0.310139,45.4481,-139.797,16.3922,147.91,0.00954396,0.121658,0.83,0.838923,118746,0.319343,301.51,33.1255,-101.912,11.8879,107.818
73,1.14321,231944,0,-217.293,-2.50445,217.308,0.137706,51.4057,11.7357,4.45358,52.9161,0.00100105,-0.00956629,0.83,0.830056,92287.7,-0.165664,281.222,44.9666,10.2652,3.89524,46.2876
74,1.02572,201122,0,-217.293,-5.81623,217.371,0.1593,-3.13772,53.6757,4.53316,53.958,-0.0184356,-0.0222164,0.83,0.830502,79880,-0.393109,271.294,-3.05905,52.3286,4.41927,52.6039
75,1.2067,252856,0,-217.293,24.5897,218.68,0.169089,59.8967,-30.6759,17.8227,69.6152,0.00201412,0.0939256,0.83,0.8353,100339,-0.0180741,289.669,49.636,-25.4196,14.7697,57.6891
76,1.21385,251259,0,-217.294,22.6904,218.475,0.0512658,7.91014,-17.3148,9.24786,21.1636,0.00957109,0.0866709,0.83,0.834568,100429,-0.0164162,288.223,6.5166,-14.2646,7.61865,17.4353
77,1.20542,248901,0,-217.293,20.8917,218.295,0.0462728,9.3008,-13.8783,8.91896,18.9383,0.00933822,0.0798004,0.83,0.83388,99500.6,-0.033444,287.553,7.71587,-11.514,7.39907,15.7116
