Point ID,Density,Energy,Grid_Velocity_0,Grid_Velocity_1,Grid_Velocity_2,Grid_Velocity_Magnitude,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
0,1.47878,356268,0,-248.709,-10.8021,248.944,0.719876,-77.1644,-356.972,1.88109,365.222,-0.0140896,-0.0412612,0.95,0.951,124459,0.424065,293.211,-52.1905,-241.39,1.27274,246.97
1,1.57364,389742,0,-248.709,-10.8079,248.944,0.71785,-18.8128,-392.741,3.60561,393.208,-0.0135908,-0.041283,0.95,0.950994,136235,0.639935,301.645,-12.037,-249.54,2.27591,249.841
2,1.50393,359979,0,-248.709,-10.7716,248.943,0.678572,-117.382,-331.484,-7.57524,351.735,-0.0145751,-0.0411447,0.95,0.951002,127536,0.480481,295.557,-78.0003,-220.359,-5.00152,233.81
3,1.56099,358948,0,-248.709,32.1446,250.778,0.282726,0.372837,-156.565,2.8587,156.592,0.00910754,0.122784,0.95,0.957945,140436,0.716942,313.409,0.238664,-100.297,1.85174,100.315
4,1.47384,295565,0,-248.709,32.4064,250.812,0.805357,-7.55313,-365.529,12.584,365.824,0.00910677,0.123784,0.95,0.958074,100046,-0.0234422,236.542,-5.23885,-247.944,8.62085,248.149
5,1.4249,319387,0,-248.709,31.8274,250.738,0.32017,0.587002,-159.328,2.26482,159.345,0.00910715,0.121572,0.95,0.95779,124188,0.419098,303.613,0.412501,-111.788,1.52384,111.799
6,1.26345,284380,0,-248.709,31.4441,250.689,0.306145,0.786776,-135.533,2.2968,135.555,0.00910465,0.120108,0.95,0.957606,110842,0.174463,305.619,0.622721,-107.276,1.81832,107.293
7,1.39266,299740,0,-248.709,30.9825,250.632,0.182565,1.43584,-87.3877,7.08871,87.6865,0.00909884,0.118344,0.95,0.957386,118786,0.320079,297.133,1.03097,-62.7517,5.09543,62.9667
8,1.26394,273561,0,-248.709,30.4289,250.564,0.1956,1.72906,-85.2576,7.99359,85.6489,0.00908786,0.11623,0.95,0.957127,108261,0.127142,298.38,1.36809,-67.4236,6.31587,67.7326
9,1.28133,273716,0,-248.709,29.7683,250.485,0.158123,2.43877,-69.1549,9.5347,69.8516,0.00906922,0.113707,0.95,0.956824,108720,0.13556,295.582,1.90339,-53.9576,7.4382,54.5011
10,1.27598,269538,0,-248.709,28.9846,250.393,0.123639,3.27856,-53.0732,10.1493,54.1343,0.00903947,0.110713,0.95,0.956472,107355,0.110543,293.098,2.56942,-41.5929,7.95195,42.4241
11,1.24388,262708,0,-248.709,28.0613,250.287,0.122994,4.00336,-51.6015,8.81289,52.5015,0.00899411,0.107186,0.95,0.95607,104639,0.0607555,293.054,3.21846,-41.4855,7.08512,42.209
12,1.24614,261126,0,-248.709,26.9825,250.169,0.0983998,5.11362,-40.7723,8.41172,41.9438,0.00892744,0.103065,0.95,0.955616,104167,0.0520975,291.202,4.10359,-32.721,6.75083,33.6612
13,1.22901,256348,0,-248.709,25.734,250.037,0.0846959,6.21869,-34.0305,8.1421,35.5393,0.00883248,0.0982966,0.95,0.955113,102333,0.018484,290.062,5.05989,-27.6886,6.6248,28.9163
14,1.22068,253909,0,-248.709,24.3051,249.894,0.0764045,7.45531,-29.8057,8.22092,31.8048,0.00870103,0.0928386,0.95,0.954565,101398,0.00133356,289.371,6.10747,-24.4169,6.73466,26.0546
