"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , -0.279437       , 0.001           
1               , -0.128692       , 0.001           
2               , -0.0141754      , 0.001           
3               , 0.0625053       , 0.001           
4               , 0.106308        , 0.001           
5               , 0.123813        , 0.001           
6               , 0.12273         , 0.001           
7               , 0.111427        , 0.001           
8               , 0.0978419       , 0.001           
9               , 0.0879507       , 0.001           
10              , 0.0844768       , 0.001           
11              , 0.0866952       , 0.001           
12              , 0.0917849       , 0.001           
13              , 0.0971455       , 0.001           
14              , 0.102151        , 0.001           
15              , 0.108138        , 0.001           
16              , 0.117353        , 0.001           
17              , 0.133469        , 0.001           
18              , 0.174134        , 0.001           
19              , -0.358267       , 0.001           
20              , 0.0850384       , 0.001           
21              , 0.353094        , 0.001           
22              , 0.465016        , 0.001           
23              , 0.45644         , 0.001           
24              , 0.365105        , 0.001           
25              , 0.224834        , 0.001           
26              , 0.0622373       , 0.001           
27              , -0.104017       , 0.001           
28              , -0.261291       , 0.001           
29              , -0.398638       , 0.001           
30              , -0.501121       , 0.001           
31              , -0.545797       , 0.001           
32              , -0.506147       , 0.001           
33              , -0.375009       , 0.001           
34              , -0.204252       , 0.001           
35              , -0.104179       , 0.001           
36              , -0.117594       , 0.001           
37              , -0.172355       , 0.001           
