"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    
          0,           0,           0,      -5.519039431,      -5.266234389,      -5.390355867,      -5.379605915
          0,           0,           1,      -5.223526343,      -5.159833357,      -5.136963188,       -5.57324075
          0,           0,           2,      -4.988987178,      -4.951887022,      -5.031144973,      -5.478371711
          0,           0,           3,      -4.899744488,      -4.858745226,      -4.977561599,       -5.41550222
          0,           0,           4,      -4.881410952,      -4.843280655,      -4.996442355,       -5.40406147
          0,           0,           5,      -4.903386498,      -4.862193607,       -5.04351894,      -5.428390863
          0,           0,           6,      -4.929207125,      -4.873400673,      -5.081943903,      -5.463589843
          0,           0,           7,      -4.939451451,      -4.866513721,      -5.108056175,      -5.488466857
          0,           0,           8,      -4.941115197,       -4.85245627,      -5.142606152,      -5.507090388
          0,           0,           9,      -4.939248142,      -4.836699896,      -5.187157556,      -5.526286796
          0,           0,          10,      -4.940678172,      -4.826342855,      -5.231049251,      -5.539884009
          0,           0,          11,      -4.949111529,      -4.822421663,      -5.254234247,      -5.546021681
          0,           0,          12,      -4.960754219,      -4.819376397,      -5.267141195,       -5.54546723
          0,           0,          13,      -4.971459664,      -4.813785099,      -5.284045781,      -5.540943566
          0,           0,          14,      -4.982238252,      -4.807587316,      -5.299991204,      -5.535759397
          0,           0,          15,       -4.99579109,      -4.803255296,      -5.309346208,      -5.532152369
          0,           0,          16,      -5.012807787,      -4.801062771,      -5.316470735,      -5.531324761
          0,           0,          17,      -5.032282293,      -4.800396809,      -5.327521595,      -5.533948617
          0,           0,          18,      -5.052889434,      -4.801172045,      -5.344619897,      -5.540651377
          0,           0,          19,      -5.073673346,      -4.803956439,      -5.367212481,      -5.552140573
          0,           0,          20,      -5.094308651,      -4.809642479,      -5.394046755,      -5.569252078
          0,           0,          21,      -5.115340568,      -4.819350604,      -5.424312643,      -5.594150319
          0,           0,          22,      -5.136556238,      -4.833345253,      -5.463644336,      -5.635544142
          0,           0,          23,      -5.150182685,      -4.846353416,       -5.49252688,      -5.651622709
          0,           0,          24,      -5.169435168,      -4.867517202,      -5.503852267,      -5.678419074
          0,           0,          25,       -5.18914463,      -4.891983766,      -5.530218881,      -5.711523759
          0,           0,          26,      -5.214612208,      -4.923142593,        -5.5590467,      -5.747670876
          0,           0,          27,      -5.247606751,      -4.961799994,      -5.589575805,       -5.79019925
          0,           0,          28,      -5.287496267,      -5.006817539,      -5.627755746,      -5.836031049
          0,           0,          29,      -5.333634206,      -5.057565327,      -5.673879476,      -5.884855262
          0,           0,          30,      -5.385915627,      -5.113718473,      -5.724796939,      -5.936533203
          0,           0,          31,       -5.44374133,      -5.174806294,      -5.777115715,      -5.990610783
          0,           0,          32,      -5.505256473,       -5.23992899,      -5.828007386,       -6.04615393
          0,           0,          33,      -5.567190472,      -5.307622976,      -5.875065523,      -6.101415761
          0,           0,          34,      -5.624696093,      -5.375588724,      -5.917546063,      -6.155229011
          0,           0,          35,      -5.668770331,      -5.437759756,       -5.94571353,      -6.199475865
          0,           0,          36,      -5.697475271,      -5.487716088,      -5.960216539,       -6.22559757
          0,           0,          37,      -5.714191869,      -5.523477337,        -5.9868887,      -6.255573058
          0,           0,          38,      -5.718380491,      -5.539075963,      -6.008659903,      -6.273981376
          0,           0,          39,      -5.715064677,      -5.535199917,      -6.026293802,      -6.281684299
          0,           0,          40,      -5.712330282,      -5.520677126,      -6.045009473,      -6.280491149
          0,           0,          41,      -5.713773088,      -5.503425124,      -6.058583954,      -6.273963267
          0,           0,          42,      -5.720360911,      -5.487750877,      -6.068223493,      -6.266184551
          0,           0,          43,      -5.733809591,      -5.477406861,       -6.07840986,      -6.262523989
          0,           0,          44,      -5.755330923,       -5.47492305,      -6.092378622,      -6.273389832
          0,           0,          45,      -5.773497536,      -5.471609046,      -6.092376668,      -6.255707311
          0,           0,          46,      -5.800492415,      -5.481186487,      -6.095420204,      -6.266022561
          0,           0,          47,      -5.829341503,      -5.495465475,       -6.10791571,      -6.280617861
          0,           0,          48,      -5.862910188,      -5.517719367,       -6.12454584,      -6.301212996
          0,           0,          49,      -5.899845827,       -5.54773655,      -6.146191701,      -6.334039203
          0,           0,          50,      -5.937188231,      -5.583247043,      -6.174780479,      -6.373288414
          0,           0,          51,      -5.972745037,      -5.622504198,      -6.210177317,      -6.416515028
          0,           0,          52,      -6.005931274,      -5.664376046,      -6.250284989,      -6.462827393
          0,           0,          53,      -6.037224722,      -5.707946008,      -6.293083485,      -6.511143215
          0,           0,          54,      -6.067828606,      -5.752361143,      -6.337299737,      -6.559867033
          0,           0,          55,      -6.099404619,       -5.79705727,       -6.38150537,      -6.607214806
          0,           0,          56,      -6.133571059,      -5.841946162,      -6.424191996,      -6.652046169
          0,           0,          57,      -6.171496866,      -5.887303116,      -6.464099494,      -6.694304209
          0,           0,          58,      -6.213273202,      -5.933103498,       -6.49942592,      -6.734171371
          0,           0,          59,      -6.256352632,      -5.977573421,      -6.526130962,      -6.768133277
          0,           0,          60,      -6.297412111,      -6.019217326,      -6.544831774,      -6.792215036
          0,           0,          61,       -6.33928999,      -6.061576087,      -6.564880416,      -6.820104503
          0,           0,          62,      -6.382819644,      -6.105597991,       -6.59446686,      -6.855384176
          0,           0,          63,      -6.426953026,      -6.150776365,      -6.628436973,      -6.893049633
          0,           0,          64,      -6.469227669,      -6.194725149,      -6.664948728,      -6.932236791
          0,           0,          65,      -6.505436514,      -6.233203852,      -6.706907241,      -6.968252905
          0,           0,          66,      -6.534904268,      -6.264662164,      -6.751424529,      -6.999120387
          0,           0,          67,      -6.558977245,      -6.289662027,      -6.795469444,      -7.025784389
          0,           0,          68,      -6.579059569,      -6.309527697,      -6.838118426,      -7.049243021
          0,           0,          69,      -6.596590806,      -6.326083146,      -6.878270328,      -7.070229775
          0,           0,          70,      -6.612786731,      -6.341092793,      -6.914774421,       -7.08952175
          0,           0,          71,      -6.628414471,      -6.355750229,      -6.947355974,      -7.107944893
          0,           0,          72,      -6.643840102,      -6.370542886,      -6.976484447,      -7.126199333
          0,           0,          73,      -6.659116504,      -6.385327149,      -7.002922452,      -7.144759441
          0,           0,          74,      -6.674147178,      -6.399577838,       -7.02744022,      -7.164233976
          0,           0,          75,      -6.689141714,      -6.413035929,      -7.049398884,      -7.186662547
          0,           0,          76,      -6.703279035,      -6.424926368,      -7.062739546,      -7.203572242
          0,           0,          77,      -6.716217122,      -6.432786692,      -7.079824799,      -7.210784595
          0,           0,          78,      -6.730129369,      -6.439437319,      -7.101485376,      -7.221399661
          0,           0,          79,      -6.742384092,       -6.44401947,      -7.121289739,      -7.230252797
          0,           0,          80,      -6.753916257,       -6.44706855,      -7.136904799,      -7.237923659
          0,           0,          81,      -6.765541308,      -6.449765467,      -7.150219997,      -7.247513136
          0,           0,          82,      -6.776931636,       -6.45295126,      -7.160395447,      -7.255142947
          0,           0,          83,      -6.789061135,      -6.457542801,      -7.168416341,      -7.264564268
          0,           0,          84,      -6.801400769,      -6.463485718,      -7.175905166,      -7.275627451
          0,           0,          85,      -6.814641445,      -6.471723531,      -7.183369705,      -7.287870567
          0,           0,          86,      -6.828783641,      -6.482057061,      -7.192160685,      -7.301187247
          0,           0,          87,      -6.843980173,      -6.494459251,      -7.201091859,      -7.312965633
          0,           0,          88,      -6.861404074,      -6.509836146,      -7.211446223,       -7.32658634
          0,           0,          89,      -6.881191928,      -6.528105986,      -7.223726987,      -7.341297424
          0,           0,          90,      -6.904192612,      -6.549761631,      -7.239663933,      -7.359769909
          0,           0,          91,      -6.930596457,      -6.574869149,      -7.260825181,      -7.383638044
          0,           0,          92,      -6.960096376,       -6.60316663,      -7.286777857,      -7.412361448
          0,           0,          93,      -6.991965652,      -6.634210107,      -7.316687591,      -7.444731044
          0,           0,          94,      -7.025634051,      -6.667650027,      -7.349473097,      -7.479834925
          0,           0,          95,      -7.060840069,      -6.703327229,       -7.38425477,      -7.517438572
          0,           0,          96,      -7.097494698,      -6.741201521,      -7.420590594,       -7.55756213
          0,           0,          97,      -7.135607152,      -6.781296966,      -7.458266277,       -7.60020272
          0,           0,          98,      -7.175245575,      -6.823669118,      -7.497101413,         -7.645299
          0,           0,          99,      -7.216487365,      -6.868381475,      -7.536932898,      -7.692714018
          0,           0,         100,      -7.259384749,      -6.915493871,       -7.57764588,      -7.742243158
          0,           0,         101,      -7.303938176,      -6.965045297,      -7.619124696,      -7.793627253
          0,           0,         102,      -7.350054481,      -7.017018708,      -7.661148428,      -7.846528438
          0,           0,         103,      -7.397482805,      -7.071284947,      -7.703312316,      -7.900441701
          0,           0,         104,      -7.445735616,      -7.127523604,      -7.745009943,      -7.954550507
          0,           0,         105,      -7.494023016,      -7.185129865,      -7.785490275,      -8.007624189
          0,           0,         106,      -7.541287905,      -7.243160182,      -7.824046794,      -8.058198733
          0,           0,         107,      -7.586459993,      -7.300407075,      -7.860426726,      -8.105238778
          0,           0,         108,       -7.62878938,      -7.355552313,      -7.895216127,      -8.148595097
          0,           0,         109,      -7.667843054,      -7.407156596,       -7.92931155,      -8.188078378
          0,           0,         110,      -7.703301965,      -7.453595646,      -7.962723957,      -8.222612071
          0,           0,         111,      -7.734844148,      -7.493185147,      -7.994610307,      -8.250922194
          0,           0,         112,      -7.762056908,      -7.524454306,      -8.024195193,       -8.27221681
          0,           0,         113,      -7.784548576,      -7.546610646,      -8.051080464,      -8.286610395
          0,           0,         114,      -7.802158348,      -7.559915194,      -8.075095078,      -8.295170272
          0,           0,         115,      -7.815102238,      -7.565633371,      -8.096150233,      -8.299369595
          0,           0,         116,      -7.823985009,      -7.565619519,      -8.114284128,      -8.300600311
          0,           0,         117,      -7.829681726,      -7.561830381,      -8.129802431,      -8.300045067
          0,           0,         118,      -7.833198574,      -7.556005106,      -8.143233943,      -8.298687074
          0,           0,         119,      -7.835568642,      -7.549549613,      -8.155131348,      -8.297321273
          0,           0,         120,      -7.837766104,      -7.543543389,      -8.165951647,      -8.296571483
          0,           0,         121,      -7.840637414,      -7.538789974,      -8.176075422,      -8.296914233
          0,           0,         122,      -7.844863801,      -7.535872231,      -8.185863117,      -8.298703623
          0,           0,         123,      -7.850952928,      -7.535198189,      -8.195678567,      -8.302203969
          0,           0,         124,      -7.859244088,      -7.537034035,      -8.205886402,       -8.30762659
          0,           0,         125,      -7.869916437,      -7.541527136,      -8.216840958,      -8.315148879
          0,           0,         126,      -7.883001972,       -7.54872529,      -8.228866774,      -8.324905821
          0,           0,         127,      -7.898408822,      -7.558596762,      -8.242235493,      -8.336973517
          0,           0,         128,      -7.915954526,      -7.571051382,      -8.257153116,       -8.35136668
          0,           0,         129,      -7.935402494,      -7.585960033,      -8.273761226,      -8.368050485
          0,           0,         130,      -7.956493986,       -7.60316975,      -8.292143145,      -8.386955003
          0,           0,         131,      -7.978971652,      -7.622513749,      -8.312327169,      -8.407985203
          0,           0,         132,      -8.002594912,      -7.643817896,      -8.334286752,       -8.43102724
          0,           0,         133,       -8.02715002,      -7.666905833,      -8.357941694,      -8.455953702
          0,           0,         134,      -8.052457895,      -7.691604389,      -8.383163475,      -8.482628975
          0,           0,         135,      -8.078381332,      -7.717749834,      -8.409785099,      -8.510914713
          0,           0,         136,      -8.104831266,      -7.745194653,      -8.437613954,      -8.540675219
          0,           0,         137,       -8.13177062,      -7.773814117,      -8.466445379,      -8.571782247
          0,           0,         138,       -8.15921425,      -7.803511833,      -8.496074635,       -8.60411849
          0,           0,         139,       -8.18722412,      -7.834223526,      -8.526305565,       -8.63757904
          0,           0,         140,      -8.215899517,      -7.865918406,      -8.556955626,       -8.67207079
          0,           0,         141,      -8.245362915,      -7.898597795,      -8.587858918,      -8.707511194
          0,           0,         142,       -8.27574308,      -7.932291409,      -8.618870024,      -8.743829334
          0,           0,         143,      -8.307158344,      -7.967052698,      -8.649870408,      -8.780972357
          0,           0,         144,      -8.339703624,      -8.002955076,      -8.680776243,      -8.818916791
          0,           0,         145,      -8.373443595,      -8.040089885,      -8.711545049,      -8.857678435
          0,           0,         146,      -8.408411571,      -8.078564917,      -8.742180494,      -8.897312372
          0,           0,         147,      -8.444610463,      -8.118500677,      -8.772735673,      -8.937899139
          0,           0,         148,      -8.482010659,      -8.160021067,      -8.803311303,      -8.979518387
          0,           0,         149,      -8.520540534,      -8.203235622,      -8.834041204,      -9.022212127
          0,           0,         150,      -8.560068267,      -8.248211485,      -8.865060202,      -9.065938149
          0,           0,         151,      -8.600376884,      -8.294933836,      -8.896457893,      -9.110513935
          0,           0,         152,      -8.641136472,      -8.343252925,      -8.928228576,      -9.155552167
          0,           0,         153,      -8.681878183,      -8.392815063,      -8.960229855,       -9.20039142
          0,           0,         154,      -8.721977243,      -8.442978766,      -8.992162894,      -9.244037931
          0,           0,         155,      -8.760663779,      -8.492735802,      -9.023590223,      -9.285169433
          0,           0,         156,      -8.797104261,      -8.540699174,      -9.054011837,      -9.322305095
          0,           0,         157,      -8.830601741,      -8.585258686,      -9.083021561,      -9.354235392
          0,           0,         158,      -8.860854989,      -8.624923093,      -9.110536808,      -9.380544225
          0,           0,         159,      -8.888001681,      -8.658614068,      -9.136920559,      -9.401633625
          0,           0,         160,      -8.912318301,       -8.68570344,      -9.162630096,      -9.418120391
          0,           0,         161,      -8.933946329,      -8.706004375,      -9.187689946,      -9.430550354
          0,           0,         162,       -8.95282442,      -8.719787814,      -9.211801445,      -9.439534933
          0,           0,         163,      -8.968796443,      -8.727762956,       -9.23470726,      -9.445769974
          0,           0,         164,      -8.981846741,      -8.731040912,      -9.256258065,      -9.450052517
          0,           0,         165,      -8.992228685,      -8.730964881,      -9.276374361,      -9.453217135
          0,           0,         166,      -9.000426937,       -8.72885479,      -9.295042307,      -9.455969548
          0,           0,         167,      -9.007045826,      -8.725826764,      -9.312342824,      -9.458816288
          0,           0,         168,      -9.012704566,       -8.72273555,      -9.328459647,      -9.462101916
          0,           0,         169,      -9.017977657,      -8.720199206,      -9.343623164,       -9.46606153
          0,           0,         170,      -9.023370454,      -8.718653108,      -9.358047225,      -9.470858744
          0,           0,         171,      -9.029307641,      -8.718400987,      -9.371919652,      -9.476614779
          0,           0,         172,      -9.036127956,      -8.719653261,      -9.385428934,      -9.483430386
          0,           0,         173,      -9.044086199,      -8.722553772,      -9.398781413,      -9.491399072
          0,           0,         174,      -9.053361371,       -8.72719796,      -9.412194303,      -9.500611938
          0,           0,         175,      -9.064068278,      -8.733645229,      -9.425878026,      -9.511156584
          0,           0,         176,       -9.07627079,      -8.741927759,      -9.440022504,      -9.523113422
          0,           0,         177,       -9.08999551,      -8.752057326,      -9.454791598,      -9.536552097
          0,           0,         178,      -9.105244615,      -8.764030933,      -9.470323123,      -9.551529412
