"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , -0.340926       , 0.001           
1               , -0.176554       , 0.001           
2               , -0.0511302      , 0.001           
3               , 0.0286694       , 0.001           
4               , 0.0674912       , 0.001           
5               , 0.0743108       , 0.001           
6               , 0.0608219       , 0.001           
7               , 0.0396461       , 0.001           
8               , 0.0217948       , 0.001           
9               , 0.0140312       , 0.001           
10              , 0.0173645       , 0.001           
11              , 0.0277956       , 0.001           
12              , 0.0393774       , 0.001           
13              , 0.0479925       , 0.001           
14              , 0.0532895       , 0.001           
15              , 0.0574913       , 0.001           
16              , 0.0629188       , 0.001           
17              , 0.0715141       , 0.001           
18              , 0.0920589       , 0.001           
19              , -0.441569       , 0.001           
20              , -0.13704        , 0.001           
21              , 0.041405        , 0.001           
22              , 0.120302        , 0.001           
23              , 0.130945        , 0.001           
24              , 0.100675        , 0.001           
25              , 0.0506336       , 0.001           
26              , -0.00505518     , 0.001           
27              , -0.0590012      , 0.001           
28              , -0.10898        , 0.001           
29              , -0.154922       , 0.001           
30              , -0.194626       , 0.001           
31              , -0.219513       , 0.001           
32              , -0.214272       , 0.001           
33              , -0.167343       , 0.001           
34              , -0.0950456      , 0.001           
35              , -0.0515321      , 0.001           
36              , -0.0653443      , 0.001           
37              , -0.097328       , 0.001           
