Point ID,Density,Energy,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
0,1.31117,3.75701,0.457574,0.730974,0.106178,0,0.738646,0.99975,-3.6329e-05,0,0.99975,1.41958,0.936567,1.08268,0.557496,0.0809794,0,0.563347
1,1.17227,3.37141,0.510711,0.725867,0.105334,0,0.73347,0.999,-0.000145254,0,0.999,1.25678,0.573165,1.07209,0.619199,0.0898552,0,0.625685
2,1.15993,3.34788,0.558438,0.781593,0.113238,0,0.789753,0.99776,-0.000325111,0,0.99776,1.23161,0.516982,1.06179,0.673826,0.0976246,0,0.680861
3,1.14194,3.3036,0.587839,0.807464,0.116723,0,0.815857,0.99602,-0.000576998,0,0.99602,1.20486,0.457284,1.0551,0.707096,0.102214,0,0.714445
4,1.12835,3.2693,0.606779,0.82187,0.118462,0,0.830363,0.99378,-0.000900437,0,0.99378,1.1855,0.414072,1.05065,0.72838,0.104987,0,0.735908
5,1.11866,3.24558,0.623086,0.835208,0.119962,0,0.843779,0.99105,-0.00129336,0,0.991051,1.17094,0.381572,1.04674,0.746616,0.107238,0,0.754278
6,1.10973,3.2233,0.636504,0.845128,0.120884,0,0.853729,0.98784,-0.00175361,0,0.987842,1.15796,0.352594,1.04347,0.761565,0.108932,0,0.769316
7,1.10184,3.20367,0.64857,0.853883,0.121559,0,0.862492,0.98413,-0.00228318,0,0.984133,1.14644,0.326876,1.04048,0.774964,0.110324,0,0.782777
8,1.09456,3.18553,0.659546,0.861553,0.121994,0,0.870147,0.97995,-0.00287683,0,0.979954,1.13586,0.30327,1.03773,0.78712,0.111455,0,0.794972
9,1.08779,3.16861,0.669709,0.868436,0.12224,0,0.876997,0.97528,-0.00353632,0,0.975286,1.12603,0.281328,1.03516,0.798351,0.112375,0,0.806221
10,1.0814,3.15265,0.679225,0.874687,0.122318,0,0.883198,0.97015,-0.00425627,0,0.970159,1.11679,0.260703,1.03273,0.808845,0.113111,0,0.816715
11,1.07533,3.13744,0.688219,0.880421,0.122249,0,0.888868,0.96454,-0.00503823,0,0.964553,1.10803,0.241134,1.03041,0.818744,0.113685,0,0.8266
12,1.06952,3.12288,0.696783,0.885732,0.122048,0,0.894102,0.95847,-0.00587808,0,0.958488,1.09966,0.222462,1.02818,0.828155,0.114115,0,0.83598
13,1.06394,3.10887,0.704971,0.890667,0.121726,0,0.898946,0.95194,-0.00677443,0,0.951964,1.09164,0.20455,1.02603,0.837139,0.114411,0,0.844921
14,1.05856,3.09533,0.712843,0.895287,0.121294,0,0.903466,0.94496,-0.00772447,0,0.944992,1.08391,0.187303,1.02395,0.845763,0.114584,0,0.85349
15,1.05334,3.08222,0.72043,0.899623,0.12076,0,0.907691,0.93754,-0.00872535,0,0.937581,1.07645,0.170649,1.02194,0.854063,0.114644,0,0.861723
16,1.04829,3.06947,0.727772,0.90371,0.120131,0,0.91166,0.92969,-0.00977422,0,0.929741,1.06922,0.154509,1.01997,0.862084,0.114598,0,0.869668
17,1.04335,3.05704,0.734902,0.907576,0.119417,0,0.915398,0.9214,-0.0108709,0,0.921464,1.06219,0.138813,1.01805,0.869863,0.114455,0,0.877361
18,1.03855,3.0449,0.741838,0.911243,0.11862,0,0.918931,0.9127,-0.0120097,0,0.912779,1.05534,0.123533,1.01617,0.877421,0.114217,0,0.884824
19,1.03384,3.03301,0.748595,0.914717,0.117747,0,0.922265,0.90358,-0.0131906,0,0.903676,1.04866,0.108614,1.01433,0.884774,0.113893,0,0.892074
20,1.02924,3.02137,0.755201,0.918034,0.116804,0,0.925435,0.89406,-0.0144092,0,0.894176,1.04213,0.0940387,1.01252,0.891953,0.113486,0,0.899144
21,1.02473,3.00995,0.761662,0.921196,0.115794,0,0.928445,0.88415,-0.0156627,0,0.884289,1.03574,0.0797761,1.01074,0.898965,0.113,0,0.906039
22,1.02029,2.9987,0.76799,0.924203,0.114721,0,0.931295,0.87385,-0.0169496,0,0.874014,1.02947,0.0657718,1.00899,0.905824,0.112439,0,0.912776
23,1.01593,2.98764,0.774215,0.927096,0.113591,0,0.934029,0.86318,-0.0182657,0,0.863373,1.02331,0.0520269,1.00726,0.912561,0.11181,0,0.919385
24,1.01162,2.97669,0.78034,0.929859,0.112402,0,0.936628,0.85216,-0.0196071,0,0.852386,1.01724,0.0384758,1.00555,0.91918,0.111111,0,0.925871
25,1.00736,2.96586,0.786389,0.932519,0.111163,0,0.939121,0.84077,-0.0209746,0,0.841032,1.01124,0.0250994,1.00386,0.925707,0.110351,0,0.932261
26,1.00314,2.95513,0.792365,0.935071,0.10987,0,0.941504,0.82905,-0.022362,0,0.829352,1.00532,0.0118747,1.00217,0.932146,0.109527,0,0.938558
27,0.998954,2.94447,0.798286,0.937533,0.108528,0,0.943793,0.81701,-0.0237664,0,0.817356,0.999454,-0.00121788,1.0005,0.938514,0.108641,0,0.944781
28,0.994799,2.93389,0.804153,0.9399,0.107135,0,0.945986,0.80464,-0.0251876,0,0.805034,0.99364,-0.0141956,0.998835,0.944814,0.107696,0,0.950932
29,0.990674,2.92336,0.809967,0.942178,0.105692,0,0.948088,0.79197,-0.0266206,0,0.792417,0.987878,-0.0270574,0.997178,0.951047,0.106687,0,0.957012
30,0.986578,2.91291,0.815748,0.944386,0.1042,0,0.950117,0.77901,-0.0280628,0,0.779515,0.982161,-0.0398182,0.995524,0.957234,0.105618,0,0.963043
31,0.982491,2.90247,0.821508,0.94652,0.102656,0,0.95207,0.76578,-0.0295103,0,0.766348,0.976468,-0.0525271,0.993869,0.963387,0.104486,0,0.969037
32,0.978385,2.89196,0.827273,0.948578,0.101059,0,0.953946,0.75228,-0.0309618,0,0.752917,0.970761,-0.0652659,0.992207,0.969534,0.103291,0,0.975021
33,0.974258,2.88139,0.833068,0.950584,0.0994072,0,0.955767,0.73852,-0.0324145,0,0.739231,0.965032,-0.0780534,0.990531,0.975701,0.102034,0,0.981021
34,0.970115,2.87078,0.838888,0.952538,0.0976978,0,0.957535,0.72453,-0.0338638,0,0.725321,0.959289,-0.0908718,0.988841,0.981881,0.100707,0,0.987032
35,0.965941,2.86007,0.84473,0.954418,0.0959246,0,0.959227,0.71032,-0.0353069,0,0.711197,0.953517,-0.103756,0.987139,0.988071,0.099307,0,0.993049
36,0.961756,2.84934,0.850617,0.956271,0.0940885,0,0.960889,0.69589,-0.0367423,0,0.696859,0.947731,-0.116671,0.985417,0.994296,0.0978299,0,0.999098
37,0.957519,2.83845,0.856539,0.958042,0.0921778,0,0.962466,0.68127,-0.0381652,0,0.682338,0.941892,-0.129706,0.98368,1.00055,0.0962674,0,1.00517
38,0.953241,2.82745,0.86253,0.959774,0.090192,0,0.964002,0.66647,-0.0395729,0,0.667644,0.936002,-0.142852,0.981916,1.00685,0.0946161,0,1.01129
39,0.948905,2.81629,0.868601,0.961458,0.0881241,0,0.965488,0.6515,-0.0409627,0,0.652786,0.930043,-0.156155,0.980123,1.01323,0.0928693,0,1.01748
40,0.944498,2.80493,0.874757,0.963086,0.085967,0,0.966915,0.63638,-0.0423308,0,0.637786,0.924001,-0.169642,0.978298,1.01968,0.0910187,0,1.02373
41,0.940023,2.7934,0.881021,0.964676,0.0837153,0,0.968302,0.62113,-0.0436736,0,0.622663,0.917872,-0.183321,0.976435,1.02623,0.0890566,0,1.03008
42,0.935456,2.7816,0.887395,0.966204,0.0813596,0,0.969624,0.60576,-0.0449881,0,0.607428,0.911634,-0.197246,0.974533,1.03287,0.0869731,0,1.03652
43,0.930805,2.76959,0.893903,0.967696,0.0788942,0,0.970906,0.59028,-0.0462713,0,0.592091,0.905288,-0.211412,0.972585,1.03963,0.084759,0,1.04308
44,0.926056,2.7573,0.900534,0.969121,0.0763076,0,0.97212,0.57471,-0.0475195,0,0.576671,0.898824,-0.22584,0.970594,1.0465,0.0824007,0,1.04974
45,0.921225,2.74479,0.907296,0.970501,0.0735949,0,0.973288,0.55906,-0.0487296,0,0.56118,0.892259,-0.240494,0.968556,1.05349,0.0798881,0,1.05651
46,0.916301,2.73203,0.914174,0.971805,0.0707431,0,0.974377,0.54336,-0.0498968,0,0.545646,0.885583,-0.255394,0.966477,1.06057,0.0772051,0,1.06338
47,0.911296,2.71904,0.921177,0.973048,0.0677473,0,0.975403,0.52761,-0.051019,0,0.530071,0.878811,-0.270511,0.964353,1.06776,0.0743418,0,1.07035
48,0.906217,2.70584,0.928263,0.974196,0.0645932,0,0.976336,0.51184,-0.0520914,0,0.514484,0.871959,-0.285805,0.962197,1.07501,0.0712779,0,1.07738
49,0.901132,2.69262,0.9354,0.97529,0.0612773,0,0.977214,0.49605,-0.0531115,0,0.498885,0.865103,-0.301108,0.960019,1.08229,0.0680004,0,1.08443
50,0.895994,2.67925,0.942628,0.976312,0.0577869,0,0.978021,0.48027,-0.0540749,0,0.483305,0.858188,-0.316544,0.957806,1.08964,0.0644947,0,1.09155
51,0.890501,2.66493,0.950344,0.977272,0.0541139,0,0.978769,0.46451,-0.0549784,0,0.467752,0.850816,-0.333,0.955436,1.09744,0.060768,0,1.09912
52,0.884308,2.64874,0.958935,0.978098,0.0502463,0,0.979388,0.44878,-0.0558186,0,0.452238,0.842558,-0.351433,0.952788,1.10606,0.05682,0,1.10752
53,0.878142,2.63259,0.967456,0.978755,0.0461707,0,0.979843,0.43311,-0.0565914,0,0.436792,0.834369,-0.369711,0.950154,1.11458,0.0525778,0,1.11581
54,0.874065,2.62191,0.973161,0.979237,0.0418809,0,0.980132,0.4175,-0.0572942,0,0.421413,0.82895,-0.381809,0.948385,1.12033,0.0479151,0,1.12135
55,0.873816,2.62134,0.973808,0.979688,0.0373725,0,0.980401,0.40197,-0.0579232,0,0.406122,0.828538,-0.382728,0.948184,1.12116,0.0427693,0,1.12198
56,0.875359,2.62551,0.972139,0.980173,0.0326384,0,0.980716,0.38654,-0.0584752,0,0.390938,0.830454,-0.37845,0.948702,1.11974,0.0372858,0,1.12036
57,0.87057,2.61298,0.978889,0.980647,0.0276641,0,0.981037,0.37123,-0.0589468,0,0.375881,0.824086,-0.392666,0.946605,1.12644,0.031777,0,1.12689
58,0.850032,2.55877,1.00688,0.980466,0.0224247,0,0.980722,0.35604,-0.0593356,0,0.36095,0.797207,-0.452663,0.937855,1.15345,0.026381,0,1.15375
59,0.816885,2.47115,1.05396,0.978534,0.0169005,0,0.97868,0.34099,-0.0596385,0,0.346166,0.753956,-0.549204,0.922966,1.19789,0.020689,0,1.19806
60,0.791454,2.40386,1.09201,0.975887,0.0111201,0,0.97595,0.32611,-0.0598525,0,0.331557,0.720851,-0.6231,0.910794,1.23303,0.0140502,0,1.23311
61,0.782005,2.37869,1.10607,0.974268,0.00509645,0,0.974282,0.3114,-0.0599757,0,0.317123,0.70871,-0.650202,0.906273,1.24586,0.00651716,0,1.24588
62,0.782488,2.37988,1.10495,0.974089,-0.0012019,0,0.974089,0.29687,-0.0600055,0,0.302874,0.709431,-0.648592,0.906634,1.24486,-0.001536,0,1.24486
63,0.785971,2.38907,1.0994,0.974438,-0.00781212,0,0.974469,0.28255,-0.0599401,0,0.288838,0.713992,-0.638411,0.90842,1.23979,-0.00993945,0,1.23983
64,0.789472,2.3984,1.09422,0.974982,-0.0147563,0,0.975093,0.26845,-0.0597777,0,0.275025,0.718487,-0.628378,0.910085,1.23498,-0.0186914,0,1.23512
65,0.792689,2.40698,1.08955,0.975443,-0.0220475,0,0.975692,0.25457,-0.0595166,0,0.261435,0.722603,-0.619189,0.911585,1.23055,-0.0278136,0,1.23086
66,0.796208,2.41638,1.08452,0.975909,-0.0297114,0,0.976361,0.24094,-0.0591559,0,0.248096,0.727096,-0.60916,0.913199,1.2257,-0.0373161,0,1.22626
67,0.800207,2.42703,1.07873,0.976291,-0.0377639,0,0.977022,0.22757,-0.0586946,0,0.235017,0.732232,-0.597697,0.915053,1.22005,-0.0471926,0,1.22096
68,0.804621,2.43878,1.07237,0.976609,-0.0462281,0,0.977703,0.21447,-0.058132,0,0.222209,0.737909,-0.585025,0.917089,1.21375,-0.0574532,0,1.21511
69,0.809287,2.45118,1.06562,0.976778,-0.055132,0,0.978333,0.20166,-0.0574681,0,0.209689,0.743933,-0.571578,0.919246,1.20696,-0.0681242,0,1.20888
70,0.814251,2.46436,1.05849,0.976824,-0.0645018,0,0.978951,0.18914,-0.0567023,0,0.197457,0.750351,-0.557253,0.921523,1.19966,-0.0792161,0,1.20227
71,0.819742,2.47892,1.05062,0.976725,-0.0743766,0,0.979553,0.17693,-0.0558351,0,0.185531,0.757465,-0.541372,0.924029,1.1915,-0.0907317,0,1.19495
72,0.826,2.4955,1.04168,0.976465,-0.0847891,0,0.980139,0.16504,-0.0548671,0,0.173921,0.765592,-0.523231,0.926868,1.18216,-0.10265,0,1.18661
73,0.832994,2.51399,1.03169,0.975937,-0.0957775,0,0.980626,0.15349,-0.0537998,0,0.162646,0.774713,-0.502872,0.930035,1.1716,-0.11498,0,1.17723
74,0.840535,2.5339,1.02094,0.975089,-0.10739,0,0.980985,0.14229,-0.0526344,0,0.151713,0.78458,-0.480848,0.933429,1.16008,-0.127764,0,1.1671
75,0.848459,2.55477,1.00963,0.9738,-0.119674,0,0.981126,0.13144,-0.0513713,0,0.141122,0.794999,-0.457591,0.936992,1.14773,-0.141049,0,1.15636
76,0.856857,2.57686,0.997737,0.972098,-0.132698,0,0.981113,0.12095,-0.0500119,0,0.130882,0.806065,-0.432891,0.940723,1.13449,-0.154865,0,1.14501
77,0.865888,2.60057,0.98502,0.969873,-0.146544,0,0.980881,0.11085,-0.0485607,0,0.12102,0.818,-0.406249,0.944696,1.12009,-0.169241,0,1.1328
78,0.875607,2.62603,0.971285,0.966915,-0.161257,0,0.98027,0.10113,-0.0470172,0,0.111525,0.830922,-0.377406,0.948967,1.10428,-0.184166,0,1.11953
79,0.886041,2.65327,0.956504,0.963087,-0.176939,0,0.979205,0.09181,-0.0453853,0,0.102415,0.844874,-0.346264,0.953538,1.08695,-0.199697,0,1.10515
80,0.897269,2.68252,0.940672,0.958304,-0.193708,0,0.977686,0.0829,-0.0436679,0,0.0936979,0.859947,-0.312619,0.958405,1.06802,-0.215886,0,1.08962
81,0.90933,2.71386,0.923659,0.952303,-0.211655,0,0.975541,0.0744,-0.0418661,0,0.0853705,0.87623,-0.276273,0.963599,1.04726,-0.232759,0,1.07281
82,0.922349,2.74759,0.905329,0.944848,-0.230933,0,0.972661,0.06633,-0.0399851,0,0.0774499,0.893894,-0.236843,0.96915,1.02439,-0.250375,0,1.05455
83,0.936426,2.78396,0.885496,0.935578,-0.251658,0,0.968834,0.05869,-0.0380264,0,0.0699323,0.91311,-0.193951,0.975101,0.999094,-0.268743,0,1.03461
84,0.951701,2.82327,0.863911,0.924026,-0.273967,0,0.963785,0.05149,-0.0359934,0,0.0628231,0.934102,-0.147093,0.981508,0.970921,-0.287871,0,1.0127
85,0.968439,2.86618,0.840159,0.909583,-0.297985,0,0.95715,0.04474,-0.0338903,0,0.0561268,0.957274,-0.0953707,0.988471,0.939225,-0.307696,0,0.988343
86,0.986891,2.91329,0.81383,0.891469,-0.323777,0,0.948445,0.03844,-0.0317181,0,0.0498365,0.983016,-0.0379118,0.996073,0.90331,-0.328078,0,0.961044
87,1.00735,2.96531,0.784487,0.868728,-0.351359,0,0.937092,0.0326,-0.0294811,0,0.0439533,1.01178,0.026285,1.00439,0.862388,-0.348795,0,0.930253
88,1.03016,3.02299,0.751437,0.839917,-0.380561,0,0.92211,0.02723,-0.0271842,0,0.0384767,1.04412,0.0984788,1.01355,0.815331,-0.369421,0,0.895118
89,1.05574,3.08737,0.713854,0.803302,-0.410739,0,0.90222,0.02232,-0.0248233,0,0.0333823,1.08074,0.180231,1.02369,0.760892,-0.389054,0,0.854587
90,1.08452,3.15937,0.670743,0.756487,-0.440911,0,0.8756,0.0179,-0.0224136,0,0.0286842,1.12236,0.273134,1.0349,0.697533,-0.40655,0,0.807363
91,1.11701,3.24021,0.620865,0.696778,-0.468702,0,0.83975,0.01395,-0.0199449,0,0.0243393,1.16982,0.379065,1.04728,0.623787,-0.419603,0,0.751783
92,1.15333,3.32991,0.562724,0.620734,-0.490154,0,0.790925,0.01049,-0.0174292,0,0.0203425,1.22349,0.498853,1.06083,0.538212,-0.424992,0,0.685777
93,1.19315,3.42761,0.494978,0.525772,-0.498648,0,0.724628,0.00752,-0.0148676,0,0.0166612,1.28303,0.631754,1.07533,0.440658,-0.417925,0,0.607323
94,1.23528,3.53012,0.415823,0.410867,-0.483665,0,0.63462,0.00504,-0.0122603,0,0.0132558,1.34684,0.774201,1.09031,0.33261,-0.391542,0,0.513745
95,1.27811,3.63398,0.324126,0.281193,-0.431713,0,0.515214,0.00305,-0.00960557,0,0.0100782,1.41206,0.919769,1.1048,0.220008,-0.337775,0,0.403107
96,1.31364,3.71906,0.222455,0.152266,-0.332196,0,0.36543,0.00156,-0.00691752,0,0.00709124,1.46729,1.04306,1.11696,0.115911,-0.252881,0,0.27818
97,1.34517,3.79704,0.108869,0.0480231,-0.177435,0,0.183819,0.00056,-0.00417316,0,0.00421057,1.51379,1.14686,1.12535,0.0357003,-0.131905,0,0.136651
98,1.34952,3.80572,0.00511058,-0.00115271,0.00859006,0,0.00866705,6e-05,-0.00137533,0,0.00137664,1.52228,1.1658,1.12801,-0.000854158,0.00636525,0,0.0064223
99,1.33551,3.76835,0.084459,0,0.141647,0,0.141647,0,0,0,0,1.50433,1.12575,1.12641,0,0.106062,0,0.106062
100,1.33409,3.77033,0.164898,0.0366684,0.273255,0,0.275705,6e-05,0.00137533,0,0.00137664,1.49674,1.10879,1.12192,0.0274857,0.204825,0,0.206661
101,1.304,3.70088,0.285244,0.121135,0.447568,0,0.463671,0.00056,0.00417316,0,0.00421057,1.44738,0.998612,1.10995,0.0928949,0.343228,0,0.355576
102,1.24087,3.54456,0.408702,0.261227,0.569915,0,0.626931,0.00156,0.00691752,0,0.00709124,1.35447,0.791235,1.09155,0.210519,0.459286,0,0.505235
103,1.1836,3.40523,0.515682,0.407919,0.626273,0,0.747406,0.00305,0.00960557,0,0.0100782,1.2677,0.597543,1.07105,0.344642,0.529125,0,0.631468
104,1.12527,3.26142,0.610694,0.539348,0.63491,0,0.83307,0.00504,0.0122603,0,0.0132558,1.18122,0.404505,1.04972,0.479305,0.564228,0,0.740328
105,1.07154,3.12748,0.692176,0.646039,0.61271,0,0.890382,0.00752,0.0148676,0,0.0166612,1.10302,0.229957,1.02938,0.602907,0.571804,0,0.830937
106,1.02434,3.00864,0.761015,0.727834,0.574724,0,0.927388,0.01049,0.0174292,0,0.0203425,1.03553,0.0793124,1.01092,0.710537,0.561066,0,0.905349
107,0.983795,2.90566,0.819196,0.789061,0.530777,0,0.950969,0.01395,0.0199449,0,0.0243393,0.978418,-0.0481752,0.994534,0.802058,0.53952,0,0.966633
108,0.949129,2.81692,0.868483,0.834246,0.486232,0,0.965602,0.0179,0.0224136,0,0.0286842,0.930296,-0.15559,0.980158,0.87896,0.512293,0,1.01736
109,0.919398,2.74027,0.910612,0.867571,0.443601,0,0.974403,0.02232,0.0248233,0,0.0333823,0.889568,-0.246499,0.967555,0.943629,0.48249,0,1.05983
110,0.893828,2.67394,0.946896,0.892104,0.404206,0,0.979404,0.02723,0.0271842,0,0.0384767,0.854942,-0.323789,0.956495,0.998071,0.452219,0,1.09574
111,0.871607,2.61597,0.978459,0.910215,0.368139,0,0.981844,0.0326,0.0294811,0,0.0439533,0.825184,-0.390214,0.946739,1.0443,0.422368,0,1.12648
112,0.852089,2.56481,1.0063,0.923591,0.335444,0,0.982621,0.03844,0.0317181,0,0.0498365,0.799293,-0.448007,0.938039,1.08391,0.393672,0,1.15319
113,0.834733,2.51911,1.03117,0.933449,0.305804,0,0.982264,0.04474,0.0338903,0,0.0561268,0.776469,-0.498954,0.9302,1.11826,0.366349,0,1.17674
114,0.81923,2.47811,1.05343,0.940617,0.278886,0,0.98109,0.05149,0.0359934,0,0.0628231,0.756258,-0.544066,0.923133,1.14817,0.340425,0,1.19758
115,0.805339,2.44124,1.07345,0.945758,0.254396,0,0.979375,0.05869,0.0380264,0,0.0699323,0.73829,-0.584173,0.916745,1.17436,0.315887,0,1.2161
116,0.792696,2.40756,1.09175,0.949344,0.232032,0,0.977289,0.06633,0.0399851,0,0.0774499,0.72205,-0.620424,0.910879,1.19761,0.292712,0,1.23287
117,0.780899,2.37602,1.10883,0.951631,0.211505,0,0.974852,0.0744,0.0418661,0,0.0853705,0.707013,-0.653989,0.905384,1.21864,0.270849,0,1.24837
118,0.769774,2.3462,1.12506,0.952933,0.192622,0,0.972206,0.0829,0.0436679,0,0.0936979,0.692907,-0.685475,0.900144,1.23794,0.250232,0,1.26298
119,0.759251,2.31793,1.14051,0.953423,0.175164,0,0.96938,0.09181,0.0453853,0,0.102415,0.679639,-0.715092,0.895144,1.25574,0.230706,0,1.27676
120,0.74941,2.29141,1.15499,0.953253,0.158979,0,0.966419,0.10113,0.0470172,0,0.111525,0.667308,-0.742615,0.890445,1.272,0.212139,0,1.28957
121,0.740413,2.2671,1.16831,0.952666,0.143944,0,0.963479,0.11085,0.0485607,0,0.12102,0.656092,-0.767653,0.886115,1.28667,0.19441,0,1.30127
122,0.732213,2.24491,1.18055,0.951792,0.129926,0,0.960619,0.12095,0.0500119,0,0.130882,0.645909,-0.790382,0.882133,1.29988,0.177443,0,1.31194
123,0.724352,2.22355,1.19214,0.950428,0.116802,0,0.957579,0.13144,0.0513713,0,0.141122,0.636239,-0.811967,0.878355,1.31211,0.16125,0,1.32198
124,0.716542,2.20231,1.20387,0.948755,0.10449,0,0.954491,0.14229,0.0526344,0,0.151713,0.626634,-0.833406,0.874526,1.32407,0.145825,0,1.33208
125,0.708777,2.18115,1.21553,0.946668,0.092905,0,0.951216,0.15349,0.0537998,0,0.162646,0.617144,-0.85459,0.870716,1.33564,0.131078,0,1.34205
126,0.701582,2.16153,1.22652,0.944554,0.0820182,0,0.948108,0.16504,0.0548671,0,0.173921,0.608359,-0.874198,0.867125,1.34632,0.116905,0,1.35139
127,0.694989,2.14347,1.23644,0.942295,0.0717548,0,0.945023,0.17693,0.0558351,0,0.185531,0.600385,-0.891997,0.863878,1.35584,0.103246,0,1.35977
128,0.688823,2.12658,1.24589,0.940057,0.062074,0,0.942104,0.18914,0.0567023,0,0.197457,0.59293,-0.908639,0.860787,1.36473,0.090116,0,1.3677
129,0.682693,2.10974,1.25522,0.937548,0.0529177,0,0.93904,0.20166,0.0574681,0,0.209689,0.585569,-0.92507,0.857733,1.37331,0.0775132,0,1.37549
130,0.676689,2.09325,1.26454,0.934976,0.0442574,0,0.936023,0.21447,0.058132,0,0.222209,0.578353,-0.941177,0.85468,1.38169,0.0654028,0,1.38324
131,0.670991,2.07756,1.27331,0.932309,0.0360626,0,0.933007,0.22757,0.0586946,0,0.235017,0.571555,-0.956351,0.851807,1.38945,0.0537453,0,1.39049
132,0.665894,2.06352,1.28131,0.929875,0.0283099,0,0.930305,0.24094,0.0591559,0,0.248096,0.565467,-0.969941,0.849184,1.39643,0.0425141,0,1.39708
133,0.661344,2.05096,1.28841,0.927558,0.0209652,0,0.927795,0.25457,0.0595166,0,0.261435,0.560065,-0.981997,0.846859,1.40253,0.0317009,0,1.40289
134,0.657283,2.03975,1.29485,0.925445,0.0140066,0,0.925551,0.26845,0.0597777,0,0.275025,0.555239,-0.992769,0.844749,1.40798,0.0213098,0,1.40815
135,0.653511,2.02932,1.30081,0.923376,0.00740275,0,0.923406,0.28255,0.0599401,0,0.288838,0.550777,-1.00273,0.842796,1.41295,0.0113277,0,1.41299
