Point ID,Density,Energy,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
139,0.639623,1.99082,1.32288,0.915026,-0.0158037,0,0.915162,0.34099,0.0596385,0,0.346166,0.534448,-1.03918,0.835568,1.43057,-0.0247078,0,1.43078
140,0.636315,1.98163,1.3282,0.912898,-0.0208793,0,0.913137,0.35604,0.0593356,0,0.36095,0.530576,-1.04782,0.833826,1.43466,-0.0328129,0,1.43504
141,0.633263,1.97315,1.33313,0.910888,-0.0256962,0,0.91125,0.37123,0.0589468,0,0.375881,0.527007,-1.05579,0.832209,1.4384,-0.0405775,0,1.43898
142,0.630546,1.96558,1.33746,0.909005,-0.0302687,0,0.909509,0.38654,0.0584752,0,0.390938,0.523854,-1.06283,0.830794,1.44162,-0.0480039,0,1.44241
143,0.62808,1.95871,1.34143,0.907269,-0.0346099,0,0.907929,0.40197,0.0579232,0,0.406122,0.520989,-1.06922,0.829495,1.44451,-0.0551043,0,1.44556
144,0.625638,1.95189,1.34533,0.905505,-0.0387275,0,0.906332,0.4175,0.0572942,0,0.421413,0.518164,-1.07553,0.828217,1.44733,-0.0619008,0,1.44865
145,0.623152,1.94496,1.34936,0.903711,-0.0426307,0,0.904716,0.43311,0.0565914,0,0.436792,0.515282,-1.08196,0.826897,1.45023,-0.0684114,0,1.45184
146,0.620642,1.93793,1.35333,0.901824,-0.046328,0,0.903014,0.44878,0.0558186,0,0.452238,0.5124,-1.08839,0.825598,1.45305,-0.0746454,0,1.45497
147,0.618365,1.9316,1.35718,0.900194,-0.0498459,0,0.901573,0.46451,0.0549784,0,0.467752,0.509743,-1.09432,0.824339,1.45576,-0.0806092,0,1.45799
148,0.616229,1.92558,1.3604,0.898441,-0.0531778,0,0.900013,0.48027,0.0540749,0,0.483305,0.507334,-1.0997,0.823287,1.45797,-0.0862954,0,1.46052
149,0.614623,1.92114,1.36328,0.897283,-0.0563761,0,0.899052,0.49605,0.0531115,0,0.498885,0.505433,-1.10394,0.822346,1.45989,-0.0917247,0,1.46277
150,0.613138,1.91693,1.36547,0.895962,-0.059406,0,0.897929,0.51184,0.0520914,0,0.514484,0.503773,-1.10765,0.82163,1.46127,-0.0968884,0,1.46448
151,0.61184,1.91334,1.36781,0.894982,-0.0623121,0,0.897148,0.52761,0.051019,0,0.530071,0.502237,-1.11108,0.820863,1.46277,-0.101844,0,1.46631
152,0.610866,1.91068,1.36975,0.894274,-0.0650992,0,0.896641,0.54336,0.0498968,0,0.545646,0.501051,-1.11373,0.820231,1.46395,-0.106569,0,1.46782
153,0.6119,1.9136,1.36815,0.89483,-0.0678566,0,0.897399,0.55906,0.0487296,0,0.56118,0.502219,-1.11112,0.820753,1.46238,-0.110895,0,1.46658
154,0.611931,1.91273,1.36332,0.892371,-0.0702644,0,0.895133,0.57471,0.0475195,0,0.576671,0.503211,-1.1089,0.822333,1.45829,-0.114824,0,1.4628
155,0.612337,1.91672,1.37693,0.899238,-0.0733129,0,0.902222,0.59028,0.0462713,0,0.592091,0.500821,-1.11424,0.817884,1.46853,-0.119726,0,1.47341
156,0.609406,1.90352,1.35673,0.885159,-0.0745352,0,0.888292,0.60576,0.0449881,0,0.607428,0.502448,-1.11061,0.824488,1.45249,-0.122308,0,1.45763
157,0.671906,2.06422,1.19972,0.889296,-0.0771738,0,0.892639,0.62113,0.0436736,0,0.622663,0.588509,-0.918507,0.87588,1.32354,-0.114858,0,1.32852
158,0.884226,2.62061,0.854335,0.883287,-0.078844,0,0.886799,0.63638,0.0423308,0,0.637786,0.870368,-0.289358,0.984327,0.998938,-0.0891672,0,1.00291
159,0.997735,2.92456,0.739295,0.876418,-0.0803296,0,0.880091,0.6515,0.0409627,0,0.652786,1.01456,0.0324975,1.01686,0.878407,-0.080512,0,0.882089
