Point ID,Density,Energy,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
0,1.31451,3.7643,0.448499,0.718857,0.104467,0,0.726408,0.99975,-3.63301e-05,0,0.99975,1.42543,0.949631,1.08439,0.546864,0.0794726,0,0.552608
1,1.17781,3.38508,0.501443,0.716663,0.10427,0,0.724209,0.999,-0.000145322,0,0.999,1.26497,0.591453,1.074,0.60847,0.0885282,0,0.614876
2,1.16696,3.36518,0.547021,0.771018,0.11274,0,0.779217,0.99776,-0.000325864,0,0.99776,1.24201,0.540205,1.06432,0.660708,0.0966097,0,0.667734
3,1.15094,3.32579,0.57339,0.794672,0.117651,0,0.803334,0.99602,-0.000581062,0,0.99602,1.21818,0.487,1.05841,0.690452,0.102221,0,0.697978
4,1.13953,3.297,0.589298,0.806821,0.122199,0,0.816022,0.99378,-0.000915099,0,0.99378,1.20193,0.450733,1.05475,0.708027,0.107236,0,0.716102
5,1.13151,3.27748,0.603204,0.818145,0.128119,0,0.828115,0.99105,-0.00133381,0,0.991051,1.18978,0.423611,1.05149,0.723054,0.113228,0,0.731866
6,1.1231,3.25651,0.615905,0.827132,0.134883,0,0.838058,0.98784,-0.00184529,0,0.987842,1.17753,0.396279,1.04847,0.736472,0.120099,0,0.7462
7,1.11397,3.23378,0.629779,0.836634,0.142051,0,0.848608,0.98413,-0.00246227,0,0.984133,1.16422,0.366565,1.04511,0.751037,0.127518,0,0.761786
8,1.10341,3.20742,0.645597,0.847154,0.148479,0,0.860068,0.97995,-0.00318492,0,0.979955,1.14889,0.332339,1.04122,0.767761,0.134564,0,0.779464
9,1.0915,3.17763,0.663339,0.858799,0.152844,0,0.872294,0.97528,-0.0040134,0,0.975288,1.13163,0.293819,1.03677,0.78681,0.140031,0,0.799174
