"PointID","x","y"
0, 9.997500181200000e-01, -3.632788054344533e-05
1, 9.990000128750000e-01, -1.451852760057464e-04
2, 9.977599978450000e-01, -3.243603679298979e-04
3, 9.960200190539999e-01, -5.729463300582724e-04
4, 9.937800168990000e-01, -8.858072223566372e-04
5, 9.910500049590000e-01, -1.252976324913032e-03
6, 9.878399968150000e-01, -1.661950099619322e-03
7, 9.841300249100000e-01, -2.103822996016151e-03
8, 9.799500107769999e-01, -2.567573174178969e-03
9, 9.752799868580000e-01, -3.055957580992182e-03
10, 9.701499938960000e-01, -3.575959758175332e-03
11, 9.645400047300000e-01, -4.147242874693765e-03
12, 9.584699869160000e-01, -4.787320211495769e-03
13, 9.519400000570000e-01, -5.511114906017509e-03
14, 9.449599981310000e-01, -6.323313106122006e-03
15, 9.375399947170000e-01, -7.218657261748905e-03
16, 9.296900033950000e-01, -8.184895883603277e-03
17, 9.214000105860000e-01, -9.209860531363901e-03
18, 9.126999974250000e-01, -1.027805004905075e-02
19, 9.035800099370001e-01, -1.138268182059276e-02
20, 8.940600156780000e-01, -1.251735210595449e-02
21, 8.841500282290000e-01, -1.367989116641026e-02
22, 8.738499879840000e-01, -1.487081481473339e-02
23, 8.631799817090000e-01, -1.608858493630173e-02
24, 8.521599769590000e-01, -1.733129203536569e-02
25, 8.407700061800000e-01, -1.860080754376839e-02
26, 8.290500044819999e-01, -1.989165783947029e-02
27, 8.170099854470000e-01, -2.120133873555553e-02
28, 8.046399950980000e-01, -2.252926464489882e-02
29, 7.919700145720000e-01, -2.387047829210111e-02
30, 7.790099978450000e-01, -2.522224960470338e-02
31, 7.657799720760000e-01, -2.658088919445499e-02
32, 7.522799968720000e-01, -2.794484043667561e-02
33, 7.385200262070000e-01, -2.931155274865700e-02
34, 7.245299816130000e-01, -3.067656896887719e-02
35, 7.103199958800001e-01, -3.203745908070161e-02
36, 6.958900094030001e-01, -3.339273689663582e-02
37, 6.812700033190000e-01, -3.473808726305185e-02
38, 6.664699912070000e-01, -3.607110376558221e-02
39, 6.514999866490000e-01, -3.738935086283488e-02
40, 6.363800168040000e-01, -3.868950614500369e-02
41, 6.211299896240000e-01, -3.996829986891165e-02
42, 6.057599782940000e-01, -4.122329476154967e-02
43, 5.902799963950000e-01, -4.245200656670159e-02
44, 5.747100114820000e-01, -4.365113554116246e-02
45, 5.590599775310000e-01, -4.481814524731221e-02
46, 5.433599948880000e-01, -4.594900001706365e-02
47, 5.276100039480000e-01, -4.704184989953503e-02
48, 5.118399858470000e-01, -4.809269466889674e-02
49, 4.960500001910000e-01, -4.909953999173142e-02
50, 4.802699983120000e-01, -5.005841556376575e-02
51, 4.645099937920000e-01, -5.096662656297527e-02
52, 4.487800002100000e-01, -5.182139384999120e-02
53, 4.331099987030000e-01, -5.261887062622697e-02
54, 4.174999892710000e-01, -5.335677851682919e-02
55, 4.019699990750000e-01, -5.403178415290762e-02
56, 3.865399956700000e-01, -5.464064276602600e-02
57, 3.712300062180000e-01, -5.518021583691917e-02
58, 3.560400009160000e-01, -5.564807171028448e-02
59, 3.409900069240000e-01, -5.604108251680444e-02
60, 3.261100053790000e-01, -5.635610099590480e-02
61, 3.113999962810000e-01, -5.659078910565405e-02
62, 2.968699932100000e-01, -5.674253220828405e-02
63, 2.825500071050000e-01, -5.680869993594330e-02
64, 2.684499919410000e-01, -5.678709603704280e-02
65, 2.545700073240000e-01, -5.667548203656983e-02
66, 2.409400045870000e-01, -5.647197231583017e-02
67, 2.275699973110000e-01, -5.617482557720040e-02
68, 2.144699990750000e-01, -5.578242237413984e-02
69, 2.016600072380000e-01, -5.529369672919576e-02
70, 1.891400069000000e-01, -5.470704840110679e-02
71, 1.769299954180000e-01, -5.402188889371513e-02
72, 1.650400012730000e-01, -5.323747161493031e-02
73, 1.534900069240000e-01, -5.235405286001855e-02
74, 1.422899961470000e-01, -5.137160679641976e-02
75, 1.314399987460000e-01, -5.028929428940743e-02
76, 1.209499984980000e-01, -4.910718622530378e-02
77, 1.108499988910000e-01, -4.782824107780791e-02
78, 1.011300012470000e-01, -4.645089332801327e-02
79, 9.181000292300000e-02, -4.497759278362134e-02
80, 8.290000259900000e-02, -4.340991742998766e-02
81, 7.440000027400000e-02, -4.174774637564337e-02
82, 6.633000075800000e-02, -3.999504315827277e-02
83, 5.869000032500000e-02, -3.815204041483640e-02
84, 5.149000138000000e-02, -3.622125273714055e-02
85, 4.473999887700000e-02, -3.420572542270121e-02
86, 3.844000026600000e-02, -3.210567933210870e-02
87, 3.260000050100000e-02, -2.992451586264721e-02
88, 2.723000012300000e-02, -2.766654486950308e-02
89, 2.232000045500000e-02, -2.532725242430187e-02
90, 1.789999939500000e-02, -2.292156207987377e-02
91, 1.394999958600000e-02, -2.043918812205980e-02
92, 1.049000024800000e-02, -1.789252516254710e-02
93, 7.519999985000000e-03, -1.528357870883488e-02
94, 5.040000193000000e-03, -1.261387079558694e-02
95, 3.049999941000000e-03, -9.883582552759220e-03
96, 1.560000004000000e-03, -7.110830802947342e-03
97, 5.600000150000000e-04, -4.277772264858935e-03
98, 5.999999800000000e-05, -1.399627765365685e-03
99, 0.000000000000000e+00, 0.000000000000000e+00
100, 5.999999800000000e-05, 1.405204247494840e-03
101, 5.600000150000000e-04, 4.278116940737502e-03
102, 1.560000004000000e-03, 7.071260643476260e-03
103, 3.049999941000000e-03, 9.766258465669099e-03
104, 5.040000193000000e-03, 1.237975070462503e-02
105, 7.519999985000000e-03, 1.489487029697348e-02
106, 1.049000024800000e-02, 1.731302349738226e-02
107, 1.394999958600000e-02, 1.963488489167588e-02
108, 1.789999939500000e-02, 2.186113251054276e-02
109, 2.232000045500000e-02, 2.398373146290233e-02
110, 2.723000012300000e-02, 2.601507586391037e-02
111, 3.260000050100000e-02, 2.794576364430001e-02
112, 3.844000026600000e-02, 2.978352593821705e-02
113, 4.473999887700000e-02, 3.152866990498687e-02
114, 5.149000138000000e-02, 3.318249203878480e-02
115, 5.869000032500000e-02, 3.474901941682651e-02
116, 6.633000075800000e-02, 3.623004725548270e-02
117, 7.440000027400000e-02, 3.762788364318884e-02
118, 8.290000259900000e-02, 3.894668225597885e-02
119, 9.181000292300000e-02, 4.018763311810190e-02
120, 1.011300012470000e-01, 4.135513485266422e-02
121, 1.108499988910000e-01, 4.245217907857569e-02
122, 1.209499984980000e-01, 4.348095383276487e-02
123, 1.314399987460000e-01, 4.444675218250170e-02
124, 1.422899961470000e-01, 4.535103616594100e-02
125, 1.534900069240000e-01, 4.619737329000426e-02
126, 1.650400012730000e-01, 4.698991327184219e-02
127, 1.769299954180000e-01, 4.773188126518999e-02
128, 1.891400069000000e-01, 4.842586840089290e-02
129, 2.016600072380000e-01, 4.907501822734174e-02
130, 2.144699990750000e-01, 4.968182675757563e-02
131, 2.275699973110000e-01, 5.024954310213600e-02
132, 2.409400045870000e-01, 5.078023105234823e-02
133, 2.545700073240000e-01, 5.127613048986661e-02
134, 2.684499919410000e-01, 5.173913090895851e-02
135, 2.825500071050000e-01, 5.217015540378757e-02
136, 2.968699932100000e-01, 5.257070995676433e-02
137, 3.113999962810000e-01, 5.294149907371229e-02
138, 3.261100053790000e-01, 5.328229973016908e-02
139, 3.409900069240000e-01, 5.359295209428248e-02
140, 3.560400009160000e-01, 5.387293109234146e-02
141, 3.712300062180000e-01, 5.412060809449446e-02
142, 3.865399956700000e-01, 5.433409826296955e-02
143, 4.019699990750000e-01, 5.451124857525504e-02
144, 4.174999892710000e-01, 5.464908156057467e-02
145, 4.331099987030000e-01, 5.474416635808148e-02
146, 4.487800002100000e-01, 5.479265222469033e-02
147, 4.645099937920000e-01, 5.479028128752669e-02
148, 4.802699983120000e-01, 5.473236208125545e-02
149, 4.960500001910000e-01, 5.461390797603927e-02
150, 5.118399858470000e-01, 5.442960595515824e-02
151, 5.276100039480000e-01, 5.417425954188772e-02
152, 5.433599948880000e-01, 5.384220139194171e-02
153, 5.590599775310000e-01, 5.342839297761554e-02
154, 5.747100114820000e-01, 5.292727632048021e-02
155, 5.902799963950000e-01, 5.233451883903757e-02
156, 6.057599782940000e-01, 5.164570032378177e-02
157, 6.211299896240000e-01, 5.085747937475558e-02
158, 6.363800168040000e-01, 4.996686539318092e-02
159, 6.514999866490000e-01, 4.897171807789256e-02
160, 6.664699912070000e-01, 4.787165189557928e-02
161, 6.812700033190000e-01, 4.666773738906957e-02
162, 6.958900094030001e-01, 4.536169791536972e-02
163, 7.103199958800001e-01, 4.395662750297488e-02
164, 7.245299816130000e-01, 4.245924400389801e-02
165, 7.385200262070000e-01, 4.087484387518830e-02
166, 7.522799968720000e-01, 3.921112839069194e-02
167, 7.657799720760000e-01, 3.747979477936970e-02
168, 7.790099978450000e-01, 3.569157263401141e-02
169, 7.919700145720000e-01, 3.385678557859677e-02
170, 8.046399950980000e-01, 3.198932412779956e-02
171, 8.170099854470000e-01, 3.010227257956181e-02
172, 8.290500044819999e-01, 2.821214502303870e-02
173, 8.407700061800000e-01, 2.632923372878075e-02
174, 8.521599769590000e-01, 2.446661877973487e-02
175, 8.631799817090000e-01, 2.264200048113053e-02
176, 8.738499879840000e-01, 2.086267489696732e-02
177, 8.841500282290000e-01, 1.914176643028018e-02
178, 8.940600156780000e-01, 1.749125232534609e-02
179, 9.035800099370001e-01, 1.591776803293810e-02
180, 9.126999974250000e-01, 1.442652911220544e-02
181, 9.214000105860000e-01, 1.301999763401142e-02
182, 9.296900033950000e-01, 1.169067909553453e-02
183, 9.375399947170000e-01, 1.043287596189840e-02
184, 9.449599981310000e-01, 9.232138845900038e-03
185, 9.519400000570000e-01, 8.078817492631837e-03
186, 9.584699869160000e-01, 6.969297505418472e-03
187, 9.645400047300000e-01, 5.908914995133017e-03
188, 9.701499938960000e-01, 4.909785196992872e-03
189, 9.752799868580000e-01, 3.992105538166833e-03
190, 9.799500107769999e-01, 3.167650597689334e-03
191, 9.841300249100000e-01, 2.450774283019801e-03
192, 9.878399968150000e-01, 1.838872933731470e-03
193, 9.910500049590000e-01, 1.330812836472309e-03
194, 9.937800168990000e-01, 9.139710564351859e-04
195, 9.960200190539999e-01, 5.807413932317966e-04
196, 9.977599978450000e-01, 3.258040007138663e-04
197, 9.990000128750000e-01, 1.453168990936635e-04
198, 9.997500181200000e-01, 3.632996513176726e-05
199, 1.000000000000000e+00, 0.000000000000000e+00
