"PointID","x","y"
0, 9.997500181200000e-01, -3.632760960755792e-05
1, 9.990000128750000e-01, -1.451681714710574e-04
2, 9.977599978450000e-01, -3.241728194590572e-04
3, 9.960200190539999e-01, -5.719340986060912e-04
4, 9.937800168990000e-01, -8.821525008026661e-04
5, 9.910500049590000e-01, -1.242885872293041e-03
6, 9.878399968150000e-01, -1.639047350778553e-03
7, 9.841300249100000e-01, -2.059002019530343e-03
8, 9.799500107769999e-01, -2.490276254738690e-03
9, 9.752799868580000e-01, -2.935865178648382e-03
10, 9.701499938960000e-01, -3.405839703705096e-03
11, 9.645400047300000e-01, -3.924385451547688e-03
12, 9.584699869160000e-01, -4.514439765522232e-03
13, 9.519400000570000e-01, -5.195049488099414e-03
14, 9.449599981310000e-01, -5.972853866667221e-03
15, 9.375399947170000e-01, -6.842104514204129e-03
16, 9.296900033950000e-01, -7.788342132379984e-03
17, 9.214000105860000e-01, -8.796575123331414e-03
18, 9.126999974250000e-01, -9.848978125761628e-03
19, 9.035800099370001e-01, -1.093731309902813e-02
20, 8.940600156780000e-01, -1.205477687554734e-02
21, 8.841500282290000e-01, -1.319951292681138e-02
22, 8.738499879840000e-01, -1.437269196266667e-02
23, 8.631799817090000e-01, -1.557351420254115e-02
24, 8.521599769590000e-01, -1.680066552032065e-02
25, 8.407700061800000e-01, -1.805635965107830e-02
26, 8.290500044819999e-01, -1.933536005745796e-02
27, 8.170099854470000e-01, -2.063522100220826e-02
28, 8.046399950980000e-01, -2.195532455524628e-02
29, 7.919700145720000e-01, -2.329066923526607e-02
30, 7.790099978450000e-01, -2.463844546829222e-02
31, 7.657799720760000e-01, -2.599487834856972e-02
32, 7.522799968720000e-01, -2.735831652067143e-02
33, 7.385200262070000e-01, -2.872611310831006e-02
34, 7.245299816130000e-01, -3.009370408107907e-02
35, 7.103199958800001e-01, -3.145854680927720e-02
36, 6.958900094030001e-01, -3.281904542392729e-02
37, 6.812700033190000e-01, -3.417076672540127e-02
38, 6.664699912070000e-01, -3.551119940018199e-02
39, 6.514999866490000e-01, -3.683781680122931e-02
40, 6.363800168040000e-01, -3.814721809713734e-02
41, 6.211299896240000e-01, -3.943607728167409e-02
42, 6.057599782940000e-01, -4.070193451878991e-02
43, 5.902799963950000e-01, -4.194231469120322e-02
44, 5.747100114820000e-01, -4.315395291137038e-02
45, 5.590599775310000e-01, -4.433438953413978e-02
46, 5.433599948880000e-01, -4.547968175136146e-02
47, 5.276100039480000e-01, -4.658813185366746e-02
48, 5.118399858470000e-01, -4.765589303977211e-02
49, 4.960500001910000e-01, -4.868118171512112e-02
50, 4.802699983120000e-01, -4.966022637852639e-02
51, 4.645099937920000e-01, -5.059056922639851e-02
52, 4.487800002100000e-01, -5.146968028179160e-02
53, 4.331099987030000e-01, -5.229393216378401e-02
54, 4.174999892710000e-01, -5.306131001178947e-02
55, 4.019699990750000e-01, -5.376869915577604e-02
56, 3.865399956700000e-01, -5.441304972178329e-02
57, 3.712300062180000e-01, -5.499138549850306e-02
58, 3.560400009160000e-01, -5.550145476265116e-02
59, 3.409900069240000e-01, -5.594021897515254e-02
60, 3.261100053790000e-01, -5.630453181467240e-02
61, 3.113999962810000e-01, -5.659209634404718e-02
62, 2.968699932100000e-01, -5.680025560272912e-02
63, 2.825500071050000e-01, -5.692619199560770e-02
64, 2.684499919410000e-01, -5.696752920223512e-02
65, 2.545700073240000e-01, -5.692183266074002e-02
66, 2.409400045870000e-01, -5.678681107780121e-02
67, 2.275699973110000e-01, -5.656033711192877e-02
68, 2.144699990750000e-01, -5.624033891051862e-02
69, 2.016600072380000e-01, -5.582517420674662e-02
70, 1.891400069000000e-01, -5.531271590879502e-02
71, 1.769299954180000e-01, -5.470167137064083e-02
72, 1.650400012730000e-01, -5.399058954409879e-02
73, 1.534900069240000e-01, -5.317890790029117e-02
74, 1.422899961470000e-01, -5.226579766638600e-02
75, 1.314399987460000e-01, -5.124963881490528e-02
76, 1.209499984980000e-01, -5.012962389918325e-02
77, 1.108499988910000e-01, -4.890769462023845e-02
78, 1.011300012470000e-01, -4.758148414444191e-02
79, 9.181000292300000e-02, -4.615246481639643e-02
80, 8.290000259900000e-02, -4.462130244679586e-02
81, 7.440000027400000e-02, -4.298701303149820e-02
82, 6.633000075800000e-02, -4.125265580782736e-02
83, 5.869000032500000e-02, -3.941766250536114e-02
84, 5.149000138000000e-02, -3.748377366828742e-02
85, 4.473999887700000e-02, -3.545334975093358e-02
86, 3.844000026600000e-02, -3.332599254557820e-02
87, 3.260000050100000e-02, -3.110461916227609e-02
88, 2.723000012300000e-02, -2.879324075282599e-02
89, 2.232000045500000e-02, -2.638697985541987e-02
90, 1.789999939500000e-02, -2.390117206045907e-02
91, 1.394999958600000e-02, -2.132543247871945e-02
92, 1.049000024800000e-02, -1.867318287942218e-02
93, 7.519999985000000e-03, -1.594758018578494e-02
94, 5.040000193000000e-03, -1.315190143155084e-02
95, 3.049999941000000e-03, -1.028895238977940e-02
96, 1.560000004000000e-03, -7.381880747663072e-03
97, 5.600000150000000e-04, -4.419034444261330e-03
98, 5.999999800000000e-05, -1.431124365587061e-03
99, 0.000000000000000e+00, 0.000000000000000e+00
100, 5.999999800000000e-05, 1.444657051267465e-03
101, 5.600000150000000e-04, 4.451035828212574e-03
102, 1.560000004000000e-03, 7.397002023759212e-03
103, 3.049999941000000e-03, 1.024522144616075e-02
104, 5.040000193000000e-03, 1.300501887959771e-02
105, 7.519999985000000e-03, 1.565395108545021e-02
106, 1.049000024800000e-02, 1.819080536484727e-02
107, 1.394999958600000e-02, 2.061475228869634e-02
108, 1.789999939500000e-02, 2.292573541085317e-02
109, 2.232000045500000e-02, 2.511529085516244e-02
110, 2.723000012300000e-02, 2.719647734668931e-02
111, 3.260000050100000e-02, 2.916025892256933e-02
112, 3.844000026600000e-02, 3.101540237824201e-02
113, 4.473999887700000e-02, 3.276327414666309e-02
114, 5.149000138000000e-02, 3.440641970029432e-02
115, 5.869000032500000e-02, 3.595020598102044e-02
116, 6.633000075800000e-02, 3.739785847459794e-02
117, 7.440000027400000e-02, 3.875318181774273e-02
118, 8.290000259900000e-02, 4.002179976170205e-02
119, 9.181000292300000e-02, 4.120649935638175e-02
120, 1.011300012470000e-01, 4.231315091472266e-02
121, 1.108499988910000e-01, 4.334625733136091e-02
122, 1.209499984980000e-01, 4.430954949683306e-02
123, 1.314399987460000e-01, 4.520962328826607e-02
124, 1.422899961470000e-01, 4.604944068650977e-02
125, 1.534900069240000e-01, 4.683386605281423e-02
126, 1.650400012730000e-01, 4.756821959763537e-02
127, 1.769299954180000e-01, 4.825687678472322e-02
128, 1.891400069000000e-01, 4.890352685056660e-02
129, 2.016600072380000e-01, 4.951226213777760e-02
130, 2.144699990750000e-01, 5.008644819614510e-02
131, 2.275699973110000e-01, 5.063004005762310e-02
132, 2.409400045870000e-01, 5.114574166007345e-02
133, 2.545700073240000e-01, 5.163629073234027e-02
134, 2.684499919410000e-01, 5.210395828236121e-02
135, 2.825500071050000e-01, 5.254990153669949e-02
136, 2.968699932100000e-01, 5.297574602878722e-02
137, 3.113999962810000e-01, 5.338219318919218e-02
138, 3.261100053790000e-01, 5.376882302362911e-02
139, 3.409900069240000e-01, 5.413518363626799e-02
140, 3.560400009160000e-01, 5.448038001466177e-02
141, 3.712300062180000e-01, 5.480215589636318e-02
142, 3.865399956700000e-01, 5.509788912019040e-02
143, 4.019699990750000e-01, 5.536467195181244e-02
144, 4.174999892710000e-01, 5.559854208481867e-02
145, 4.331099987030000e-01, 5.579495496820370e-02
146, 4.487800002100000e-01, 5.594882691692026e-02
147, 4.645099937920000e-01, 5.605469958659112e-02
148, 4.802699983120000e-01, 5.610638332152489e-02
149, 4.960500001910000e-01, 5.609744891167300e-02
150, 5.118399858470000e-01, 5.602107521661076e-02
151, 5.276100039480000e-01, 5.587037575883638e-02
152, 5.433599948880000e-01, 5.563816857459391e-02
153, 5.590599775310000e-01, 5.531770628697733e-02
154, 5.747100114820000e-01, 5.490193139246306e-02
155, 5.902799963950000e-01, 5.438489668770542e-02
156, 6.057599782940000e-01, 5.376077236105312e-02
157, 6.211299896240000e-01, 5.302488855074595e-02
158, 6.363800168040000e-01, 5.217312626692473e-02
159, 6.514999866490000e-01, 5.120239832849250e-02
160, 6.664699912070000e-01, 5.011158658754263e-02
161, 6.812700033190000e-01, 4.890131916509945e-02
162, 6.958900094030001e-01, 4.757318028343843e-02
163, 7.103199958800001e-01, 4.613043042204691e-02
164, 7.245299816130000e-01, 4.458036114852866e-02
165, 7.385200262070000e-01, 4.292909786607560e-02
166, 7.522799968720000e-01, 4.118551552477205e-02
167, 7.657799720760000e-01, 3.936293298360010e-02
168, 7.790099978450000e-01, 3.747387765596310e-02
169, 7.919700145720000e-01, 3.553059422675542e-02
170, 8.046399950980000e-01, 3.354920299985667e-02
171, 8.170099854470000e-01, 3.154502076743185e-02
172, 8.290500044819999e-01, 2.953699752922671e-02
173, 8.407700061800000e-01, 2.753741446544931e-02
174, 8.521599769590000e-01, 2.556142842505285e-02
175, 8.631799817090000e-01, 2.362898578539779e-02
176, 8.738499879840000e-01, 2.174889128513792e-02
177, 8.841500282290000e-01, 1.993599031213362e-02
178, 8.940600156780000e-01, 1.820367249106224e-02
179, 9.035800099370001e-01, 1.655930445459311e-02
180, 9.126999974250000e-01, 1.500809389785964e-02
181, 9.214000105860000e-01, 1.355135333056007e-02
182, 9.296900033950000e-01, 1.217885484780075e-02
183, 9.375399947170000e-01, 1.088113821934559e-02
184, 9.449599981310000e-01, 9.639247724463181e-03
185, 9.519400000570000e-01, 8.439799318600843e-03
186, 9.584699869160000e-01, 7.277467947101091e-03
187, 9.645400047300000e-01, 6.158775612114787e-03
188, 9.701499938960000e-01, 5.099646789717325e-03
189, 9.752799868580000e-01, 4.125751546801726e-03
190, 9.799500107769999e-01, 3.253517525316441e-03
191, 9.841300249100000e-01, 2.500508933208525e-03
192, 9.878399968150000e-01, 1.864268374209343e-03
193, 9.910500049590000e-01, 1.341996378482100e-03
194, 9.937800168990000e-01, 9.180204583941358e-04
195, 9.960200190539999e-01, 5.818627080236362e-04
196, 9.977599978450000e-01, 3.260117318640115e-04
197, 9.990000128750000e-01, 1.453358426214743e-04
198, 9.997500181200000e-01, 3.633026518214506e-05
199, 1.000000000000000e+00, 0.000000000000000e+00
