"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , -0.195969       , 0.001           
1               , -0.0387158      , 0.001           
2               , 0.0790079       , 0.001           
3               , 0.158934        , 0.001           
4               , 0.206177        , 0.001           
5               , 0.22635         , 0.001           
6               , 0.225874        , 0.001           
7               , 0.212168        , 0.001           
8               , 0.193114        , 0.001           
9               , 0.175759        , 0.001           
10              , 0.164713        , 0.001           
11              , 0.161149        , 0.001           
12              , 0.163275        , 0.001           
13              , 0.168361        , 0.001           
14              , 0.17511         , 0.001           
15              , 0.184685        , 0.001           
16              , 0.200353        , 0.001           
17              , 0.229112        , 0.001           
18              , 0.302052        , 0.001           
19              , -0.302186       , 0.001           
20              , 0.300755        , 0.001           
21              , 0.700397        , 0.001           
22              , 0.885518        , 0.001           
23              , 0.884609        , 0.001           
24              , 0.743031        , 0.001           
25              , 0.510433        , 0.001           
26              , 0.231576        , 0.001           
27              , -0.0587861      , 0.001           
28              , -0.335947       , 0.001           
29              , -0.580157       , 0.001           
30              , -0.768103       , 0.001           
31              , -0.865768       , 0.001           
32              , -0.832792       , 0.001           
33              , -0.653208       , 0.001           
34              , -0.392915       , 0.001           
35              , -0.210905       , 0.001           
36              , -0.197001       , 0.001           
37              , -0.271795       , 0.001           
