,Points_1,Pressure,,,,,,,,,,,,,,,r,v,q
1,-0.041283,138082,,-0.041283,0.165067,,0,-0.57871955,,,,,,,,,1.1,287.9793266,50805.26485
1,-0.0412612,143091,,0.123784,,,0.000132068,-0.62977725,,,,,,,,,,,
1,-0.0411447,136533,,,,,0.000837842,-0.278534125,,,,,,,,,,,
1,-0.0408845,126449,,,,,0.002414171,-0.073456954,,,,,,,,,,,
1,-0.0404199,129086,,,,,0.005228786,0.129917638,,,,,,,,,,,
1,-0.0396835,130960,,,,,0.009690005,0.275095505,,,,,,,,,,,
1,-0.0386735,121205,,,,,0.015808732,0.381675011,,,,,,,,,,,
1,-0.0373563,116641,,,,,0.023788522,0.48665232,,,,,,,,,,,
1,-0.0356896,106433,,,,,0.033885634,0.60906483,,,,,,,,,,,
1,-0.0336234,101677,,,,,0.046402976,0.607531524,,,,,,,,,,,
1,-0.0311008,94603.5,,,,,0.061685255,0.621112794,,,,,,,,,,,
1,-0.0280606,93426,,,,,0.080103231,0.621034062,,,,,,,,,,,
1,-0.0244406,89961.8,,,,,0.10203372,0.592420886,,,,,,,,,,,
1,-0.0201819,87131.9,,,,,0.127833546,0.580752804,,,,,,,,,,,
1,-0.0152348,86471.1,,,,,0.157803801,0.519664647,,,,,,,,,,,
1,-0.00956629,85920.5,,,,,0.192144463,0.468268398,,,,,,,,,,,
1,-0.0031673,85530.1,,,,,0.230910479,0.411299893,,,,,,,,,,,
1,0.00393963,85678,,,,,0.273965299,0.365446378,,,,,,,,,,,
1,0.0116947,87108.9,,,,,0.320946646,0.318114669,,,,,,,,,,,
1,0.0199985,88659.8,,,,,0.371252279,0.274774672,,,,,,,,,,,
1,0.028714,90038.3,,,,,0.424052052,0.232635339,,,,,,,,,,,
1,0.0376738,91331.7,,,,,0.478331829,0.19414917,,,,,,,,,,,
1,0.0466918,92758.7,,,,,0.53296419,0.158820154,,,,,,,,,,,
1,0.0555782,94186.7,,,,,0.5867993,0.125626744,,,,,,,,,,,
1,0.0641548,95578.6,,,,,0.638757595,0.09901336,,,,,,,,,,,
1,0.0722684,96679.3,,,,,0.687910969,0.065314097,,,,,,,,,,,
1,0.0798004,97893.4,,,,,0.733540926,0.035956903,,,,,,,,,,,
1,0.0866709,99421.6,,,,,0.775163418,0.013443489,,,,,,,,,,,
1,0.0928386,100506,,,,,0.812528246,-0.01200663,,,,,,,,,,,
1,0.0982966,102611,,,,,0.845593607,-0.051431678,,,,,,,,,,,
1,0.103065,104911,,,,,0.874481271,-0.055624156,,,,,,,,,,,
