,Points_1,Pressure,,,,,,,,,,,,,,,r,v,q
2,0.122784,122597,,-0.041283,0.165067,,0.993941854,-1.033924663,,,,,,,,,0.7,183.2595715,20574.03287
2,0.121572,114527,,0.123784,,,0.986599381,-0.641682653,,,,,,,,,,,
2,0.120108,103040,,,,,0.977730255,-0.083357503,,,,,,,,,,,
2,0.118344,110365,,,,,0.967043685,-0.439388819,,,,,,,,,,,
2,0.11623,104171,,,,,0.954236764,-0.13832971,,,,,,,,,,,
2,0.113707,103119,,,,,0.938952062,-0.087197294,,,,,,,,,,,
2,0.110713,103939,,,,,0.920813973,-0.12705336,,,,,,,,,,,
2,0.107186,101858,,,,,0.899446891,-0.025906443,,,,,,,,,,,
2,0.103065,102535,,,,,0.874481271,-0.058811999,,,,,,,,,,,
2,0.0982966,101923,,,,,0.845593607,-0.029065765,,,,,,,,,,,
2,0.0928386,101084,,,,,0.812528246,0.011713795,,,,,,,,,,,
2,0.0866709,101060,,,,,0.775163418,0.012880314,,,,,,,,,,,
2,0.0798004,100327,,,,,0.733540926,0.048507748,,,,,,,,,,,
2,0.0722684,99893.9,,,,,0.687910969,0.069558555,,,,,,,,,,,
2,0.0641548,99428.4,,,,,0.638757595,0.092184163,,,,,,,,,,,
2,0.0555782,98901,,,,,0.5867993,0.117818418,,,,,,,,,,,
2,0.0466918,98506.4,,,,,0.53296419,0.136997934,,,,,,,,,,,
2,0.0376738,98033.4,,,,,0.478331829,0.159988079,,,,,,,,,,,
2,0.028714,97568.8,,,,,0.424052052,0.182569943,,,,,,,,,,,
2,0.0199985,97206.8,,,,,0.371252279,0.200164937,,,,,,,,,,,
2,0.0116947,96922,,,,,0.320946646,0.214007629,,,,,,,,,,,
2,0.00393963,96441.8,,,,,0.273965299,0.23734773,,,,,,,,,,,
2,-0.0031673,96536.7,,,,,0.230910479,0.23273512,,,,,,,,,,,
2,-0.00956629,96392.8,,,,,0.192144463,0.239729373,,,,,,,,,,,
2,-0.0152348,96628.1,,,,,0.157803801,0.228292626,,,,,,,,,,,
2,-0.0201819,96570.6,,,,,0.127833546,0.231087411,,,,,,,,,,,
2,-0.0244406,96878.2,,,,,0.10203372,0.216136526,,,,,,,,,,,
