,Points_1,Pressure,,,,,,,,,,,,,,,r,v,q
1,-0.041283,129790,,-0.041283,0.165067,,0,-0.647421094,,,,,,,,,1.04,272.2713633,45414.02848
1,-0.0412612,134375,,0.123784,,,0.000132068,-0.704540008,,,,,,,,,,,
1,-0.0411447,126019,,,,,0.000837842,-0.311599752,,,,,,,,,,,
1,-0.0408845,130247,,,,,0.002414171,-0.082177251,,,,,,,,,,,
1,-0.0404199,132515,,,,,0.005228786,0.145340553,,,,,,,,,,,
1,-0.0396835,126806,,,,,0.009690005,0.307752923,,,,,,,,,,,
1,-0.0386735,119212,,,,,0.015808732,0.426984803,,,,,,,,,,,
1,-0.0373563,113474,,,,,0.023788522,0.544424285,,,,,,,,,,,
1,-0.0356896,102143,,,,,0.033885634,0.681368754,,,,,,,,,,,
1,-0.0336234,102484,,,,,0.046402976,0.679653425,,,,,,,,,,,
1,-0.0311008,95926.5,,,,,0.061685255,0.694846968,,,,,,,,,,,
1,-0.0280606,95665.4,,,,,0.080103231,0.69475889,,,,,,,,,,,
1,-0.0244406,91101.4,,,,,0.10203372,0.662748957,,,,,,,,,,,
1,-0.0201819,89886.7,,,,,0.127833546,0.649695721,,,,,,,,,,,
1,-0.0152348,88006.7,,,,,0.157803801,0.581355605,,,,,,,,,,,
1,-0.00956629,87134.1,,,,,0.192144463,0.523857953,,,,,,,,,,,
1,-0.0031673,86736.2,,,,,0.230910479,0.460126545,,,,,,,,,,,
1,0.00393963,87115.9,,,,,0.273965299,0.40882962,,,,,,,,,,,
1,0.0116947,87890,,,,,0.320946646,0.355879021,,,,,,,,,,,
1,0.0199985,89128.3,,,,,0.371252279,0.307394003,,,,,,,,,,,
1,0.028714,90350.7,,,,,0.424052052,0.260252182,,,,,,,,,,,
1,0.0376738,91867.3,,,,,0.478331829,0.217197204,,,,,,,,,,,
1,0.0466918,93202.4,,,,,0.53296419,0.177674174,,,,,,,,,,,
1,0.0555782,94580.6,,,,,0.5867993,0.140540274,,,,,,,,,,,
1,0.0641548,95994.7,,,,,0.638757595,0.110767535,,,,,,,,,,,
1,0.0722684,97313.1,,,,,0.687910969,0.073067731,,,,,,,,,,,
1,0.0798004,98597.4,,,,,0.733540926,0.040225456,,,,,,,,,,,
1,0.0866709,99733.8,,,,,0.775163418,0.015039406,,,,,,,,,,,
1,0.0928386,101211,,,,,0.812528246,-0.013431973,,,,,,,,,,,
1,0.0982966,102347,,,,,0.845593607,-0.057537287,,,,,,,,,,,
1,0.103065,104677,,,,,0.874481271,-0.062227468,,,,,,,,,,,
1,0.107186,105320,,,,,0.899446891,-0.136103319,,,,,,,,,,,
1,0.110713,107567,,,,,0.920813973,-0.135596867,,,,,,,,,,,
1,0.113707,107174,,,,,0.938952062,-0.149535292,,,,,,,,,,,
1,0.11623,108291,,,,,0.954236764,-0.369269157,,,,,,,,,,,
1,0.118344,117738,,,,,0.967043685,-0.216320823,,,,,,,,,,,
1,0.120108,109187,,,,,0.977730255,-0.43530602,,,,,,,,,,,
1,0.121572,126600,,,,,0.986599381,-0.839212051,,,,,,,,,,,
1,0.122784,141996,,,,,0.993941854,0.028163104,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2,-0.0411845,141970,,,,,0.000596727,-0.768705203,,,,,,,,,,,
2,-0.0409106,133093,,,,,0.002256054,-0.509402067,,,,,,,,,,,
2,-0.0404312,109109,,,,,0.005160329,-0.577156462,,,,,,,,,,,
2,-0.039751,110706,,,,,0.00928108,-0.41104039,,,,,,,,,,,
2,-0.0388198,99712.9,,,,,0.014922425,-0.507816654,,,,,,,,,,,
2,-0.0376124,87710,,,,,0.022237031,-0.420046418,,,,,,,,,,,
2,-0.0360961,75252.7,,,,,0.031422998,-0.260602294,,,,,,,,,,,
2,-0.0342298,72715.7,,,,,0.042729316,-0.113973593,,,,,,,,,,,
2,-0.0319647,68843.4,,,,,0.056451623,-0.032787226,,,,,,,,,,,
2,-0.0292461,64021.7,,,,,0.072921299,0.059961648,,,,,,,,,,,
2,-0.026016,62744.6,,,,,0.092489716,0.130149212,,,,,,,,,,,
2,-0.0222164,63852.6,,,,,0.115508248,0.193495277,,,,,,,,,,,
2,-0.0177937,62912.7,,,,,0.142301611,0.193345543,,,,,,,,,,,
2,-0.0127049,62008.9,,,,,0.173130305,0.222636052,,,,,,,,,,,
2,-0.00692334,64831.2,,,,,0.20815584,0.257213473,,,,,,,,,,,
2,-0.000446744,71557.4,,,,,0.247392004,0.254086686,,,,,,,,,,,
2,0.00669683,77915.4,,,,,0.290668819,0.25897064,,,,,,,,,,,
2,0.014444,81486.6,,,,,0.337602307,0.257021902,,,,,,,,,,,
2,0.0226942,84317.8,,,,,0.387583224,0.239672638,,,,,,,,,,,
2,0.0313126,86992.1,,,,,0.43979475,0.220601438,,,,,,,,,,,
2,0.0401364,89102.4,,,,,0.493250619,0.195115921,,,,,,,,,,,
2,0.0489868,90927.5,,,,,0.546867636,0.173135929,,,,,,,,,,,
2,0.0576824,93023.4,,,,,0.599546851,0.147912445,,,,,,,,,,,
2,0.066054,94572.1,,,,,0.650263226,0.121786157,,,,,,,,,,,
2,0.0739568,96486.1,,,,,0.698139543,0.094759266,,,,,,,,,,,
2,0.0812793,98080.5,,,,,0.742500318,0.070663187,,,,,,,,,,,
2,0.0879479,99639.1,,,,,0.782899671,0.048308861,,,,,,,,,,,
2,0.0939256,101257,,,,,0.819113451,0.021755392,,,,,,,,,,,
2,0.0992083,102364,,,,,0.851116819,-0.001607433,,,,,,,,,,,
2,0.103819,104963,,,,,0.879049113,-0.022195785,,,,,,,,,,,
2,0.107798,105830,,,,,0.903154477,-0.062579782,,,,,,,,,,,
2,0.111201,108639,,,,,0.923770348,-0.072973046,,,,,,,,,,,
2,0.114087,109932,,,,,0.941254157,-0.132778355,,,,,,,,,,,
2,0.116517,108642,,,,,0.955975452,-0.162835147,,,,,,,,,,,
2,0.118553,120629,,,,,0.968309838,-0.152728138,,,,,,,,,,,
2,0.120249,115519,,,,,0.978584454,-0.384484719,,,,,,,,,,,
2,0.121658,123738,,,,,0.987120381,-0.209560797,,,,,,,,,,,
2,0.122822,143800,,,,,0.994172063,-0.503434748,,,,,,,,,,,
2,0.123784,100246,,,,,1,-0.861209659,,,,,,,,,,,
