,Points_1,Pressure,,,,,,,,,,,,,,,r,v,q
2,-0.0411845,125331,,-0.041283,0.165067,,0.000596727,-0.844105601,,,,,,,,,0.823,215.4608962,28439.56962
2,-0.0409106,123351,,0.123784,,,0.002256054,-0.774484294,,,,,,,,,,,
2,-0.0404312,106260,,,,,0.005160329,-0.173525833,,,,,,,,,,,
2,-0.039751,104344,,,,,0.00928108,-0.106154912,,,,,,,,,,,
2,-0.0388198,96693.8,,,,,0.014922425,0.162843533,,,,,,,,,,,
2,-0.0376124,87101.5,,,,,0.022237031,0.500130635,,,,,,,,,,,
2,-0.0360961,83278,,,,,0.031422998,0.634573597,,,,,,,,,,,
2,-0.0342298,82009.5,,,,,0.042729316,0.679176945,,,,,,,,,,,
2,-0.0319647,79750.8,,,,,0.056451623,0.758597978,,,,,,,,,,,
2,-0.0292461,79836.2,,,,,0.072921299,0.755595119,,,,,,,,,,,
2,-0.026016,79770.5,,,,,0.092489716,0.757905281,,,,,,,,,,,
2,-0.0222164,79880,,,,,0.115508248,0.754055012,,,,,,,,,,,
2,-0.0177937,81585.9,,,,,0.142301611,0.694071685,,,,,,,,,,,
2,-0.0127049,81716.5,,,,,0.173130305,0.689479492,,,,,,,,,,,
2,-0.00692334,83370.6,,,,,0.20815584,0.631317571,,,,,,,,,,,
2,-0.000446744,84431.9,,,,,0.247392004,0.593999847,,,,,,,,,,,
2,0.00669683,85847.9,,,,,0.290668819,0.544210064,,,,,,,,,,,
2,0.014444,87277.6,,,,,0.337602307,0.493938558,,,,,,,,,,,
2,0.0226942,88883.9,,,,,0.387583224,0.437457394,,,,,,,,,,,
2,0.0313126,90379,,,,,0.43979475,0.384886275,,,,,,,,,,,
2,0.0401364,91896.8,,,,,0.493250619,0.331516972,,,,,,,,,,,
2,0.0489868,93233.8,,,,,0.546867636,0.284505009,,,,,,,,,,,
2,0.0576824,94731.8,,,,,0.599546851,0.231831919,,,,,,,,,,,
2,0.066054,95821.3,,,,,0.650263226,0.193522619,,,,,,,,,,,
2,0.0739568,97076.4,,,,,0.698139543,0.149390446,,,,,,,,,,,
2,0.0812793,98162.3,,,,,0.742500318,0.111207731,,,,,,,,,,,
2,0.0879479,99429.8,,,,,0.782899671,0.066639546,,,,,,,,,,,
2,0.0939256,100339,,,,,0.819113451,0.034670004,,,,,,,,,,,
2,0.0992083,101563,,,,,0.851116819,-0.008368622,,,,,,,,,,,
2,0.103819,102578,,,,,0.879049113,-0.044058332,,,,,,,,,,,
2,0.107798,103326,,,,,0.903154477,-0.070359715,,,,,,,,,,,
2,0.111201,104940,,,,,0.923770348,-0.127111628,,,,,,,,,,,
2,0.114087,105407,,,,,0.941254157,-0.143532411,,,,,,,,,,,
2,0.116517,107415,,,,,0.955975452,-0.214138262,,,,,,,,,,,
2,0.118553,113987,,,,,0.968309838,-0.44522474,,,,,,,,,,,
2,0.120249,108623,,,,,0.978584454,-0.256614291,,,,,,,,,,,
2,0.121658,118746,,,,,0.987120381,-0.612562013,,,,,,,,,,,
2,0.122822,130235,,,,,0.994172063,-1.016541403,,,,,,,,,,,
2,0.123784,98262.5,,,,,1,0.107684471,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
