"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.633271447797082e-05, 1.321692460585855e+00, 6.869484662638897e-01, 9.994571099977756e-02, 3.779283342132264e+00
1, 9.990000128750000e-01, -1.454904248382860e-04, 1.191479397045693e+00, 6.927239814397071e-01, 1.014266648230183e-01, 3.418763446994844e+00
2, 9.977599978450000e-01, -3.277057935562005e-04, 1.184199691879833e+00, 7.433616722792988e-01, 1.111321791213077e-01, 3.407617344629142e+00
3, 9.960200190539999e-01, -5.909979340972953e-04, 1.172608862106866e+00, 7.609313824721136e-01, 1.191598490244771e-01, 3.379049791915541e+00
4, 9.937800168990000e-01, -9.509603202717598e-04, 1.166015451192372e+00, 7.671678675448820e-01, 1.299347716364208e-01, 3.362361333011237e+00
5, 9.910500049590000e-01, -1.432766305510259e-03, 1.161541985709801e+00, 7.729626442302961e-01, 1.455829817515882e-01, 3.351659643503718e+00
6, 9.878399968150000e-01, -2.069728273610781e-03, 1.154515129986190e+00, 7.787184109103391e-01, 1.652274308686465e-01, 3.334167509335439e+00
7, 9.841300249100000e-01, -2.901038416634368e-03, 1.143526943935854e+00, 7.885784057117512e-01, 1.869809745879066e-01, 3.306821811069793e+00
8, 9.799500107769999e-01, -3.940534357298366e-03, 1.127156297232750e+00, 8.041459325887370e-01, 2.075398581978022e-01, 3.266018524800988e+00
9, 9.752799868580000e-01, -5.185120904553379e-03, 1.105424579822061e+00, 8.254815075545492e-01, 2.227300521916629e-01, 3.211791153714362e+00
10, 9.701499938960000e-01, -6.584758669300963e-03, 1.079528457770495e+00, 8.508531068418985e-01, 2.290499724358888e-01, 3.147035975896016e+00
11, 9.645400047300000e-01, -8.076328083088684e-03, 1.052148230738145e+00, 8.767838903808683e-01, 2.247728241294923e-01, 3.078316075775199e+00
12, 9.584699869160000e-01, -9.579051999218737e-03, 1.028076649777534e+00, 8.993321109320671e-01, 2.110860660210248e-01, 3.017774305600121e+00
13, 9.519400000570000e-01, -1.103372878738867e-02, 1.011528780705858e+00, 9.157243030196744e-01, 1.919607445990193e-01, 2.976162161389999e+00
14, 9.449599981310000e-01, -1.241111345935593e-02, 1.003651900816493e+00, 9.252671871393282e-01, 1.724219192037469e-01, 2.956406748759822e+00
15, 9.375399947170000e-01, -1.371714455288595e-02, 1.002444848654878e+00, 9.290574144555751e-01, 1.564606961644261e-01, 2.953408178896036e+00
16, 9.296900033950000e-01, -1.498270265249716e-02, 1.004534191874343e+00, 9.293415995991299e-01, 1.458696474498854e-01, 2.958656811838714e+00
17, 9.214000105860000e-01, -1.625047976143708e-02, 1.006892049018105e+00, 9.284100601551010e-01, 1.403770383430543e-01, 2.964542705012952e+00
18, 9.126999974250000e-01, -1.755161785695003e-02, 1.007645431150735e+00, 9.278741485424549e-01, 1.384895303461285e-01, 2.966358072102236e+00
19, 9.035800099370001e-01, -1.891019770327688e-02, 1.006203288037159e+00, 9.284412612623114e-01, 1.384702770210946e-01, 2.962618747909239e+00
20, 8.940600156780000e-01, -2.033163587625476e-02, 1.002804295525155e+00, 9.301801794294616e-01, 1.389292402150103e-01, 2.953936129995671e+00
21, 8.841500282290000e-01, -2.181220814789818e-02, 9.980266717426960e-01, 9.327780609801235e-01, 1.390378668001135e-01, 2.941763435379433e+00
22, 8.738499879840000e-01, -2.334409860033767e-02, 9.924689770816729e-01, 9.358292777826548e-01, 1.384749492989811e-01, 2.927601744401975e+00
23, 8.631799817090000e-01, -2.491515245365292e-02, 9.866059408898248e-01, 9.390213138536559e-01, 1.372553989609781e-01, 2.912651261167065e+00
24, 8.521599769590000e-01, -2.651449641003890e-02, 9.807027770246792e-01, 9.421382833783286e-01, 1.355365441627912e-01, 2.897574994514872e+00
25, 8.407700061800000e-01, -2.813906415701983e-02, 9.748638103614228e-01, 9.451043554958176e-01, 1.335040719754906e-01, 2.882639621133485e+00
26, 8.290500044819999e-01, -2.977897764005338e-02, 9.690753038350469e-01, 9.479071399181674e-01, 1.312856493565872e-01, 2.867808930409766e+00
27, 8.170099854470000e-01, -3.142983982406160e-02, 9.632779611057340e-01, 9.505820658712153e-01, 1.289490862052271e-01, 2.852935734145709e+00
28, 8.046399950980000e-01, -3.309026292234299e-02, 9.574067284326038e-01, 9.531388050993428e-01, 1.265049739385027e-01, 2.837848764871449e+00
29, 7.919700145720000e-01, -3.475326013390052e-02, 9.514373864437371e-01, 9.556024166937173e-01, 1.239300914441517e-01, 2.822489806009214e+00
30, 7.790099978450000e-01, -3.641416400064644e-02, 9.453629604599447e-01, 9.579944961448950e-01, 1.211953360989742e-01, 2.806846059791461e+00
31, 7.657799720760000e-01, -3.806654743933097e-02, 9.391498222439266e-01, 9.602920263237283e-01, 1.182638545992865e-01, 2.790820708273770e+00
32, 7.522799968720000e-01, -3.970607194307890e-02, 9.327701611412199e-01, 9.624945830727671e-01, 1.151136231853199e-01, 2.774339902602791e+00
33, 7.385200262070000e-01, -4.132681631980431e-02, 9.262607639379631e-01, 9.645987158300089e-01, 1.117341587977470e-01, 2.757501768929431e+00
34, 7.245299816130000e-01, -4.292049112144265e-02, 9.197039344265787e-01, 9.665695454315305e-01, 1.081214382730554e-01, 2.740515998653535e+00
35, 7.103199958800001e-01, -4.448129998081986e-02, 9.131757103324705e-01, 9.683824716644471e-01, 1.042840222873578e-01, 2.723577966269618e+00
36, 6.958900094030001e-01, -4.600469760767065e-02, 9.067444571018833e-01, 9.700497801050442e-01, 1.002441651849725e-01, 2.706873317926465e+00
37, 6.812700033190000e-01, -4.748330288070376e-02, 9.004313434899184e-01, 9.715252814762131e-01, 9.601972222868242e-02, 2.690443725512998e+00
38, 6.664699912070000e-01, -4.891239546073149e-02, 8.942982081363678e-01, 9.728416704861484e-01, 9.164563338192390e-02, 2.674462914107380e+00
39, 6.514999866490000e-01, -5.028775926480294e-02, 8.883809547472288e-01, 9.739893229968185e-01, 8.715409584750525e-02, 2.659022218809286e+00
40, 6.363800168040000e-01, -5.160489367529003e-02, 8.827305893951841e-01, 9.749672516979494e-01, 8.257997262489063e-02, 2.644255173398616e+00
41, 6.211299896240000e-01, -5.286010568831080e-02, 8.774324947807762e-01, 9.757955297500551e-01, 7.796047124011408e-02, 2.630392314373501e+00
42, 6.057599782940000e-01, -5.405125929067824e-02, 8.725794604215601e-01, 9.764701124535985e-01, 7.333011459863513e-02, 2.617675303093509e+00
43, 5.902799963950000e-01, -5.517685200752512e-02, 8.682653803183541e-01, 9.770267366141615e-01, 6.872482536879787e-02, 2.606360780874491e+00
44, 5.747100114820000e-01, -5.623533825893312e-02, 8.644897556558695e-01, 9.774641823797207e-01, 6.417355803480702e-02, 2.596444123531656e+00
45, 5.590599775310000e-01, -5.722654316606866e-02, 8.612031819355628e-01, 9.778177443264423e-01, 5.970871038871394e-02, 2.587803978836166e+00
46, 5.433599948880000e-01, -5.814967155095363e-02, 8.583703890045549e-01, 9.780821148439071e-01, 5.535003023784758e-02, 2.580343415692379e+00
47, 5.276100039480000e-01, -5.900630885483840e-02, 8.561411751298923e-01, 9.782964388794385e-01, 5.112220332766437e-02, 2.574467727681052e+00
48, 5.118399858470000e-01, -5.979679224673119e-02, 8.547990628889729e-01, 9.784611698682137e-01, 4.703424688150008e-02, 2.570921180146401e+00
49, 4.960500001910000e-01, -6.052338592851291e-02, 8.546093978948933e-01, 9.786194395980249e-01, 4.309977110870584e-02, 2.570414410109651e+00
50, 4.802699983120000e-01, -6.118717872548547e-02, 8.555679498361169e-01, 9.787653405629131e-01, 3.931788323759852e-02, 2.572933478224149e+00
51, 4.645099937920000e-01, -6.179037632704476e-02, 8.573043659841801e-01, 9.788912614261757e-01, 3.568608127432637e-02, 2.577501383917220e+00
52, 4.487800002100000e-01, -6.233516591862797e-02, 8.592601476357996e-01, 9.789465517339266e-01, 3.219488341868787e-02, 2.582631400087650e+00
53, 4.331099987030000e-01, -6.282303656722557e-02, 8.613928176232551e-01, 9.789082989699658e-01, 2.882771678760241e-02, 2.588204172726755e+00
54, 4.174999892710000e-01, -6.325632604916466e-02, 8.650492134677646e-01, 9.787859615583830e-01, 2.556831761787967e-02, 2.597774130822112e+00
55, 4.019699990750000e-01, -6.363649061374839e-02, 8.729351637010334e-01, 9.785969413661244e-01, 2.239222484796183e-02, 2.618496956199821e+00
56, 3.865399956700000e-01, -6.396475166210112e-02, 8.861501036661109e-01, 9.783054590025830e-01, 1.927112964826147e-02, 2.653312051116594e+00
57, 3.712300062180000e-01, -6.424202172091185e-02, 8.964728498940744e-01, 9.779187971619827e-01, 1.617145096493938e-02, 2.680507010357053e+00
58, 3.560400009160000e-01, -6.446911784365592e-02, 8.848600742217366e-01, 9.779243616717291e-01, 1.306388346593737e-02, 2.649746407590072e+00
59, 3.409900069240000e-01, -6.464599143704766e-02, 8.340845265645400e-01, 9.763565287702956e-01, 9.883290012443679e-03, 2.515421811978672e+00
60, 3.261100053790000e-01, -6.477208793423939e-02, 7.780532668556647e-01, 9.715986437492155e-01, 6.588310577947376e-03, 2.367460027913978e+00
61, 3.113999962810000e-01, -6.484663825904052e-02, 7.565160641601314e-01, 9.680192224005463e-01, 3.180056409999767e-03, 2.310342053589989e+00
62, 2.968699932100000e-01, -6.486814479548220e-02, 7.554733937934491e-01, 9.673018150525835e-01, -4.036987793367589e-04, 2.307381499876749e+00
63, 2.825500071050000e-01, -6.483459785424339e-02, 7.579723567620575e-01, 9.672914049697118e-01, -4.240306744551193e-03, 2.313844856582330e+00
64, 2.684499919410000e-01, -6.474356028822623e-02, 7.576017489924385e-01, 9.671460438118382e-01, -8.388329301903827e-03, 2.312842857519901e+00
65, 2.545700073240000e-01, -6.459191945677493e-02, 7.555465538051697e-01, 9.666374295184690e-01, -1.290144558579320e-02, 2.307359178162094e+00
66, 2.409400045870000e-01, -6.437639200560522e-02, 7.537665270642000e-01, 9.661519764060761e-01, -1.784780891971639e-02, 2.302607755511136e+00
67, 2.275699973110000e-01, -6.409314593945004e-02, 7.525007758399719e-01, 9.656312513309707e-01, -2.329131561749010e-02, 2.299187535402625e+00
68, 2.144699990750000e-01, -6.373792752765162e-02, 7.516364048949172e-01, 9.651993356525149e-01, -2.930504397407917e-02, 2.296855293168120e+00
69, 2.016600072380000e-01, -6.330647590103367e-02, 7.513043152190502e-01, 9.648387604730505e-01, -3.596997291468545e-02, 2.295947527815425e+00
70, 1.891400069000000e-01, -6.279360483893912e-02, 7.520021981787782e-01, 9.647652150099402e-01, -4.337568547844040e-02, 2.297835741132318e+00
71, 1.769299954180000e-01, -6.219461863473351e-02, 7.539606175392872e-01, 9.649518362609281e-01, -5.162166087206577e-02, 2.303114966612646e+00
72, 1.650400012730000e-01, -6.150433601666033e-02, 7.569304990740617e-01, 9.652718588973551e-01, -6.080054943645861e-02, 2.311107219713235e+00
73, 1.534900069240000e-01, -6.071818050377271e-02, 7.604084754814610e-01, 9.655223655787006e-01, -7.101206544764849e-02, 2.320451416102656e+00
74, 1.422899961470000e-01, -5.983112272763046e-02, 7.643804086216361e-01, 9.656961418770583e-01, -8.237795435562599e-02, 2.331125908441337e+00
75, 1.314399987460000e-01, -5.883722179589406e-02, 7.693656474708614e-01, 9.658158280821755e-01, -9.503836787001814e-02, 2.344506810349469e+00
76, 1.209499984980000e-01, -5.773122077123136e-02, 7.758905547237177e-01, 9.659306660159869e-01, -1.091493856557333e-01, 2.362007847437829e+00
77, 1.108499988910000e-01, -5.651056843049849e-02, 7.841078497917875e-01, 9.659375363197403e-01, -1.248975599368917e-01, 2.384031419761615e+00
78, 1.011300012470000e-01, -5.516845744386608e-02, 7.937600818872520e-01, 9.653349019414351e-01, -1.423956989870715e-01, 2.409781535469960e+00
79, 9.181000292300000e-02, -5.370199543772497e-02, 8.048863895335236e-01, 9.640329168642464e-01, -1.618607552653969e-01, 2.439394401358602e+00
80, 8.290000259900000e-02, -5.210764769553262e-02, 8.176591872339933e-01, 9.617794112584025e-01, -1.834987863112093e-01, 2.473311983394459e+00
81, 7.440000027400000e-02, -5.038032487754274e-02, 8.322715442943812e-01, 9.580947263952165e-01, -2.074735593443450e-01, 2.511972995351160e+00
82, 6.633000075800000e-02, -4.851944585537710e-02, 8.490201078258648e-01, 9.525548455905137e-01, -2.340115940016267e-01, 2.556140642876450e+00
83, 5.869000032500000e-02, -4.652089132697179e-02, 8.680962329706241e-01, 9.444093355633661e-01, -2.632177256646353e-01, 2.606225268930197e+00
84, 5.149000138000000e-02, -4.438336763373221e-02, 8.897941114091120e-01, 9.327917003905993e-01, -2.951602320954999e-01, 2.662918685815917e+00
85, 4.473999887700000e-02, -4.210673791694458e-02, 9.145189282727867e-01, 9.165543583257471e-01, -3.297562267786187e-01, 2.727174651502025e+00
86, 3.844000026600000e-02, -3.968826244142241e-02, 9.425943900972488e-01, 8.942138377785650e-01, -3.666156181870231e-01, 2.799692513343223e+00
87, 3.260000050100000e-02, -3.712950224760703e-02, 9.742709711377738e-01, 8.640415318088361e-01, -4.049830885868745e-01, 2.880980637118232e+00
88, 2.723000012300000e-02, -3.443404685821144e-02, 1.009659874664105e+00, 8.238257580307335e-01, -4.434596591871478e-01, 2.971112935073608e+00
89, 2.232000045500000e-02, -3.159584992804340e-02, 1.048903658258345e+00, 7.713107633050614e-01, -4.795158896116377e-01, 3.070270794918136e+00
90, 1.789999939500000e-02, -2.863368232032586e-02, 1.091717047017887e+00, 7.040869911899204e-01, -5.096727324986854e-01, 3.177524716980445e+00
91, 1.394999958600000e-02, -2.553699460576279e-02, 1.137451699062337e+00, 6.206553579068967e-01, -5.283990284339095e-01, 3.291082383211454e+00
92, 1.049000024800000e-02, -2.232513072226126e-02, 1.184695629806666e+00, 5.205374789348568e-01, -5.286228612498174e-01, 3.407234594459704e+00
93, 7.519999985000000e-03, -1.900711938165586e-02, 1.231728106166327e+00, 4.066444518966038e-01, -5.021841392001797e-01, 3.521924365008463e+00
94, 5.040000193000000e-03, -1.559467227509425e-02, 1.275261752403989e+00, 2.853756568466042e-01, -4.407960550318500e-01, 3.627151282593048e+00
95, 3.049999941000000e-03, -1.210268188632138e-02, 1.312532484340860e+00, 1.677048537278402e-01, -3.381975633377532e-01, 3.716876602562823e+00
96, 1.560000004000000e-03, -8.576821818334690e-03, 1.336758544656707e+00, 6.865889622137042e-02, -1.949654622080110e-01, 3.774250469489435e+00
