"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,          95,      -2.474746141,      -2.457524276,      -2.985529585
          0,           0,          96,       -2.47474921,      -2.457523132,      -2.985512745
          0,           0,          97,       -2.47474873,      -2.457524053,      -2.985522831
          0,           0,          98,       -2.47474569,      -2.457523654,       -2.98553087
          0,           0,          99,      -2.474753125,      -2.457520794,      -2.985471829
          0,           0,         100,      -2.474747038,      -2.457525886,      -2.985539385
          0,           0,         101,      -2.474744282,      -2.457522674,      -2.985519358
          0,           0,         102,      -2.474748979,      -2.457523354,      -2.985486907
          0,           0,         103,      -2.474747319,      -2.457525162,      -2.985514656
          0,           0,         104,      -2.474742818,      -2.457524476,      -2.985519463
          0,           0,         105,      -2.474753541,      -2.457518624,      -2.985401647
          0,           0,         106,      -2.474741128,      -2.457528443,      -2.985521484
          0,           0,         107,      -2.474741164,      -2.457521702,      -2.985454739
          0,           0,         108,       -2.47473272,      -2.457528616,      -2.985484959
          0,           0,         109,      -2.474732111,      -2.457526236,      -2.985448077
          0,           0,         110,      -2.474739021,      -2.457526179,      -2.985401597
          0,           0,         111,      -2.474731408,      -2.457529281,      -2.985453895
          0,           0,         112,      -2.474745106,      -2.457518066,      -2.985272315
          0,           0,         113,      -2.474729939,      -2.457532087,      -2.985412765
          0,           0,         114,      -2.474721364,      -2.457526324,       -2.98536244
          0,           0,         115,      -2.474722217,      -2.457530833,      -2.985327833
          0,           0,         116,      -2.474726065,      -2.457529498,      -2.985295833
          0,           0,         117,      -2.474721694,      -2.457532126,      -2.985329112
          0,           0,         118,      -2.474727109,      -2.457528001,       -2.98527176
          0,           0,         119,      -2.474729564,      -2.457529878,      -2.985277618
          0,           0,         120,      -2.474720678,      -2.457531523,      -2.985327639
          0,           0,         121,      -2.474714753,      -2.457527282,      -2.985306086
          0,           0,         122,      -2.474725582,       -2.45752891,      -2.985235074
          0,           0,         123,      -2.474717467,      -2.457530886,      -2.985283376
          0,           0,         124,      -2.474722779,      -2.457527967,      -2.985218875
          0,           0,         125,      -2.474723992,      -2.457531992,      -2.985234645
          0,           0,         126,      -2.474712234,      -2.457527086,      -2.985256784
          0,           0,         127,      -2.474712443,      -2.457527224,      -2.985228217
          0,           0,         128,      -2.474715284,      -2.457529973,      -2.985216142
          0,           0,         129,      -2.474714218,      -2.457529006,      -2.985219132
          0,           0,         130,      -2.474720181,      -2.457530854,       -2.98518876
          0,           0,         131,      -2.474708033,      -2.457525808,      -2.985215733
          0,           0,         132,      -2.474708433,      -2.457524593,       -2.98519371
          0,           0,         133,      -2.474707181,       -2.45752466,      -2.985186371
          0,           0,         134,      -2.474716679,      -2.457530671,      -2.985135439
          0,           0,         135,      -2.474717403,      -2.457533251,      -2.985149847
          0,           0,         136,       -2.47470901,      -2.457526444,      -2.985163887
          0,           0,         137,      -2.474710755,      -2.457528135,      -2.985142313
          0,           0,         138,      -2.474708348,      -2.457526524,      -2.985147128
          0,           0,         139,      -2.474715406,      -2.457530853,      -2.985102847
          0,           0,         140,      -2.474704947,      -2.457524952,      -2.985130307
          0,           0,         141,      -2.474709682,      -2.457528803,      -2.985086695
          0,           0,         142,      -2.474701031,      -2.457522972,      -2.985094634
          0,           0,         143,      -2.474703296,      -2.457524084,      -2.985070758
          0,           0,         144,      -2.474700805,      -2.457523487,      -2.985068318
          0,           0,         145,      -2.474700033,      -2.457522286,      -2.985065161
          0,           0,         146,      -2.474701446,      -2.457522706,      -2.985063976
          0,           0,         147,      -2.474703402,      -2.457524175,      -2.985061823
          0,           0,         148,      -2.474704415,      -2.457525268,      -2.985059284
          0,           0,         149,      -2.474703586,      -2.457524637,      -2.985062351
          0,           0,         150,       -2.47470711,      -2.457527606,       -2.98504899
          0,           0,         151,      -2.474705894,      -2.457526188,      -2.985058424
          0,           0,         152,      -2.474702289,       -2.45752315,      -2.985064545
          0,           0,         153,      -2.474702803,      -2.457524247,      -2.985054352
          0,           0,         154,      -2.474700194,      -2.457522246,      -2.985058713
          0,           0,         155,      -2.474698587,      -2.457520691,      -2.985057925
          0,           0,         156,      -2.474699231,      -2.457521243,      -2.985053969
          0,           0,         157,      -2.474698997,      -2.457520979,      -2.985054466
          0,           0,         158,      -2.474693776,       -2.45751865,      -2.985049168
          0,           0,         159,      -2.474695029,      -2.457519281,      -2.985040796
          0,           0,         160,      -2.474695461,      -2.457519148,      -2.985043668
          0,           0,         161,       -2.47469635,       -2.45751973,      -2.985042825
          0,           0,         162,      -2.474699911,      -2.457521483,      -2.985042782
          0,           0,         163,      -2.474698355,       -2.45752139,      -2.985044645
          0,           0,         164,      -2.474701763,      -2.457523677,      -2.985036358
          0,           0,         165,        -2.4747036,       -2.45752498,      -2.985037935
          0,           0,         166,      -2.474699814,      -2.457522114,       -2.98504559
          0,           0,         167,      -2.474701329,      -2.457522759,      -2.985038862
          0,           0,         168,       -2.47469709,      -2.457519825,      -2.985044485
          0,           0,         169,      -2.474702086,      -2.457524129,       -2.98502015
          0,           0,         170,       -2.47469799,      -2.457521366,      -2.985029464
          0,           0,         171,      -2.474696903,       -2.45752004,      -2.985025233
          0,           0,         172,      -2.474694173,       -2.45751914,      -2.985020259
          0,           0,         173,      -2.474698823,      -2.457522107,      -2.985008196
          0,           0,         174,      -2.474696993,      -2.457520032,      -2.985019683
          0,           0,         175,      -2.474701797,      -2.457524377,      -2.984996322
          0,           0,         176,      -2.474705194,      -2.457527795,      -2.984983183
          0,           0,         177,      -2.474694941,      -2.457519825,      -2.985000962
          0,           0,         178,       -2.47469301,      -2.457518525,      -2.984985104
          0,           0,         179,      -2.474693773,      -2.457518903,       -2.98498033
          0,           0,         180,      -2.474695109,      -2.457519632,      -2.984977994
          0,           0,         181,      -2.474691114,      -2.457516902,       -2.98498117
          0,           0,         182,      -2.474696467,      -2.457520903,      -2.984961226
          0,           0,         183,       -2.47469231,      -2.457518019,      -2.984970486
          0,           0,         184,      -2.474696152,      -2.457520257,      -2.984954862
          0,           0,         185,      -2.474696235,       -2.45752043,      -2.984957634
          0,           0,         186,      -2.474688484,      -2.457515855,      -2.984956733
          0,           0,         187,      -2.474690025,      -2.457517035,      -2.984941787
          0,           0,         188,      -2.474689614,      -2.457516733,      -2.984942915
          0,           0,         189,      -2.474696035,      -2.457522176,      -2.984918332
          0,           0,         190,      -2.474696279,      -2.457521225,      -2.984929013
          0,           0,         191,      -2.474692894,      -2.457518805,      -2.984933309
          0,           0,         192,      -2.474692589,      -2.457518086,      -2.984932151
          0,           0,         193,      -2.474688368,      -2.457515829,      -2.984930909
          0,           0,         194,      -2.474692822,      -2.457519441,      -2.984912265
          0,           0,         195,      -2.474687319,      -2.457516444,      -2.984916209
          0,           0,         196,      -2.474688424,      -2.457516589,      -2.984907443
          0,           0,         197,      -2.474693876,      -2.457519892,      -2.984898593
          0,           0,         198,      -2.474691642,       -2.45751893,      -2.984903339
          0,           0,         199,      -2.474688763,       -2.45751691,      -2.984903456
          0,           0,         200,      -2.474689958,      -2.457517242,       -2.98490004
          0,           0,         201,      -2.474691864,      -2.457519176,      -2.984893595
          0,           0,         202,      -2.474684475,       -2.45751446,       -2.98489769
          0,           0,         203,      -2.474684586,      -2.457513545,       -2.98488957
          0,           0,         204,       -2.47468998,      -2.457517388,      -2.984876665
          0,           0,         205,      -2.474684889,       -2.45751457,      -2.984881371
          0,           0,         206,      -2.474688026,      -2.457515739,      -2.984871679
          0,           0,         207,      -2.474686264,      -2.457514958,       -2.98487461
          0,           0,         208,      -2.474685274,      -2.457514879,      -2.984867818
