"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    
          0,           0,          76,      -6.646287426,      -6.381928782,      -7.001309752,      -7.147798674
          0,           0,          77,       -6.65072959,      -6.374647353,      -7.016808431,      -7.150649459
          0,           0,          78,      -6.658091062,        -6.3682544,      -7.030632113,      -7.156224972
          0,           0,          79,      -6.667914224,      -6.363704727,      -7.043375633,      -7.162444456
          0,           0,          80,      -6.678830286,      -6.361186364,      -7.053689726,      -7.169588639
          0,           0,          81,      -6.688674819,      -6.360067839,      -7.055537161,      -7.164460614
          0,           0,          82,      -6.701710416,      -6.364104302,      -7.055050489,      -7.161854352
          0,           0,          83,      -6.718342833,      -6.373046931,      -7.059916651,      -7.167706762
          0,           0,          84,      -6.741432518,      -6.388527584,      -7.072163297,      -7.182169424
          0,           0,          85,      -6.770338718,      -6.410195849,       -7.08920837,      -7.204624221
          0,           0,          86,      -6.802693414,      -6.436457075,      -7.113102511,       -7.23183684
          0,           0,          87,       -6.83694884,      -6.466316923,      -7.142946835,       -7.26232522
          0,           0,          88,      -6.872576599,      -6.499362825,      -7.176141889,      -7.296141991
          0,           0,          89,      -6.909325934,       -6.53540818,      -7.211557344,      -7.333481879
          0,           0,          90,      -6.946975393,      -6.574241574,      -7.249338764,      -7.374346552
          0,           0,          91,      -6.985423817,      -6.615586907,      -7.289470121,      -7.418452777
          0,           0,          92,      -7.024631659,      -6.659195024,      -7.331649555,      -7.465515047
          0,           0,          93,      -7.064614176,      -6.704919045,      -7.375700303,      -7.515454126
          0,           0,          94,        -7.1055299,      -6.752730007,      -7.421137436,      -7.568214418
          0,           0,          95,        -7.1474651,      -6.802510033,      -7.466182584,      -7.622783971
          0,           0,          96,      -7.189851363,       -6.85362105,       -7.50885861,      -7.676361439
          0,           0,          97,      -7.231753386,      -6.905193842,      -7.549922738,      -7.727616368
          0,           0,          98,      -7.272372999,      -6.956512551,      -7.590761936,      -7.777663184
          0,           0,          99,      -7.311140118,       -7.00690034,      -7.631275905,      -7.826689405
          0,           0,         100,      -7.348246962,      -7.056085042,      -7.669597417,       -7.87408476
          0,           0,         101,      -7.384475898,      -7.104241249,      -7.704098132,      -7.919559491
          0,           0,         102,      -7.420473702,      -7.151559982,      -7.734784999,       -7.96267834
          0,           0,         103,      -7.456522565,       -7.19799723,      -7.762736339,      -8.002660693
          0,           0,         104,      -7.492489253,      -7.243121765,      -7.789360812,      -8.038856041
          0,           0,         105,      -7.527676531,      -7.285891804,      -7.815542231,      -8.070760032
          0,           0,         106,      -7.560841861,      -7.324553532,      -7.841322142,      -8.097740224
          0,           0,         107,      -7.590470172,      -7.356856729,      -7.866448555,       -8.11899334
          0,           0,         108,      -7.615198807,       -7.38067888,      -7.890558012,      -8.133820117
          0,           0,         109,      -7.634225327,      -7.394886963,      -7.912946573,      -8.142083226
          0,           0,         110,      -7.647558213,      -7.399915127,      -7.932871344,      -8.144480132
          0,           0,         111,      -7.655987755,      -7.397600267,      -7.950093885,      -8.142366093
          0,           0,         112,      -7.660766578,      -7.390441975,      -7.964768397,      -8.137328954
          0,           0,         113,       -7.66322515,      -7.380866882,      -7.977046441,      -8.130895531
          0,           0,         114,      -7.664506961,      -7.370799821,      -7.987135096,      -8.124354654
          0,           0,         115,      -7.665509036,      -7.361587487,      -7.995482177,      -8.118692499
          0,           0,         116,        -7.6669421,      -7.354116536,      -8.002700723,      -8.114654498
          0,           0,         117,      -7.669375757,      -7.348940643,      -8.009427007,      -8.112784034
          0,           0,         118,      -7.673250206,      -7.346372578,      -8.016260879,       -8.11342681
          0,           0,         119,      -7.678885124,      -7.346555804,      -8.023737075,      -8.116756464
          0,           0,         120,      -7.686500418,      -7.349524077,      -8.032288034,       -8.12281599
          0,           0,         121,      -7.696243079,       -7.35524822,      -8.042220329,      -8.131556488
          0,           0,         122,      -7.708208875,       -7.36366795,      -8.053727739,      -8.142873626
          0,           0,         123,      -7.722453104,      -7.374710125,      -8.066929857,      -8.156646021
          0,           0,         124,      -7.738991647,      -7.388297294,      -8.081908106,      -8.172767995
          0,           0,         125,      -7.757797936,      -7.404350718,      -8.098721838,      -8.191163947
          0,           0,         126,      -7.778802118,      -7.422791302,      -8.117407224,      -8.211783177
