"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , -0.260424       , 0.001           
1               , -0.110026       , 0.001           
2               , 0.0035975       , 0.001           
3               , 0.079979        , 0.001           
4               , 0.124285        , 0.001           
5               , 0.142867        , 0.001           
6               , 0.142958        , 0.001           
7               , 0.132395        , 0.001           
8               , 0.118738        , 0.001           
9               , 0.107913        , 0.001           
10              , 0.102946        , 0.001           
11              , 0.10363         , 0.001           
12              , 0.107615        , 0.001           
13              , 0.11251         , 0.001           
14              , 0.117641        , 0.001           
15              , 0.124255        , 0.001           
16              , 0.134715        , 0.001           
17              , 0.153307        , 0.001           
18              , 0.200499        , 0.001           
19              , -0.3361         , 0.001           
20              , 0.146859        , 0.001           
21              , 0.441718        , 0.001           
22              , 0.563904        , 0.001           
23              , 0.549929        , 0.001           
24              , 0.440902        , 0.001           
25              , 0.275032        , 0.001           
26              , 0.0832364       , 0.001           
27              , -0.11227        , 0.001           
28              , -0.296213       , 0.001           
29              , -0.455616       , 0.001           
30              , -0.573546       , 0.001           
31              , -0.624675       , 0.001           
32              , -0.580176       , 0.001           
33              , -0.432911       , 0.001           
34              , -0.240611       , 0.001           
35              , -0.124848       , 0.001           
36              , -0.134658       , 0.001           
37              , -0.194115       , 0.001           
