Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus,,
28,0.997432,0,79.521,0,8.56E-08,0,0,0,0,0,0,0.95356,-0.00640218,0,0.953582,31.8084,0.124706,0.00343051,0.000459571,0,0.00346116,1.00454,0,0,0,0,0.397526,,
29,0.997379,0,79.5154,0,8.56E-08,0,0,0,0,0,0,0.95096,-0.00675,0,0.950984,31.8061,0.12022,0.00345014,0.000460748,0,0.00348077,1.00453,0,0,0,0,0.398564,,
30,0.997328,0,79.5098,0,8.56E-08,0,0,0,0,0,0,0.948275,-0.00710804,0,0.948301,31.8039,0.115786,0.00346928,0.000461803,0,0.00349988,1.00451,0,0,0,0,0.399573,,
31,0.997277,0,79.5043,0,8.56E-08,0,0,0,0,0,0,0.945502,-0.00747646,0,0.945532,31.8017,0.111397,0.00348796,0.00046274,0,0.00351852,1.00449,0,0,0,0,0.400555,,
32,0.997226,0,79.4989,0,8.56E-08,0,0,0,0,0,0,0.942641,-0.00785548,0,0.942673,31.7995,0.107037,0.00350621,0.00046356,0,0.00353672,1.00447,0,0,0,0,0.401511,,
33,0.997176,0,79.4934,0,8.56E-08,0,0,0,0,0,0,0.939687,-0.00824527,0,0.939724,31.7974,0.102694,0.00352404,0.000464267,0,0.00355449,1.00445,0,0,0,0,0.402443,,
34,0.997126,0,79.488,0,8.56E-08,0,0,0,0,0,0,0.93664,-0.00864601,0,0.93668,31.7952,0.0983594,0.00354147,0.000464862,0,0.00357185,1.00444,0,0,0,0,0.403352,,
35,0.997075,0,79.4826,0,8.56E-08,0,0,0,0,0,0,0.933497,-0.00905787,0,0.933541,31.793,0.0940229,0.0035586,0.000465356,0,0.0035889,1.00442,0,0,0,0,0.404243,,
36,0.997024,0,79.4771,0,8.56E-08,0,0,0,0,0,0,0.930255,-0.00948102,0,0.930303,31.7909,0.0896508,0.00357539,0.000465745,0,0.0036056,1.0044,0,0,0,0,0.405114,,
37,0.996973,0,79.4716,0,8.56E-08,0,0,0,0,0,0,0.926912,-0.00991563,0,0.926965,31.7886,0.0852281,0.00359188,0.000466031,0,0.00362198,1.00438,0,0,0,0,0.405967,,
38,0.996921,0,79.4661,0,8.56E-08,0,0,0,0,0,0,0.923466,-0.0103618,0,0.923524,31.7864,0.0808101,0.00360792,0.000466196,0,0.00363791,1.00436,0,0,0,0,0.406795,,
39,0.99687,0,79.4605,0,8.56E-08,0,0,0,0,0,0,0.919915,-0.0108198,0,0.919978,31.7842,0.0763771,0.00362375,0.000466271,0,0.00365363,1.00435,0,0,0,0,0.40761,,
40,0.996817,0,79.455,0,8.56E-08,0,0,0,0,0,0,0.916256,-0.0112896,0,0.916325,31.782,0.0719233,0.00363929,0.000466243,0,0.00366903,1.00433,0,0,0,0,0.408409,,
