"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , -0.356764       , 0.001           
1               , -0.185133       , 0.001           
2               , -0.0551162      , 0.001           
3               , 0.0251142       , 0.001           
4               , 0.0605858       , 0.001           
5               , 0.0617329       , 0.001           
6               , 0.0422304       , 0.001           
7               , 0.0165779       , 0.001           
8               , -0.00304007     , 0.001           
9               , -0.00976055     , 0.001           
10              , -0.00349783     , 0.001           
11              , 0.0102986       , 0.001           
12              , 0.0244279       , 0.001           
13              , 0.0342538       , 0.001           
14              , 0.0396386       , 0.001           
15              , 0.043241        , 0.001           
16              , 0.0475004       , 0.001           
17              , 0.0538849       , 0.001           
18              , 0.0685861       , 0.001           
19              , -0.471228       , 0.001           
20              , -0.20324        , 0.001           
21              , -0.0461168      , 0.001           
22              , 0.0264834       , 0.001           
23              , 0.0439484       , 0.001           
24              , 0.0309726       , 0.001           
25              , 0.00596972      , 0.001           
26              , -0.0194584      , 0.001           
27              , -0.0403268      , 0.001           
28              , -0.057128       , 0.001           
29              , -0.0734236      , 0.001           
30              , -0.0920205      , 0.001           
31              , -0.110426       , 0.001           
32              , -0.11834        , 0.001           
33              , -0.102929       , 0.001           
34              , -0.0664555      , 0.001           
35              , -0.0407009      , 0.001           
36              , -0.0509629      , 0.001           
37              , -0.0740727      , 0.001           
