"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          63,      -4.722679459,      -3.969570079,      -3.991556443,      -2.673484914,      -11.17415904
          0,           0,          64,      -4.717047737,      -3.963219218,      -3.986916808,      -2.667819407,      -11.16282643
          0,           0,          65,      -4.711451913,      -3.956845275,      -3.982070666,      -2.662193938,      -11.15160803
          0,           0,          66,       -4.70590404,      -3.950443681,      -3.977009843,      -2.656621099,      -11.14049852
          0,           0,          67,      -4.700417147,      -3.944010216,      -3.971731454,      -2.651114413,      -11.12950292
          0,           0,          68,      -4.695004409,      -3.937542753,       -3.96623661,      -2.645687513,      -11.11861253
          0,           0,          69,       -4.68967771,      -3.931041749,       -3.96052987,      -2.640352723,      -11.10782201
          0,           0,          70,      -4.684447923,      -3.924511975,      -3.954617704,      -2.635121385,      -11.09715999
          0,           0,          71,      -4.679323565,      -3.917959742,      -3.948510362,      -2.630002369,       -11.0866474
          0,           0,          72,      -4.674310727,      -3.911392714,      -3.942221953,       -2.62500202,      -11.07626121
          0,           0,          73,      -4.669413186,      -3.904825387,      -3.935764741,      -2.620124506,      -11.06600321
          0,           0,          74,      -4.664631949,      -3.898265741,      -3.929155351,      -2.615371017,      -11.05589704
          0,           0,          75,       -4.65996608,      -3.891725312,      -3.922411584,      -2.610740747,      -11.04596986
          0,           0,          76,      -4.655412292,       -3.88522142,      -3.915552411,      -2.606230541,      -11.03615151
          0,           0,          77,      -4.650964981,      -3.878772278,      -3.908596238,      -2.601834815,      -11.02647548
          0,           0,          78,      -4.646617098,      -3.872382128,      -3.901562427,      -2.597546431,       -11.0169587
          0,           0,          79,       -4.64235994,      -3.866058413,      -3.894471125,      -2.593356695,      -11.00762938
          0,           0,          80,      -4.638183724,      -3.859817112,      -3.887342108,      -2.589255576,      -10.99837677
          0,           0,          81,      -4.634077207,      -3.853675537,      -3.880196772,      -2.585231692,      -10.98925297
          0,           0,          82,      -4.630028321,      -3.847635981,      -3.873058682,      -2.581272681,      -10.98029367
          0,           0,          83,       -4.62602456,      -3.841699674,      -3.865950625,      -2.577365413,      -10.97145989
          0,           0,          84,      -4.622053855,      -3.835873144,      -3.858891586,      -2.573497317,      -10.96271075
          0,           0,          85,      -4.618103773,       -3.83016338,      -3.851905065,        -2.5696556,      -10.95407137
          0,           0,          86,      -4.614163485,       -3.82457265,       -3.84501435,      -2.565828948,      -10.94554224
          0,           0,          87,      -4.610222569,      -3.819089643,      -3.838238458,      -2.562005981,      -10.93707534
          0,           0,          88,      -4.606271284,      -3.813718397,      -3.831588389,      -2.558176079,      -10.92865904
          0,           0,          89,      -4.602301929,      -3.808450089,      -3.825085658,      -2.554330917,      -10.92032023
          0,           0,          90,      -4.598308823,      -3.803279407,      -3.818746951,      -2.550464183,      -10.91207637
          0,           0,          91,      -4.594287398,      -3.798203118,       -3.81258116,      -2.546570418,      -10.90381208
          0,           0,          92,      -4.590233615,      -3.793208822,      -3.806594147,      -2.542644599,        -10.895567
          0,           0,          93,      -4.586145268,      -3.788291478,      -3.800793101,      -2.538683734,      -10.88737298
          0,           0,          94,      -4.582022698,      -3.783444661,       -3.79519065,      -2.534687651,      -10.87920082
          0,           0,          95,      -4.577866798,      -3.778660522,      -3.789790645,      -2.530656603,      -10.87099257
          0,           0,          96,      -4.573678376,      -3.773936565,      -3.784589802,      -2.526590462,      -10.86277596
          0,           0,          97,      -4.569459483,      -3.769271415,      -3.779591418,      -2.522490882,      -10.85459486
          0,           0,          98,      -4.565214357,      -3.764662498,      -3.774801046,      -2.518361906,      -10.84640777
          0,           0,          99,      -4.560947563,      -3.760107937,      -3.770218377,      -2.514207517,      -10.83816168
          0,           0,         100,      -4.556662808,      -3.755612158,      -3.765840525,      -2.510031015,      -10.82990371
          0,           0,         101,      -4.552365973,      -3.751178931,      -3.761666259,      -2.505838274,      -10.82169526
          0,           0,         102,      -4.548063987,      -3.746810353,      -3.757697124,      -2.501636281,      -10.81349299
          0,           0,         103,      -4.543763846,      -3.742507437,      -3.753930268,      -2.497431847,      -10.80523212
          0,           0,         104,      -4.539472414,      -3.738276199,       -3.75036007,      -2.493231939,      -10.79696344
          0,           0,         105,      -4.535197809,      -3.734117762,       -3.74698201,      -2.489045025,      -10.78876893
          0,           0,         106,      -4.530948452,      -3.730030507,       -3.74379183,      -2.484879901,      -10.78062489
          0,           0,         107,      -4.526732482,      -3.726012322,      -3.740781687,      -2.480745154,      -10.77242626
          0,           0,         108,      -4.522557475,      -3.722059784,      -3.737939814,      -2.476648939,      -10.76423353
          0,           0,         109,      -4.518430907,      -3.718165582,      -3.735254935,      -2.472599526,       -10.7561663
          0,           0,         110,      -4.514359431,      -3.714319158,      -3.732714266,      -2.468604393,      -10.74818733
          0,           0,         111,      -4.510348832,       -3.71051017,      -3.730302441,      -2.464670191,      -10.74013302
          0,           0,         112,      -4.506403479,      -3.706727535,      -3.728000759,      -2.460802167,      -10.73211851
          0,           0,         113,      -4.502526747,      -3.702961007,      -3.725789944,      -2.457004625,      -10.72426054
          0,           0,         114,      -4.498721027,      -3.699198456,      -3.723652046,      -2.453280737,      -10.71652527
          0,           0,         115,      -4.494987582,      -3.695433331,      -3.721567467,      -2.449632298,       -10.7087104
          0,           0,         116,      -4.491326627,      -3.691662199,      -3.719516887,      -2.446059864,      -10.70096893
          0,           0,         117,      -4.487737794,      -3.687886324,      -3.717481861,      -2.442563171,      -10.69341795
          0,           0,         118,      -4.484220539,      -3.684110977,      -3.715448949,      -2.439141471,      -10.68596985
