"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.314090191,      -13.61443737,      -13.66915589,      -2.266382759,      -9.860081235
          0,           0,           1,      -4.499928875,      -4.227495311,      -3.673615806,      -2.447882625,       -10.2072461
          0,           0,           2,      -5.014502131,       -4.59322379,      -4.247489363,      -2.967996602,      -10.64155483
          0,           0,           3,       -5.15775859,      -4.709277319,       -4.33906373,      -3.110415093,      -11.02071448
          0,           0,           4,      -5.203909729,       -4.77851939,      -4.387152554,      -3.156373834,      -11.16471406
          0,           0,           5,      -5.233018821,      -4.831653296,      -4.415836804,      -3.185504025,      -11.25044027
          0,           0,           6,      -5.253487804,      -4.871516612,      -4.435540081,      -3.205956861,      -11.31465453
          0,           0,           7,      -5.267473502,      -4.898579413,      -4.448325738,      -3.219920055,       -11.3790618
          0,           0,           8,      -5.275519765,      -4.912490891,      -4.454454582,      -3.227948373,      -11.42399584
          0,           0,           9,      -5.277766346,      -4.911999002,      -4.453850554,      -3.230186012,      -11.45952766
          0,           0,          10,      -5.274506946,      -4.896153125,      -4.446801817,      -3.226939286,      -11.49107373
          0,           0,          11,      -5.266546889,      -4.865826586,      -4.434308193,      -3.219029344,      -11.52076206
          0,           0,          12,      -5.255187656,      -4.824203477,      -4.418028895,      -3.207769182,      -11.54230051
          0,           0,          13,      -5.241975806,      -4.775946685,      -4.399924521,      -3.194707197,      -11.55920256
          0,           0,          14,      -5.228350255,      -4.725571431,      -4.381799508,      -3.181275093,      -11.57282987
          0,           0,          15,      -5.215393587,      -4.676438965,      -4.364975633,      -3.168541834,      -11.58598818
          0,           0,          16,      -5.203757503,      -4.630571633,      -4.350186106,      -3.157142091,      -11.59815568
          0,           0,          17,      -5.193700087,      -4.588883645,      -4.337643321,      -3.147317187,      -11.60766195
          0,           0,          18,      -5.185168031,       -4.55154452,      -4.327187074,      -3.139000854,       -11.6155239
          0,           0,          19,      -5.177899433,      -4.518298429,      -4.318458636,      -3.131923964,      -11.62204483
          0,           0,          20,      -5.171508165,      -4.488710093,      -4.311034272,       -3.12569951,      -11.62750658
          0,           0,          21,      -5.165586556,      -4.462317504,      -4.304526163,      -3.119924085,      -11.63258419
          0,           0,          22,      -5.159768953,      -4.438704212,      -4.298630839,      -3.114238509,      -11.63678736
          0,           0,          23,      -5.153798889,      -4.417516078,      -4.293130659,       -3.10839204,      -11.63938338
          0,           0,          24,      -5.147543548,      -4.398450272,      -4.287884323,      -3.102254444,      -11.64059573
          0,           0,          25,      -5.140994722,      -4.381236568,       -4.28280172,      -3.095816205,      -11.64063321
          0,           0,          26,      -5.134219752,       -4.36562484,      -4.277830354,      -3.089139388,      -11.63966926
          0,           0,          27,      -5.127327022,      -4.351386673,      -4.272943203,      -3.082325063,      -11.63790707
          0,           0,          28,       -5.12041541,      -4.338321722,      -4.268134738,      -3.075463916,      -11.63564208
          0,           0,          29,      -5.113544395,      -4.326266465,       -4.26341995,       -3.06860814,      -11.63288699
          0,           0,          30,      -5.106722964,      -4.315099797,      -4.258830951,      -3.061761766,      -11.62936112
          0,           0,          31,      -5.099902255,      -4.304737875,      -4.254416888,      -3.054873781,      -11.62503417
          0,           0,          32,      -5.092996813,      -4.295126072,      -4.250235944,      -3.047860281,      -11.61995931
          0,           0,          33,       -5.08590912,      -4.286225881,      -4.246344748,      -3.040628954,      -11.61414194
          0,           0,          34,      -5.078553107,        -4.2780034,      -4.242785396,      -3.033101926,      -11.60761983
          0,           0,          35,      -5.070874266,      -4.270422935,      -4.239578268,       -3.02523486,      -11.60046807
          0,           0,          36,      -5.062861012,       -4.26344492,      -4.236716199,      -3.017026721,      -11.59282297
          0,           0,          37,      -5.054539949,      -4.257027624,      -4.234162436,      -3.008513697,      -11.58484836
          0,           0,          38,      -5.045969178,      -4.251129589,      -4.231855541,      -2.999761303,      -11.57653498
          0,           0,          39,      -5.037225669,      -4.245710682,       -4.22971532,      -2.990851106,      -11.56793991
          0,           0,          40,      -5.028394185,      -4.240730359,      -4.227650028,      -2.981869701,      -11.55919973
          0,           0,          41,       -5.01955767,      -4.236142551,      -4.225564077,      -2.972899671,      -11.55038902
          0,           0,          42,      -5.010791129,      -4.231888858,      -4.223365638,      -2.964014142,      -11.54155728
          0,           0,          43,      -5.002158638,      -4.227892664,      -4.220971574,      -2.955274527,       -11.5327399
          0,           0,          44,      -4.993710566,      -4.224055801,      -4.218312182,      -2.946728312,      -11.52395742
          0,           0,          45,      -4.985482819,      -4.220260074,      -4.215335074,      -2.938408654,      -11.51520656
          0,           0,          46,      -4.977495954,      -4.216373135,      -4.212007864,      -2.930333698,      -11.50646529
          0,           0,          47,       -4.96975791,      -4.212260574,      -4.208320633,      -2.922509363,      -11.49770276
          0,           0,          48,      -4.962266034,      -4.207800935,      -4.204286788,      -2.914931392,      -11.48886239
          0,           0,          49,      -4.955010786,      -4.202900207,      -4.199941639,      -2.907589079,      -11.47989878
          0,           0,          50,      -4.947978944,      -4.197503926,      -4.195337965,      -2.900468436,      -11.47078702
          0,           0,          51,      -4.941155744,      -4.191602106,      -4.190540269,      -2.893554299,      -11.46150766
          0,           0,          52,      -4.934526035,      -4.185228444,      -4.185616958,      -2.886831451,      -11.45203307
          0,           0,          53,      -4.928074183,      -4.178453576,      -4.180632507,      -2.880284482,      -11.44234942
          0,           0,          54,       -4.92178338,      -4.171374998,      -4.175641573,      -2.873897052,      -11.43246937
          0,           0,          55,      -4.915634852,      -4.164101336,      -4.170684978,       -2.86765103,      -11.42239378
          0,           0,          56,      -4.909607066,      -4.156739655,       -4.16578786,      -2.861525597,      -11.41212479
          0,           0,          57,      -4.903676851,      -4.149386239,       -4.16096041,      -2.855498355,      -11.40169331
          0,           0,          58,      -4.897820279,      -4.142120706,      -4.156200258,      -2.849546225,      -11.39111811
          0,           0,          59,      -4.892014607,      -4.135000154,      -4.151495135,      -2.843647311,      -11.38041058
          0,           0,          60,       -4.88624045,      -4.128058387,      -4.146826251,      -2.837783021,      -11.36962357
          0,           0,          61,      -4.880483386,       -4.12131012,      -4.142170484,      -2.831939673,      -11.35879049
          0,           0,          62,      -4.874735205,      -4.114753996,      -4.137503466,      -2.826109754,      -11.34796341
          0,           0,          63,      -4.868994126,      -4.108373685,      -4.132801101,      -2.820292082,      -11.33721512
          0,           0,          64,      -4.863264626,      -4.102143907,      -4.128040326,      -2.814491612,      -11.32659052
          0,           0,          65,      -4.857556253,      -4.096035375,       -4.12320003,       -2.80871829,      -11.31608012
          0,           0,          66,      -4.851882287,      -4.090018325,      -4.118261532,      -2.802985729,      -11.30567479
          0,           0,          67,      -4.846258025,      -4.084061761,      -4.113209031,      -2.797309479,      -11.29538904
          0,           0,          68,      -4.840699426,      -4.078138974,      -4.108029234,      -2.791705688,      -11.28521014
          0,           0,          69,      -4.835221633,      -4.072228783,      -4.102711698,      -2.786189658,       -11.2751386
          0,           0,          70,      -4.829837972,      -4.066315413,      -4.097248962,      -2.780774849,      -11.26520307
