"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , -0.21929        , 0.001           
1               , -0.0660317      , 0.001           
2               , 0.0487581       , 0.001           
3               , 0.126373        , 0.001           
4               , 0.172146        , 0.001           
5               , 0.192011        , 0.001           
6               , 0.192582        , 0.001           
7               , 0.181187        , 0.001           
8               , 0.16527         , 0.001           
9               , 0.151162        , 0.001           
10              , 0.142721        , 0.001           
11              , 0.140637        , 0.001           
12              , 0.143107        , 0.001           
13              , 0.147765        , 0.001           
14              , 0.153682        , 0.001           
15              , 0.162032        , 0.001           
16              , 0.175659        , 0.001           
17              , 0.20046         , 0.001           
18              , 0.263561        , 0.001           
19              , -0.303654       , 0.001           
20              , 0.258116        , 0.001           
21              , 0.615291        , 0.001           
22              , 0.769739        , 0.001           
23              , 0.75573         , 0.001           
24              , 0.619086        , 0.001           
25              , 0.406328        , 0.001           
26              , 0.157367        , 0.001           
27              , -0.0979508      , 0.001           
28              , -0.338892       , 0.001           
29              , -0.548651       , 0.001           
30              , -0.706568       , 0.001           
31              , -0.782107       , 0.001           
32              , -0.739788       , 0.001           
33              , -0.568333       , 0.001           
34              , -0.332497       , 0.001           
35              , -0.177318       , 0.001           
36              , -0.174064       , 0.001           
37              , -0.243501       , 0.001           
