"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,          24,      -5.232913735,      -5.458562309,      -5.675913805,      -4.671059424,             0.448,     0.01526476482,      0.3303259115,                 0,                 0,                 0,     0.09737380215,     0.01108613725,      0.3304925391,                 0,       21.63976421
          0,           0,          25,      -5.241293079,      -5.463325894,      -5.696621328,      -4.679548407,             0.448,     0.01523285827,       0.330560092,                 0,                 0,                 0,     0.09723763504,     0.01105127173,      0.3307262974,                 0,       21.70046396
          0,           0,          26,      -5.249111525,      -5.469888036,      -5.712771892,      -4.687324882,             0.448,     0.01520849334,      0.3307707093,                 0,                 0,                 0,     0.09709898524,     0.01102424522,      0.3309365898,                 0,       21.74907809
          0,           0,          27,      -5.256968524,       -5.47862703,       -5.72596412,      -4.695053869,             0.448,     0.01519226526,      0.3309524969,                 0,                 0,                 0,     0.09696162869,     0.01100571948,      0.3311181576,                 0,       21.78427584
          0,           0,          28,      -5.265346729,      -5.490132719,      -5.738617632,      -4.703291027,             0.448,     0.01518420941,      0.3311071552,                 0,                 0,                 0,     0.09682915183,     0.01099570843,      0.3312727016,                 0,       21.80601875
          0,           0,          29,      -5.275194297,      -5.505096768,      -5.753241972,      -4.713113309,             0.448,     0.01518423648,      0.3312382332,                 0,                 0,                 0,     0.09670527017,     0.01099407784,      0.3314037695,                 0,       21.81461238
          0,           0,          30,      -5.284930084,      -5.523898601,      -5.771241896,      -4.722772664,             0.448,     0.01518928741,      0.3313385349,                 0,                 0,                 0,     0.09658596768,     0.01099785992,       0.331504127,                 0,       21.81396177
          0,           0,          31,      -5.296991171,      -5.545774573,      -5.793452564,       -4.73497268,             0.448,     0.01519976759,      0.3314178468,                 0,                 0,                 0,     0.09647730801,     0.01100733626,      0.3315835651,                 0,        21.8041391
          0,           0,          32,      -5.309532483,      -5.570941855,      -5.819775746,      -4.747637212,             0.448,     0.01521483725,      0.3314797465,                 0,                 0,                 0,     0.09638136867,     0.01102162191,      0.3316456505,                 0,       21.78661138
          0,           0,          33,      -5.322729371,      -5.598525723,      -5.848745868,      -4.761081639,             0.448,      0.0152325018,      0.3315236247,                 0,                 0,                 0,     0.09629664077,     0.01103873015,      0.3316897485,                 0,       21.76422685
          0,           0,          34,      -5.336565783,      -5.627660771,      -5.877789358,       -4.77520204,             0.448,     0.01525165714,      0.3315535826,                 0,                 0,                 0,     0.09622390133,      0.0110575051,      0.3317199462,                 0,       21.73885627
          0,           0,          35,       -5.35119446,      -5.657624017,      -5.904218914,      -4.790106533,             0.448,     0.01527152074,      0.3315732335,                 0,                 0,                 0,     0.09616357397,      0.0110771186,      0.3317398468,                 0,       21.71186741
          0,           0,          36,      -5.367003212,      -5.688111895,      -5.927729711,      -4.806175656,             0.448,     0.01529116384,      0.3315820848,                 0,                 0,                 0,     0.09611495662,     0.01109664819,      0.3317489459,                 0,       21.68455511
          0,           0,          37,      -5.384033022,      -5.719231148,      -5.949104949,       -4.82343186,             0.448,     0.01530980352,       0.331581458,                 0,                 0,                 0,     0.09607766166,      0.0111152943,      0.3317485548,                 0,       21.65811322
          0,           0,          38,      -5.401755672,      -5.750947999,      -5.969118379,       -4.84132026,             0.448,     0.01532671987,      0.3315745776,                 0,                 0,                 0,     0.09605111527,     0.01113229632,      0.3317418889,                 0,       21.63375989
          0,           0,          39,      -5.419878236,      -5.783236808,      -5.988477555,      -4.859579128,             0.448,     0.01534122284,      0.3315629373,                 0,                 0,                 0,     0.09603368887,     0.01114694533,      0.3317304329,                 0,       21.61254946
          0,           0,          40,      -5.438019755,      -5.816116698,      -6.008144245,      -4.877802423,             0.448,     0.01535283948,      0.3315476037,                 0,                 0,                 0,      0.0960233417,     0.01115875495,      0.3317152475,                 0,        21.5951977
          0,           0,          41,      -5.456275517,      -5.849759867,      -6.028972352,       -4.89608165,             0.448,     0.01536136922,      0.3315285384,                 0,                 0,                 0,      0.0960181241,     0.01116752512,      0.3316962915,                 0,       21.58196536
          0,           0,          42,      -5.474765377,      -5.884253342,      -6.051371109,      -4.914569181,             0.448,     0.01536681224,      0.3315059708,                 0,                 0,                 0,     0.09601628581,      0.0111732531,      0.3316737946,                 0,       21.57285231
          0,           0,          43,      -5.493666773,      -5.919586679,      -6.075259483,      -4.933446243,             0.448,     0.01536935203,      0.3314794998,                 0,                 0,                 0,     0.09601627601,     0.01117612745,      0.3316473579,                 0,       21.56756506
          0,           0,          44,      -5.513279901,      -5.955623309,      -6.100488182,      -4.953019588,             0.448,     0.01536930288,      0.3314489062,                 0,                 0,                 0,     0.09601696051,     0.01117646521,       0.331616766,                 0,       21.56564346
          0,           0,          45,      -5.534155578,      -5.991887918,      -6.126865859,      -4.973869266,             0.448,     0.01536701588,      0.3314150964,                 0,                 0,                 0,     0.09601681735,     0.01117460596,      0.3315829301,                 0,       21.56665282
          0,           0,          46,      -5.556520541,      -6.028140401,      -6.153174518,      -4.996143953,             0.448,     0.01536293861,      0.3313791571,                 0,                 0,                 0,     0.09601501091,     0.01117098351,       0.331546942,                 0,       21.57003718
          0,           0,          47,      -5.580693698,       -6.06441918,      -6.178660027,      -5.020156468,             0.448,     0.01535758517,      0.3313406661,                 0,                 0,                 0,     0.09601114268,     0.01116611727,      0.3315083864,                 0,       21.57504988
          0,           0,          48,      -5.606623441,      -6.100771111,       -6.20358456,      -5.045925978,             0.448,     0.01535142846,      0.3312989854,                 0,                 0,                 0,     0.09600505212,     0.01116048816,      0.3314666312,                 0,       21.58098748
          0,           0,          49,      -5.634216549,      -6.137216381,      -6.228526046,       -5.07337345,             0.448,     0.01534494552,      0.3312534709,                 0,                 0,                 0,     0.09599686665,     0.01115458133,      0.3314210384,                 0,       21.58713893
          0,           0,          50,        -5.6639437,      -6.173910594,      -6.253591876,      -5.103023978,             0.448,     0.01533844727,      0.3312034315,                 0,                 0,                 0,      0.0959865539,     0.01114871641,      0.3313709208,                 0,       21.59302214
          0,           0,          51,      -5.696035034,      -6.210802467,      -6.278074861,      -5.135118478,             0.448,     0.01518205374,      0.3311581339,                 0,                 0,                 0,     0.09597485116,     0.01114335622,      0.3313186231,                 0,       21.81247277
          0,           0,          52,      -4.396431274,      -4.367711352,      -4.198937513,      -3.789791328,             0.448,     0.01517694619,      0.3310983936,                 0,                 0,                 0,     0.09596056336,     0.01113897742,       0.331258825,                 0,       21.81587715
          0,           0,          53,      -4.692367626,       -4.63235261,       -4.47626023,      -4.082193225,             0.448,     0.01517192268,      0.3308537061,                 0,                 0,                 0,     0.09590143673,     0.01113693757,      0.3310140944,                 0,       21.80697286
          0,           0,          54,      -4.933447007,      -4.802624296,      -4.900037283,      -4.340462036,             0.448,     0.01516116565,       0.330045918,                 0,                 0,                 0,      0.0957022647,     0.01113603012,      0.3302062352,                 0,       21.76916508
          0,           0,          55,      -5.127641985,      -4.942178025,      -5.135659481,      -4.518670486,             0.448,     0.01514762627,      0.3288675315,                 0,                 0,                 0,     0.09544229801,     0.01113685895,      0.3290277712,                 0,       21.71082951
          0,           0,          56,      -5.284493516,      -5.139134306,      -5.202222715,      -4.687381613,             0.448,     0.01514513349,      0.3278156811,                 0,                 0,                 0,     0.09527608955,      0.0111471908,      0.3279759686,                 0,       21.64495158
          0,           0,          57,      -5.378041549,      -5.244842029,      -5.326712056,      -4.782558353,             0.448,     0.01514625607,      0.3272092581,                 0,                 0,                 0,     0.09526347437,     0.01115570696,      0.3273696044,                 0,       21.60330953
          0,           0,          58,      -5.506088098,      -5.338526098,       -5.45824705,      -4.909144887,             0.448,     0.01514879514,      0.3270474789,                 0,                 0,                 0,     0.09536835642,      0.0111602183,      0.3272078681,                 0,       21.58900928
          0,           0,          59,       -5.53774203,      -5.372526974,      -5.524429522,       -4.93940125,             0.448,     0.01514944084,      0.3270195697,                 0,                 0,                 0,     0.09548518383,     0.01116120423,      0.3271799689,                 0,       21.58624686
          0,           0,          60,      -5.588909088,      -5.438505761,      -5.569377251,      -4.989641487,             0.448,     0.01514402369,      0.3268691186,                 0,                 0,                 0,     0.09555544119,     0.01115762182,      0.3270294629,                 0,       21.58403377
          0,           0,          61,      -5.693990469,      -5.567666684,      -5.658437686,      -5.101971416,             0.448,     0.01513902751,      0.3266317034,                 0,                 0,                 0,     0.09560095513,     0.01115552064,      0.3267920045,                 0,       21.57547459
          0,           0,          62,      -5.758587962,      -5.656063072,      -5.770892024,      -5.175385004,             0.448,     0.01513750433,      0.3264110678,                 0,                 0,                 0,     0.09565100808,     0.01115668762,      0.3265713667,                 0,       21.56307015
          0,           0,          63,      -5.778835696,      -5.695577923,      -5.831671343,      -5.195612448,             0.448,     0.01513828766,      0.3262345344,                 0,                 0,                 0,     0.09570905188,     0.01115962324,      0.3263948559,                 0,       21.55029298
          0,           0,          64,      -5.819238795,      -5.764694889,      -5.867031937,      -5.238967015,             0.448,     0.01514080636,       0.326091056,                 0,                 0,                 0,     0.09576976619,     0.01116389107,      0.3262514189,                 0,       21.53723179
          0,           0,          65,      -5.863110875,      -5.850892289,      -5.948682812,      -5.291118325,             0.448,     0.01514523914,      0.3259774398,                 0,                 0,                 0,     0.09583186254,     0.01116970877,      0.3261378653,                 0,        21.5234264
          0,           0,          66,      -5.878467479,      -5.916560943,       -6.06465972,      -5.312016848,             0.448,     0.01515131587,      0.3258929432,                 0,                 0,                 0,     0.09589435647,     0.01117681525,       0.326053449,                 0,       21.50921716
          0,           0,          67,      -5.879200418,      -5.964364254,      -6.129656885,      -5.314541401,             0.448,     0.01515831015,      0.3258271394,                 0,                 0,                 0,     0.09595355306,     0.01118461131,      0.3259877354,                 0,       21.49495136
          0,           0,          68,      -5.877131258,      -6.004536838,      -6.140591928,      -5.313998558,             0.448,     0.01516580071,      0.3257681176,                 0,                 0,                 0,     0.09600691207,     0.01119282093,      0.3259288093,                 0,       21.48044299
          0,           0,          69,      -5.872457556,      -6.041842257,      -6.158705836,      -5.311436513,             0.448,     0.01517379327,       0.325713635,                 0,                 0,                 0,     0.09605509139,     0.01120147715,      0.3258744282,                 0,       21.46553794
          0,           0,          70,      -5.865678205,      -6.079263647,      -6.194998774,      -5.306924289,             0.448,      0.0151822699,      0.3256677418,                 0,                 0,                 0,     0.09609995928,      0.0112105127,      0.3258286417,                 0,       21.45053038
          0,           0,          71,       -5.85791379,      -6.116501218,      -6.235038849,      -5.301106956,             0.448,     0.01519100672,      0.3256311367,                 0,                 0,                 0,     0.09614198169,     0.01121969516,      0.3257921459,                 0,       21.43578387
          0,           0,          72,      -5.849585995,       -6.15037735,      -6.267832709,      -5.294108614,             0.448,     0.01519975606,       0.325599948,                 0,                 0,                 0,     0.09618027208,     0.01122882412,      0.3257610662,                 0,         21.421393
          0,           0,          73,      -5.841135138,      -6.179468797,      -6.292631219,      -5.286391941,             0.448,     0.01520836784,       0.325570949,                 0,                 0,                 0,     0.09621420217,     0.01123778882,      0.3257321743,                 0,       21.40735629
          0,           0,          74,      -5.833372862,      -6.205358998,      -6.312087508,      -5.279028144,             0.448,     0.01521670504,      0.3255440918,                 0,                 0,                 0,     0.09624409024,     0.01124645285,      0.3257054207,                 0,       21.39386227
          0,           0,          75,      -5.827019496,      -6.229166002,      -6.328301124,      -5.272906626,             0.448,     0.01522459126,      0.3255198069,                 0,                 0,                 0,     0.09627043181,     0.01125463458,      0.3256812338,                 0,        21.3811853
          0,           0,          76,      -5.822450485,      -6.250598218,      -6.342612191,      -5.268429145,             0.448,     0.01523186371,      0.3254971522,                 0,                 0,                 0,     0.09629338558,     0.01126218269,      0.3256586695,                 0,       21.36948955
          0,           0,          77,      -5.819789693,      -6.269553124,      -6.355720747,      -5.265720095,             0.448,     0.01523842111,      0.3254746305,                 0,                 0,                 0,     0.09631296933,      0.0112690142,      0.3256362293,                 0,       21.35881585
          0,           0,          78,      -5.819094524,      -6.286780145,       -6.36841155,      -5.264865492,             0.448,     0.01524419964,      0.3254515434,                 0,                 0,                 0,      0.0963293646,     0.01127507378,      0.3256132144,                 0,       21.34920502
          0,           0,          79,      -5.820417269,      -6.303374597,      -6.381861837,      -5.265966398,             0.448,     0.01524916403,      0.3254278254,                 0,                 0,                 0,     0.09634301965,     0.01128032698,      0.3255895588,                 0,       21.34069939
          0,           0,          80,      -5.823634415,      -6.320368809,      -6.397958444,      -5.268929397,             0.448,     0.01525324165,      0.3254046306,                 0,                 0,                 0,     0.09635438871,      0.0112846871,      0.3255664154,                 0,       21.33347376
          0,           0,          81,       -5.82852574,      -6.338439694,      -6.415805739,      -5.273560711,             0.448,     0.01525640541,      0.3253821299,                 0,                 0,                 0,     0.09636380329,     0.01128812495,      0.3255439549,                 0,       21.32757496
          0,           0,          82,       -5.83465577,      -6.357435866,      -6.434893099,      -5.279441763,             0.448,      0.0152586441,      0.3253604811,                 0,                 0,                 0,     0.09637133029,     0.01129062743,       0.325522335,                 0,       21.32302706
          0,           0,          83,      -5.842177861,      -6.377067306,      -6.453551073,      -5.286759473,             0.448,     0.01526000295,      0.3253396962,                 0,                 0,                 0,      0.0963772408,     0.01129223959,      0.3255015683,                 0,       21.31976627
          0,           0,          84,      -5.851208315,      -6.396710815,      -6.471166744,      -5.295609471,             0.448,     0.01526053801,      0.3253194885,                 0,                 0,                 0,      0.0963818003,     0.01129302099,      0.3254813686,                 0,       21.31769459
